key,b,se,n,r2,stata_key,stata_block,stata_var,stata_log
T1_A_1991_c1,26.27168083190918,,,,None,main,,ipw
T1_A_1991_c2,10.322242736816406,,,,None,main,,ipw
T1_A_1991_c3,7.6862921714782715,,,,None,main,,ipw
T1_A_1991_c4,38.54689407348633,,,,None,main,,ipw
T1_A_1991_c5,322.3691075060087,,,,None,main,,ipw
T1_A_1991_c5_pkgvar_ushi,905.7804565429688,,,,None,main,,ipw
T1_B_1991_c1,28.190757751464844,,,,None,main,,ipw
T1_B_1991_c2,26.634254455566406,,,,None,main,,ipw
T1_B_1991_c3,9.234803199768066,,,,None,main,,ipw
T1_B_1991_c4,2.801011323928833,,,,None,main,,ipw
T1_B_1991_c5,723.626900168138,,,,None,main,,ipw
T1_B_1991_c5_pkgvar_othi,1708.8116455078125,,,,None,main,,ipw
T1_A_2000_c1,121.55631256103516,,,,None,main,,ipw
T1_A_2000_c2,23.004268646240234,,,,None,main,,ipw
T1_A_2000_c3,22.811817169189453,,,,None,main,,ipw
T1_A_2000_c4,151.59402465820312,,,,None,main,,ipw
T1_A_2000_c5,649.9709229750595,,,,None,main,,ipw
T1_A_2000_c5_pkgvar_ushi,1865.510986328125,,,,None,main,,ipw
T1_B_2000_c1,94.28167724609375,,,,None,main,,ipw
T1_B_2000_c2,68.22276306152344,,,,None,main,,ipw
T1_B_2000_c3,13.734260559082031,,,,None,main,,ipw
T1_B_2000_c4,5.250257968902588,,,,None,main,,ipw
T1_B_2000_c5,822.592565178245,,,,None,main,,ipw
T1_B_2000_c5_pkgvar_othi,1979.75390625,,,,None,main,,ipw
T1_A_2007_c1,330.0223693847656,,,,None,main,,ipw
T1_A_2007_c2,57.411033630371094,,,,None,main,,ipw
T1_A_2007_c3,45.43323516845703,,,,None,main,,ipw
T1_A_2007_c4,182.9546661376953,,,,None,main,,ipw
T1_A_2007_c5,763.1055738828421,,,,None,main,,ipw
T1_A_2007_c5_pkgvar_ushi,2365.87109375,,,,None,main,,ipw
T1_B_2007_c1,262.83306884765625,,,,None,main,,ipw
T1_B_2007_c2,196.88621520996094,,,,None,main,,ipw
T1_B_2007_c3,31.036314010620117,,,,None,main,,ipw
T1_B_2007_c4,11.64109992980957,,,,None,main,,ipw
T1_B_2007_c5,1329.7519796345437,,,,None,main,,ipw
T1_B_2007_c5_pkgvar_othi,3339.255615234375,,,,None,main,,ipw
T2_c1,-0.8875123902400623,0.18115996832702227,722.0,-0.13631847031662492,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', '', 'yr==1990')",main,d_tradeusch_pw,pre
T2_c2,-0.7183816208241265,0.06425449512936438,722.0,0.13908089212859154,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', '', 'yr==2000')",main,d_tradeusch_pw,pre
T2_c3,-0.7460300654047469,0.06803906681844155,1444.0,0.06635364122550957,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2000', 'yr>=1990')",main,d_tradeusch_pw,pre
T2_c4,0.4311331063149188,0.1492741800492066,722.0,0.0434947304005201,"('d_sh_empl_mfg', 'd_tradeusch_pw_future', 'd_tradeotch_pw_lag_future', '', 'yr==1970')",main,d_tradeusch_pw_future,pre
T2_c5,-0.12956258224563397,0.125504061059476,722.0,-0.00887989693568958,"('d_sh_empl_mfg', 'd_tradeusch_pw_future', 'd_tradeotch_pw_lag_future', '', 'yr==1980')",main,d_tradeusch_pw_future,pre
T2_c6,0.14842398838749926,0.0946698415938361,1444.0,0.1814406166619691,"('d_sh_empl_mfg', 'd_tradeusch_pw_future', 'd_tradeotch_pw_lag_future', 't1980', 'yr>=1970&yr<1990')",main,d_tradeusch_pw_future,pre
T3_c1,-0.7460300654047408,0.06803906681844116,1444.0,0.06635364122551302,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T3_fs_c1,0.791646630967823,0.07874775376880894,1444.0,0.543586851560725,None,main,,ipw
