block,spec,statistic,statspai,reference,abs_diff,reference_source,note
weak_IV,c1,F_eff (Olea-Pflueger) via sp.feols first stage t^2,97.53867664744578,97.5386755585,1.0889457797702562e-06,Stata weakivtest,
weak_IV,c1,"F_eff via sp.effective_f_test (sqrt-w transform, extra intercept)",97.5043460521325,97.5386755585,0.03432950636749865,Stata weakivtest,no weights= argument in sp.effective_f_test
weak_IV,c1,"AR 95% CI lower, Wald form (sp.feols reduced-form t^2, unrestricted residuals)",-0.89,,,,differs from weakiv by construction (variance at unrestricted residuals)
weak_IV,c1,"AR 95% CI upper, Wald form",-0.617,,,,
weak_IV,c1,"AR 95% CI lower, score form (null-imposed cluster variance)",-0.9005,-0.9005,0.0,Stata weakiv (same grid),
weak_IV,c1,"AR 95% CI upper, score form (null-imposed cluster variance)",-0.599,-0.599,0.0,Stata weakiv (same grid),
weak_IV,c1,AR set is a single bounded interval (1=yes),1.0,,,,
weak_IV,c1,"sp.anderson_rubin_ci lower (UNWEIGHTED, homoskedastic)",-0.6964530142190664,,,,gap: no weights/cluster
weak_IV,c1,"sp.anderson_rubin_ci upper (UNWEIGHTED, homoskedastic)",-0.5500824536245368,,,,gap: no weights/cluster
weak_IV,c1,sp.iv_diag effective F (sqrt-w transform),97.5043460521325,97.5386755585,0.03432950636749865,Stata weakivtest,
weak_IV,c6,F_eff (Olea-Pflueger) via sp.feols first stage t^2,47.64279832508723,47.6427983869,6.181277001360286e-08,Stata weakivtest,
weak_IV,c6,"F_eff via sp.effective_f_test (sqrt-w transform, extra intercept)",47.87927013889919,47.6427983869,0.2364717519991899,Stata weakivtest,no weights= argument in sp.effective_f_test
weak_IV,c6,"AR 95% CI lower, Wald form (sp.feols reduced-form t^2, unrestricted residuals)",-0.854,,,,differs from weakiv by construction (variance at unrestricted residuals)
weak_IV,c6,"AR 95% CI upper, Wald form",-0.434,,,,
weak_IV,c6,"AR 95% CI lower, score form (null-imposed cluster variance)",-0.827,-0.827,0.0,Stata weakiv (same grid),
weak_IV,c6,"AR 95% CI upper, score form (null-imposed cluster variance)",-0.3875,-0.3875,0.0,Stata weakiv (same grid),
weak_IV,c6,AR set is a single bounded interval (1=yes),1.0,,,,
weak_IV,c6,"sp.anderson_rubin_ci lower (UNWEIGHTED, homoskedastic)",-0.38177270318408185,,,,gap: no weights/cluster
weak_IV,c6,"sp.anderson_rubin_ci upper (UNWEIGHTED, homoskedastic)",-0.2270870659764181,,,,gap: no weights/cluster
weak_IV,c6,sp.iv_diag effective F (sqrt-w transform),47.87927013889919,47.6427983869,0.2364717519991899,Stata weakivtest,
