sic87dd,alpha,description
3571,0.1826004682106159,Electronic Computers
3944,0.13755576132213185,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles"
3651,0.08539005911969003,Household Audio and Video Equipment
3661,0.06624757168650314,Telephone and Telegraph Apparatus
3577,0.06019040378249124,"Computer Peripheral Equipment, Not Elsewhere Classified"
3679,0.05290913715508499,"Electronic Components, Not Elsewhere Classified"
3674,0.052691315718053154,Semiconductors and Related Devices
2599,0.048000059432046105,"Furniture and Fixtures, Not Elsewhere Classified"
3555,0.03921180268717387,Printing Trades Machinery and Equipment
3663,0.026558345081480726,Radio and Television Broadcasting and Communications Equipment
