row,column,stat,paper,Stata re-run,StatsPAI,abs diff Stata,abs diff StatsPAI,Stata,SP,MC
value of non-land assets (usd),q=.1,coef/value,77.08,77.08,77.07885625428187,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.2,coef/value,116.84,116.84,116.8440090056551,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.3,coef/value,190.76,190.76,190.7632924936436,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.4,coef/value,252.07,252.07,252.06784540287669,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.5,coef/value,377.43,377.43,377.42627350881537,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.6,coef/value,501.79,501.79,501.7874633549586,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.7,coef/value,518.66,518.66,518.6599201899261,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.8,coef/value,374.43,374.43,374.43258512421255,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.9,coef/value,352.34,352.34,352.335396274042,0.0,0.0,✅,✅,False
value of non-land assets (usd),q=.1,(SE/SD),14.17,14.17,,0.0,,✅,–,True
value of non-land assets (usd),q=.2,(SE/SD),26.2,26.2,,0.0,,✅,–,True
value of non-land assets (usd),q=.3,(SE/SD),28.28,28.28,,0.0,,✅,–,True
value of non-land assets (usd),q=.4,(SE/SD),37.81,37.81,,0.0,,✅,–,True
value of non-land assets (usd),q=.5,(SE/SD),51.66,51.66,,0.0,,✅,–,True
value of non-land assets (usd),q=.6,(SE/SD),30.43,30.43,,0.0,,✅,–,True
value of non-land assets (usd),q=.7,(SE/SD),46.9,46.9,,0.0,,✅,–,True
value of non-land assets (usd),q=.8,(SE/SD),51.57,51.57,,0.0,,✅,–,True
value of non-land assets (usd),q=.9,(SE/SD),38.41,38.41,,0.0,,✅,–,True
non-durable expenditure (usd),q=.1,coef/value,16.04,16.04,16.040792946025448,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.2,coef/value,16.69,16.69,16.686420420763866,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.3,coef/value,16.45,16.45,16.446525698038286,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.4,coef/value,23.17,23.17,23.172929913296898,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.5,coef/value,29.88,29.88,29.87740944231443,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.6,coef/value,41.23,41.23,41.23163147512077,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.7,coef/value,41.27,41.27,41.26673671981962,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.8,coef/value,50.84,50.84,50.844028260798325,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.9,coef/value,68.86,68.86,68.86028034713206,0.0,0.0,✅,✅,False
non-durable expenditure (usd),q=.1,(SE/SD),6.29,6.29,,0.0,,✅,–,True
non-durable expenditure (usd),q=.2,(SE/SD),4.52,4.52,,0.0,,✅,–,True
non-durable expenditure (usd),q=.3,(SE/SD),5.08,5.08,,0.0,,✅,–,True
non-durable expenditure (usd),q=.4,(SE/SD),6.07,6.07,,0.0,,✅,–,True
non-durable expenditure (usd),q=.5,(SE/SD),6.33,6.33,,0.0,,✅,–,True
non-durable expenditure (usd),q=.6,(SE/SD),6.89,6.89,,0.0,,✅,–,True
non-durable expenditure (usd),q=.7,(SE/SD),9.26,9.26,,0.0,,✅,–,True
non-durable expenditure (usd),q=.8,(SE/SD),7.18,7.18,,0.0,,✅,–,True
non-durable expenditure (usd),q=.9,(SE/SD),13.81,13.81,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.1,coef/value,1.72,1.72,1.721578656777749,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.2,coef/value,2.11,2.11,2.108694231633015,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.3,coef/value,2.4,2.4,2.399134720503736,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.4,coef/value,3.73,3.73,3.7335401407924103,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.5,coef/value,6.91,6.91,6.9109361668083045,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.6,coef/value,11.37,11.37,11.370804478668536,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.7,coef/value,12.68,12.68,12.675192550124883,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.8,coef/value,26.73,26.73,26.730413622632717,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.9,coef/value,57.39,57.39,57.38578310516385,0.0,0.0,✅,✅,False
"total revenue, monthly (usd)",q=.1,(SE/SD),0.47,0.47,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.2,(SE/SD),0.73,0.73,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.3,(SE/SD),1.44,1.44,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.4,(SE/SD),1.78,1.78,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.5,(SE/SD),2.59,2.59,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.6,(SE/SD),3.69,3.69,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.7,(SE/SD),5.21,5.21,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.8,(SE/SD),10.21,10.21,,0.0,,✅,–,True
"total revenue, monthly (usd)",q=.9,(SE/SD),24.58,24.58,,0.0,,✅,–,True
food security index,q=.1,coef/value,0.22,0.22,0.2203339829971759,0.0,0.0,✅,✅,False
food security index,q=.2,coef/value,0.28,0.28,0.2839695274093216,0.0,0.0,✅,✅,False
food security index,q=.3,coef/value,0.27,0.27,0.2678942537117289,0.0,0.0,✅,✅,False
food security index,q=.4,coef/value,0.24,0.24,0.2372392889746229,0.0,0.0,✅,✅,False
food security index,q=.5,coef/value,0.23,0.23,0.2315073933440639,0.0,0.0,✅,✅,False
food security index,q=.6,coef/value,0.18,0.18,0.1808930031922955,0.0,0.0,✅,✅,False
food security index,q=.7,coef/value,0.2,0.2,0.1976962035932298,0.0,0.0,✅,✅,False
food security index,q=.8,coef/value,0.29,0.29,0.2933657940091625,0.0,0.0,✅,✅,False
food security index,q=.9,coef/value,0.3,0.3,0.2992992798316904,0.0,0.0,✅,✅,False
food security index,q=.1,(SE/SD),0.15,0.15,,0.0,,✅,–,True
food security index,q=.2,(SE/SD),0.1,0.1,,0.0,,✅,–,True
food security index,q=.3,(SE/SD),0.08,0.08,,0.0,,✅,–,True
food security index,q=.4,(SE/SD),0.08,0.08,,0.0,,✅,–,True
food security index,q=.5,(SE/SD),0.09,0.09,,0.0,,✅,–,True
food security index,q=.6,(SE/SD),0.06,0.06,,0.0,,✅,–,True
food security index,q=.7,(SE/SD),0.08,0.08,,0.0,,✅,–,True
food security index,q=.8,(SE/SD),0.09,0.09,,0.0,,✅,–,True
food security index,q=.9,(SE/SD),0.13,0.13,,0.0,,✅,–,True
health index,q=.1,coef/value,0.05,0.05,0.0547984300143844,0.0,0.0,✅,✅,False
health index,q=.2,coef/value,0.1,0.1,0.1015607299630025,0.0,0.0,✅,✅,False
health index,q=.3,coef/value,0.04,0.04,0.0370275113443047,0.0,0.0,✅,✅,False
health index,q=.4,coef/value,-0.0,-0.0,-0.001220453052598,0.0,0.0,✅,✅,False
health index,q=.5,coef/value,0.02,0.02,0.015213478960934,0.0,0.0,✅,✅,False
health index,q=.6,coef/value,0.02,0.02,0.0153866418342034,0.0,0.0,✅,✅,False
health index,q=.7,coef/value,-0.12,-0.12,-0.1174394592272918,0.0,0.0,✅,✅,False
health index,q=.8,coef/value,-0.1,-0.1,-0.0978694817943511,0.0,0.0,✅,✅,False
health index,q=.9,coef/value,-0.03,-0.03,-0.0265672641042684,0.0,0.0,✅,✅,False
health index,q=.1,(SE/SD),0.08,0.08,,0.0,,✅,–,True
health index,q=.2,(SE/SD),0.1,0.1,,0.0,,✅,–,True
health index,q=.3,(SE/SD),0.08,0.08,,0.0,,✅,–,True
health index,q=.4,(SE/SD),0.07,0.07,,0.0,,✅,–,True
health index,q=.5,(SE/SD),0.06,0.06,,0.0,,✅,–,True
health index,q=.6,(SE/SD),0.05,0.05,,0.0,,✅,–,True
health index,q=.7,(SE/SD),0.07,0.07,,0.0,,✅,–,True
health index,q=.8,(SE/SD),0.06,0.06,,0.0,,✅,–,True
health index,q=.9,(SE/SD),0.07,0.07,,0.0,,✅,–,True
education index,q=.1,coef/value,-0.0,-0.0,-0.0,0.0,0.0,✅,✅,False
education index,q=.2,coef/value,0.06,0.06,0.0580665958620889,0.0,0.0,✅,✅,False
education index,q=.3,coef/value,0.05,0.05,0.0457050794252269,0.0,0.0,✅,✅,False
education index,q=.4,coef/value,0.04,0.04,0.0366415659621736,0.0,0.0,✅,✅,False
education index,q=.5,coef/value,0.06,0.06,0.0560656938958297,0.0,0.0,✅,✅,False
education index,q=.6,coef/value,0.01,0.01,0.0152569056453238,0.0,0.01,✅,⚠️,False
education index,q=.7,coef/value,0.01,0.01,0.0132273764399212,0.0,0.0,✅,✅,False
education index,q=.8,coef/value,0.04,0.04,0.0407786654754651,0.0,0.0,✅,✅,False
education index,q=.9,coef/value,0.04,0.04,0.0412767653893062,0.0,0.0,✅,✅,False
education index,q=.1,(SE/SD),0.06,0.09,,0.03,,⚠️,–,True
education index,q=.2,(SE/SD),0.06,0.07,,0.010000000000000009,,⚠️,–,True
education index,q=.3,(SE/SD),0.08,0.07,,0.009999999999999995,,⚠️,–,True
education index,q=.4,(SE/SD),0.07,0.07,,0.0,,✅,–,True
education index,q=.5,(SE/SD),0.06,0.05,,0.009999999999999995,,⚠️,–,True
