row,column,stat,paper,Stata re-run,StatsPAI,abs diff Stata,abs diff StatsPAI,Stata,SP,MC
food total (usd),(1) control mean,coef/value,104.46,104.46,104.45876145718702,0.0,0.0,✅,✅,False
food total (usd),(2) treatment,coef/value,19.46,19.46,19.460294906664643,0.0,0.0,✅,✅,False
food total (usd),(3) female rec.,coef/value,-1.81,-1.81,-1.8146011195692235,0.0,0.0,✅,✅,False
food total (usd),(4) monthly,coef/value,1.79,1.79,1.7900662765536757,0.0,0.0,✅,✅,False
food total (usd),(5) large,coef/value,8.28,8.28,8.277115859177433,0.0,0.0,✅,✅,False
food total (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
food total (usd),(1) control mean,(SE/SD),58.5,58.5,58.49784194669251,0.0,0.0,✅,✅,False
food total (usd),(2) treatment,(SE/SD),4.19,4.19,4.18526686634685,0.0,0.0,✅,✅,False
food total (usd),(3) female rec.,(SE/SD),7.37,7.37,7.370068776471772,0.0,0.0,✅,✅,False
food total (usd),(4) monthly,(SE/SD),7.42,7.42,7.418448248486853,0.0,0.0,✅,✅,False
food total (usd),(5) large,(SE/SD),7.59,7.59,7.585838939050859,0.0,0.0,✅,✅,False
cereals (usd),(1) control mean,coef/value,22.55,22.55,22.55020670869203,0.0,0.0,✅,✅,False
cereals (usd),(2) treatment,coef/value,2.23,2.23,2.228716471546193,0.0,0.0,✅,✅,False
cereals (usd),(3) female rec.,coef/value,0.37,0.37,0.3733943229136303,0.0,0.0,✅,✅,False
cereals (usd),(4) monthly,coef/value,-1.06,-1.06,-1.0609552666189734,0.0,0.0,✅,✅,False
cereals (usd),(5) large,coef/value,2.68,2.68,2.678485474694809,0.0,0.0,✅,✅,False
cereals (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
cereals (usd),(1) control mean,(SE/SD),17.18,17.18,17.181698265812738,0.0,0.0,✅,✅,False
cereals (usd),(2) treatment,(SE/SD),1.13,1.13,1.1325096305887368,0.0,0.0,✅,✅,False
cereals (usd),(3) female rec.,(SE/SD),1.87,1.87,1.8685116772020456,0.0,0.0,✅,✅,False
cereals (usd),(4) monthly,(SE/SD),1.86,1.86,1.86249436812252,0.0,0.0,✅,✅,False
cereals (usd),(5) large,(SE/SD),2.07,2.07,2.072966836948801,0.0,0.0,✅,✅,False
meat & fish (usd),(1) control mean,coef/value,12.97,12.97,12.965327291854663,0.0,0.0,✅,✅,False
meat & fish (usd),(2) treatment,coef/value,5.05,5.05,5.048629225475497,0.0,0.0,✅,✅,False
meat & fish (usd),(3) female rec.,coef/value,0.87,0.87,0.8715775705947495,0.0,0.0,✅,✅,False
meat & fish (usd),(4) monthly,coef/value,-2.93,-2.93,-2.933164862781422,0.0,0.0,✅,✅,False
meat & fish (usd),(5) large,coef/value,2.52,2.52,2.5161208000545416,0.0,0.0,✅,✅,False
meat & fish (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
meat & fish (usd),(1) control mean,(SE/SD),13.75,13.75,13.748255573128532,0.0,0.0,✅,✅,False
meat & fish (usd),(2) treatment,(SE/SD),1.01,1.01,1.0098395283776471,0.0,0.0,✅,✅,False
meat & fish (usd),(3) female rec.,(SE/SD),1.82,1.82,1.8161304230571709,0.0,0.0,✅,✅,False
