,asset_total_ppp1,cons_nondurable_ppp1,fs_hhfoodindexnew1,psy_index_z1
b_age,0.20207746578986865,0.2553789223180591,0.1797142102342847,0.17554534725717277
b_married,0.16874444368054642,0.22187648229849974,0.15513444534160126,0.1714781523800512
b_edu,0.15034850945994993,0.11774547490616194,0.14594339423737523,0.1294752430069738
b_children,0.11105237418537406,0.11601045690111969,0.14105048592484914,0.12163052976336822
b_hhsize,0.07661368142809945,0.09192239502349238,0.1079157265754293,0.11633551812882717
asset_total_ppp0,0.06792535847371357,0.07464719693889621,0.09153398256711862,0.07482646385688045
cons_total_ppp0,0.06644900309746091,0.048147213734986934,0.05621194872464761,0.06460657163267414
ent_wagelabor0,0.05732542576102137,0.03541482587978398,0.046791199829514615,0.05403754353356096
ent_ownfarm0,0.05420156099679735,0.020002095103730487,0.04670552336394886,0.04435576470145439
ent_nonagbusiness0,0.04526217712716818,0.01885493689526952,0.028999083201230756,0.02783713578509467
femaleres,0.0,0.0,0.0,0.01987172995394222
