="",="(1)",="(2)",="(3)",="(4)"
="",="Area of Land Purchased",="Area of Land Purchased",="Area of Land Purchased",="Area of Land Purchased"
="Princeling Firms",="0.078***",="0.073***",="0.075***",="0.078***"
="",="(0.008)",="(0.007)",="(0.007)",="(0.008)"
="PP*Transactions after 2012",="-0.022**",="",="",="-0.015"
="",="(0.006)",="",="",="(0.007)"
="Central Inspection",="",="0.038***",="",="0.025***"
="",="",="(0.002)",="",="(0.004)"
="PP*Central Inspection",="",="-0.053***",="",="-0.025***"
="",="",="(0.007)",="",="(0.007)"
="xi",="",="",="",=""
="",="",="",="",=""
="PP*Xi Appointed Officials",="",="",="-0.056***",="-0.036***"
="",="",="",="(0.006)",="(0.006)"
="Xi Appointed Officials",="",="",="0.036***",="0.028***"
="",="",="",="(0.002)",="(0.002)"
="Constant",="0.003***",="0.002***",="0.002***",="0.002***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="Observations",="11516622",="11516622",="11516622",="11516622"
="Adjusted R-squared",="0.032",="0.047",="0.052",="0.057"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
