="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover"
="Political Turnover",="",="",="",="",="",="",="",="",="",="",="",=""
="Princeling Purchase (=1)",="1.085***",="1.084***",="0.503***",="0.457***",="",="",="",="",="",="",="",=""
="",="(0.313)",="(0.300)",="(0.080)",="(0.078)",="",="",="",="",="",="",="",=""
="PP*Transactions after 2012",="-1.165**",="",="-0.802***",="",="",="",="",="",="",="",="",=""
="",="(0.560)",="",="(0.257)",="",="",="",="",="",="",="",="",=""
="PP*Central Inspection",="",="-2.769***",="",="-0.701*",="",="",="",="",="",="",="",=""
="",="",="(0.767)",="",="(0.406)",="",="",="",="",="",="",="",=""
="Princeling Discounts",="",="",="",="",="1.246***",="1.202***",="0.102***",="0.101***",="",="",="",=""
="",="",="",="",="",="(0.224)",="(0.212)",="(0.006)",="(0.006)",="",="",="",=""
="PD*Transactions after 2012",="",="",="",="",="-1.556***",="",="-0.131***",="",="",="",="",=""
="",="",="",="",="",="(0.394)",="",="(0.042)",="",="",="",="",=""
="PD*Central Inspection",="",="",="",="",="",="-2.344***",="",="-0.101",="",="",="",=""
="",="",="",="",="",="",="(0.530)",="",="(0.075)",="",="",="",=""
="Area of Land Purchased",="",="",="",="",="",="",="",="",="0.406***",="0.372***",="1.014***",="0.928***"
="",="",="",="",="",="",="",="",="",="(0.091)",="(0.088)",="(0.069)",="(0.066)"
="ALP*Transactions after 2012",="",="",="",="",="",="",="",="",="-0.772***",="",="-0.880***",=""
="",="",="",="",="",="",="",="",="",="(0.255)",="",="(0.155)",=""
="ALP*Central Inspection",="",="",="",="",="",="",="",="",="",="-1.822***",="",="0.044"
="",="",="",="",="",="",="",="",="",="",="(0.619)",="",="(0.095)"
="/",="",="",="",="",="",="",="",="",="",="",="",=""
="cut1",="-77.789**",="-67.650**",="43.485***",="43.646***",="-76.447**",="-62.611*",="51.507***",="51.423***",="-58.311*",="-40.723",="56.400***",="56.178***"
="",="(31.254)",="(31.990)",="(8.878)",="(8.873)",="(33.189)",="(33.617)",="(9.631)",="(9.616)",="(31.411)",="(31.456)",="(10.019)",="(9.882)"
="cut2",="-76.532**",="-66.293**",="44.794***",="44.950***",="-75.148**",="-61.258*",="52.853***",="52.765***",="-57.018*",="-39.453",="57.763***",="57.504***"
="",="(31.248)",="(31.987)",="(8.881)",="(8.876)",="(33.187)",="(33.619)",="(9.635)",="(9.620)",="(31.403)",="(31.453)",="(10.023)",="(9.886)"
="cut3",="-72.417**",="-62.098*",="48.606***",="48.751***",="-70.725**",="-56.784*",="57.069***",="56.971***",="-52.889*",="-35.260",="62.173***",="61.845***"
="",="(31.163)",="(31.907)",="(8.893)",="(8.889)",="(33.086)",="(33.536)",="(9.652)",="(9.636)",="(31.348)",="(31.407)",="(10.044)",="(9.907)"
="Observations",="380",="380",="2756",="2756",="382",="382",="2755",="2755",="382",="382",="2756",="2756"
="Adjusted R-squared",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
