="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)"
="Princeling Firms",="-0.808***",="-0.904***",="-0.844***",="-0.545***",="-0.666***",="-0.620***",="-0.808***",="-0.894***",="-0.835***"
="",="(0.025)",="(0.034)",="(0.033)",="(0.035)",="(0.043)",="(0.043)",="(0.030)",="(0.040)",="(0.038)"
="Princeling Firms*PSCM",="",="",="",="-0.442***",="-0.420***",="-0.396***",="",="",=""
="",="",="",="",="(0.037)",="(0.048)",="(0.049)",="",="",=""
="Princeling Firms*Retired",="",="",="",="",="",="",="-0.001",="-0.051",="-0.044"
="",="",="",="",="",="",="",="(0.056)",="(0.063)",="(0.058)"
="Constant",="5.745***",="5.912***",="5.687***",="5.746***",="5.916***",="5.693***",="5.745***",="5.912***",="5.686***"
="",="(0.034)",="(0.048)",="(0.051)",="(0.034)",="(0.048)",="(0.052)",="(0.034)",="(0.048)",="(0.051)"
="Observations",="1144507",="334232",="191896",="1144507",="334232",="191896",="1144507",="334232",="191896"
="Adjusted R-squared",="0.692",="0.727",="0.755",="0.692",="0.728",="0.756",="0.692",="0.727",="0.755"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
