="",="(1)",="(2)",="(3)"
="",="Log of Quantity of Land Purchased",="Log of Quantity of Land Purchased",="Log of Quantity of Land Purchased"
="Princeling Firms",="0.002***",="0.001**",="0.002***"
="",="(0.000)",="(0.000)",="(0.000)"
="Princeling Firms*PSCM",="",="0.031***",=""
="",="",="(0.004)",=""
="Princeling Firms*Retired",="",="",="-0.001"
="",="",="",="(0.001)"
="Constant",="0.005***",="0.005***",="0.005***"
="",="(0.000)",="(0.000)",="(0.000)"
="Observations",="5690984",="5690984",="5690984"
="Adjusted R-squared",="0.015",="0.016",="0.015"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
