="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="Political Turnover",="Political Turnover",="Promotion (=1)",="Political Turnover",="Political Turnover",="Political Turnover",="Political Turnover",="Promotion (=1)",="Political Turnover",="Political Turnover"
="main",="",="",="",="",="",="",="",="",="",=""
="Princeling Purchase (=1)",="0.652***",="0.742***",="0.114***",="",="",="0.018",="-0.016",="0.070",="",=""
="",="(0.229)",="(0.262)",="(0.040)",="",="",="(0.288)",="(0.314)",="(0.067)",="",=""
="Princeling Discounts",="",="",="",="0.814***",="",="",="",="",="0.181",=""
="",="",="",="",="(0.175)",="",="",="",="",="(0.175)",=""
="Area of Land Purchased",="",="",="",="",="0.324***",="",="",="",="",="-0.068"
="",="",="",="",="",="(0.084)",="",="",="",="",="(0.065)"
="Factional Ties",="",="0.232",="0.011",="0.118",="0.302",="",="-0.034",="-0.003",="-0.031",="-0.052"
="",="",="(0.209)",="(0.033)",="(0.212)",="(0.213)",="",="(0.208)",="(0.045)",="(0.205)",="(0.206)"
="GDP Growth",="",="-1.438",="-0.195",="-0.444",="-0.032",="",="6.188***",="1.250***",="6.374***",="6.061***"
="",="",="(2.484)",="(0.381)",="(2.554)",="(2.530)",="",="(1.977)",="(0.443)",="(1.981)",="(1.983)"
="Tax Revenue Growth",="",="1.954",="0.029",="1.561",="2.403*",="",="0.262",="0.031",="0.207",="0.232"
="",="",="(1.230)",="(0.195)",="(1.241)",="(1.262)",="",="(1.070)",="(0.229)",="(1.058)",="(1.059)"
="/",="",="",="",="",="",="",="",="",="",=""
="cut1",="-2.764***",="-76.813**",="",="-91.521***",="-50.102",="-2.873***",="-21.663",="",="-23.439",="-24.822"
="",="(0.563)",="(31.077)",="",="(32.208)",="(30.800)",="(0.490)",="(24.106)",="",="(24.108)",="(24.215)"
="cut2",="-1.680***",="-75.583**",="",="-90.331***",="-48.902",="-1.787***",="-20.500",="",="-22.281",="-23.643"
="",="(0.531)",="(31.071)",="",="(32.205)",="(30.796)",="(0.450)",="(24.104)",="",="(24.107)",="(24.212)"
="cut3",="1.842***",="-71.513**",="",="-86.125***",="-44.775",="1.095**",="-17.467",="",="-19.228",="-20.595"
="",="(0.538)",="(30.987)",="",="(32.090)",="(30.741)",="(0.441)",="(24.094)",="",="(24.095)",="(24.200)"
="Observations",="399",="380",="380",="382",="382",="399",="388",="388",="390",="390"
="Adjusted R-squared",="",="",="0.272",="",="",="",="",="0.100",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
