="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)",="united land price (logged)"
="Princeling Firms",="-0.907***",="-0.920***",="-0.825***",="-0.858***",="-0.870***",="-0.896***",="-0.907***",="-0.920***",="-0.818***",="-0.847***"
="",="(0.029)",="(0.040)",="(0.024)",="(0.032)",="(0.028)",="(0.035)",="(0.029)",="(0.040)",="(0.023)",="(0.028)"
="princeling firm*transaction after 2012",="0.318***",="0.257***",="",="",="",="",="0.140*",="0.093",="",=""
="",="(0.047)",="(0.058)",="",="",="",="",="(0.052)",="(0.054)",="",=""
="princeling firm*central inspection",="",="",="0.819***",="0.695***",="",="",="0.504***",="0.420***",="",=""
="",="",="",="(0.124)",="(0.139)",="",="",="(0.079)",="(0.096)",="",=""
="princeling firm*Xi appointed officials",="",="",="",="",="0.614***",="0.572***",="0.449***",="0.447***",="",=""
="",="",="",="",="",="(0.055)",="(0.051)",="(0.064)",="(0.059)",="",=""
="princeling firm*pre-2012 inspection",="",="",="",="",="",="",="",="",="0.109",="0.037"
="",="",="",="",="",="",="",="",="",="(0.074)",="(0.070)"
="Constant",="5.745***",="5.685***",="5.745***",="5.687***",="5.745***",="5.688***",="5.745***",="5.687***",="5.745***",="5.687***"
="",="(0.034)",="(0.051)",="(0.034)",="(0.051)",="(0.034)",="(0.051)",="(0.034)",="(0.051)",="(0.034)",="(0.051)"
="Observations",="1144507",="191896",="1144507",="191896",="1144507",="191896",="1144507",="191896",="1144507",="191896"
="Adjusted R-squared",="0.692",="0.755",="0.692",="0.755",="0.692",="0.755",="0.692",="0.756",="0.692",="0.755"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
