year,coef,se,ci_lo,ci_hi,N
2006,0.0004896892192814855,0.0003017543780673143,-0.00010174936173045054,0.0010811278002934217,5690984
2007,0.0020591238502517518,0.0009304491231774929,0.00023544356882386572,0.003882804131679638,5690984
2008,0.0028319463553583258,0.0008183399974917595,0.0012279999602744771,0.004435892750442174,5690984
2009,0.00512366162021293,0.001152224116101197,0.002865302352654584,0.007382020887771276,5690984
2010,0.0053878227293052165,0.0014059690522594105,0.002632123386876772,0.008143522071733661,5690984
2011,0.005919418812708546,0.0015851904220875032,0.00281244558541704,0.009026392040000053,5690984
2012,0.0034706185289200735,0.0012028410631661401,0.001113050045114439,0.005828187012725708,5690984
2013,0.001157970470685763,0.0009487537018184257,-0.0007015867848783513,0.0030175277262498774,5690984
2014,0.0013094948027373647,0.0006396468399530502,5.578699642938643e-05,0.002563202609045343,5690984
2015,0.001609405182780166,0.0006029441518763805,0.00042763464510246025,0.0027911757204578717,5690984
2016,0.0008394420601463647,0.00034230331740012443,0.00016852755804212078,0.0015103565622506085,5690984
