type,treated,control,estimate,weight
Later vs Earlier Treated,2014.0,2013.0,0.10922193908536036,0.05060622034791777
Later vs Earlier Treated,2015.0,2013.0,0.410957260200608,0.016868740115972596
Later vs Earlier Treated,2016.0,2013.0,0.1593116379834208,0.012651555086979445
Earlier vs Later Treated,2013.0,2014.0,0.1560383087478803,0.10121244069583553
Later vs Earlier Treated,2015.0,2014.0,0.2511792216366592,0.004217185028993147
Later vs Earlier Treated,2016.0,2014.0,0.22193352151768161,0.004217185028993147
Earlier vs Later Treated,2013.0,2015.0,0.14467779368667982,0.05060622034791778
Earlier vs Later Treated,2014.0,2015.0,-0.011047786062810533,0.014760147601476013
Later vs Earlier Treated,2016.0,2015.0,-0.23116469330970313,0.0005271481286241434
Earlier vs Later Treated,2013.0,2016.0,0.13482318332433965,0.07590933052187668
Earlier vs Later Treated,2014.0,2016.0,0.09652952139876772,0.02952029520295202
Earlier vs Later Treated,2015.0,2016.0,0.27446338023859457,0.004217185028993147
Treated vs Untreated,2013.0,Never,0.26402052575122137,0.40484976278334217
Treated vs Untreated,2014.0,Never,0.18042299884254404,0.17712177121771217
Treated vs Untreated,2015.0,Never,0.46324816557088355,0.033737480231945186
Treated vs Untreated,2016.0,Never,0.36154505394139336,0.018977332630469166
