py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
12006,-0.7981493871924956,0.028327495544895838,1,2006,3,2013,2014,0.0
12007,-0.7228331252572571,0.11114442193488909,1,2007,46,2013,2014,0.0
12008,-1.0272041661244518,0.06995968882598416,1,2008,56,2013,2014,0.0
12009,-1.0600225700890151,0.10721073816885865,1,2009,34,2013,2014,0.0
12010,-1.2699027255993858,0.14486866660604855,1,2010,28,2013,2014,0.0
12011,-0.5448543600001052,0.2704702002133943,1,2011,14,2013,2014,0.0
12012,-1.6606887397798142,0.20844456905340805,1,2012,14,2013,2014,0.0
12013,0.11200789742153239,0.5298380227248277,1,2013,9,2013,2014,1.0
12014,0.09569537290228314,0.39163021187670694,1,2014,6,2013,2014,1.0
12015,-1.3791838517343988,0.12206631046812758,1,2015,3,2013,2014,1.0
22007,-2.2713804351567317,0.25297662249642694,2,2007,10,2013,2014,0.0
22008,-1.2383419598456167,0.411865127536993,2,2008,8,2013,2014,0.0
22009,-1.9777333344892964,0.23274694876070037,2,2009,17,2013,2014,0.0
22010,-1.3334504021593254,0.1556451787378457,2,2010,33,2013,2014,0.0
22011,-1.1572016020378562,0.2273589510653638,2,2011,15,2013,2014,0.0
22012,-1.2006269725876666,0.4456635558248109,2,2012,7,2013,2014,0.0
22013,-0.9078442185973657,0.09786081761402209,2,2013,10,2013,2014,1.0
22015,-0.22363301522148982,0.11542355226579618,2,2015,3,2013,2014,1.0
32006,-0.3281532752031506,0.4799346045838593,3,2006,3,2014,2014,0.0
32007,-1.088976349476469,0.10046565004367607,3,2007,40,2014,2014,0.0
32008,-0.9036389129534097,0.0718935559346947,3,2008,64,2014,2014,0.0
32009,-0.6739040243760163,0.0822479074585666,3,2009,57,2014,2014,0.0
32010,-0.9074006366327689,0.08464512559878107,3,2010,82,2014,2014,0.0
32011,-0.8650521647767709,0.07957620976088361,3,2011,91,2014,2014,0.0
32012,-0.719585762166474,0.13017528498890832,3,2012,27,2014,2014,0.0
32013,-0.6619549992207584,0.06194576289751202,3,2013,84,2014,2014,0.0
32014,-0.8595621408668751,0.13250004855059275,3,2014,35,2014,2014,1.0
32015,-0.4630327776328344,0.11709305411815327,3,2015,32,2014,2014,1.0
32016,-0.03216960471089003,0.07872087205877146,3,2016,7,2014,2014,1.0
42007,-1.3974256239465876,0.2013105177751179,4,2007,14,2013,2013,0.0
42008,-1.021454341644287,0.18888622259053686,4,2008,9,2013,2013,0.0
42009,-0.8228747837159168,0.08407349096744289,4,2009,25,2013,2013,0.0
42010,-0.956033660554386,0.0537767785989328,4,2010,39,2013,2013,0.0
42011,-0.5947298630566523,0.08222361807436647,4,2011,35,2013,2013,0.0
