spec,M,ci_lower,ci_upper,rejects_zero
rm_e0,0.0,0.111214,0.449158,True
rm_e0,0.25,0.047363,0.513009,True
rm_e0,0.5,-0.016488,0.57686,False
rm_e0,1.0,-0.144191,0.704563,False
rm_e0,1.5,-0.271893,0.832265,False
rm_e0,2.0,-0.399596,0.959968,False
sd_e0,0.0,0.111214,0.449158,True
sd_e0,0.043106,0.068108,0.492264,True
sd_e0,0.086212,0.025002,0.53537,True
sd_e0,0.129318,-0.018104,0.578475,False
sd_e0,0.172423,-0.061209,0.621581,False
sd_e0,0.258635,-0.147421,0.707793,False
rm_e1,0.0,0.273061,0.586895,True
rm_e1,0.25,0.20921,0.650747,True
rm_e1,0.5,0.145359,0.714598,True
rm_e1,1.0,0.017657,0.8423,True
rm_e1,1.5,-0.110046,0.970003,False
rm_e1,2.0,-0.237748,1.097705,False
sd_e1,0.0,0.273061,0.586895,True
sd_e1,0.040031,0.193,0.666957,True
sd_e1,0.080061,0.112939,0.747018,True
sd_e1,0.120092,0.032878,0.827079,True
sd_e1,0.160122,-0.047183,0.90714,False
sd_e1,0.240184,-0.207306,1.067262,False
rm_e2,0.0,0.326645,0.67308,True
rm_e2,0.25,0.262794,0.736931,True
rm_e2,0.5,0.198943,0.800783,True
rm_e2,1.0,0.071241,0.928485,True
rm_e2,1.5,-0.056462,1.056188,False
rm_e2,2.0,-0.184164,1.18389,False
sd_e2,0.0,0.326645,0.67308,True
sd_e2,0.044189,0.194079,0.805647,True
sd_e2,0.088378,0.061512,0.938214,True
sd_e2,0.132567,-0.071055,1.070781,False
sd_e2,0.176756,-0.203622,1.203347,False
sd_e2,0.265134,-0.468755,1.468481,False
rm_e3,0.0,0.544423,1.053705,True
rm_e3,0.25,0.480572,1.117556,True
rm_e3,0.5,0.41672,1.181407,True
rm_e3,1.0,0.289018,1.30911,True
rm_e3,1.5,0.161315,1.436812,True
rm_e3,2.0,0.033613,1.564515,True
sd_e3,0.0,0.544423,1.053705,True
sd_e3,0.064961,0.28458,1.313548,True
sd_e3,0.129921,0.024737,1.57339,True
sd_e3,0.194882,-0.235105,1.833233,False
sd_e3,0.259843,-0.494948,2.093076,False
sd_e3,0.389764,-1.014633,2.612761,False
