sample,var,N,mean
All,lnprice,1151357,5.863532066345215
All,princeling,1208621,0.016392234712839127
All,quality,1208621,12.969276428222656
All,lnarea,1184522,4.812897205352783
All,salemethod=1 (Bilateral agreement),226910,0.1877428904511836
All,salemethod=2 (English auction),99854,0.0826181242920651
All,salemethod=3 (Invited bidding),14281,0.011815945610741499
All,salemethod=4 (Listing auction),867576,0.7178230396460098
<=1500m,lnprice,335860,5.9712018966674805
<=1500m,princeling,359539,0.05510389804840088
<=1500m,quality,359539,13.8756103515625
<=1500m,lnarea,349929,4.691389083862305
<=1500m,salemethod=1 (Bilateral agreement),82733,0.23010855567824354
<=1500m,salemethod=2 (English auction),29096,0.08092585227193712
<=1500m,salemethod=3 (Invited bidding),4698,0.013066732677122649
<=1500m,salemethod=4 (Listing auction),243012,0.6758988593726967
<=500m,lnprice,193053,5.74795389175415
<=500m,princeling,207564,0.09545008093118668
<=500m,quality,207564,13.448372840881348
<=500m,lnarea,201515,4.689604759216309
<=500m,salemethod=1 (Bilateral agreement),44905,0.2163429111021179
<=500m,salemethod=2 (English auction),14655,0.07060472914378216
<=500m,salemethod=3 (Invited bidding),2627,0.012656337322464397
<=500m,salemethod=4 (Listing auction),145377,0.7003960224316356
