table,col,var,coef,se,N,adj_r2,spec,loglik,sp_converged_flag,seconds
IX,1,princeling,0.4689623675089732,0.0700904040937694,3237,,"oprobit promote ~ princeling + i.year i.prefid (scaled, maxiter=1000)",-1309.7372265620393,True,18385.7
IX,2,gdpgrowth,-0.31545604358143164,0.5594166520758436,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,princeling,0.43212400536218964,0.07653387906215355,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,revgrowth,-0.45546744801712813,0.3984914138368132,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,ties,0.16907645279504852,0.07348611559421407,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,3,gdpgrowth,-0.09892069833241325,0.08663632916767937,2756,0.04868824159996332,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,3,princeling,0.0876884065317916,0.012357071022063725,2756,0.04868824159996332,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,3,revgrowth,0.0033214718525215897,0.06140311863110255,2756,0.04868824159996332,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,3,ties,0.011740172812301731,0.011279482303613142,2756,0.04868824159996332,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,4,discount,0.10014232031772129,0.005937958148125658,2755,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-938.0664647428313,False,8870.9
IX,4,gdpgrowth,-0.6993580526896438,0.6162795850110258,2755,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-938.0664647428313,False,8870.9
IX,4,revgrowth,-0.5875989520208494,0.4286031943940039,2755,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-938.0664647428313,False,8870.9
IX,4,ties,0.19082717462043164,0.07967799323951558,2755,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-938.0664647428313,False,8870.9
IX,5,gdpgrowth,-0.685884258325699,0.6498636893874209,2756,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.6648984919356,True,13549.7
IX,5,lnarea,0.9269891860768386,0.06579243239140499,2756,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.6648984919356,True,13549.7
IX,5,revgrowth,-0.2982969761171128,0.4439944303637675,2756,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.6648984919356,True,13549.7
IX,5,ties,0.12888852819054594,0.0819334387658508,2756,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.6648984919356,True,13549.7
IX,6,princeling,0.079061879541108,0.09435820065120161,3048,,"oprobit promote ~ princeling + i.year i.prefid (scaled, maxiter=1000)",-874.6976714800503,True,17678.1
IX,7,gdpgrowth,2.7981743356386524,0.7605018867225771,2569,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-665.6666164947219,True,10149.9
IX,7,princeling,0.0927032247407022,0.10847932849699203,2569,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-665.6666164947219,True,10149.9
IX,7,revgrowth,1.0969987136545094,0.5226585509260017,2569,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-665.6666164947219,True,10149.9
IX,7,ties,-0.026944966074943132,0.10059174805814523,2569,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-665.6666164947219,True,10149.9
IX,8,gdpgrowth,0.36520472198615744,0.07600514055790256,2569,0.3741832109403679,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,8,princeling,-0.007869731714555548,0.011206600044474027,2569,0.3741832109403679,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,8,revgrowth,0.0644301244194262,0.05243611487844433,2569,0.3741832109403679,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,8,ties,-0.014163892707348509,0.00988085354098863,2569,0.3741832109403679,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,9,discount,0.011665361686368298,0.008106987659477389,2568,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-664.9807414845104,False,8503.6
IX,9,gdpgrowth,2.7259456496318366,0.7626400173273367,2568,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-664.9807414845104,False,8503.6
