table,col,var,coef,se,N,adj_r2,spec,loglik,sp_converged_flag,seconds
VIII,1,princeling,0.6524093845867581,0.22886313362432312,399,,"oprobit promote ~ princeling + i.year i.provid (scaled, maxiter=1000)",-196.65624686207735,True,10.0
VIII,2,princeling,0.7421999197799198,0.26199249586389806,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,ties,0.23162814434613843,0.2087780921974783,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,gdpgrowth,-1.4380376174248464,2.4831369084321664,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,revgrowth,1.9536193829056319,1.2304138435701943,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,3,princeling,0.11358769150782708,0.03968664499443348,380,0.27187169610334205,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,ties,0.010920802918146292,0.03253234140114018,380,0.27187169610334205,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,gdpgrowth,-0.19535920418008015,0.3808256467326567,380,0.27187169610334205,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,revgrowth,0.028514045966096437,0.19465538496011478,380,0.27187169610334205,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,4,discount,0.8137036793176918,0.17542054682645916,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,ties,0.1176638029154542,0.21159772283622966,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,gdpgrowth,-0.4436460064478158,2.554104678004745,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,revgrowth,1.5607119191973402,1.2412385007823372,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,5,lnarea,0.3236281077354428,0.08425226291990685,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,ties,0.30193947371382995,0.21345392757569265,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,gdpgrowth,-0.0319014478073346,2.5305222577545394,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,revgrowth,2.4031839370224803,1.2616889126778894,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,6,princeling,0.017658518378366895,0.28819202116793136,399,,"oprobit promote ~ princeling + i.year i.provid (scaled, maxiter=1000)",-239.52671944026625,True,8.5
VIII,7,princeling,-0.016014962499239838,0.31421848664033114,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946382,False,11.8
VIII,7,ties,-0.03378864987258534,0.20793278886013591,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946382,False,11.8
VIII,7,gdpgrowth,6.188173774214166,1.97743851111984,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946382,False,11.8
VIII,7,revgrowth,0.2622348289325382,1.070223071977826,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946382,False,11.8
VIII,8,princeling,0.06991546249114058,0.06718028240486003,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,ties,-0.0029745845090348127,0.04525245941693783,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,gdpgrowth,1.250219567875507,0.443169179026746,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,revgrowth,0.03144348716644842,0.22870074714452338,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,9,discount,0.1811757052190819,0.17529814705841174,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230738,True,11.0
VIII,9,ties,-0.03106831167356935,0.20530693190828084,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230738,True,11.0
VIII,9,gdpgrowth,6.374189673786614,1.9808876995478701,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230738,True,11.0
VIII,9,revgrowth,0.20708004089382182,1.0580111484225585,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230738,True,11.0
VIII,10,lnarea,-0.06804799431434425,0.06474579878028984,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
VIII,10,ties,-0.052273519097969685,0.20580940783650098,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
