table,col,var,coef,se,N,adj_r2,loglik,iters,seconds,spec
VIII,1,princeling,0.6524094262184564,0.22885615899772627,399,,-196.65624686205882,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,2,princeling,0.742181079119294,0.262018778322367,380,,-166.21623113179203,7.0,0.02,analytic-Newton ordered probit (NOT StatsPAI)
VIII,2,ties,0.2316299825876745,0.20878771736810983,380,,-166.21623113179203,7.0,0.02,analytic-Newton ordered probit (NOT StatsPAI)
VIII,2,gdpgrowth,-1.4381824854482406,2.483616400261974,380,,-166.21623113179203,7.0,0.02,analytic-Newton ordered probit (NOT StatsPAI)
VIII,2,revgrowth,1.9535620713118138,1.2304815566125809,380,,-166.21623113179203,7.0,0.02,analytic-Newton ordered probit (NOT StatsPAI)
VIII,3,princeling,0.11358769150782708,0.03968664499443348,380,0.27187169610334205,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,3,ties,0.010920802918146292,0.03253234140114018,380,0.27187169610334205,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,3,gdpgrowth,-0.19535920418008015,0.3808256467326567,380,0.27187169610334205,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,3,revgrowth,0.028514045966096437,0.19465538496011478,380,0.27187169610334205,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,4,discount,0.8136881991769245,0.1754153237467664,382,,-159.86202223498302,7.0,0.03,analytic-Newton ordered probit (NOT StatsPAI)
VIII,4,ties,0.11766648086612147,0.2115997636525061,382,,-159.86202223498302,7.0,0.03,analytic-Newton ordered probit (NOT StatsPAI)
VIII,4,gdpgrowth,-0.44381941090347315,2.55391858255123,382,,-159.86202223498302,7.0,0.03,analytic-Newton ordered probit (NOT StatsPAI)
VIII,4,revgrowth,1.560652803396346,1.2412276988559656,382,,-159.86202223498302,7.0,0.03,analytic-Newton ordered probit (NOT StatsPAI)
VIII,5,lnarea,0.3236341548908934,0.08422995850094515,382,,-163.16655412757387,7.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,5,ties,0.3019443163304094,0.2134473298328659,382,,-163.16655412757387,7.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,5,gdpgrowth,-0.032080054495441476,2.5303058675296097,382,,-163.16655412757387,7.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,5,revgrowth,2.403136429184763,1.2616418133973133,382,,-163.16655412757387,7.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,6,princeling,0.017658988658018602,0.28818449672550756,399,,-239.5267194402586,5.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,7,princeling,-0.01601340199826523,0.3142202609219522,388,,-223.01326015875117,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,7,ties,-0.033788174141839836,0.20792886910585584,388,,-223.01326015875117,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,7,gdpgrowth,6.187949361549333,1.9772717154013422,388,,-223.01326015875117,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,7,revgrowth,0.2622202001616959,1.070220960316265,388,,-223.01326015875117,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,8,princeling,0.06991546249114058,0.06718028240486003,388,0.1003594101054136,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,8,ties,-0.0029745845090348127,0.04525245941693783,388,0.1003594101054136,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,8,gdpgrowth,1.250219567875507,0.443169179026746,388,0.1003594101054136,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,8,revgrowth,0.03144348716644842,0.22870074714452338,388,0.1003594101054136,,,,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid"
VIII,9,discount,0.18117284801692637,0.17529877944998137,390,,-222.77654832810657,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,9,ties,-0.031067418593133205,0.20531477108003157,390,,-222.77654832810657,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,9,gdpgrowth,6.373967155832398,1.9809907902918895,390,,-222.77654832810657,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,9,revgrowth,0.20707260636367394,1.0580139650061227,390,,-222.77654832810657,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,10,lnarea,-0.0680410906039416,0.06474582773217753,390,,-222.76083618327993,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,10,ties,-0.05227137017682108,0.2058176610138877,390,,-222.76083618327993,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,10,gdpgrowth,6.060926957184705,1.98294135055988,390,,-222.76083618327993,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
VIII,10,revgrowth,0.23200780420184014,1.0589578608131254,390,,-222.76083618327993,6.0,0.01,analytic-Newton ordered probit (NOT StatsPAI)
