group,stat,paper,ours,match
Provincial party secretaries,promote==3 count,35,35,True
Provincial party secretaries,promote==2 count,328,328,True
Provincial party secretaries,promote==1 count,35,35,True
Provincial party secretaries,promote==0 count,5,5,True
Provincial party secretaries,princeling,399 / 0.596 / 0.491,399 / 0.596 / 0.491,True
Provincial party secretaries,discount,403 / 0.685 / 0.686,403 / 0.685 / 0.686,True
Provincial party secretaries,lnarea,401 / 0.904 / 1.286,401 / 0.904 / 1.286,True
Provincial party secretaries,ties,395 / 0.686 / 0.465,395 / 0.686 / 0.465,True
Provincial party secretaries,gdpgrowth,403 / 0.137 / 0.064,403 / 0.137 / 0.064,True
Provincial party secretaries,lngdppc,403 / 7.936 / 0.664,403 / 7.936 / 0.664,True
Provincial party secretaries,lnpop,403 / 8.085 / 0.857,403 / 8.085 / 0.857,True
Provincial party secretaries,revgrowth,390 / 0.172 / 0.102,390 / 0.172 / 0.102,True
Provincial party secretaries,age,403 / 59.859 / 4.258,403 / 59.859 / 4.258,True
Provincial party secretaries,age2,403 / 3601.129 / 495.371,403 / 3601.129 / 495.371,True
Provincial party secretaries,eduyear,403 / 17.938 / 1.918,403 / 17.938 / 1.918,True
Provincial governors,promote==3 count,42,42,True
Provincial governors,promote==2 count,324,324,True
Provincial governors,promote==1 count,33,33,True
Provincial governors,promote==0 count,4,4,True
Provincial governors,princeling,399 / 0.654 / 0.476,399 / 0.654 / 0.476,True
Provincial governors,discount,403 / 0.617 / 0.576,403 / 0.617 / 0.576,True
Provincial governors,lnarea,401 / 0.895 / 1.285,401 / 0.895 / 1.285,True
Provincial governors,ties,403 / 0.591 / 0.492,403 / 0.591 / 0.492,True
Provincial governors,gdpgrowth,403 / 0.137 / 0.064,403 / 0.137 / 0.064,True
Provincial governors,lngdppc,403 / 7.936 / 0.664,403 / 7.936 / 0.664,True
Provincial governors,lnpop,403 / 8.085 / 0.857,403 / 8.085 / 0.857,True
Provincial governors,revgrowth,390 / 0.175 / 0.103,390 / 0.175 / 0.103,True
Provincial governors,age,403 / 58.134 / 3.864,403 / 58.134 / 3.864,True
Provincial governors,age2,403 / 3394.457 / 439.508,403 / 3394.457 / 439.508,True
Provincial governors,eduyear,403 / 18.007 / 1.818,403 / 18.007 / 1.818,True
Municipal party secretaries,promote==3 count,209,209,True
Municipal party secretaries,promote==2 count,2836,2836,True
Municipal party secretaries,promote==1 count,177,177,True
Municipal party secretaries,promote==0 count,15,15,True
Municipal party secretaries,princeling,3663 / 0.497 / 0.500,3663 / 0.497 / 0.500,True
Municipal party secretaries,discount,3597 / 3.232 / 5.322,3597 / 3.232 / 5.322,True
Municipal party secretaries,lnarea,3657 / 1.704 / 1.468,3657 / 1.704 / 1.468,True
Municipal party secretaries,ties,3663 / 0.616 / 0.486,3663 / 0.616 / 0.486,True
Municipal party secretaries,gdpgrowth,3511 / 0.151 / 0.076,3511 / 0.151 / 0.076,True
Municipal party secretaries,lngdppc,3556 / 9.968 / 0.840,3556 / 9.968 / 0.840,True
Municipal party secretaries,lnpop,3656 / 5.641 / 0.850,3656 / 5.641 / 0.850,True
Municipal party secretaries,revgrowth,3090 / 0.150 / 0.105,3090 / 0.150 / 0.105,True
Municipal party secretaries,age,3564 / 53.049 / 3.621,3564 / 53.049 / 3.621,True
Municipal party secretaries,age2,3564 / 2827.256 / 381.029,3564 / 2827.256 / 381.029,True
Municipal party secretaries,eduyear,3582 / 17.555 / 2.156,3582 / 17.555 / 2.156,True
Municipal mayors,promote==3 count,204,204,True
Municipal mayors,promote==2 count,2655,2655,True
Municipal mayors,promote==1 count,166,166,True
Municipal mayors,promote==0 count,23,23,True
Municipal mayors,princeling,3663 / 0.480 / 0.500,3663 / 0.480 / 0.500,True
Municipal mayors,discount,3605 / 3.224 / 5.318,3605 / 3.224 / 5.318,True
Municipal mayors,lnarea,3661 / 1.579 / 1.287,3661 / 1.579 / 1.287,True
Municipal mayors,ties,3663 / 0.616 / 0.486,3663 / 0.616 / 0.486,True
Municipal mayors,gdpgrowth,3511 / 0.151 / 0.076,3511 / 0.151 / 0.076,True
Municipal mayors,lngdppc,3556 / 9.968 / 0.840,3556 / 9.968 / 0.840,True
Municipal mayors,lnpop,3656 / 5.641 / 0.850,3656 / 5.641 / 0.850,True
Municipal mayors,revgrowth,3090 / 0.150 / 0.105,3090 / 0.150 / 0.105,True
Municipal mayors,age,3577 / 51.098 / 3.939,3577 / 51.098 / 3.939,True
Municipal mayors,age2,3577 / 2626.469 / 400.419,3577 / 2626.469 / 400.419,True
Municipal mayors,eduyear,3603 / 17.279 / 2.107,3603 / 17.279 / 2.107,True
