table,col,var,coef,se,N,adj_r2,spec
X,1,princeling,-0.9067728183657988,0.02883554229885751,1144507,0.6918289066720622,lnprice ~ princeling + pp1 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,1,pp1,0.3178078337390873,0.04693616333384153,1144507,0.6918289066720622,lnprice ~ princeling + pp1 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,2,princeling,-0.9200641794831093,0.03971399647519421,191896,0.7551576228669926,lnprice ~ princeling + pp1 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,2,pp1,0.2570025786424629,0.05845538019707952,191896,0.7551576228669926,lnprice ~ princeling + pp1 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,3,princeling,-0.82533184210683,0.024120236871196247,1144507,0.6917796378669842,lnprice ~ princeling + pp2 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,3,pp2,0.8193260918260288,0.12404378912595143,1144507,0.6917796378669842,lnprice ~ princeling + pp2 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,4,princeling,-0.8577395975555023,0.03181733605731214,191896,0.7550695752894712,lnprice ~ princeling + pp2 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,4,pp2,0.6952202175186265,0.13909365484388114,191896,0.7550695752894712,lnprice ~ princeling + pp2 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,5,princeling,-0.8696548149224035,0.028486466228212857,1144507,0.6919085353502534,lnprice ~ princeling + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,5,pp3,0.6142391010421333,0.055154277222573975,1144507,0.6919085353502534,lnprice ~ princeling + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,6,princeling,-0.8959195237254174,0.03545293513265312,191896,0.7554889275183451,lnprice ~ princeling + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,6,pp3,0.5723981426167045,0.05078028874127435,191896,0.7554889275183451,lnprice ~ princeling + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,7,princeling,-0.9070810548531769,0.028850470797053183,1144507,0.6919670345003481,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,7,pp1,0.13975673683687723,0.052459515040598106,1144507,0.6919670345003481,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,7,pp2,0.504093450992122,0.07914536517635283,1144507,0.6919670345003481,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,7,pp3,0.44882397104817034,0.06440579347933299,1144507,0.6919670345003481,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,8,princeling,-0.9204895867397397,0.03959468237781546,191896,0.7556216285987801,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,8,pp1,0.09317922474711599,0.053612321802312686,191896,0.7556216285987801,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,8,pp2,0.42024766946032216,0.09556457814081494,191896,0.7556216285987801,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,8,pp3,0.4474718541277362,0.058962863026102715,191896,0.7556216285987801,lnprice ~ princeling + pp1 + pp2 + pp3 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,9,princeling,-0.8175927859301596,0.022793460662521803,1144507,0.6916941033193877,lnprice ~ princeling + pp4 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,9,pp4,0.1090048762432177,0.0741483691136801,1144507,0.6916941033193877,lnprice ~ princeling + pp4 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=all
X,10,princeling,-0.8474203731496299,0.027821680100745764,191896,0.7548119685837876,lnprice ~ princeling + pp4 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
X,10,pp4,0.03651456706257021,0.06980449077775287,191896,0.7548119685837876,lnprice ~ princeling + pp4 + quality + lnarea | cityyearusage + ind + month + salemethod + state + size; CRV1 provid+firmid; sample=near500
