table,col,var,coef,se,N,adj_r2,spec
XI,1,princeling,0.07785670844350745,0.007987143095853851,11516622,0.032287737639231984,sp.hdfe_ols lnarea ~ princeling + pp1 | provid+year+state+size; cluster provid firmid
XI,1,pp1,-0.02193537843469969,0.006478032663536666,11516622,0.032287737639231984,sp.hdfe_ols lnarea ~ princeling + pp1 | provid+year+state+size; cluster provid firmid
XI,2,princeling,0.07302350207668262,0.006644731516239906,11516622,0.04682960400279701,sp.hdfe_ols lnarea ~ princeling + inspection + pp2 | provid+year+state+size; cluster provid firmid
XI,2,inspection,0.03823514668150095,0.0015584594069479824,11516622,0.04682960400279701,sp.hdfe_ols lnarea ~ princeling + inspection + pp2 | provid+year+state+size; cluster provid firmid
XI,2,pp2,-0.05335438485710685,0.006770963726307861,11516622,0.04682960400279701,sp.hdfe_ols lnarea ~ princeling + inspection + pp2 | provid+year+state+size; cluster provid firmid
XI,3,princeling,0.0752218002191395,0.00724209836455989,11516622,0.051533701825442035,sp.hdfe_ols lnarea ~ princeling + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,3,xi,0.03599150961101656,0.0021466270360851513,11516622,0.051533701825442035,sp.hdfe_ols lnarea ~ princeling + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,3,pp3,-0.05612307357373285,0.006020709585142319,11516622,0.051533701825442035,sp.hdfe_ols lnarea ~ princeling + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,princeling,0.0778422910322211,0.007994648623416872,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,pp1,-0.01467250374701773,0.0074811283121120455,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,inspection,0.024837955009667987,0.003741073304805456,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,pp2,-0.024932864811722247,0.006591332914423529,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,xi,0.02801812484503379,0.0024627832244570515,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
XI,4,pp3,-0.035524316046272805,0.006106932546456835,11516622,0.056771699946696175,sp.hdfe_ols lnarea ~ princeling + pp1 + inspection + pp2 + xi + pp3 | provid+year+state+size; cluster provid firmid
