table,col,var,coef,se,N,adj_r2,spec,loglik,sp_converged_flag,seconds
XII,1,gdpgrowth,-1.048359957451995,2.4967155386387065,380,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.99843540183815,False,18.8
XII,1,pp1,-1.164635709120355,0.56041023579677,380,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.99843540183815,False,18.8
XII,1,princeling,1.084977387949733,0.3128195064958589,380,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.99843540183815,False,18.8
XII,1,revgrowth,1.6880153728815004,1.24122127080388,380,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.99843540183815,False,18.8
XII,1,ties,0.21375795597871025,0.21113747925254261,380,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.99843540183815,False,18.8
XII,2,gdpgrowth,1.3151387381011075,2.685315467849572,380,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.4697764069846,True,20.6
XII,2,pp2,-2.768877899019567,0.7673506830335101,380,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.4697764069846,True,20.6
XII,2,princeling,1.0838441148131592,0.3001620462427453,380,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.4697764069846,True,20.6
XII,2,revgrowth,1.4262108033584862,1.2656318501266675,380,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.4697764069846,True,20.6
XII,2,ties,0.342341427114731,0.21674517233513887,380,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.4697764069846,True,20.6
XII,3,gdpgrowth,-0.24735421525720525,0.561294456982023,2756,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1093.0175315962879,False,16032.0
XII,3,pp1,-0.8017111168634655,0.25664928814402255,2756,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1093.0175315962879,False,16032.0
XII,3,princeling,0.5030517148295386,0.08002838562193894,2756,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1093.0175315962879,False,16032.0
XII,3,revgrowth,-0.44518069204708854,0.39970484157732056,2756,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1093.0175315962879,False,16032.0
XII,3,ties,0.1700525811319936,0.07361340312645719,2756,,"oprobit promote ~ princeling post2012 pp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1093.0175315962879,False,16032.0
XII,4,gdpgrowth,-0.3095813092207389,0.560259344292931,2756,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1096.4518602873986,False,13859.0
XII,4,pp2,-0.7010587309258192,0.4055167414195269,2756,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1096.4518602873986,False,13859.0
XII,4,princeling,0.4566726785548406,0.07789257109463321,2756,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1096.4518602873986,False,13859.0
XII,4,revgrowth,-0.4515389091425272,0.3988728508926336,2756,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1096.4518602873986,False,13859.0
XII,4,ties,0.16592795877958744,0.0735680988581796,2756,,"oprobit promote ~ princeling inspection pp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1096.4518602873986,False,13859.0
XII,5,discount,1.2464743619603864,0.22357804480233687,382,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-151.39326163837194,False,21.5
XII,5,gdpgrowth,-0.03806632301198462,2.646296248449792,382,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-151.39326163837194,False,21.5
XII,5,pd1,-1.55611738037859,0.3939515327361224,382,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-151.39326163837194,False,21.5
XII,5,revgrowth,1.7144018751308518,1.2404014168631678,382,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-151.39326163837194,False,21.5
XII,5,ties,0.1068625627756746,0.21894323692382014,382,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-151.39326163837194,False,21.5
XII,6,discount,1.2017055942906627,0.21202576622841246,382,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-147.85056678279267,True,23.7
XII,6,gdpgrowth,-0.37171781754808203,2.6952323991606826,382,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-147.85056678279267,True,23.7
XII,6,pd2,-2.343719149409158,0.5299726258165723,382,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-147.85056678279267,True,23.7
XII,6,revgrowth,1.2834504166635066,1.2822851593804114,382,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-147.85056678279267,True,23.7
XII,6,ties,0.12462027702485501,0.21840118614791076,382,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-147.85056678279267,True,23.7
XII,7,discount,0.1023418754084732,0.0060110047085305445,2755,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-933.0518241738853,True,14493.1
XII,7,gdpgrowth,-0.6767084400215809,0.6187757312393283,2755,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-933.0518241738853,True,14493.1
XII,7,pd1,-0.1310958633830654,0.04168733613105839,2755,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-933.0518241738853,True,14493.1
XII,7,revgrowth,-0.621841656790172,0.4294817955925691,2755,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-933.0518241738853,True,14493.1
XII,7,ties,0.19471913847553352,0.07989014493687864,2755,,"oprobit promote ~ discount post2012 pd1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-933.0518241738853,True,14493.1
XII,8,discount,0.10072087502705238,0.005957123046909852,2755,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-936.8188211682301,False,8376.7
XII,8,gdpgrowth,-0.7097818325963626,0.6182825709269698,2755,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-936.8188211682301,False,8376.7
XII,8,pd2,-0.10085757542244758,0.07476973246207383,2755,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-936.8188211682301,False,8376.7
XII,8,revgrowth,-0.5939264620442387,0.4287512826440138,2755,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-936.8188211682301,False,8376.7
XII,8,ties,0.1914813047003063,0.079789150393777,2755,,"oprobit promote ~ discount inspection pd2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-936.8188211682301,False,8376.7
XII,9,alp1,-0.7715377456656367,0.255306705705972,382,,"oprobit promote ~ lnarea post2012 alp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.56089603728327,True,22.4
XII,9,gdpgrowth,0.8794404535931478,2.555544229995341,382,,"oprobit promote ~ lnarea post2012 alp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.56089603728327,True,22.4
XII,9,lnarea,0.4058229702997053,0.09052735924365962,382,,"oprobit promote ~ lnarea post2012 alp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.56089603728327,True,22.4
XII,9,revgrowth,1.8415104445169004,1.326632087058815,382,,"oprobit promote ~ lnarea post2012 alp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.56089603728327,True,22.4
XII,9,ties,0.26512970427056226,0.21650382859293354,382,,"oprobit promote ~ lnarea post2012 alp1 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.56089603728327,True,22.4
XII,10,alp2,-1.821631182136541,0.619116222745525,382,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.70851807303555,True,21.1
XII,10,gdpgrowth,2.9087245360567096,2.7258775456110955,382,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.70851807303555,True,21.1
XII,10,lnarea,0.37180239224281075,0.08841228505580505,382,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.70851807303555,True,21.1
XII,10,revgrowth,2.3473132140697004,1.2712148905895198,382,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.70851807303555,True,21.1
XII,10,ties,0.41940532897605465,0.22183866141983408,382,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-158.70851807303555,True,21.1
XII,11,alp1,-0.88006777755054,0.15516673959406435,2756,,"oprobit promote ~ lnarea post2012 alp1 gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-874.7165068726651,False,8745.2
XII,11,gdpgrowth,-0.4355148656335624,0.6609043508098164,2756,,"oprobit promote ~ lnarea post2012 alp1 gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-874.7165068726651,False,8745.2
XII,11,lnarea,1.013867839184032,0.06921732827602654,2756,,"oprobit promote ~ lnarea post2012 alp1 gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-874.7165068726651,False,8745.2
XII,11,revgrowth,-0.40756956506164504,0.4527372386339135,2756,,"oprobit promote ~ lnarea post2012 alp1 gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-874.7165068726651,False,8745.2
XII,12,alp2,0.0444207558470848,0.0952847431239219,2756,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.5565345041443,False,7203.4
XII,12,gdpgrowth,-0.6979726500785571,0.6518744354510269,2756,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.5565345041443,False,7203.4
XII,12,lnarea,0.9281627171325739,0.06588542747833735,2756,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.5565345041443,False,7203.4
XII,12,revgrowth,-0.3011915432182142,0.44390905286417914,2756,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.5565345041443,False,7203.4
XII,12,ties,0.12916037530217508,0.08195652583385102,2756,,"oprobit promote ~ lnarea post2012 alp2 ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-889.5565345041443,False,7203.4
