table,col,var,coef,se,N,adj_r2,loglik,iters,seconds,spec
XII,1,princeling,1.0849653644377348,0.31281476220581983,380,,-163.99843522924186,7,0.03,analytic-Newton ordered probit (NOT StatsPAI)
XII,1,ties,0.21376152355689734,0.2111349176536549,380,,-163.99843522924186,7,0.03,analytic-Newton ordered probit (NOT StatsPAI)
XII,1,gdpgrowth,-1.0486148693100261,2.4967527104053073,380,,-163.99843522924186,7,0.03,analytic-Newton ordered probit (NOT StatsPAI)
XII,1,revgrowth,1.6879439772286136,1.241185480326232,380,,-163.99843522924186,7,0.03,analytic-Newton ordered probit (NOT StatsPAI)
XII,1,pp1,-1.1646435643236654,0.5604121290626827,380,,-163.99843522924186,7,0.03,analytic-Newton ordered probit (NOT StatsPAI)
XII,2,princeling,1.0838259268331663,0.3001627562193524,380,,-159.4697762567468,7,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,2,ties,0.3423456021472635,0.2167444410549574,380,,-159.4697762567468,7,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,2,gdpgrowth,1.3149759130032952,2.68525601587481,380,,-159.4697762567468,7,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,2,revgrowth,1.4261413188264909,1.2657421948488294,380,,-159.4697762567468,7,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,2,pp2,-2.7689033931173896,0.7673540273886232,380,,-159.4697762567468,7,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,3,princeling,0.5030566647064448,0.0800248441637697,2756,,-1093.0175307266431,7,0.52,analytic-Newton ordered probit (NOT StatsPAI)
XII,3,ties,0.170049522646946,0.07361486170494864,2756,,-1093.0175307266431,7,0.52,analytic-Newton ordered probit (NOT StatsPAI)
XII,3,gdpgrowth,-0.2474304189528235,0.5614526792274712,2756,,-1093.0175307266431,7,0.52,analytic-Newton ordered probit (NOT StatsPAI)
XII,3,revgrowth,-0.4451561111270845,0.39971366926682894,2756,,-1093.0175307266431,7,0.52,analytic-Newton ordered probit (NOT StatsPAI)
XII,3,pp1,-0.8017133019667804,0.2566494721673711,2756,,-1093.0175307266431,7,0.52,analytic-Newton ordered probit (NOT StatsPAI)
XII,4,princeling,0.45667708642344085,0.07789300534895181,2756,,-1096.4518592681661,7,0.57,analytic-Newton ordered probit (NOT StatsPAI)
XII,4,ties,0.1659268825453306,0.07356362558524387,2756,,-1096.4518592681661,7,0.57,analytic-Newton ordered probit (NOT StatsPAI)
XII,4,gdpgrowth,-0.30969508823369624,0.5600707635582112,2756,,-1096.4518592681661,7,0.57,analytic-Newton ordered probit (NOT StatsPAI)
XII,4,revgrowth,-0.4515206225270201,0.3988534959224619,2756,,-1096.4518592681661,7,0.57,analytic-Newton ordered probit (NOT StatsPAI)
XII,4,pp2,-0.7010755396528865,0.40551383982501665,2756,,-1096.4518592681661,7,0.57,analytic-Newton ordered probit (NOT StatsPAI)
XII,5,discount,1.246468376577039,0.2235798844900487,382,,-151.39326151371029,8,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,5,ties,0.1068663024192622,0.2189429086835304,382,,-151.39326151371029,8,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,5,gdpgrowth,-0.03830856561474572,2.6463873871253605,382,,-151.39326151371029,8,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,5,revgrowth,1.71434084058009,1.2404022185074166,382,,-151.39326151371029,8,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,5,pd1,-1.556139653956503,0.39397503265255307,382,,-151.39326151371029,8,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,6,discount,1.2016945175238516,0.21202425173896247,382,,-147.85056660579656,8,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,6,ties,0.12462287418882284,0.21840285911512666,382,,-147.85056660579656,8,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,6,gdpgrowth,-0.37200518888563905,2.69524783324603,382,,-147.85056660579656,8,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,6,revgrowth,1.2833768791538838,1.2823249846680724,382,,-147.85056660579656,8,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,6,pd2,-2.3437653077492637,0.5299723251618815,382,,-147.85056660579656,8,0.02,analytic-Newton ordered probit (NOT StatsPAI)
XII,7,discount,0.10234263362469734,0.006011126966166426,2755,,-933.0518234430955,7,0.53,analytic-Newton ordered probit (NOT StatsPAI)
XII,7,ties,0.1947168512550641,0.07988964251206954,2755,,-933.0518234430955,7,0.53,analytic-Newton ordered probit (NOT StatsPAI)
XII,7,gdpgrowth,-0.676789581290197,0.6191473357587355,2755,,-933.0518234430955,7,0.53,analytic-Newton ordered probit (NOT StatsPAI)
XII,7,revgrowth,-0.621822307546557,0.4294897117507003,2755,,-933.0518234430955,7,0.53,analytic-Newton ordered probit (NOT StatsPAI)
XII,7,pd1,-0.13109543198748402,0.04169210163233667,2755,,-933.0518234430955,7,0.53,analytic-Newton ordered probit (NOT StatsPAI)
XII,8,discount,0.10072187319611207,0.005957139481655972,2755,,-936.8188203622412,7,0.49,analytic-Newton ordered probit (NOT StatsPAI)
XII,8,ties,0.19147885160099773,0.07978790798789824,2755,,-936.8188203622412,7,0.49,analytic-Newton ordered probit (NOT StatsPAI)
XII,8,gdpgrowth,-0.7098520324775419,0.6178267290504342,2755,,-936.8188203622412,7,0.49,analytic-Newton ordered probit (NOT StatsPAI)
XII,8,revgrowth,-0.593921666841415,0.42874288799086774,2755,,-936.8188203622412,7,0.49,analytic-Newton ordered probit (NOT StatsPAI)
XII,8,pd2,-0.10085764512430587,0.07476575744883136,2755,,-936.8188203622412,7,0.49,analytic-Newton ordered probit (NOT StatsPAI)
XII,9,lnarea,0.40582752952821877,0.09052380007685497,382,,-158.56089587396457,7,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,9,ties,0.26513643542738363,0.21650068871399664,382,,-158.56089587396457,7,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,9,gdpgrowth,0.8792417504957755,2.5553537912085673,382,,-158.56089587396457,7,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,9,revgrowth,1.8414692487008348,1.3265955841002193,382,,-158.56089587396457,7,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,9,alp1,-0.7715294219529175,0.25530537245551554,382,,-158.56089587396457,7,0.01,analytic-Newton ordered probit (NOT StatsPAI)
XII,10,lnarea,0.3718093073606041,0.08840119284304458,382,,-158.70851795935994,7,0.04,analytic-Newton ordered probit (NOT StatsPAI)
XII,10,ties,0.41941362282681083,0.22184139047013737,382,,-158.70851795935994,7,0.04,analytic-Newton ordered probit (NOT StatsPAI)
XII,10,gdpgrowth,2.908645954965503,2.7260171586858504,382,,-158.70851795935994,7,0.04,analytic-Newton ordered probit (NOT StatsPAI)
XII,10,revgrowth,2.347266055081459,1.271223934574891,382,,-158.70851795935994,7,0.04,analytic-Newton ordered probit (NOT StatsPAI)
XII,10,alp2,-1.8216638776034786,0.6190526553887392,382,,-158.70851795935994,7,0.04,analytic-Newton ordered probit (NOT StatsPAI)
XII,11,lnarea,1.0138799342115181,0.06921311662041596,2756,,-874.7165054218058,8,0.6,analytic-Newton ordered probit (NOT StatsPAI)
XII,11,gdpgrowth,-0.4355375623502769,0.6603204172836753,2756,,-874.7165054218058,8,0.6,analytic-Newton ordered probit (NOT StatsPAI)
XII,11,revgrowth,-0.4075379834252612,0.4527259478514628,2756,,-874.7165054218058,8,0.6,analytic-Newton ordered probit (NOT StatsPAI)
XII,11,alp1,-0.8800740613133444,0.15515011771044182,2756,,-874.7165054218058,8,0.6,analytic-Newton ordered probit (NOT StatsPAI)
XII,12,lnarea,0.928168662385813,0.06587739194154536,2756,,-889.556533875887,8,0.56,analytic-Newton ordered probit (NOT StatsPAI)
