table,col,var,coef,se,N,adj_r2,spec,loglik,sp_converged_flag,seconds
VIII,1,princeling,0.6524093845867581,0.2288631336243231,399,,"oprobit promote ~ princeling + i.year i.provid (scaled, maxiter=1000)",-196.65624686207735,True,10.0
VIII,2,princeling,0.7421999197799198,0.261992495863898,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,ties,0.2316281443461384,0.2087780921974783,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,gdpgrowth,-1.4380376174248464,2.4831369084321664,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,2,revgrowth,1.953619382905632,1.2304138435701943,380,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-166.2162312563011,False,12.6
VIII,3,princeling,0.113587691507827,0.0396866449944334,380,0.271871696103342,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,ties,0.0109208029181462,0.0325323414011401,380,0.271871696103342,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,gdpgrowth,-0.1953592041800801,0.3808256467326567,380,0.271871696103342,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,3,revgrowth,0.0285140459660964,0.1946553849601147,380,0.271871696103342,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,4,discount,0.8137036793176918,0.1754205468264591,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,ties,0.1176638029154542,0.2115977228362296,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,gdpgrowth,-0.4436460064478158,2.554104678004745,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,4,revgrowth,1.5607119191973402,1.2412385007823372,382,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-159.86202233844665,False,12.0
VIII,5,lnarea,0.3236281077354428,0.0842522629199068,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,ties,0.3019394737138299,0.2134539275756926,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,gdpgrowth,-0.0319014478073346,2.530522257754539,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,5,revgrowth,2.4031839370224803,1.2616889126778894,382,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-163.16655428330506,True,12.3
VIII,6,princeling,0.0176585183783668,0.2881920211679313,399,,"oprobit promote ~ princeling + i.year i.provid (scaled, maxiter=1000)",-239.52671944026625,True,8.5
VIII,7,princeling,-0.0160149624992398,0.3142184866403311,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946385,False,11.8
VIII,7,ties,-0.0337886498725853,0.2079327888601359,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946385,False,11.8
VIII,7,gdpgrowth,6.188173774214166,1.97743851111984,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946385,False,11.8
VIII,7,revgrowth,0.2622348289325382,1.070223071977826,388,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-223.01326031946385,False,11.8
VIII,8,princeling,0.0699154624911405,0.06718028240486,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,ties,-0.0029745845090348,0.0452524594169378,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,gdpgrowth,1.250219567875507,0.443169179026746,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,8,revgrowth,0.0314434871664484,0.2287007471445233,388,0.1003594101054136,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + provid, iid",,,
VIII,9,discount,0.1811757052190819,0.1752981470584117,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230735,True,11.0
VIII,9,ties,-0.0310683116735693,0.2053069319082808,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230735,True,11.0
VIII,9,gdpgrowth,6.374189673786614,1.98088769954787,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230735,True,11.0
VIII,9,revgrowth,0.2070800408938218,1.0580111484225585,390,,"oprobit promote ~ discount ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.77654850230735,True,11.0
VIII,10,lnarea,-0.0680479943143442,0.0647457987802898,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
VIII,10,ties,-0.0522735190979696,0.2058094078365009,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
VIII,10,gdpgrowth,6.061136839275706,1.982708565131639,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
VIII,10,revgrowth,0.2320142036197232,1.058932108748078,390,,"oprobit promote ~ lnarea ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.provid (scaled, maxiter=1000)",-222.7608363565943,False,12.1
IX,1,princeling,0.4689623675089732,0.0700904040937694,3237,,"oprobit promote ~ princeling + i.year i.prefid (scaled, maxiter=1000)",-1309.7372265620393,True,18385.7
IX,2,gdpgrowth,-0.3154560435814316,0.5594166520758436,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,princeling,0.4321240053621896,0.0765338790621535,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,revgrowth,-0.4554674480171281,0.3984914138368132,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,2,ties,0.1690764527950485,0.073486115594214,2756,,"oprobit promote ~ princeling ties gdpgrowth lngdppc lnpop revgrowth age age2 eduyear + i.year i.prefid (scaled, maxiter=1000)",-1097.9864075544351,False,11523.4
IX,3,gdpgrowth,-0.0989206983324132,0.0866363291676793,2756,0.0486882415999633,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
IX,3,princeling,0.0876884065317916,0.0123570710220637,2756,0.0486882415999633,"feols promote1 ~ princeling + ties + gdpgrowth + lngdppc + lnpop + revgrowth + age + age2 + eduyear | year + prefid, iid",,,
