"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"s_malariaindex","0.123423","0.098077","0.032702","0.031139","0.029813","","","","","0.025477",""
"","0.014897","0.011950","0.013146","0.013821","0.012271","","","","","0.012240",""
"small_scale","","-0.350237","-0.172896","","-0.421734","","-0.389505","","-0.410111","-0.408075","-0.365995"
"","","0.086323","0.096698","","0.184668","","0.155191","","0.184634","0.146196","0.146665"
"s_distance_mutation","","","","","","-0.057578","-0.053126","","","","-0.041255"
"","","","","","","0.024562","0.016719","","","","0.017288"
"s_tsi","","","","","","","","0.035005","0.040996","0.037984","0.019215"
"","","","","","","","","0.007974","0.007579","0.009693","0.008956"
"N","1226","1225","1216","504","504","501","501","500","500","500","497"
"r2","0.159100","0.242449","0.344317","0.037449","0.116861","0.099263","0.165306","0.038397","0.110336","0.135851","0.146725"
