var,year,coef,se,p,N
pd,1500,-0.18737165754518947,0.3129978796545813,0.550544283518521,123
urbfrac,1500,-0.007598800740572932,0.0027671480050078063,0.006960152965642896,123
pd,1600,-0.09286299880718721,0.3343553963806626,0.7816918840080864,123
urbfrac,1600,-0.007851333298679979,0.002756714742382707,0.005176605646450838,123
pd,1700,-0.18716975674504904,0.3487890809143373,0.5925185413078577,123
urbfrac,1700,-0.011536294252201582,0.0030583602111876967,0.0002528716609639936,123
pd,1710,-0.24886953289652447,0.351828171575696,0.48071363450647664,123
urbfrac,1710,-0.012830897670781948,0.003653831620227259,0.0006284271529419794,123
pd,1720,-0.28147100752684967,0.3527543101764561,0.42649098418210585,123
urbfrac,1720,-0.013976034235659737,0.004437110591302246,0.002062506087121996,123
pd,1730,-0.3147022503495541,0.353605826208932,0.37525717886481313,123
urbfrac,1730,-0.014878074296084747,0.005294274471477116,0.00578301202496645,123
pd,1740,-0.3398966560208473,0.35488800818763544,0.3401106881908096,123
urbfrac,1740,-0.015844397371016825,0.006124352112952471,0.010871491943094336,123
pd,1750,-0.3688584679216301,0.35599716656439984,0.30222608472108714,123
urbfrac,1750,-0.01674342334561232,0.00692271126954564,0.017081612536294033,123
pd,1760,-0.4016938881074144,0.35659658221757895,0.2622160191600107,123
urbfrac,1760,-0.01743334121053324,0.007662844905653858,0.024678074857457988,123
pd,1770,-0.43248077983829264,0.357450630994836,0.22869393888471423,123
urbfrac,1770,-0.017860387695597196,0.008342104849615707,0.034297257172232865,123
pd,1780,-0.46600332665707084,0.3595976881296106,0.19749630004396312,123
urbfrac,1780,-0.01800498121212314,0.008966602818592176,0.046888675367271926,123
pd,1790,-0.5053138290959516,0.36213428173608114,0.1654791103778268,123
urbfrac,1790,-0.017617623564972356,0.00954847655378883,0.06749267120736735,123
pd,1800,-0.5413251735194913,0.3634962357250169,0.13905346156165965,123
urbfrac,1800,-0.016862547950442463,0.010156173960278275,0.09946002587417802,123
pd,1810,-0.5797604323866097,0.3654475937171311,0.11527132809675877,123
urbfrac,1810,-0.016864809343902568,0.0108002594655834,0.12103480801710487,123
pd,1820,-0.6359722668551979,0.3731165511885081,0.09087800634780696,123
urbfrac,1820,-0.016560812349507344,0.011487246616833644,0.1520002896034378,123
pd,1830,-0.7200182842418114,0.37280143764968515,0.05579518967241981,123
urbfrac,1830,-0.016378525290086942,0.012265436001635288,0.18429263703236987,123
pd,1840,-0.7820400064104336,0.3760404692747263,0.039685163313198046,123
urbfrac,1840,-0.015954367251221506,0.013316399953813427,0.2332394011891339,123
pd,1850,-0.8310665785314738,0.37244021829752366,0.027511178140708914,123
urbfrac,1850,-0.015809044684185175,0.014473849235224196,0.27691176002770423,123
pd,1860,-0.8962221450025885,0.3706487502407095,0.017110243745513287,123
urbfrac,1860,-0.016801163810323254,0.015722359794247118,0.2873877177330817,123
pd,1870,-0.9300927577620974,0.3715143787044092,0.013640291249401582,123
urbfrac,1870,-0.018444514120375975,0.0171530997241548,0.2844032676212891,123
pd,1880,-0.9669002807660879,0.37394060308502014,0.010913608742465275,123
urbfrac,1880,-0.020706433514499047,0.018732413673875896,0.27120629911881866,123
pd,1890,-1.0149701646149945,0.3730665317840448,0.007485011957609089,123
urbfrac,1890,-0.024198562477919575,0.02048700667339729,0.23987234118702272,123
pd,1900,-1.0582528145605306,0.37457414543199274,0.005535430259574703,123
urbfrac,1900,-0.028866668820551486,0.02246783419161452,0.20133676451554594,123
pd,1910,-1.1200774846210229,0.37700181857967585,0.003586454767747327,123
urbfrac,1910,-0.03589554052025833,0.02506193156414545,0.15466531712085008,123
pd,1920,-1.0858989569397892,0.37664533247426607,0.004668233535888522,123
urbfrac,1920,-0.0460422078180099,0.02755767491362755,0.0973756346771757,123
pd,1930,-1.0505358129744748,0.37599224610571147,0.00606151033219926,123
urbfrac,1930,-0.056462092950935516,0.03001356306618959,0.0623653513033684,123
pd,1940,-1.034133035326059,0.37390491256108055,0.006577514464961354,123
urbfrac,1940,-0.07164485091166664,0.03283881690423809,0.031079868848390202,123
pd,1950,-1.0046642283441338,0.37475978051797615,0.008377518183798616,123
urbfrac,1950,-0.09221957440820565,0.03670651665458701,0.013320573339395736,123
