spec,N,coef,se_cluster,se_hc1,se_conley_250km,se_conley_500km,se_conley_1000km,se_conley_2000km
IV(3) moral god,776,-0.7746122526884528,0.19086147057293826,0.11475100128955046,0.14199647572194551,0.1633269808094247,0.2053917926974583,0.2841129199321242
IV(4) moral god +ctrl+cont,770,-0.506497883683923,0.1312111850556261,0.10570387439993036,0.11905457438969715,0.1372238833032148,0.16030924220984458,0.2060540587185953
IV(8) sex taboo,371,0.8325447901299903,0.19514479751503655,0.1699122166628474,0.18763053404240018,0.21889831301628593,0.2602016236544673,0.29240739764776946
IV(9) sex taboo +ctrl+cont,371,0.45808514552037893,0.19239131082071245,0.1775303181949712,0.17746039159743643,0.1855380582598005,0.1979260498255943,0.1867250667415693
IV(10) hier. above local,1156,-0.38835599375635993,0.1976620507536155,0.11456472095406312,0.14661091833529824,0.17771521674190716,0.21658410508455844,0.321884449459621
IV(11) hier. above local +ctrl+cont,1146,-0.364458131119602,0.12147261149048982,0.1146590371972786,0.1256836853102456,0.12935947378116444,0.1245018171294863,0.15092103219189637
IV(13) village inst.,1151,0.8328093830011455,0.12385608177813244,0.08439154764806801,0.12628017818658163,0.17706389282611867,0.22913718801922206,0.3049329041169023
IV(14) village inst. +ctrl+cont,1141,0.868823212669501,0.11982330806235068,0.0977928326363048,0.11461444795952712,0.13908713149378407,0.16128535150936538,0.20316116933456718
IV(1) violence out-in,61,1.2667125384600244,0.4361365442362726,0.5060003208352766,0.5088855716349333,0.5240028773489939,0.4821095869689784,0.49704707593417974
IV(6) loyalty,83,1.1603941423325752,0.29395201922085257,0.36387431851364926,0.36025897338915674,0.3862833648807202,0.38321816625092564,0.3113967010836118
