estimate,se,ci_lower,ci_upper,pvalue,tstat,nobs,r_squared,controls,se_type,subset,model,y_transform,spec_id,significant,outcome,N
-0.3821720020047304,0.21566619559484337,-0.8055415605615075,0.041197556552046655,0.07678472836940418,-1.772053338960407,765,0.013345162170942393,(none),cluster,Full Sample,OLS,Level,0,False,s_moral_god,765
-0.3821720020047304,0.12231451930944282,-0.622284940902241,-0.14205906310721983,0.0018484659218215573,-3.1245023416874624,765,0.013345162170942393,(none),hc1,Full Sample,OLS,Level,1,True,s_moral_god,765
-0.7388022225541621,0.18080436096738908,-1.0937360214104959,-0.38386842369782814,4.8499262455134446e-05,-4.08619691804567,765,0.162668459898612,small_scale,cluster,Full Sample,OLS,Level,2,True,s_moral_god,765
-0.7388022225541621,0.1178681400658672,-0.9701870547223108,-0.5074173903860133,6.116267116422691e-10,-6.268040050019486,765,0.162668459898612,small_scale,hc1,Full Sample,OLS,Level,3,True,s_moral_god,765
-0.7387011373962715,0.1787350996217125,-1.0895735398968487,-0.3878287348956943,3.979323189481029e-05,-4.132938292253231,765,0.1626687074462423,"small_scale, ln_time_obs_ea",cluster,Full Sample,OLS,Level,4,True,s_moral_god,765
-0.7387011373962715,0.11800828772738452,-0.9703615752035127,-0.5070406995890303,6.438210514768546e-10,-6.259739477813401,765,0.1626687074462423,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,5,True,s_moral_god,765
-0.4847891994941054,0.12917574453526015,-0.7383744517894819,-0.231203947198729,0.00018814194188163352,-3.7529429479059524,765,0.39784744028238495,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",cluster,Full Sample,OLS,Level,6,True,s_moral_god,765
-0.4847891994941054,0.10882048007653163,-0.6984149772621505,-0.27116342172606034,9.657888588689587e-06,-4.454944502663113,765,0.39784744028238495,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",hc1,Full Sample,OLS,Level,7,True,s_moral_god,765
-0.5412249847795713,0.1472723166842279,-0.8303368930625343,-0.25211307649660825,0.0002546795084463417,-3.674994710241654,765,0.39334716362397815,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,8,True,s_moral_god,765
-0.5412249847795713,0.11711963879514921,-0.7711438387219514,-0.3113061308371912,4.487398060980455e-06,-4.621129217502227,765,0.39334716362397815,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,9,True,s_moral_god,765
-0.42101184057696595,0.13056634112080234,-0.6773302560838184,-0.16469342507011353,0.0013164969497406229,-3.224505159315433,765,0.47733541803925694,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,10,True,s_moral_god,765
-0.42101184057696595,0.10979618604872059,-0.6365557870115637,-0.2054678941423682,0.00013637861720610907,-3.8344851103493482,765,0.47733541803925694,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,11,True,s_moral_god,765
-0.8262321425366781,0.1527247579935767,-1.126044631458571,-0.5264196536147852,8.454001632930225e-08,-5.40994239173342,765,0.3356335223746105,"small_scale, animalhusbandry, agriculture",cluster,Full Sample,OLS,Level,12,True,s_moral_god,765
-0.8262321425366781,0.10932946247044863,-1.0408557483382763,-0.6116085367350799,1.1857285035032247e-13,-7.5572688630021005,765,0.3356335223746105,"small_scale, animalhusbandry, agriculture",hc1,Full Sample,OLS,Level,13,True,s_moral_god,765
-0.38518703736264404,0.11693612841137743,-0.6147485926851651,-0.15562548204012297,0.0010341620672547802,-3.2939951287558347,765,0.5206257729608259,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,14,True,s_moral_god,765
-0.38518703736264404,0.10441194834494032,-0.5901619205056636,-0.1802121542196244,0.00024132935197929755,-3.6891087990248175,765,0.5206257729608259,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,15,True,s_moral_god,765
0.9304634523493867,0.12134668394285289,0.692373303958272,1.1685536007405013,3.75765966994565e-14,7.667811118658833,1132,0.0796197835057817,(none),cluster,Full Sample,OLS,Level,0,True,s_hierlocal_village,1132
0.9304634523493867,0.0824407737731188,0.7687092500642714,1.092217654634502,4.5614535311774655e-28,11.28644734594643,1132,0.0796197835057817,(none),hc1,Full Sample,OLS,Level,1,True,s_hierlocal_village,1132
0.8118538120908187,0.12128857944381341,0.5738774425260404,1.049830181655597,3.423655480759031e-11,6.693571775790381,1132,0.08565062334762485,small_scale,cluster,Full Sample,OLS,Level,2,True,s_hierlocal_village,1132
0.8118538120908187,0.0860569956072004,0.6430041851583778,0.9807034390232597,2.1726966972690844e-20,9.433908380864866,1132,0.08565062334762485,small_scale,hc1,Full Sample,OLS,Level,3,True,s_hierlocal_village,1132
0.8061714734471472,0.121627356321427,0.5675301737665918,1.0448127731277026,5.254282276104726e-11,6.628208470770852,1132,0.08763821506865188,"small_scale, ln_time_obs_ea",cluster,Full Sample,OLS,Level,4,True,s_hierlocal_village,1132
0.8061714734471472,0.08564345690532714,0.6381330774549592,0.9742098694393353,2.6145061947787862e-20,9.413112251392578,1132,0.08763821506865188,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,5,True,s_hierlocal_village,1132
0.8519766457092897,0.116849418512719,0.6227091146522434,1.0812441767663359,5.780326116237479e-13,7.291235648010969,1132,0.09796024825082061,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",cluster,Full Sample,OLS,Level,6,True,s_hierlocal_village,1132
0.8519766457092897,0.09050806542743128,0.6743928719480358,1.0295604194705437,2.625913470614346e-20,9.413267664994988,1132,0.09796024825082061,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",hc1,Full Sample,OLS,Level,7,True,s_hierlocal_village,1132
0.8567470580598567,0.11605025544001979,0.6290471087890339,1.0844470073306796,3.018604189129261e-13,7.382552109096078,1132,0.09390202606274412,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,8,True,s_hierlocal_village,1132
0.8567470580598567,0.09822769982356729,0.6640163985536749,1.0494777175660386,9.695686163419435e-18,8.722051514987239,1132,0.09390202606274412,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,9,True,s_hierlocal_village,1132
0.8700757216880844,0.12381876891563158,0.6271323845677632,1.1130190588084057,3.661327334415312e-12,7.027009954209302,1132,0.10257139824927797,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,10,True,s_hierlocal_village,1132
0.8700757216880844,0.10005490993548384,0.6737591702647494,1.0663922731114195,1.207771591252754e-17,8.695982258632943,1132,0.10257139824927797,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,11,True,s_hierlocal_village,1132
0.7779351883823384,0.11852433103887194,0.5453820176459541,1.0104883591187228,7.999378767510159e-11,6.563506257016563,1132,0.10654785729398919,"small_scale, animalhusbandry, agriculture",cluster,Full Sample,OLS,Level,12,True,s_hierlocal_village,1132
0.7779351883823384,0.08514812254433975,0.6108685134947812,0.9450018632698957,2.9230115225346925e-19,9.136257678227011,1132,0.10654785729398919,"small_scale, animalhusbandry, agriculture",hc1,Full Sample,OLS,Level,13,True,s_hierlocal_village,1132
0.8487607535625942,0.11692089482745328,0.6193512077733698,1.0781702993518185,7.278333822101774e-13,7.259273501243366,1132,0.1263895514614315,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,14,True,s_hierlocal_village,1132
0.8487607535625942,0.09946535302768908,0.6536005857113196,1.0439209214138687,4.5849970579303285e-17,8.533230192490413,1132,0.1263895514614315,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,15,True,s_hierlocal_village,1132
0.29979631282224,0.24686650206005156,-0.1845696588779862,0.7841622845224663,0.22484509347407164,1.2144066137791063,1137,0.008372179708413752,(none),cluster,Full Sample,OLS,Level,0,False,s_hierabovelocal,1137
0.29979631282224,0.11242107890395782,0.07921982849364784,0.5203727971508322,0.00776830131052622,2.666726878491873,1137,0.008372179708413752,(none),hc1,Full Sample,OLS,Level,1,True,s_hierabovelocal,1137
-0.35095361583841905,0.18908899774369697,-0.721957221362284,0.020049989685445913,0.0637094770406218,-1.8560234599906416,1137,0.2137653684317311,small_scale,cluster,Full Sample,OLS,Level,2,False,s_hierabovelocal,1137
-0.35095361583841905,0.11832509753277634,-0.5831143355653621,-0.118792896111476,0.0030800751968184416,-2.9660116336790177,1137,0.2137653684317311,small_scale,hc1,Full Sample,OLS,Level,3,True,s_hierabovelocal,1137
-0.33471323123675006,0.18121670766554324,-0.6902712813008169,0.020844818827316758,0.06500296320749714,-1.8470329560037186,1137,0.22486822876069057,"small_scale, ln_time_obs_ea",cluster,Full Sample,OLS,Level,4,False,s_hierabovelocal,1137
-0.33471323123675006,0.11565173904768089,-0.5616288801966969,-0.10779758227680325,0.0038747412792174,-2.8941478441474584,1137,0.22486822876069057,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,5,True,s_hierabovelocal,1137
-0.20077075253220722,0.15107080199219614,-0.4971818505119362,0.09564034544752176,0.18412160011266007,-1.3289844886279112,1137,0.2747777792269185,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",cluster,Full Sample,OLS,Level,6,False,s_hierabovelocal,1137
-0.20077075253220722,0.11389838097346816,-0.4242470544863277,0.022705549421913274,0.078218552728479,-1.7627182302000883,1137,0.2747777792269185,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",hc1,Full Sample,OLS,Level,7,False,s_hierabovelocal,1137
-0.37315936300875674,0.1227580961425408,-0.6140194821192124,-0.132299243898301,0.0024220095033801515,-3.039794316909754,1137,0.3132104011597969,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,8,True,s_hierabovelocal,1137
-0.37315936300875674,0.11582054561816059,-0.6004075143700812,-0.14591121164743226,0.001309996533733999,-3.2218753677693397,1137,0.3132104011597969,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,9,True,s_hierabovelocal,1137
-0.3301013945216042,0.11963102979510985,-0.5648268858032928,-0.0953759032399156,0.005886161603461822,-2.759329206535826,1137,0.32842054334400217,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,10,True,s_hierabovelocal,1137
-0.3301013945216042,0.11547886013875691,-0.5566800023054113,-0.10352278673779719,0.004334547768277291,-2.8585439285161063,1137,0.32842054334400217,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,11,True,s_hierabovelocal,1137
-0.434274100731439,0.18007656836602448,-0.7875954628808735,-0.08095273858200464,0.016040730851328712,-2.4116080435780596,1137,0.27391376887351304,"small_scale, animalhusbandry, agriculture",cluster,Full Sample,OLS,Level,12,True,s_hierabovelocal,1137
-0.434274100731439,0.11610705851139505,-0.6620833289983084,-0.20646487246456965,0.00019301428493986067,-3.740290265719015,1137,0.27391376887351304,"small_scale, animalhusbandry, agriculture",hc1,Full Sample,OLS,Level,13,True,s_hierabovelocal,1137
-0.30062103222123426,0.1179968208101484,-0.5321405225754542,-0.06910154186701431,0.010976028159570337,-2.5477045072673614,1137,0.3700647518836696,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,14,True,s_hierabovelocal,1137
-0.30062103222123426,0.1112947253877716,-0.5189904588208503,-0.08225160562161823,0.007014714351795329,-2.70112560297727,1137,0.3700647518836696,"small_scale, ln_time_obs_ea, animalhusbandry, agriculture, abslat, precip, tempmean, rugged, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",hc1,Full Sample,OLS,Level,15,True,s_hierabovelocal,1137
0.8551646631605899,0.1828333682881951,0.4956256607181907,1.2147036656029893,4.099936607639619e-06,4.677289879671297,367,0.07343357540782025,(none),cluster,Full Sample,OLS,Level,0,True,s_sex_taboo,367
0.8551646631605899,0.1549785439095194,0.5504017437936339,1.159927582527546,6.512484022661556e-08,5.517955205850029,367,0.07343357540782025,(none),hc1,Full Sample,OLS,Level,1,True,s_sex_taboo,367
0.8287430249680727,0.20194816366261614,0.43161144236124693,1.2258746075748985,5.0208510276159866e-05,4.103741326178181,367,0.07373746237035639,small_scale,cluster,Full Sample,OLS,Level,2,True,s_sex_taboo,367
0.8287430249680727,0.17287155768757176,0.4887906627031353,1.1686953872330101,2.3867955290027714e-06,4.793981358494194,367,0.07373746237035639,small_scale,hc1,Full Sample,OLS,Level,3,True,s_sex_taboo,367
0.8155428972388333,0.20345410514027035,0.41544620007213956,1.2156395944055272,7.41875192641688e-05,4.008485828666674,367,0.07911851286302596,"small_scale, ln_time_obs_ea",cluster,Full Sample,OLS,Level,4,True,s_sex_taboo,367
0.8155428972388333,0.17277451812062636,0.4757782411903806,1.155307553287286,3.368497045813761e-06,4.7202730246913145,367,0.07911851286302596,"small_scale, ln_time_obs_ea",hc1,Full Sample,OLS,Level,5,True,s_sex_taboo,367
0.5634142270933986,0.21538070316682667,0.13984784193328514,0.9869806122535121,0.0092749081607184,2.615899283498006,367,0.1369094122125054,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",cluster,Full Sample,OLS,Level,6,True,s_sex_taboo,367
0.5634142270933986,0.18380163897391216,0.20195103813546073,0.9248774160513364,0.0023388647105101125,3.0653384280940315,367,0.1369094122125054,"small_scale, ln_time_obs_ea, abslat, precip, tempmean, rugged",hc1,Full Sample,OLS,Level,7,True,s_sex_taboo,367
0.44324089438645103,0.20194000941023038,0.046099370470407464,0.8403824183024946,0.028813212528815593,2.1949137057136148,367,0.20236089045069872,"small_scale, ln_time_obs_ea, cont_ssa, cont_mena, cont_eca, cont_sas, cont_eap, cont_nam",cluster,Full Sample,OLS,Level,8,True,s_sex_taboo,367
