outcome,coef,se,t,p_value,p_rw,p_bonf,p_holm,p_bh,family
s_moral_god,-0.6012641491062412,0.1761517173039079,-3.4133311801264066,0.0010096663854244183,0.0025,0.004038665541697673,0.0020193327708488366,0.0013462218472325576,"EA institutions & religion (Table IV, baseline spec)"
s_sex_taboo,0.9181898755438714,0.20761592128982798,4.422540765850493,3.042998499682286e-05,0.0005,0.00012171993998729145,9.128995499046858e-05,6.085996999364572e-05,"EA institutions & religion (Table IV, baseline spec)"
s_hierabovelocal,-0.4551018904192456,0.2535454314368401,-1.794952044058481,0.07643822471786614,0.071,0.30575289887146456,0.07643822471786614,0.07643822471786614,"EA institutions & religion (Table IV, baseline spec)"
s_hierlocal_village,0.9002807191304263,0.19015626757764362,4.734425694187694,9.350189931041086e-06,0.0,3.7400759724164344e-05,3.7400759724164344e-05,3.7400759724164344e-05,"EA institutions & religion (Table IV, baseline spec)"
s_hierabovelocal,-0.1835574709844473,0.16441161366016802,-1.116450759761126,0.26659762567849177,0.157,0.5331952513569835,0.26659762567849177,0.26659762567849177,"EA institutions (Table IV, no religion/taboo)"
s_hierlocal_village,0.8039165336016787,0.12715188357077548,6.322490167078032,5.2944180782779826e-09,0.0,1.0588836156555965e-08,1.0588836156555965e-08,1.0588836156555965e-08,"EA institutions (Table IV, no religion/taboo)"
s_diff_trust_out_in,1.9414971414942677,0.7411152690143213,2.619696587922749,0.021198338859012286,0.332,0.1271900331540737,0.08479335543604914,0.04239667771802457,Country moral system (Fig. V variables)
s_religion_hell,0.5109211276732634,0.7487378592264614,0.6823765105201277,0.5069783140151758,0.7775,1.0,1.0,0.5191438826369725,Country moral system (Fig. V variables)
s_values_uniform,1.6671768468198125,0.8067757197197395,2.0664687918458453,0.05930705050947721,0.3555,0.35584230305686326,0.17792115152843163,0.08896057576421582,Country moral system (Fig. V variables)
s_mfq_disgusting,2.8106880689346343,0.7620063349969471,3.6885363544200653,0.002729054415164489,0.241,0.016374326490986933,0.016374326490986933,0.016374326490986933,Country moral system (Fig. V variables)
s_diff_shame_guilt_overall,0.6240258491647166,0.9417418156139695,0.6626294370903371,0.5191438826369725,0.7775,1.0,1.0,0.5191438826369725,Country moral system (Fig. V variables)
s_gps_punish_revenge,2.7015275063908675,0.9240755344431476,2.923492080134792,0.011860697748314147,0.323,0.07116418648988487,0.05930348874157074,0.035582093244942437,Country moral system (Fig. V variables)
