,coef
treat_m4,-4.47463264297723e-06
treat_m3,-9.485228047217819e-05
treat_m2,-0.0007310885393653816
treat_m1,-0.002396950499720223
treat_p0,0.002593384969060237
treat_p1,0.00036154836737488057
treat_p2,0.00013639640015368937
treat_p3,0.0003822631213545967
treat_p4,-2.9139440079275854e-05
L4treat_m4,-6.555037840923832e-05
L4treat_m3,-9.58907924054856e-05
L4treat_m2,-0.000384512777295065
L4treat_m1,-0.002207527213389844
L4treat_p0,0.002035795738544446
L4treat_p1,0.0002755351372625471
L4treat_p2,0.00010335199200129307
L4treat_p3,0.00024570926640300067
L4treat_p4,0.00011630964712110963
L8treat_m4,-8.730333018494548e-05
L8treat_m3,-0.00016397882890805416
L8treat_m2,-0.0004017596864118671
L8treat_m1,-0.0019258712239356302
L8treat_p0,0.0021683895847876616
L8treat_p1,0.00027599414944453894
L8treat_p2,0.00023106589497858972
L8treat_p3,0.00023701944111780536
L8treat_p4,-1.1416492761896691e-05
L12treat_m4,-0.0001556310713932542
L12treat_m3,-0.00014528033230743357
L12treat_m2,-0.00031283490943671247
L12treat_m1,-0.002065924502979214
L12treat_p0,0.0020847533713780324
L12treat_p1,1.236874323262447e-05
L12treat_p2,0.0002961715703846499
L12treat_p3,0.0004375359062341864
L12treat_p4,0.00024985609408175716
L16treat_m4,-0.00013124508146358742
L16treat_m3,-0.00022305265176282164
L16treat_m2,-0.00029390308325330706
L16treat_m1,-0.0011839084080472796
L16treat_p0,0.001898732635737407
L16treat_p1,-4.919456614981066e-05
L16treat_p2,0.0001391212267077684
L16treat_p3,0.00041925359883035826
L16treat_p4,-0.0001097838742468013
treat_p5,-0.00020725694364479792
treat_p6,9.889209918491678e-05
treat_p7,0.00012814314629166517
treat_p8,-0.00011676317199415314
treat_p9,6.867666782619015e-05
treat_p10,-4.0843313646649676e-05
treat_p11,9.534726260411369e-05
treat_p12,-5.5871305078713154e-05
treat_p13,7.931581427367661e-05
treat_p14,-5.0086582150422596e-05
treat_p15,-2.253668367733466e-05
treat_p16,-4.402937729150843e-05
treat_p17,-1.8909486480865859e-06
L4treat_p5,4.1942435430838304e-05
L4treat_p6,0.00017271251200112286
L4treat_p7,-7.149762594682262e-05
L4treat_p8,-0.00018984042276602427
L4treat_p9,6.903300448126851e-05
L4treat_p10,-2.675706651872116e-05
L4treat_p11,0.0001589630782328587
L4treat_p12,-9.231569925770328e-05
L4treat_p13,-1.0997314476722808e-05
L4treat_p14,8.910071925981276e-05
L4treat_p15,6.166082519933838e-06
L4treat_p16,-8.20243860138355e-05
L4treat_p17,-1.82088197075526e-05
