,coef
treat_m4,1.958427042061968e-05
treat_m3,-6.570791909788908e-05
treat_m2,-0.0003383257770118987
treat_m1,-0.00135800489974062
treat_p0,0.0011414357381305106
treat_p1,0.00013009017598289565
treat_p2,0.00019614827118898958
treat_p3,0.00029228448496078325
treat_p4,3.145520820947627e-05
L4treat_m4,-2.5567549091125088e-05
L4treat_m3,-7.03215442511324e-05
L4treat_m2,-8.690997539531435e-05
L4treat_m1,-0.0012450311880665664
L4treat_p0,0.0007160136027519538
L4treat_p1,0.00014994290620909506
L4treat_p2,0.00010419919663202274
L4treat_p3,0.00025720692936252005
L4treat_p4,-0.00011609810640554017
L8treat_m4,9.222311273285965e-06
L8treat_m3,3.382120800155554e-05
L8treat_m2,-0.00010776868499014093
L8treat_m1,-0.0009015347673878409
L8treat_p0,0.0008592805541874591
L8treat_p1,0.0003591389356118623
L8treat_p2,0.0003304592447069492
L8treat_p3,0.000373469909307035
L8treat_p4,-0.00018157934131689452
L12treat_m4,-4.3314599415707214e-05
L12treat_m3,-7.5283622311045e-05
L12treat_m2,-8.967393537901615e-05
L12treat_m1,-0.0010622878098742997
L12treat_p0,0.0006446779515027188
L12treat_p1,6.343661618405882e-06
L12treat_p2,0.00017064728647460015
L12treat_p3,0.00030962674651457777
L12treat_p4,-0.00015446347772195244
L16treat_m4,-4.3052798383375674e-05
L16treat_m3,-6.229118737941037e-05
L16treat_m2,5.678737169556168e-05
L16treat_m1,-0.0005982159981984582
L16treat_p0,0.0008493663368870908
L16treat_p1,2.1357833691811396e-05
L16treat_p2,0.00014142185823896625
L16treat_p3,0.0005235528789962508
L16treat_p4,-0.00021170052819781984
treat_p5,-7.292177687332239e-05
treat_p6,3.492735727726305e-05
treat_p7,2.826016015202269e-05
treat_p8,-2.624141513654097e-05
treat_p9,0.0001079019870343805
treat_p10,3.371618449486874e-05
treat_p11,-8.435679207672893e-05
treat_p12,-0.00028733310923468024
treat_p13,5.42475800241933e-05
treat_p14,4.275853116647905e-05
treat_p15,0.00013893241416710285
treat_p16,8.05960439977216e-06
treat_p17,-2.2378280514298515e-05
L4treat_p5,4.7438819410723385e-05
L4treat_p6,-5.735431258360391e-05
L4treat_p7,-7.158117462902868e-05
L4treat_p8,-6.804123061013523e-05
L4treat_p9,7.910689797297725e-05
L4treat_p10,-1.480774786174133e-05
L4treat_p11,5.2086385924707324e-06
L4treat_p12,-0.00021063159550791823
L4treat_p13,-2.7473732526441854e-05
L4treat_p14,0.00018624118807548793
L4treat_p15,0.00013294240264716893
L4treat_p16,2.233763988858094e-05
L4treat_p17,-5.961082700547892e-05
L8treat_p5,0.0001537840022783455
L8treat_p6,-4.149002107409749e-05
L8treat_p7,-1.6675418648453597e-05
L8treat_p8,-7.624035974234205e-05
L8treat_p9,3.1769516396360233e-06
L8treat_p10,-5.7659689680858096e-05
L8treat_p11,-3.285201223568312e-05
L8treat_p12,-0.00023130283016401714
L8treat_p13,5.327733914438166e-05
L8treat_p14,-7.5744056763221e-05
L8treat_p15,-8.487869128437394e-06
L8treat_p16,-0.00012084556639888214
L8treat_p17,-0.0002101877068238735
L12treat_p5,-1.2098102953847103e-05
L12treat_p6,-4.6531906121297446e-05
L12treat_p7,2.3058538762474204e-05
L12treat_p8,-9.804980593258804e-05
L12treat_p9,-0.00015626512212569388
L12treat_p10,-2.9376810366525814e-05
L12treat_p11,-8.426199664350549e-05
L12treat_p12,-0.00017810757799317125
L12treat_p13,0.0001980333806846329
L12treat_p14,0.00011907276515765042
L12treat_p15,0.0001909122908035825
L12treat_p16,0.00017490768126323584
L12treat_p17,-5.3143014044790215e-05
L16treat_p5,4.836775827230322e-05
L16treat_p6,0.0001947408616674758
L16treat_p7,-6.119053200665393e-05
L16treat_p8,-0.00020681837735263137
L16treat_p9,0.0001858450715967288
L16treat_p10,7.010152025893386e-05
L16treat_p11,-0.00020120949774354426
L16treat_p12,-0.0002873429705417047
L16treat_p13,-0.00013989256051866305
L16treat_p14,-0.00018090478308249884
L16treat_p15,0.00011026427857556702
L16treat_p16,-0.0001481503471992554
L16treat_p17,-0.00018969529266980715
F12treat_m4,-6.0807719601878555e-05
F12treat_m3,-0.000121656645657599
F12treat_m2,-0.00014458674971180293
F12treat_m1,-0.0003117916149580415
F12treat_p0,-8.101207808352937e-06
F12treat_p1,4.3957354463492554e-05
F12treat_p2,4.910332058093718e-05
F12treat_p3,0.0002356315479252614
F12treat_p4,-0.00026736884661596096
