,coef
treat_m4,1.7955398089390032e-05
treat_m3,1.1140451651279354e-05
treat_m2,-0.00010505682130574769
treat_m1,-0.0006813471040102791
treat_p0,0.0008142607029261243
treat_p1,5.546141701011126e-05
treat_p2,-4.941340640005624e-05
treat_p3,4.1868514906197534e-05
treat_p4,-6.486462130812937e-05
L4treat_m4,-5.338034523833586e-06
L4treat_m3,-2.930802042411207e-06
L4treat_m2,-1.1215149980251355e-05
L4treat_m1,-0.0006035477543983053
L4treat_p0,0.0007656670252961983
L4treat_p1,9.426814710663972e-05
L4treat_p2,5.853828700916872e-06
L4treat_p3,7.164924347958756e-05
L4treat_p4,2.6396584998766235e-05
L8treat_m4,-3.846225260775706e-05
L8treat_m3,-5.101233001343445e-05
L8treat_m2,5.171859881076638e-05
L8treat_m1,-0.0005639092062143736
L8treat_p0,0.0007027279808647072
L8treat_p1,0.00013209370928839777
L8treat_p2,-2.9378930517054904e-05
L8treat_p3,-4.01400361261488e-06
L8treat_p4,-3.727107810107805e-05
L12treat_m4,-4.4288182909983316e-05
L12treat_m3,-2.5135524392566038e-05
L12treat_m2,5.232136918973089e-05
L12treat_m1,-0.0005616345959514133
L12treat_p0,0.0005077714389774284
L12treat_p1,-0.00012101193668516155
L12treat_p2,-6.720643278421992e-07
L12treat_p3,8.329069559122374e-05
L12treat_p4,-1.2901810630540311e-05
L16treat_m4,-5.098889482104365e-05
L16treat_m3,-5.2836873284793126e-05
L16treat_m2,9.253116263298333e-06
L16treat_m1,-0.00023200745033348535
L16treat_p0,0.0005995596577701852
L16treat_p1,1.0328731408421531e-05
L16treat_p2,-6.62209231847301e-05
L16treat_p3,-8.274404796179682e-06
L16treat_p4,-6.915092430019584e-05
treat_p5,-2.103729627979653e-05
treat_p6,6.455636720723303e-05
treat_p7,6.23401789901114e-05
treat_p8,-7.236401820190923e-05
treat_p9,-3.3039833592795255e-05
treat_p10,-9.617295024080479e-06
treat_p11,3.311034288292372e-07
treat_p12,-2.716185328057375e-05
treat_p13,-1.966869015708374e-05
treat_p14,-4.521479589950008e-05
treat_p15,-2.222318422034232e-05
treat_p16,6.761651461340451e-06
treat_p17,-8.964948523392796e-06
L4treat_p5,-1.7609853719237045e-05
L4treat_p6,6.291567931075525e-05
L4treat_p7,-5.5878586849755595e-05
L4treat_p8,-9.810076913432676e-05
L4treat_p9,-1.207655298966737e-05
L4treat_p10,2.3107405771773997e-05
L4treat_p11,-2.1187393677178214e-05
L4treat_p12,-4.6804671232510466e-05
L4treat_p13,2.45064071844361e-06
L4treat_p14,-3.3989980384016376e-05
L4treat_p15,-4.6197273367547686e-05
L4treat_p16,3.865571711709116e-06
L4treat_p17,1.5315908648951164e-05
L8treat_p5,-1.5015080775390919e-05
L8treat_p6,1.2705983666626517e-05
L8treat_p7,-3.98434276316361e-05
L8treat_p8,-4.901256680615856e-05
L8treat_p9,2.119527835517575e-05
L8treat_p10,4.217591471913333e-06
L8treat_p11,1.0170239043335501e-05
L8treat_p12,-1.1449816677276142e-05
L8treat_p13,2.076710166295632e-06
L8treat_p14,-5.3386224511621655e-05
L8treat_p15,1.744470595250988e-05
L8treat_p16,2.9327431781806932e-05
L8treat_p17,3.6944056557520985e-07
L12treat_p5,-7.549001533841807e-06
L12treat_p6,7.685578602657644e-05
L12treat_p7,-2.815995901329895e-05
L12treat_p8,-2.5842072829712222e-05
L12treat_p9,2.7937345068628677e-05
L12treat_p10,-1.0624196271394033e-05
L12treat_p11,-7.062226599942395e-06
L12treat_p12,-5.1155794199698745e-06
L12treat_p13,-4.4864456856348e-05
L12treat_p14,-1.6795031341588685e-05
L12treat_p15,-1.889362030107671e-06
L12treat_p16,-1.8591058925756827e-05
L12treat_p17,-2.583613383147002e-06
L16treat_p5,-5.243052824608795e-05
L16treat_p6,1.554482720100514e-05
L16treat_p7,-4.317112738153163e-05
L16treat_p8,-8.865721192735222e-05
L16treat_p9,-1.0295923989023064e-07
L16treat_p10,2.4804622054587282e-05
L16treat_p11,2.64003917722899e-06
L16treat_p12,2.128817944396317e-05
L16treat_p13,-3.253679373482036e-06
L16treat_p14,-2.5591073968853445e-05
L16treat_p15,-5.25904739694547e-05
L16treat_p16,1.4879324506580836e-05
L16treat_p17,-1.1262833468738555e-05
F12treat_m4,-1.217153663533709e-05
F12treat_m3,-6.457513820332293e-05
F12treat_m2,8.976664496238186e-05
