,F12treatwage,F8treatwage,F4treatwage,treatwage,L4treatwage,L8treatwage,L12treatwage,L16treatwage,F12treatepop,F8treatepop,F4treatepop,treatepop,L4treatepop,L8treatepop,L12treatepop,L16treatepop
F12treatwage,0.0005101950081310252,0.00030054135315115815,0.00021494699846695743,0.00010591859413480876,0.00030195645460328425,0.00032425175434405105,0.0003169269480898952,0.0003696194910861511,4.3539344563655336e-05,1.9955728259254392e-05,9.4758420677614e-06,3.972913271712244e-06,1.8947439241187222e-05,2.9415957658559348e-05,2.843079582467815e-05,3.299392525367346e-05
F8treatwage,0.0003005413531511583,0.00024005451809123754,0.00015621641136103593,5.9927532948511525e-05,0.00017951908828630242,0.00021182949278486404,0.00020070312686941397,0.00026904822765557427,2.53205426683034e-05,1.6665289696662916e-05,6.761382469173926e-06,8.367693895942485e-07,1.0172560358689183e-05,1.768984864438679e-05,1.777958822713249e-05,2.2564859108582928e-05
F4treatwage,0.0002149469984669575,0.00015621641136103582,0.00027658716079569936,0.0002578054464467094,0.0002607303422336704,0.0002857161285334804,0.00024672956164778736,0.0002780796462459332,1.9627129025555146e-05,1.2991577003449145e-05,2.2668139335457208e-05,2.1117808739916434e-05,2.0437397156833846e-05,2.6097792200420922e-05,1.944418879788422e-05,2.373192939525141e-05
treatwage,0.0001059185941348088,5.99275329485115e-05,0.0002578054464467095,0.0004655646763357308,0.0002495100726477189,0.0002608756603068623,0.00017024507447063912,0.00015144318315640632,1.306844253315777e-05,9.446750756908056e-06,2.630881246670683e-05,4.328975294462052e-05,2.474180697180007e-05,2.4950038163862028e-05,1.1891450459796925e-05,1.3982550959738828e-05
L4treatwage,0.0003019564546032842,0.00017951908828630242,0.0002607303422336704,0.0002495100726477189,0.0004356447911978406,0.0005002817752214881,0.00035739640625350344,0.00037581669742525167,2.5481271639674613e-05,1.378105021281983e-05,1.749707741839372e-05,2.0355667075828638e-05,3.274432604826842e-05,4.550874301065818e-05,2.9236974687291468e-05,2.974584890762189e-05
L8treatwage,0.00032425175434405105,0.00021182949278486402,0.0002857161285334804,0.00026087566030686234,0.0005002817752214881,0.0007140950980777385,0.0004957554359957061,0.0005796688599204185,2.589250667545304e-05,1.5120519712315993e-05,1.6144227224027507e-05,2.0243545768871935e-05,3.7035517715978486e-05,6.414651434875378e-05,4.14076660776387e-05,4.549904776055281e-05
L12treatwage,0.0003169269480898953,0.00020070312686941397,0.0002467295616477874,0.0001702450744706391,0.00035739640625350344,0.000495755435995706,0.0004172228934341537,0.0004699292754315801,2.6126832240206492e-05,1.389079605234933e-05,1.4663826436308272e-05,1.2123938274394161e-05,2.589161642876256e-05,4.553620442814492e-05,3.602844855881616e-05,3.843912391196556e-05
L16treatwage,0.00036961949108615103,0.0002690482276555742,0.00027807964624593326,0.0001514431831564063,0.00037581669742525167,0.0005796688599204184,0.0004699292754315801,0.0006267485649391596,3.0010914391091774e-05,1.773720189723959e-05,1.4883862059454804e-05,8.359924282496559e-06,2.6068786434980975e-05,5.2677619153769945e-05,4.138411944072146e-05,5.2685738039934574e-05
F12treatepop,4.3539344563655336e-05,2.5320542668303402e-05,1.9627129025555146e-05,1.3068442533157767e-05,2.5481271639674616e-05,2.5892506675453044e-05,2.6126832240206485e-05,3.001091439109177e-05,3.930112037491493e-06,1.8524418094506384e-06,1.0876403275699581e-06,7.815749374277835e-07,1.7572316904997514e-06,2.419306212000177e-06,2.356586565085032e-06,2.79322510565818e-06
F8treatepop,1.9955728259254392e-05,1.6665289696662913e-05,1.2991577003449147e-05,9.446750756908053e-06,1.3781050212819832e-05,1.512051971231599e-05,1.389079605234933e-05,1.7737201897239588e-05,1.8524418094506393e-06,1.3752302936714776e-06,8.46632476735242e-07,6.290351382187007e-07,9.861555554944718e-07,1.3018107005260863e-06,1.2200115547627552e-06,1.5325035399434608e-06
