,coef
F12treatwage,0.016904885724802886
F8treatwage,0.006287330326813059
F4treatwage,0.022061506860639866
treatwage,0.039794431551753794
L4treatwage,0.056681274081151145
L8treatwage,0.05551338661988037
L12treatwage,0.051916432093011396
L16treatwage,0.06949281537753582
F12treatepop,0.0032954232495031365
F8treatepop,0.003094670455530748
F4treatepop,0.004514131656767978
treatepop,0.004475807669210543
L4treatepop,0.005573867035621264
L8treatepop,0.005939021212803944
L12treatepop,0.0058132572896462545
L16treatepop,0.007319644871716451
