,coef
treat_m4,-2.2534688436516558e-06
treat_m3,-0.00010063095679907814
treat_m2,-0.0007281322142167647
treat_m1,-0.002353701551826011
treat_p0,0.0025071383388246674
treat_p1,0.00031535050472750626
treat_p2,0.00011746502603531987
treat_p3,0.00036408334752265027
treat_p4,8.516494733142074e-06
L4treat_m4,-4.8929091253231844e-05
L4treat_m3,-0.00015810282165236613
L4treat_m2,-0.00046378135673211105
L4treat_m1,-0.002027381928175553
L4treat_p0,0.001963998582456856
L4treat_p1,0.0002788747802159963
L4treat_p2,0.00013513512092825026
L4treat_p3,0.00022563565686867926
L4treat_p4,0.00014242124908959785
L8treat_m4,-9.309588439163877e-05
L8treat_m3,-0.0002289693305110164
L8treat_m2,-0.0004499454133344286
L8treat_m1,-0.0017808717138298943
L8treat_p0,0.0019346921409638296
L8treat_p1,0.00022786426763272318
L8treat_p2,0.0002528508143735679
L8treat_p3,0.0002324545547716802
L8treat_p4,2.285797804418441e-05
L12treat_m4,-0.00018596069206847852
L12treat_m3,-0.00021445975869290848
L12treat_m2,-0.00030579063074363675
L12treat_m1,-0.0018255935446320236
L12treat_p0,0.0019388950803074121
L12treat_p1,1.6547169856177744e-05
L12treat_p2,0.000377466677616966
L12treat_p3,0.00046921789399398
L12treat_p4,0.0002932184660058128
L16treat_m4,-0.00019216671949668428
L16treat_m3,-0.00029146746042841665
L16treat_m2,-0.0002441406613690683
L16treat_m1,-0.0009419369593927662
L16treat_p0,0.0016252851682050688
L16treat_p1,-9.073067974372217e-05
L16treat_p2,0.0002223165765812656
L16treat_p3,0.00046671560970767316
L16treat_p4,-3.60011559283573e-05
F12treat_m4,-9.21460500400146e-05
F12treat_m3,-0.00012493947763288392
F12treat_m2,-0.0001407360968074652
F12treat_m1,-0.00043113359030853816
F12treat_p0,0.0007589744662144746
F12treat_p1,7.863876882716761e-05
F12treat_p2,3.298225110206554e-05
F12treat_p3,0.0001492688795321059
F12treat_p4,-0.00016145918647143982
F8treat_m4,-3.678707440349513e-05
F8treat_m3,-0.00011357494670981283
F8treat_m2,4.2347330967449234e-05
F8treat_m1,-0.0001358251434543524
F8treat_p0,0.0002670152333150559
F8treat_p1,9.465680612174586e-06
F8treat_p2,-1.6465538776847476e-05
F8treat_p3,0.00024404747865870827
F8treat_p4,-0.00031875615185602673
window_m4,8.526993749310275e-05
window_m3,0.0001092601195242397
window_m2,2.3279612401890045e-05
window_m1,0.0014194278812147498
window_p0,-0.0009410989677485116
window_p1,-9.87879174898807e-05
window_p2,-8.679776076950298e-05
window_p3,-0.00021034754662732337
window_p4,0.00011182129944690546
