,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,1.8857072263147846e-09,6.678201451836077e-10,9.353664740948183e-10,5.580137228868274e-09,-3.781575505825011e-09,-5.786433179296489e-11,1.9867983177981587e-09,-2.056750850526084e-10,2.6839729219269766e-10,1.8695512080540686e-09,-1.178816887856867e-09,-1.3390240227814216e-09,7.776823708559697e-09,-3.5260295988146084e-09,-3.2685741520084887e-10,-2.1666227755012104e-10,1.2896489403685113e-09,-1.5853749099193748e-10,2.629300617198847e-09,-5.19972712409766e-11,1.2368774157550148e-09,4.473075496228427e-09,-1.8536211867060444e-09,1.112077613894268e-09,-1.7552192009256133e-09,2.135273587730333e-09,3.472810127309165e-10,2.708238250584544e-09,1.5292012994368753e-09,1.0932093355922072e-09,5.7108044795754635e-09,-1.6890312553650365e-09,2.3830584731918226e-09,1.114900192379915e-09,-7.372812622995467e-10,-1.7248648389596914e-09,1.7123752863726088e-09,1.9981042378108084e-09,5.650288176208541e-10,2.3886714944043054e-09,-2.4982410115186974e-09,3.91069418419713e-09,4.355064017473191e-10,4.3732018401125524e-10,-1.2898405426563517e-09,5.949638523301956e-10,5.160845203530592e-10,4.1462371275784533e-10,1.5589520472768243e-09,-2.6227448676063283e-10,-8.906722965307339e-10,3.526339015958237e-10,1.712965606652092e-09,-1.9069453162422508e-10,7.456541088816843e-10,-7.330715796416083e-10,-1.2457549426230528e-09,4.5704558629118024e-09,-1.132856561004653e-09,-1.511741815062264e-10,1.0590941115338917e-09,3.676378365050081e-10,4.663782996800392e-10,-7.841447102643363e-10,1.2571965482693791e-10,5.342241818691037e-10,-7.398481035878732e-09,1.2550144898898313e-09,-1.351853552969245e-09,-1.3503383607462205e-10,-2.6215369730477814e-10,6.677600950295529e-10
treat_m3,6.678201451836011e-10,1.145119445931937e-09,2.4338056656434207e-09,6.950218141961923e-09,-6.840317740612661e-09,-1.8392078641620137e-09,9.510227240984556e-10,2.669726492210659e-10,-1.722256422430037e-10,4.66415574514185e-10,-2.3542013646060162e-11,-5.018474084372066e-10,7.408708348155093e-09,-4.666608021514287e-09,-2.011565543555348e-09,5.60246701712342e-10,7.112250274980518e-10,-2.432401109106759e-10,7.321486956539401e-10,9.922550841326833e-10,2.0054378298827005e-09,6.9845507778559905e-09,-3.287361750417369e-09,3.328797678699716e-10,-3.303395939803032e-10,2.0220688304836564e-09,1.7786040672002143e-11,1.5920345608196204e-09,2.250714269502419e-09,6.588328512831225e-12,7.464737066582962e-09,-4.043114025211047e-09,7.553197791415892e-10,1.4555528640645804e-09,-2.85455122022621e-10,-1.5869872823755132e-09,1.0758675797984867e-09,1.9301227565669025e-09,-2.8515412222855774e-10,5.03676025000589e-09,-3.4336087365216243e-09,3.173176827304176e-09,1.498891168959327e-09,5.427207270787989e-11,-1.074915158433257e-09,6.279891652021051e-10,1.4003671604371103e-09,1.2142146322387737e-09,1.7396976976453038e-09,8.771868254372393e-10,-2.0826569652402124e-09,-8.098856871837444e-10,1.42399091823526e-10,-4.965346750580636e-11,5.930918746302055e-10,8.189944157941004e-11,-2.700356994134535e-10,2.563139458280261e-09,-1.0085316116700642e-09,-5.402448142763937e-10,3.163702654903145e-10,-4.617533286264144e-10,2.892511645260155e-10,-5.816588989409968e-10,-3.530939963304672e-10,-7.105965598855441e-12,-1.0102565574001488e-08,2.9424618104979927e-09,1.246276326565166e-09,1.0610599213439465e-09,9.569262104372899e-10,1.6170285395942494e-09
treat_m2,9.353664740948224e-10,2.4338056656433963e-09,3.597749775126434e-08,4.703402467367867e-08,-7.84205075629883e-08,-2.1023070105320588e-08,4.186995932949767e-09,5.253817218238671e-09,6.679639879561775e-10,1.7170037040294841e-09,-1.9857087187293214e-09,1.3669010565877797e-08,6.192089194728564e-08,-4.9464297096735865e-08,-1.5993472473881554e-08,-6.9975979096584165e-09,9.411453672032353e-09,1.8125614094853972e-09,2.482801647801254e-09,2.0958785067670094e-09,2.7349396835734368e-08,5.3205722934936985e-08,-5.4019092369633914e-08,7.950316196272883e-09,-1.0281818257001321e-08,1.5444001035970706e-08,1.9737364112462243e-09,8.988340400871706e-09,1.3655872484866032e-08,1.4156374781736883e-08,6.704691171407056e-08,-4.309963673374229e-08,1.527917127940151e-08,3.1396878822309045e-09,2.7579852885927034e-09,-5.588593197465386e-09,4.401022700831505e-09,1.2926170149871481e-08,7.455195852804098e-09,4.405114531006299e-08,-3.613450843916485e-08,1.895992740837924e-08,1.32700486814669e-08,3.805623215760825e-09,-6.737922344434307e-09,3.0585959794632397e-09,1.1534991403053848e-08,1.8255439522105204e-08,1.518364186909852e-08,1.1153154227323139e-08,1.4182991932245217e-10,-1.0985102689283703e-09,7.606315548775626e-09,3.8047644400338056e-09,3.321042883214287e-09,1.8301193573345698e-09,1.3604998588263476e-08,1.7465850981134165e-08,-2.5677440590438296e-09,2.03236246109886e-09,-2.0985949490787067e-09,4.5231680311610434e-09,8.217950995709868e-10,-5.429489146448268e-10,7.715390048770401e-10,-4.810593568308566e-09,-8.611583175950347e-08,2.3609816106015278e-08,6.706706293986532e-09,1.215191735131798e-08,6.1186777047515876e-09,1.0323652158012926e-08
treat_m1,5.580137228868124e-09,6.950218141962034e-09,4.703402467367831e-08,1.2436671115876211e-07,-1.3766961975113668e-07,-3.8138196496545295e-08,1.070759190001834e-08,7.040358378014989e-09,-4.132818640721986e-09,8.49894476221306e-09,-3.865988223535913e-09,-6.84182444698088e-10,1.48395821654205e-07,-8.610402957698528e-08,-4.203695638245978e-08,-9.61542891744378e-09,2.043846061795713e-08,-5.180219770258715e-09,9.975002799420928e-09,6.781722699516685e-09,3.965623918778426e-08,1.3860740855857896e-07,-8.714977992453454e-08,5.567137480825713e-09,-1.310149245056526e-08,3.573874809507422e-08,-5.841984363721361e-10,2.3419749675296157e-08,2.9607348740329414e-08,7.345459502708128e-09,1.614112441169177e-07,-8.573309360455178e-08,2.0711724630648595e-08,1.2629179952503974e-08,1.7763010633042992e-09,-2.302143277937678e-08,1.324447957373939e-08,2.8265135860509303e-08,-1.3021743457709984e-09,1.0607944672272829e-07,-7.380417269070916e-08,4.005252387375584e-08,3.2013998337138685e-08,8.821815700670756e-09,-2.188318430952757e-08,9.161554711806041e-09,2.0635492403626152e-08,2.546581554799072e-08,4.931355722372989e-08,1.080148539311842e-08,-1.0381619898481117e-08,-2.382775407243349e-09,1.3978166277441969e-08,-3.3597805989000473e-10,9.276461550578638e-09,2.105205198399442e-09,1.1837537273318215e-08,5.681231101576233e-08,-1.2724472224609739e-08,-8.174539323935781e-10,4.677836890162017e-09,5.706716691909076e-10,1.1786754623406785e-09,-5.689245503883837e-09,-7.533933313191185e-10,9.313430442571366e-10,-1.9007383405260675e-07,5.057531975450456e-08,2.180942522011448e-08,2.346119708792688e-08,1.3742184376314375e-08,3.000476519880404e-08
treat_p0,-3.781575505825097e-09,-6.8403177406125645e-09,-7.842050756298817e-08,-1.3766961975113628e-07,2.2106200427580244e-07,5.4703205565171894e-08,-8.946805121229139e-09,-1.1905214331635106e-08,-4.491093016995581e-09,-5.735973883982034e-09,5.618782045575847e-09,-1.9634652644653253e-08,-1.800816367652517e-07,1.4130479190802884e-07,4.837781990111657e-08,1.785368686225899e-08,-2.3675227288833925e-08,-9.794047391395064e-09,-9.964751554223453e-09,-6.349951416920278e-09,-6.473391345337255e-08,-1.656266489378534e-07,1.552490397199289e-07,-1.5081407992847504e-08,2.4150235292020776e-08,-4.236590179453129e-08,-8.996727441670367e-09,-2.543987636825553e-08,-3.935908864709322e-08,-3.1952276967648926e-08,-2.0255637077026577e-07,1.371607006290397e-07,-3.156146511567015e-08,-1.2881765875541327e-08,-2.3847669296161233e-09,1.124822902636432e-08,-1.1041734245366481e-08,-3.9628961816026136e-08,-1.0584858588724982e-08,-1.2646481315925765e-07,1.121312924759095e-07,-5.1799112464028606e-08,-4.13442652357077e-08,-9.885675447097225e-09,1.4185362255235234e-08,-7.734813723261195e-09,-2.98444442148895e-08,-3.997573366643964e-08,-5.0252741377932926e-08,-4.953693390755432e-09,1.0029550083350838e-08,3.6482530695933364e-09,-2.0877149376554247e-08,-9.033118149477183e-09,-9.424703048478954e-09,-5.366509354106237e-09,-2.1669654035191566e-08,-5.686580237848752e-08,1.835724306495975e-08,-4.835255150107359e-10,1.0243958096523894e-09,-1.0303779957744827e-08,-3.374131204206929e-09,4.916037455863081e-10,2.6446576448898464e-09,2.510323830661242e-09,2.4359813723117345e-07,-7.052979650846844e-08,-2.078825405274421e-08,-3.1949265354304656e-08,-1.8349904534583243e-08,-2.836095461457672e-08
treat_p1,-5.7864331792949695e-11,-1.839207864161953e-09,-2.1023070105320816e-08,-3.813819649654515e-08,5.470320556517197e-08,2.7410422908945455e-08,-9.628381111630346e-10,-5.531027766541693e-09,3.4963221940323436e-09,5.287393501367602e-10,-1.939070927067238e-09,-7.70846094783037e-09,-4.211425498861134e-08,3.143695525768521e-08,2.440067311141838e-08,3.754551264154634e-09,-3.7140085080529495e-09,3.341971675328282e-09,-1.4364075304353825e-09,-4.1760114030210125e-09,-2.0818869180631266e-08,-4.373847175543322e-08,3.347822180043668e-08,1.4510890507914798e-08,1.0614420177419604e-08,-7.199024407748122e-09,6.449181558638042e-09,-6.628205066246348e-09,-1.0837402679662505e-08,-5.888716724778281e-09,-4.786733180713153e-08,2.945594703917588e-08,5.925978972701546e-09,-1.2971591819930598e-09,-1.8408116333746295e-09,6.599224573470827e-09,-3.89388482680689e-09,-1.1017647252606496e-08,-4.6785563180933526e-09,-4.384342305442015e-08,2.3736484955093884e-08,2.9849043993110376e-09,-7.107173068167461e-09,2.098126336747021e-09,1.0225533371903793e-08,-5.963523932145235e-09,-1.0826813869712853e-08,-9.452837397763477e-09,-1.6794420922477513e-08,-4.694741890768753e-09,5.542118853746365e-09,-1.457397835378136e-09,-4.6523273668312645e-09,-5.669476362847723e-10,-4.6045589923717526e-09,-3.1549424095748114e-09,-7.508162426115626e-09,-8.54034998207726e-09,6.0244658409204374e-09,9.85391008871814e-10,5.072892187698685e-10,8.674125320161462e-11,2.6489363299728194e-09,2.1700415637045457e-09,2.2020229727143237e-09,1.5706554614730925e-09,6.150825144243038e-08,-1.896124903163525e-08,-1.7164459543150452e-08,-1.0038850866936698e-08,-5.45417216873293e-09,-1.283061915285552e-08
treat_p2,1.9867983177981583e-09,9.510227240985505e-10,4.186995932949725e-09,1.070759190001883e-08,-8.946805121229185e-09,-9.628381111629492e-10,9.030710637149823e-09,-8.832773059074569e-10,-1.3778014113683387e-09,1.9345416001826588e-09,-2.2918718881373814e-09,-1.445990707508572e-09,1.3385089109916177e-08,-3.924883380063158e-09,-2.7917796271749237e-09,6.774033666228852e-09,9.8268359509021e-10,-1.7911565303557138e-09,3.2078699442883216e-09,6.418704863954749e-11,2.1258726320605956e-09,6.5598147255841986e-09,-3.5502139447112664e-09,5.263279914769661e-09,4.712270327324121e-09,9.838685865347778e-10,-1.331042943924414e-09,3.146128677335793e-09,2.0034186279574375e-09,-5.564401621825117e-10,6.552310506818846e-09,-4.799541942683019e-10,5.325435303623434e-09,6.1041230743394065e-09,-1.4569296111824363e-09,-2.792269840323165e-09,3.0487894716837163e-09,2.077509330641389e-09,-1.227481333253638e-09,6.032729115662683e-09,-7.205960330227309e-09,1.2305782739303333e-08,8.69223855893114e-09,2.6325730158642395e-10,-8.16294712610091e-10,1.6965221840644504e-09,4.5285889756488614e-10,2.781559948467997e-09,2.4758407555338667e-09,6.018543491355411e-09,1.2311334100163254e-09,1.6751025227721072e-09,-7.879801633979835e-10,-5.806960127633918e-10,7.687462699426467e-10,-8.948993984496159e-10,1.7176561665711839e-09,6.3172129481365114e-09,2.405904912602831e-10,1.3165123196451346e-09,3.151770810611228e-09,-1.78110091905142e-09,-6.644997021769056e-10,-1.6910942566596002e-09,1.976798296410963e-09,-2.775074528920089e-10,-1.4780774137824143e-08,1.4418923780018136e-09,-2.6927105068828632e-09,-3.7194898411943546e-09,1.3814941349705191e-09,2.243907863603678e-09
treat_p3,-2.0567508505259399e-10,2.669726492210567e-10,5.253817218238912e-09,7.040358378015362e-09,-1.1905214331635073e-08,-5.531027766541689e-09,-8.832773059073302e-10,7.834217213009785e-09,3.397201870375132e-10,4.2505560081204085e-10,6.08694344376115e-10,2.820038745415476e-09,7.991225096288585e-09,-6.863015795652034e-09,-4.653771758951466e-09,-2.4295759427572026e-09,4.129347752544757e-09,-8.451450988631328e-10,8.253250075592175e-10,8.950048621328624e-10,6.2052826445125805e-09,8.570197338490393e-09,-8.657350619943265e-09,-4.649039093468484e-09,-4.028008141978562e-09,5.972047555630054e-09,-1.4959451569676143e-09,1.7378395670930452e-09,2.2747219138503084e-09,4.137584822006688e-09,9.271319267987124e-09,-7.3379196573726866e-09,-1.612949720565299e-09,-1.0328483261853954e-09,3.756253754706079e-09,-6.909770432772621e-10,9.133141575288767e-10,3.352736324511347e-09,2.7497661122677383e-09,8.297917011145605e-09,-4.204357993443133e-09,-1.6836514771453354e-09,-9.868807410973186e-10,1.770175306027099e-09,-2.4961383964048633e-09,9.103220422468465e-10,2.207003366781996e-09,7.372724482269233e-10,5.942632078994883e-09,-1.4659540626956956e-09,-1.4285437461735908e-09,8.707030413787465e-10,5.1951944651260185e-09,5.142660148922317e-10,6.101757992336421e-10,4.910545066917916e-10,9.929430181851359e-10,2.040590590785071e-09,-3.511953527773653e-09,-1.2840110643123903e-09,-1.0605586512729008e-09,5.036587727363368e-09,-5.324282567046831e-10,3.4270815035843016e-10,-6.753843756125482e-10,5.271267073274647e-10,-1.1997411704085371e-08,3.5561695609871874e-09,3.6749186095321307e-09,2.921918117916982e-09,-2.5929756082029856e-09,2.3925334225406382e-09
treat_p4,2.6839729219271105e-10,-1.7222564224293363e-10,6.679639879562373e-10,-4.132818640721787e-09,-4.491093016995722e-09,3.4963221940323295e-09,-1.3778014113684086e-09,3.3972018703764336e-10,7.0972509509406636e-09,6.330826521119082e-10,-1.5901547568720575e-09,1.8018266137357017e-09,-4.977450149691842e-09,-5.9183171740077e-09,7.63609777335009e-09,-3.2443156912091253e-09,1.5298607840301061e-09,5.266243132529471e-09,1.3026983845981505e-09,-8.154162010109592e-10,2.2957503119208998e-10,-5.313142285622034e-09,-5.177961035099265e-09,5.700164590083149e-09,-1.070703116554307e-09,2.227134235668383e-09,3.396916487266373e-09,-8.592485390251754e-11,5.009325582646243e-10,3.5296517206225038e-09,-2.413183347285796e-09,-6.947323623801489e-09,3.8947520942846905e-09,-9.115576052317603e-11,-4.06659184227422e-11,3.7011415443279493e-09,3.777737885540129e-11,1.100587700665798e-09,1.155894628891033e-09,-6.003419570875264e-09,-3.816692359426306e-09,4.4740183684223265e-09,-2.5054771482490984e-09,3.8093527521820024e-10,3.3787181008733273e-09,-1.5499607147543723e-09,-1.1599320523923933e-09,-1.1170553560153544e-09,-3.2789563979186677e-09,-4.489328136560062e-09,-2.1286095718038266e-10,-1.0252637304713916e-10,3.2167734076916834e-09,2.667911806558088e-09,-1.4495504960541243e-09,-2.6495754387816577e-10,-1.2314170006761605e-09,-1.7363300025362025e-09,-1.0451982321851354e-09,-9.42746359321467e-10,-1.5082722673129617e-09,4.128333286500095e-09,1.0303951380525254e-09,8.225775684260532e-10,-7.190530231106977e-10,1.2837623436224028e-09,2.4226328776604304e-09,4.3096850890670824e-10,-4.704367084331578e-09,1.0740803894347763e-09,-1.1353420508808826e-09,-3.4663508770279234e-09
L4treat_m4,1.869551208054059e-09,4.664155745142028e-10,1.7170037040294814e-09,8.498944762213102e-09,-5.735973883981995e-09,5.287393501367381e-10,1.934541600182651e-09,4.250556008120501e-10,6.33082652111905e-10,2.875549259644264e-09,-1.3947485041796375e-09,-1.3404190059949734e-09,1.2191417073853592e-08,-5.174043179551377e-09,-2.081086707479134e-10,-1.4771857938325704e-09,2.8967208565457777e-09,-4.115886581235686e-10,3.2654421643142436e-09,-3.500481844061134e-10,1.87866917597605e-09,8.627658999430597e-09,-3.8312457071502e-09,2.9497432760886044e-09,-2.0506972945207266e-09,4.7826614701792424e-09,9.90712313191344e-10,3.5720993947148857e-09,1.8001300004634336e-09,1.5230876436881372e-09,1.0482047305818724e-08,-3.420270251489779e-09,5.3229415994296295e-09,1.2865806709784666e-09,2.1430460892359257e-10,-2.856947429394479e-09,2.1768274765906483e-09,2.348582318419625e-09,2.827726229060252e-10,4.435578887997124e-09,-3.896290556500838e-09,5.910205526083706e-09,1.7711529885375373e-09,1.7924107264297127e-09,-1.4133499226772841e-09,5.006490957490873e-10,3.059115190084782e-10,1.000150649806409e-09,3.4570016058047656e-09,-4.5983721991940356e-10,7.379837457310397e-12,3.4298841089055725e-10,2.674310791159854e-09,1.2195244258082206e-10,7.750394379907766e-10,-9.61289850499326e-10,-8.577456784862151e-10,6.944027527623521e-09,-1.037700745028494e-09,9.865240868346098e-11,1.352205629335261e-09,1.0967019249859445e-09,1.081995115953446e-09,-8.744061608171664e-10,5.794365025980031e-10,6.417161175005795e-10,-1.179200774378687e-08,1.9815163244260244e-09,-1.5214344430790408e-09,7.41368906328102e-10,-3.547714968001203e-10,1.295051921727474e-09
