,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,6.5502727598712765e-09,2.1907741381625594e-09,9.922764530148121e-09,3.915180931517859e-08,-3.299661885406191e-08,-5.487500959879094e-09,7.4127184686128736e-09,1.0165808691740228e-08,5.934453944799721e-09,5.248049637735469e-09,-5.470097133331377e-09,-5.3746155337992335e-09,5.753154812365455e-08,-3.2023601326031284e-08,-1.411017399292744e-08,-5.13958026911737e-09,-1.732851011580818e-09,4.624462921138304e-09,6.197367561442819e-09,-1.6093315518112416e-09,4.997397188008372e-09,4.627263094789001e-08,-3.5443370254071987e-08,4.527789530129713e-09,-1.199246625870969e-08,7.610807312226852e-09,4.789124714707778e-09,7.859603003091789e-09,5.811765885199525e-10,-9.409651447893359e-11,5.001835103691824e-08,-2.7258487706197714e-08,5.547638994728746e-09,-9.08721521129983e-09,-1.888747543435234e-09,2.260638041450841e-09,4.606704281998288e-09,1.7808843894763133e-09,-8.845235970338779e-09,3.080137009447556e-08,-2.4595913655629937e-08,1.7485758943281507e-08,6.891614697645375e-09,8.587902186616121e-09,1.6358932372943236e-09,-1.7774670362778793e-09,-1.729719332771594e-09,-1.4956591322859323e-09,8.304820160457444e-09,1.8330438519802593e-09,-7.6252709224047e-09,-1.0901462454134688e-08,8.757805266817786e-09,6.216767529446715e-09,2.813766035877328e-09,-6.608929419028061e-09,-2.6684260424519604e-10,1.682804649348864e-08,-7.695090165787073e-09,-1.8376332783032668e-09,-7.3705022146627115e-09,5.826103767081505e-10,5.894899498022709e-09,4.0027996714803506e-10,9.459226554287696e-09,1.3083881804525259e-08,-4.849042372576399e-08,1.3877698634552734e-08,2.316043663739152e-09,5.6763695351157825e-09,-3.332643259584493e-10,1.4936979598477764e-09
treat_m3,2.1907741381621247e-09,5.579774213509377e-09,8.48994890668648e-09,3.49515314040091e-08,-2.5788233328911348e-08,-4.539971129352948e-09,2.656627686474496e-10,9.699708808776322e-09,5.385153477172937e-09,2.6698157398394536e-09,-4.436058627944658e-10,-4.262324588882557e-09,4.21878366133938e-08,-2.78874914083343e-08,-8.351834796701736e-09,-1.0593724309163487e-09,2.3216804877813722e-09,2.737825342182337e-09,2.5779197938024523e-09,2.7505883783201384e-09,4.0437390729553175e-09,4.173331366643657e-08,-2.0122513374252916e-08,1.2726721128694238e-09,-1.0834232983016141e-09,8.23086095801845e-09,1.3768631031511699e-09,2.1506256327443667e-09,2.5246168088693533e-09,-4.017317707120768e-09,3.639073790622796e-08,-2.713321435188363e-08,1.220651722768751e-10,6.741397848919154e-11,8.159801152356284e-10,-1.159510401029176e-09,6.689624377358719e-10,2.816355405918872e-09,-9.997605907673382e-09,2.886960038062995e-08,-1.5625417573018285e-08,1.2220071573390299e-08,5.668032356559126e-09,5.1741865744380235e-09,-1.1811120368547153e-09,-2.0353145526378846e-09,8.646973236881766e-11,8.317810643130083e-11,1.3732320341233843e-08,-4.2871665812750474e-10,-8.028279303694897e-09,-7.870742837307625e-09,3.388535392860974e-09,7.871585479736537e-10,-1.2412797226850953e-10,-8.581819401808643e-10,8.044569125090341e-10,7.564806120532171e-09,-1.0770316396566297e-08,4.6755431552306484e-09,-3.503927425513988e-09,-4.6169520929440763e-10,2.6086251982410046e-09,1.2763518985886971e-09,3.5808835885299402e-09,8.002163100598856e-09,-4.041805038733481e-08,1.7119664682528262e-08,5.816415354387572e-09,5.7316775804876045e-09,1.0784428483851819e-09,2.8640668846886208e-09
treat_m2,9.9227645301479e-09,8.489948906687698e-09,8.154472024172185e-08,2.155404938979472e-07,-2.1511645207289603e-07,-2.6722797644047893e-08,2.03626610853505e-08,3.5974294480762695e-08,4.503884333274885e-08,1.6471856443814543e-08,-1.568681465709738e-08,5.5207644179413205e-09,2.578037224154513e-07,-1.6625125144981386e-07,-5.8210819316377906e-08,-3.6680039156233875e-08,9.285459366360746e-09,2.5313419511577656e-08,1.2954983593467785e-08,-1.0043191531950807e-08,3.338967586431312e-08,2.1296583934411455e-07,-1.6980404468382516e-07,-5.201670578651873e-09,-7.480330375629142e-08,2.26006191394e-08,2.051420684313735e-08,2.8791724218592484e-08,1.0685869057062955e-08,1.0267712227699285e-08,2.4336603796975787e-07,-1.5868692236244707e-07,3.7348113458456706e-08,-3.671978659876306e-08,-1.4732829873740864e-08,2.2641738760307137e-08,9.123876810284583e-09,9.621704285791987e-09,-3.948720096076394e-08,1.6486125338676022e-07,-1.214254724736858e-07,8.44107205590394e-08,9.498610299481753e-09,1.4812429549251368e-08,-7.407811917971593e-09,-8.976853203533531e-09,7.449191350595231e-09,7.343450185731802e-09,7.020363065887663e-08,2.679322117889437e-08,-2.3422275787426883e-08,-5.98410454022562e-08,3.208174906191262e-08,1.434979315840872e-08,1.0927578722484524e-09,-1.80062279228104e-08,1.8982658219921946e-08,6.447833729052279e-08,-2.0867199924540434e-08,4.0559526213502074e-08,-5.899452947133583e-08,-7.4125671303659575e-09,1.0755035658398366e-08,8.433789617853983e-09,3.4127436727852604e-08,5.708620384183847e-08,-2.720088395442836e-07,6.04188089403418e-08,-7.784569339596367e-09,4.846664241219515e-08,2.755898176053317e-09,1.2325584241356478e-08
treat_m1,3.915180931517806e-08,3.495153140401044e-08,2.155404938979565e-07,9.557299276740411e-07,-7.769648993648679e-07,-1.147420118553155e-07,5.519466361625689e-08,1.447528381702285e-07,1.0827270103068191e-07,7.513151704454697e-08,-5.469868341109918e-08,-8.241409807721784e-08,1.0809218253285037e-06,-6.407142774557987e-07,-2.8609345448146737e-07,-1.2679537245062962e-07,6.043601221936772e-08,5.4181332880242985e-08,7.656479556123049e-08,-6.962181037917676e-09,8.472038550115313e-08,1.050416726020582e-06,-5.956397970884277e-07,2.440974739288103e-08,-2.1335304058214936e-07,1.347468520191584e-07,3.999422239830689e-08,1.405409962382466e-07,5.6313829923630864e-08,-6.641162550216318e-08,1.1074508443285486e-06,-6.039652971404048e-07,6.924110517510428e-08,-1.2620923409198287e-07,-1.244458373944742e-08,1.2498955766680023e-08,7.091317677478469e-08,8.121408858227783e-08,-2.0613722961722698e-07,8.212121765973157e-07,-4.471685702568301e-07,3.2300435297188114e-07,1.0137766913425769e-07,1.0503060719052804e-07,-3.523845270483099e-08,-1.0833628972479725e-08,3.883775331935258e-08,4.9783756296454556e-08,3.225348154624553e-07,5.761475436283585e-08,-1.1884933749892535e-07,-2.0155739917876255e-07,1.284581717931309e-07,4.050471081615277e-08,2.7484331460240255e-08,-4.491884407831814e-08,6.597635552253276e-08,2.562526996022751e-07,-1.620290121344617e-07,1.380405394971236e-07,-1.421202609734258e-07,-2.9703700327908324e-09,4.992497981847373e-08,-3.5728718966135863e-09,9.881804897772867e-08,2.3105982687918397e-07,-1.1030600134241557e-06,3.042492456345319e-07,5.496315083878109e-08,1.6279166232382478e-07,1.3211414194200673e-08,8.484887480087181e-08
treat_p0,-3.299661885406283e-08,-2.5788233328911417e-08,-2.151164520728971e-07,-7.769648993648623e-07,8.020538931207198e-07,1.2283867844726802e-07,-6.771138299677193e-08,-1.1391523556598342e-07,-1.3104495722066185e-07,-5.512888200274198e-08,5.0671734500314694e-08,2.804699077098824e-08,-9.220049910175249e-07,6.448423820954686e-07,2.404901901667294e-07,1.0406085038112844e-07,-1.8223401960482528e-08,-9.12567533705311e-08,-6.003277472052052e-08,1.940285515830476e-08,-8.44579250396673e-08,-8.299960497150921e-07,6.39749734233447e-07,2.534598300649252e-08,2.5212176217896323e-07,-7.573122670448158e-08,-5.5289464319870507e-08,-1.2704391619662207e-07,-5.1979512105317704e-08,1.639988422785051e-08,-9.080025939772338e-07,5.896384964516117e-07,-4.7161397683149104e-08,1.0755231829592865e-07,5.7018927264846645e-08,-6.02707951487107e-08,-4.9690580212141436e-08,-5.4948479007389086e-08,1.8024629728606984e-07,-6.380240314406757e-07,4.5684495625370446e-07,-2.7013337224827626e-07,-7.813186690450616e-08,-5.078425351165727e-08,1.941395762333681e-08,2.0154540168714107e-08,-4.261240052009417e-08,-1.3895841143991485e-08,-2.52325432582843e-07,-3.722989617344901e-08,1.1873167683579279e-07,1.9334130131890437e-07,-1.109179142380631e-07,-4.92968384453823e-08,-1.6223390500618254e-08,4.500203425248703e-08,-3.6428226561593855e-08,-2.0991089523071345e-07,1.3559248930432334e-07,-1.1735451832575322e-07,1.7288124424422851e-07,2.511028966136121e-08,-4.537043838102839e-08,-1.0705775153627933e-08,-9.160494955906695e-08,-2.156608607393519e-07,9.639090200143126e-07,-2.6273014358257244e-07,-2.6384929030514436e-08,-1.5823478934261523e-07,-2.7868551948293177e-08,-6.38954537154077e-08
treat_p1,-5.487500959879037e-09,-4.539971129352433e-09,-2.672279764404688e-08,-1.1474201185531383e-07,1.2283867844726635e-07,5.537865470384279e-08,-9.392668615104294e-09,-1.3322506826722296e-08,-1.9457178195861946e-09,-5.21214089778407e-09,5.691774817957522e-09,2.949031297846814e-09,-1.380676567546714e-07,8.265508325790067e-08,6.793906654537381e-08,4.484861120457271e-09,4.4516170366750735e-09,-8.094217121295738e-09,-1.2861292200554491e-08,1.0608211090635595e-10,-4.174127940259527e-09,-1.1972217189341433e-07,7.807677004636149e-08,5.373922330130804e-08,5.332695802889627e-08,4.815279171482837e-09,9.091213439798793e-09,-2.449260611065854e-08,-1.9345491231863828e-09,2.1338724770451836e-08,-1.188935389429136e-07,5.6834848848891626e-08,4.964122583212852e-08,1.2991129559983034e-08,1.812989902902975e-08,-7.707826371084938e-09,-1.4118367084497921e-08,-6.438461288246261e-09,4.055141282250466e-08,-1.1528561565383192e-07,5.337436273771334e-08,3.4229737670472845e-10,2.0716667373523314e-09,1.5013555960008824e-08,1.0481345164499152e-08,-1.7595632969830774e-09,-1.7054486580330725e-08,-2.2339664390086502e-09,-3.615645070517638e-08,-1.8473175921125747e-08,4.377384579722871e-08,3.4107652631637854e-08,-4.467464443825596e-09,-3.055759774442301e-09,-3.12692573005907e-09,6.546428654403991e-10,-9.94607830068936e-09,-3.938571549341232e-09,2.28964679436777e-08,-6.8256943209213e-09,3.607265393397428e-08,1.8688412198840158e-08,-4.2902048514170115e-09,5.6785782390321834e-09,-1.1339598964675942e-08,-3.220570174112511e-08,1.418199521888438e-07,-3.747567645900272e-08,-3.981671387229178e-08,-2.547661783495338e-08,-1.4508549600145646e-08,-1.6262982461163127e-08
treat_p2,7.41271846861274e-09,2.6566276864744873e-10,2.0362661085348697e-08,5.519466361625582e-08,-6.771138299677389e-08,-9.392668615104515e-09,4.3396648868795436e-08,-1.4434111209776724e-09,8.271931397123657e-09,5.393077351079115e-09,-1.3396753937261506e-08,-2.6193936937385942e-09,7.554659252540712e-08,-6.251872515136365e-08,-2.1836462079494412e-08,-1.237230384158749e-09,-1.5649258457890615e-08,9.779143048572926e-09,8.152590602380512e-09,-7.2060324568996844e-09,-1.3567541105007152e-09,3.8976373698240083e-08,-5.2217700396755555e-08,-8.957646897807516e-09,-2.6649862467049592e-08,-9.11684080853798e-09,5.904539761261243e-09,1.6890986351120006e-08,2.7957958321014842e-09,-2.0599489915324115e-10,6.885584843163553e-08,-3.232369250123099e-08,-2.5807278549569987e-09,-6.212902449718366e-09,-3.0314108076565866e-08,1.310636578438501e-08,7.828051221920545e-09,1.972054102634747e-09,-1.6249882666832748e-08,4.3150494607336485e-08,-2.7358852633439365e-08,2.8008664488434735e-08,1.3170578636394437e-08,-2.729711131913484e-09,9.179958205964981e-09,2.162448358493518e-10,4.046036017300642e-09,-1.2353912084859195e-08,1.207470981958986e-08,1.24782604001651e-08,-1.535621557764447e-08,-6.650200527467728e-09,8.169691429333774e-09,5.206457932414931e-09,4.750001959468871e-09,-1.1068173706519147e-08,-8.236043507376809e-09,1.2053928808011724e-08,7.58777381114505e-09,-4.480915687901514e-10,-1.525416376216856e-08,-2.083801568684392e-08,8.033070172653676e-09,-5.809033581872875e-10,1.2843281674588403e-08,2.849531248968441e-08,-7.667047289276897e-08,3.942533138647272e-09,-6.29578564665082e-09,1.1672666228427864e-09,6.1628993086188924e-09,1.0303617456664534e-09
treat_p3,1.0165808691740344e-08,9.699708808776273e-09,3.5974294480760717e-08,1.447528381702303e-07,-1.1391523556598324e-07,-1.3322506826722741e-08,-1.4434111209780002e-09,8.348904171916167e-08,3.356882825638034e-08,1.3565051197338802e-08,-1.1643075317526777e-08,-2.3300652462921207e-08,1.6808159760287615e-07,-9.447393956127519e-08,-3.110727380745226e-08,-1.6670755839786367e-08,1.4316383631423464e-08,-5.345118200140248e-09,1.4034795977536045e-08,1.37926207424346e-09,1.774480237985738e-08,1.7200891768904188e-07,-8.99704418025424e-08,9.90234891403957e-09,-2.415532106208207e-08,6.478474465123717e-08,9.497172860463366e-10,2.2673843640420556e-08,1.206975345415516e-08,-9.053869005515845e-09,1.5439079338794221e-07,-8.736150492385913e-08,3.3124415823315114e-08,-1.0916366742729761e-08,2.284138536498678e-08,-2.6001616026736327e-08,1.5729770063920622e-08,1.5191146318787795e-08,-3.854183683217825e-08,1.0912662865405897e-07,-5.4809475692037274e-08,5.804764426541931e-08,1.841199556999673e-08,3.217995984600105e-08,-2.358321450699016e-08,-7.947823950243838e-09,-2.7514574967633407e-09,7.695266674167817e-09,5.3892054916934336e-08,6.243724849145851e-09,-3.505777031841552e-08,-3.211290731651113e-08,3.7209970950203225e-08,1.3064369842249592e-08,9.176503674151424e-10,-1.1142820383254574e-08,5.308135351999214e-09,4.871429849710238e-08,-4.3988933882424405e-08,1.2157688226087204e-08,-2.7813838469353468e-08,3.597780003085714e-08,8.397070727604175e-09,1.8734535440220065e-09,2.2066208944946582e-08,4.453094993852366e-08,-1.740996621099735e-07,3.998116267324776e-08,1.182105905304397e-08,2.841796317713052e-08,-2.0426696053879373e-08,1.719523685553777e-08
treat_p4,5.934453944799506e-09,5.385153477172336e-09,4.503884333274823e-08,1.082727010306796e-07,-1.3104495722066195e-07,-1.945717819585978e-09,8.271931397123775e-09,3.356882825637974e-08,5.640332939193875e-08,1.0689115287161465e-08,-1.0643930192815496e-08,3.244209940569485e-09,1.4998023506603162e-07,-1.2346834867333963e-07,-5.679128623206085e-09,-2.7442487819571704e-08,1.8782883842332542e-08,2.9744130944687958e-08,3.1898465608138436e-09,-4.510219654328069e-09,3.1238072842381963e-08,1.089701744351513e-07,-1.4298760277661298e-07,2.8665758843213903e-08,-3.936694364297902e-08,3.5898082066351904e-08,2.384780619520025e-08,1.3910350638969282e-08,1.8072200903670952e-08,2.7437948589416738e-08,1.3860869384756255e-07,-1.3354669252149703e-07,5.425972288131918e-08,-1.254335637820806e-08,-2.9895491416626684e-10,1.8409673441894063e-08,-9.100032913717591e-10,1.1056545663007871e-08,-1.2349316106712301e-08,5.629002308134748e-08,-1.0701864774901017e-07,7.48273829915062e-08,1.2599671157903193e-08,2.295367918522389e-08,-1.3025653890324282e-10,-1.1669025482421725e-08,-3.980428488699172e-09,6.144335598492747e-10,3.8175744979427904e-08,-7.281111783309036e-09,-6.849145382517523e-09,-3.3243949014290316e-08,3.660623518105136e-08,1.4893518252707761e-08,-1.3699875365280967e-09,-1.483752451651085e-08,1.316431683880909e-09,6.627305506436262e-08,-2.811364247169866e-08,1.353602092108424e-08,-3.249168637832046e-08,1.9558096306522857e-08,1.1409063876708528e-08,1.2614578752115562e-08,1.7852455164550013e-08,3.426956456416683e-08,-1.5760313375971295e-07,4.5649763968311306e-08,-3.0112304104447126e-08,2.8722612695885685e-08,-1.218594536594982e-08,-2.109912318680406e-09
L4treat_m4,5.248049637735595e-09,2.6698157398396645e-09,1.6471856443814398e-08,7.513151704454691e-08,-5.512888200274127e-08,-5.212140897784011e-09,5.393077351079238e-09,1.3565051197338767e-08,1.0689115287161405e-08,9.217577072359165e-09,-5.849948698859359e-09,-7.669051075340211e-09,9.23948283054252e-08,-5.029505497078099e-08,-2.0068135412042643e-08,-1.3648950864813715e-08,4.877131371051474e-09,4.877681655435224e-09,7.3201985008415834e-09,-1.588739106963131e-09,6.729113798043951e-09,8.400760083298971e-08,-5.0295242430190814e-08,7.4384084440191315e-09,-1.8055041154076952e-08,1.52556142179535e-08,3.7801237902695654e-09,1.1978751693184347e-08,3.9805761394117944e-09,-4.356345603856626e-09,8.924160971657619e-08,-4.829269953876402e-08,1.4666946378462908e-08,-1.172540687069233e-08,7.915127232378624e-10,-1.6336408097064047e-09,6.259554681096012e-09,6.276518488783414e-09,-1.665106811589491e-08,6.125750064258873e-08,-3.984875046614923e-08,2.9445573661436134e-08,7.830677942940501e-09,1.3408624800493722e-08,-3.7385456797956705e-09,-1.1671697023922058e-09,8.081940292992597e-11,2.5704159488798774e-09,2.280774633435957e-08,4.438642777494326e-09,-6.856009412558273e-09,-1.5866912181702633e-08,1.3492061589824622e-08,5.515624376570286e-09,3.4149643847062503e-09,-6.2300662363208876e-09,4.5529848613555524e-09,2.2410832205000983e-08,-1.298607744441115e-08,7.11887760323744e-09,-1.2651668748095863e-08,1.8043082355973725e-09,6.17665061260675e-09,1.1036544815524493e-10,1.1163509751944877e-08,2.160048162495157e-08,-8.549871032717927e-08,2.6289092878957593e-08,2.386567653651671e-09,1.3848832251852758e-08,-5.53879184373845e-10,5.549609594699171e-09
