,coef
treat_m4,0.00010859522510670522
treat_m3,-0.0001534823766604771
treat_m2,-0.0011254331425439074
treat_m1,-0.0037737405729842267
treat_p0,0.0042543543858491505
treat_p1,0.0005136872936169956
treat_p2,0.00011238358554983393
treat_p3,0.0007558570528494083
treat_p4,-1.9479822590864064e-05
L4treat_m4,-0.00013814688786115457
L4treat_m3,-0.00019284257053549803
L4treat_m2,-0.00037291259131684183
L4treat_m1,-0.0035339605053325775
L4treat_p0,0.003390529064998315
L4treat_p1,0.0004223879466599144
L4treat_p2,0.000335570485507089
L4treat_p3,0.00023032442444572738
L4treat_p4,0.0002405657864556314
L8treat_m4,-0.0001003713758605352
L8treat_m3,-0.00021559875305209573
L8treat_m2,-0.0004221384859326474
L8treat_m1,-0.00315909553820384
L8treat_p0,0.003378068873895616
L8treat_p1,-8.594264985270875e-05
L8treat_p2,-0.0002074232313570862
L8treat_p3,-9.727213896593568e-05
L8treat_p4,-1.619713807336219e-05
L12treat_m4,-0.0001850523810689677
L12treat_m3,-0.00033559258563542547
L12treat_m2,-0.00013964439570932733
L12treat_m1,-0.0035205648068469086
L12treat_p0,0.003785055345208264
L12treat_p1,-0.00035831246007390243
L12treat_p2,0.0002216462056708088
L12treat_p3,0.0001437775191652486
L12treat_p4,0.00024601272403430673
L16treat_m4,-0.00013887793062574225
L16treat_m3,-0.00042478190712805366
L16treat_m2,-3.924104256342048e-06
L16treat_m1,-0.002338010866982931
L16treat_p0,0.0029752092166981945
L16treat_p1,-0.000671397925672925
L16treat_p2,0.00017047354059007006
L16treat_p3,0.00022669932816112053
L16treat_p4,-0.00014560882822868974
F12treat_m4,-0.0001687463854808287
F12treat_m3,-0.00021082281718250883
F12treat_m2,-0.000121350893560859
F12treat_m1,-0.0005777690438333691
F12treat_p0,0.0007325532713494567
F12treat_p1,-0.00010159766365732054
F12treat_p2,6.951940980862858e-05
F12treat_p3,0.0003468581919506961
F12treat_p4,-0.0002602582983804113
F8treat_m4,-3.066596504831686e-05
F8treat_m3,-0.0002255742638386105
F8treat_m2,0.00017105493320510352
F8treat_m1,-0.0002559632306436001
F8treat_p0,0.0002758212344367737
F8treat_p1,-2.0632813647447555e-05
F8treat_p2,0.00013924302937731804
F8treat_p3,0.00041675499983559683
F8treat_p4,-0.0005888570481130172
window_m4,0.0001816873944221805
window_m3,0.000256746922809504
window_m2,-0.000316842527719276
window_m1,0.003398524547925169
window_p0,-0.0008662649928884549
window_p1,-1.1182118319168613e-05
window_p2,-0.0003265065715398941
window_p3,-0.00036057968847790937
window_p4,-0.00010990512949376087
