,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,5.785114417621905e-09,1.56804591503077e-09,7.882033768342512e-09,2.78579992529547e-08,-2.5510120790002537e-08,-5.676666163541906e-09,-2.8462730396833667e-09,4.471121414171921e-09,-9.524066440299078e-11,6.271848782518148e-09,-2.424689050362577e-09,4.162964822920578e-09,2.330773820246937e-08,-1.6288695781201656e-08,-1.2144246053261508e-08,-1.0116692803816502e-08,-5.74176229712352e-09,-5.747799661590106e-10,7.066705774347069e-09,3.765089254375942e-09,1.188220643878403e-08,1.568007106656206e-08,-1.3940438335368738e-08,-7.642993435279454e-09,-1.8027653329648067e-08,-3.5539428049056164e-09,-2.658157113250447e-09,7.56167804753699e-09,5.291443693858241e-09,8.304793197683507e-10,1.7148392691436322e-08,-1.640876784753246e-08,-4.822652978695948e-09,-1.3898355631476638e-08,-5.120433130234636e-09,-4.025460471141484e-09,9.148423476718806e-09,2.599662045703263e-09,-2.683782905867763e-09,2.6435160124497898e-08,-1.8830790860407592e-08,3.6609636043115826e-09,-9.970486323062565e-09,4.423864401639822e-09,-5.943923845991565e-09,1.964015121346002e-09,1.5800153055003127e-09,2.506143535887802e-09,-3.3835773234126356e-10,3.6348472584982428e-09,-8.013636772274131e-10,-1.5124483135303708e-08,-1.446380774864687e-09,6.378955282899669e-10,2.2312053501624475e-09,-1.7948527647269318e-09,-9.857503172673489e-10,2.2723509061299516e-09,-5.770880665550003e-09,3.3660827435189895e-09,-8.889575072269075e-09,2.78643195754172e-09,4.119501361530228e-09,-2.2233484846303664e-09,7.314044699684121e-09,8.738203053360381e-09,-3.0075863288723293e-08,1.556280291649327e-08,1.4565422165430133e-09,1.1085674659167963e-08,1.1383070432769736e-09,1.6309240646473396e-09
treat_m3,1.5680459150306045e-09,1.0051245425327771e-08,-6.106499796141945e-09,1.7358506127290137e-08,-1.2422364360325356e-08,-1.0940623008148744e-10,6.605111922786235e-09,3.2797144169711805e-10,-4.714332347837682e-09,-1.5761238834300848e-09,6.014195215996958e-09,-5.221372720265837e-09,-3.6660403343468183e-09,-4.69011588076941e-09,-9.407230651909393e-10,1.473956694427525e-09,-6.9953271642329345e-09,-2.295709684112096e-09,2.7189454128967683e-09,9.01685527572234e-09,-7.141126863785097e-09,1.1557801478727073e-08,5.7775668066135776e-09,-4.194750286928314e-09,5.073409198198981e-09,-9.793178492274948e-09,-4.594474423549759e-09,1.196215240929625e-09,3.3375067383502887e-09,-6.929485863789439e-09,8.932167689642816e-09,-5.8826936390745724e-09,-6.9366555560138724e-09,1.5278957205261078e-09,-8.722544299923527e-09,-3.06568618411808e-09,2.893458754959233e-09,2.675490455517335e-09,-5.461120226860742e-09,1.149796171665293e-08,1.0568074197316923e-09,-2.239877918171868e-09,3.1755251233743583e-10,-6.014957505848951e-09,-4.768598050285514e-09,2.1578356994926078e-09,3.2931184179423567e-09,-1.030755811258862e-08,7.0530275314202405e-09,-8.85518535922702e-09,6.002230773813762e-10,7.096616419445249e-09,-5.99232896635048e-09,-6.397385450390597e-10,-1.954491327419564e-10,3.5327224959166694e-09,-8.669359549606427e-09,6.979663108284548e-10,-1.0022952852712207e-08,8.913868667716236e-10,1.218301809019862e-08,-7.591056137787033e-09,-6.038216980764886e-09,-3.510865460911753e-09,-7.467593833820514e-09,-5.52464308438897e-10,-4.339272453604462e-09,9.324659669170512e-09,5.442446931058238e-09,-5.757807233440137e-09,4.587603576287353e-09,3.363612703180435e-09
treat_m2,7.882033768342818e-09,-6.106499796138541e-09,1.8637515394157302e-07,1.3357472903036015e-07,-2.969832213051217e-07,-7.644461101716138e-08,-3.22619295064323e-08,3.1340369155288783e-08,6.351403826102783e-08,2.092902380482319e-08,-2.328273101967641e-08,1.3048420430157167e-07,1.078013123864627e-07,-1.4202103577286626e-07,-4.044400184268926e-08,-6.420302533576273e-08,-1.711293266962661e-09,5.050204619444977e-08,1.7526719813786317e-08,1.0124455980589505e-08,1.6920378860596592e-07,5.48374097949134e-08,-2.2335670754459028e-07,5.8507818753320106e-08,-1.258169736398451e-07,3.943853836927342e-08,6.124140955610973e-08,4.06669901997541e-08,5.285764160219839e-08,7.144745755632294e-08,1.4132991456147658e-07,-2.4214415718133304e-07,1.6826420978587765e-08,-1.182331477119685e-07,1.1072679500139203e-08,6.030483941396249e-08,3.826865197834766e-08,3.282188171942761e-08,3.110500922080561e-08,1.6014999945353957e-07,-2.2361135652140164e-07,6.844481523933303e-08,-9.58912294999816e-08,5.345728757766067e-08,3.082753669989257e-08,-1.3275694857414316e-08,1.046375103638918e-08,1.2282583722050005e-07,-1.2886579535329393e-07,3.4104117448665914e-08,-3.5608131980985566e-08,-9.703722638533046e-08,9.124009979876086e-09,3.787477824162604e-08,6.725187479434831e-09,-5.1537803327542624e-09,1.1722246858160283e-07,-1.8980658939241192e-08,-1.0064348002479189e-07,3.035079321295727e-09,-1.0700796974730236e-07,3.8641607074008776e-08,6.930669099180792e-08,7.323533503200598e-09,4.6948523955212543e-08,2.3890576407037162e-08,-2.0836216567938208e-07,1.5250210197041888e-07,-7.563325094529298e-09,1.0344583926764755e-07,-9.728213496696785e-09,-3.553440878046202e-08
treat_m1,2.785799925295514e-08,1.7358506127292225e-08,1.3357472903035843e-07,4.812598580271529e-07,-3.988063118843889e-07,-1.1192112915941899e-07,-3.6370265024802795e-08,2.707779323138277e-08,3.0333434637747336e-08,6.575083917984822e-08,-1.0370039167890432e-08,4.948009473687952e-08,4.0943323936359094e-07,-2.637379187157847e-07,-1.3458028632237837e-07,-1.2305774496231925e-07,-4.4244150714769014e-08,1.9167726383711277e-08,7.054868566753292e-08,3.949355325392314e-08,1.59962825652175e-07,3.391634541120841e-07,-2.407934795383148e-07,-3.8850913316978215e-08,-1.9614977804543922e-07,3.794193399349599e-08,3.172011646350412e-08,9.154245190505934e-08,8.543877117276978e-08,1.5646401594168574e-08,4.657435364632498e-07,-3.3632430643329715e-07,-3.700474309659399e-08,-2.2554313448609782e-07,-3.568829139407514e-08,1.6253574934837952e-08,9.19945206964852e-08,7.423314620470919e-08,-3.1419576059468076e-08,4.764021290396793e-07,-3.5773532072420024e-07,8.727680317924098e-08,-1.3504781785302237e-07,7.100040596001767e-08,-6.608995647116068e-09,-2.5823002364500583e-09,3.2698643602433545e-08,7.900765415315984e-08,2.1245241625242403e-08,-1.4892367883232235e-08,-8.63933550417098e-08,-1.6618347948284122e-07,7.277853705803376e-09,3.582060230413438e-08,1.2595702826355057e-08,-8.48942969222753e-09,2.3774668839161284e-08,1.3646361630082868e-07,-1.5414076804385668e-07,6.348381542383028e-09,-7.896704464719832e-08,3.805976238471064e-08,8.048274163807153e-08,-1.2139777426541314e-08,5.653870874968336e-08,1.0642611173903942e-07,-5.107075101996034e-07,2.406758174039839e-07,2.9589655227576476e-08,1.5246589639531666e-07,4.197965292306232e-09,-3.2557342595931846e-09
treat_p0,-2.5510120790002662e-08,-1.2422364360326066e-08,-2.969832213051218e-07,-3.9880631188439104e-07,7.242703690614178e-07,1.8485117015774522e-07,1.1133311287472959e-07,-3.849189262465818e-08,-9.060861031801511e-08,-5.177110392387323e-08,1.5951684753121026e-08,-1.9655781283908175e-07,-3.220722110370781e-07,3.6628081611790923e-07,1.4352325110650512e-07,1.8046863441443463e-07,1.9605320226578324e-08,-1.1789870220041447e-07,-5.118079372646315e-08,-4.749362105753488e-08,-2.8233596387298963e-07,-3.0022137678302684e-07,4.979237027332419e-07,2.7808443218924002e-08,2.9984782741044144e-07,-2.034694692114126e-08,-9.124846638645436e-08,-8.931283506447667e-08,-1.1058650407655736e-07,-9.240889320529267e-08,-4.4374072734624533e-07,6.15039396759602e-07,5.177066400488033e-08,2.7824746790332333e-07,4.383852584794694e-08,-1.0238724558135149e-07,-9.132337174624526e-08,-8.033051917836384e-08,-1.405770443809835e-08,-4.972790615916749e-07,5.354680518171593e-07,-8.392281074558113e-08,2.4387001115389436e-07,-5.5241361746144875e-08,-3.392231893551354e-08,1.6103982591653322e-08,-4.262211705227631e-08,-1.596310816706476e-07,1.3762846743430116e-07,6.783205988850407e-08,1.0789424978115242e-07,2.257179510871628e-07,-2.3873548840773137e-09,-6.97782659317297e-08,-1.6176013563624775e-08,-2.0463733979951802e-09,-1.502537066328162e-07,1.4133231318090123e-08,2.683544799724421e-07,4.718688761485867e-08,1.846698087166326e-07,-6.78030546758466e-08,-1.2365015218669384e-07,-3.807330716778407e-09,-7.106940088372045e-08,-9.000464514222272e-08,5.616813900560111e-07,-3.757146308122959e-07,-5.187807534262516e-08,-2.4542371287800376e-07,-1.2645377333603037e-08,4.933438650807426e-08
treat_p1,-5.676666163541987e-09,-1.0940623008190145e-10,-7.644461101716144e-08,-1.119211291594204e-07,1.8485117015774493e-07,7.280558068091141e-08,3.378873648147385e-08,-1.0891377580393063e-08,-3.11586311721359e-08,-1.1970369775506546e-08,2.5087955630503976e-09,-4.8099402539112226e-08,-1.1436045372369014e-07,9.572294283062465e-08,5.072487477440207e-08,3.4125006663670674e-08,6.241244599415054e-09,-3.028554268178499e-08,-7.900048300042534e-09,-8.293032771696373e-09,-8.17732741757454e-08,-8.932328133919921e-08,1.4109956091548642e-07,2.167247360106911e-08,6.234949604758084e-08,-1.4869800860210622e-08,-3.836101789423857e-08,-1.880271590102758e-08,-2.7642377582074362e-08,-3.869593944861426e-08,-1.3559304393386456e-07,1.6699166479382722e-07,1.638627288422022e-08,6.508410030403409e-08,-1.6720894389071304e-09,-3.660732133815657e-08,-1.4671771773511037e-08,-2.329567176845902e-08,-1.570308736955803e-08,-1.2467869614469195e-07,1.4060458498878934e-07,-5.238431709985439e-09,5.495912565443156e-08,-1.5232207781483284e-08,-2.478334093868153e-08,9.30634838454322e-09,-1.0749042898349973e-08,-4.4174474182013134e-08,1.5648755426964528e-08,3.041013970058255e-08,4.639956261432332e-08,5.080579504075185e-08,-1.3074124498804274e-08,-2.3987894974835057e-08,-2.9946454605123406e-09,-5.698354224581555e-10,-4.171904114112276e-08,-2.932669391379353e-08,7.538299247278652e-08,2.019839182350373e-08,4.213689074680029e-08,-2.4759198214213766e-08,-3.4516133897693745e-08,-4.928477843667254e-09,-1.609136487749383e-08,-1.4574289458740643e-08,1.6230203712602918e-07,-9.790104985049963e-08,-2.231140530521624e-08,-5.970358735267989e-08,2.532145543002697e-09,1.6537947981228965e-08
treat_p2,-2.8462730396833886e-09,6.605111922786531e-09,-3.2261929506431955e-08,-3.637026502480306e-08,1.1133311287472979e-07,3.3788736481474135e-08,7.175935608874135e-08,-9.807173781488722e-10,-2.2651551481585548e-08,-1.6821139272658612e-08,7.279688166335031e-10,-2.8324610942444927e-08,-8.311107542085838e-08,8.198535543332508e-08,3.324609015259409e-08,6.224860362952825e-08,-9.190948125085213e-09,-3.3962231248412576e-08,-7.673447713991961e-09,1.6284279267963889e-09,-4.816064334506465e-08,-7.914881106306551e-08,1.1653898138625607e-07,3.9757796293925534e-08,9.293194532995658e-08,-1.0146483357015709e-08,-1.5574656585189925e-08,-1.1667550070679787e-08,-1.4648234093577103e-08,-3.1729233772818095e-08,-8.037555955127308e-08,1.205566341444287e-07,2.1324830541897914e-08,6.341179350392493e-08,6.676269297925904e-09,-8.492070879669775e-09,-7.050529360716282e-09,-1.5347986948195374e-08,-4.980865964794873e-09,-9.06839166053883e-08,9.824625875109408e-08,1.2955390545062242e-08,6.888280431138274e-08,3.280374156200536e-09,-1.0459160291946873e-09,7.902695109481824e-09,-7.109619740863333e-09,-1.6274390114191148e-08,5.991293268925879e-09,3.9985869605625136e-08,4.0335211503779127e-08,7.005361880976927e-08,-3.132069458968462e-09,-1.067206429402124e-08,-3.440741443536256e-09,4.406299378184074e-09,-5.431966505876771e-09,1.1987923551091836e-08,4.9401104307470134e-08,3.69927247792684e-08,6.183734073105994e-08,-2.861071798608806e-08,-2.5095897311833507e-08,-7.192295665492933e-09,-1.5829054407893004e-08,-2.4204487237428873e-08,1.039203535035699e-07,-5.462219774096342e-08,-2.4956611885018853e-08,-7.287977405091192e-08,-2.268031284368908e-09,1.2357237839961723e-08
treat_p3,4.47112141417194e-09,3.2797144169741113e-10,3.134036915528949e-08,2.7077793231381637e-08,-3.849189262465779e-08,-1.0891377580392864e-08,-9.807173781484211e-10,3.650525185160817e-08,1.867646748344091e-08,4.266119131598109e-09,-5.631575581748927e-09,2.542790044616755e-08,1.6250478491327774e-08,-1.0491333874631324e-08,-5.091880348889604e-09,-1.2204453067540985e-08,7.553354205107038e-09,-4.4545231747142064e-09,7.092954539168969e-09,6.498255502296193e-09,3.672685872875743e-08,-1.9019500370571062e-09,-2.7086808426011496e-08,2.2232721649011254e-08,-3.248921981541949e-08,1.7753737611115746e-08,9.40945541374421e-09,1.3875084932632556e-08,1.3606197473235165e-08,8.62145609540646e-09,1.3818492091701087e-08,-1.2301369975749729e-08,-5.881261704206083e-09,-2.5685821260089687e-08,1.0463557222949275e-08,-1.2153764400904265e-10,1.0496754286615752e-08,9.638537525128965e-09,2.0434989222835884e-09,3.437089961679523e-08,-9.931032433867105e-09,7.809808281685323e-09,-1.1041924328907586e-08,2.549829910736046e-08,-2.1593745232609665e-09,-1.3392389811604689e-09,2.884193284494945e-09,2.532169488341408e-08,-1.783155912243531e-08,2.4758662647891026e-08,-9.359459805820957e-09,-1.839366449974336e-08,1.0730316740391875e-08,6.120587938633494e-10,2.0907275682762553e-09,1.0813070151776727e-09,3.132464551955219e-08,-7.089972229438018e-09,-1.727583446394399e-08,1.115606910885995e-08,-2.2973145020037315e-08,2.3795922456808632e-08,1.0569222996075184e-08,-7.769556783854429e-10,1.0336293771344152e-08,8.853933499716919e-09,-3.624902065956403e-08,2.1933597118264454e-08,4.5389360790869224e-09,2.1910128266869244e-08,-9.319365844465183e-09,-3.7821817687509106e-10
treat_p4,-9.52406644029616e-11,-4.714332347837419e-09,6.351403826102719e-08,3.033343463774689e-08,-9.060861031801499e-08,-3.115863117213608e-08,-2.2651551481585736e-08,1.8676467483441204e-08,5.343432796735744e-08,6.14173150581345e-09,-9.594319153875356e-09,4.0859161296730687e-08,5.38569347064448e-08,-5.201456629740474e-08,2.1023781706901166e-09,-2.995745912643508e-08,2.23786888113235e-08,3.8054997824099684e-08,-1.688567818158758e-09,-4.600341524407458e-09,5.7844150273807046e-08,1.3812924841644357e-08,-9.53591193769488e-08,3.3876271663462023e-08,-5.130471580256189e-08,5.504498687223414e-08,4.698089649186489e-08,9.639709267149457e-09,2.0723979932273725e-08,3.208890008858189e-08,5.868106314232888e-08,-9.291596780618765e-08,1.9097730494944406e-08,-4.116070433388434e-08,3.0102974255219206e-08,3.077843596055619e-08,4.0285449195367995e-10,1.532475225003499e-08,1.2001271778547316e-08,4.073478687749763e-08,-7.083914858422964e-08,2.001612772882569e-08,-5.2226674317665966e-08,2.9751793698569907e-08,2.228650521220079e-08,-1.3659688814392874e-08,-1.8493215272000187e-10,3.0275778166534156e-08,-3.8565956741685595e-08,5.24893283018166e-09,-3.2004889668059394e-08,-2.979402684909813e-08,2.906227804525764e-08,1.7213161793013512e-08,-1.0197232124029356e-09,-8.715341366102016e-09,3.201322615560617e-08,1.2674723477558298e-08,-5.87273859008029e-08,-1.805233179390828e-08,-4.53572751806269e-08,3.925354253125977e-08,3.60378375597381e-08,1.0430746028884966e-08,1.5147482045673447e-08,1.8003178739146982e-08,-8.180086471094476e-08,4.636853035834578e-08,-3.795244288092158e-09,4.510167938100476e-08,-2.3112016738184466e-08,-2.5877045054139214e-08
L4treat_m4,6.271848782518273e-09,-1.5761238834296261e-09,2.0929023804823468e-08,6.575083917984814e-08,-5.17711039238732e-08,-1.1970369775506526e-08,-1.6821139272658533e-08,4.2661191315980825e-09,6.141731505813384e-09,1.7060287622695005e-08,-5.108043859827276e-09,1.1436024043182782e-08,7.230223277960273e-08,-4.789967336117798e-08,-2.255016142140825e-08,-3.032348735491764e-08,-7.642834132171388e-09,2.3367299883710967e-09,1.4651827322798071e-08,2.18909827753618e-09,3.1886535806140056e-08,5.4063680590966553e-08,-4.4274755812661167e-08,-8.838694381622048e-09,-4.919118725933723e-08,7.857623618098062e-09,1.2496479299398338e-09,1.672606378200218e-08,1.2655010463617332e-08,7.521987888959277e-09,6.522890896423625e-08,-4.956299034223431e-08,-2.6030323346736355e-09,-4.5474811012901706e-08,-6.096736106758719e-09,-5.742392462593056e-09,1.680104449552871e-08,1.0283687585741715e-08,-4.963290386590892e-09,7.671464086319704e-08,-5.8856949215842116e-08,1.335134347875889e-08,-2.878736542316296e-08,1.2704789072409545e-08,-6.749824088794304e-09,-7.135628309898389e-10,2.3881112786632388e-09,1.6624991074526947e-08,-2.4590068583598765e-09,3.105946268000372e-09,-1.1973377065261543e-08,-4.2574662571538354e-08,-1.0694284988179281e-09,4.076928128734907e-09,4.050540926683059e-09,-4.606700093928711e-09,2.3428591211317805e-09,1.289338825996545e-08,-1.5613555640951125e-08,1.4308003810687646e-09,-2.7429782813418724e-08,9.872796867655092e-09,1.6225116675317675e-08,-9.919214894651999e-10,1.6776579736467483e-08,2.1818285547857418e-08,-8.100229854446491e-08,3.36959798544334e-08,2.27005055517554e-09,3.503968177699329e-08,5.7284641943847e-10,-1.2206371346013825e-09
