,coef
treat_m4,-5.707814993758435e-05
treat_m3,-0.00022078035482498337
treat_m2,-0.0022254756517548976
treat_m1,-0.004854871879018081
treat_p0,0.0058392262351796495
treat_p1,0.0007644205466741148
treat_p2,0.00012260265102762333
treat_p3,0.0005379522698272111
treat_p4,0.00036532601638622486
L4treat_m4,-0.00013216155526458865
L4treat_m3,-0.00022970956081744517
L4treat_m2,-0.0014282126493538937
L4treat_m1,-0.004871385129798151
L4treat_p0,0.004989353840841535
L4treat_p1,0.0012023617503319052
L4treat_p2,0.0005249909567686074
L4treat_p3,0.00026358783613806083
L4treat_p4,0.0006740082662386867
L8treat_m4,-0.00020637324993008535
L8treat_m3,-0.0002947996152621853
L8treat_m2,-0.0014402237577948263
L8treat_m1,-0.0041489877673756516
L8treat_p0,0.00523595398989626
L8treat_p1,0.0008812150578258233
L8treat_p2,0.0005243958553614053
L8treat_p3,0.00047823994188272696
L8treat_p4,0.0003261441102864784
L12treat_m4,-0.0003385761195642817
L12treat_m3,-0.0004370104006995472
L12treat_m2,-0.001057930528371019
L12treat_m1,-0.004496249577249149
L12treat_p0,0.005714132756892544
L12treat_p1,0.00034513194527047776
L12treat_p2,0.0006385670092826744
L12treat_p3,0.0005062412911684272
L12treat_p4,0.0002711438805128559
L16treat_m4,-0.0002879899203933461
L16treat_m3,-0.0007354063919837926
L16treat_m2,-0.0008085006282765086
L16treat_m1,-0.0024346435538507715
L16treat_p0,0.004120611231770379
L16treat_p1,-0.0002624195723425663
L16treat_p2,0.00043058063864604286
L16treat_p3,0.0009204408643251684
L16treat_p4,2.9690381680550584e-05
F12treat_m4,-0.00019224988275534278
F12treat_m3,-0.0003039010135091169
F12treat_m2,-0.00028254339885515166
F12treat_m1,-0.0007106529678768119
F12treat_p0,0.0010212051947113576
F12treat_p1,0.00011510837527329864
F12treat_p2,-1.9472289775489827e-05
F12treat_p3,0.00027112484855729065
F12treat_p4,-9.452187557785918e-05
F8treat_m4,-6.873519448640346e-05
F8treat_m3,-0.0003749317913703159
F8treat_m2,-0.00013504682617583095
F8treat_m1,-0.00048180689939732147
F8treat_p0,0.0007023640277546501
F8treat_p1,0.00012251931742935802
F8treat_p2,0.0001688879490822359
F8treat_p3,0.0002841859060829211
F8treat_p4,-0.00014707689858875066
window_m4,0.00020347213444201135
window_m3,0.00016919304771218974
window_m2,-0.0005202175517370143
window_m1,0.0037232016121703454
window_p0,-0.001394050814262403
window_p1,-0.000473573397769663
window_p2,-0.00039452248241156085
window_p3,-0.0004403149646943733
window_p4,-0.00023585662871992183
