,coef
treat_m4,-7.401774490939928e-05
treat_m3,-0.00018298561432726087
treat_m2,-0.0012207862711125126
treat_m1,-0.003178120888267096
treat_p0,0.0038737436315883166
treat_p1,0.0003812337649632166
treat_p2,0.0001509079796420738
treat_p3,0.0006122763750234461
treat_p4,0.00013476436652483774
L4treat_m4,-0.0001313791513078524
L4treat_m3,-0.00010813152136574035
L4treat_m2,-0.000729574567911928
L4treat_m1,-0.0031459160181038586
L4treat_p0,0.0031108612450596864
L4treat_p1,0.0004261360469036989
L4treat_p2,0.00020092222969503827
L4treat_p3,0.00046160999583576615
L4treat_p4,0.00025835716539876816
L8treat_m4,-0.0001255106047644404
L8treat_m3,-0.00023810799818625172
L8treat_m2,-0.0007136436832791002
L8treat_m1,-0.0025686000603298335
L8treat_p0,0.003243461768436432
L8treat_p1,0.000515545926504702
L8treat_p2,0.0003639435071048762
L8treat_p3,0.0005410571636173048
L8treat_p4,-6.829378497982048e-05
L12treat_m4,-0.0002242110479958957
L12treat_m3,-0.00028870145257565267
L12treat_m2,-0.00047896783904044396
L12treat_m1,-0.002753010824063343
L12treat_p0,0.0034160627578619118
L12treat_p1,2.3495052570266595e-05
L12treat_p2,0.0005200844788163181
L12treat_p3,0.0007851693887646995
L12treat_p4,0.0002915446204580634
L16treat_m4,-0.00021407054750973182
L16treat_m3,-0.0004014384291646549
L16treat_m2,-0.0003586580943325291
L16treat_m1,-0.0014804410093537104
L16treat_p0,0.0027873603763158535
L16treat_p1,-0.00021952906552852438
L16treat_p2,0.00010682326773658407
L16treat_p3,0.000633061528210911
L16treat_p4,-0.0002295367909151818
F12treat_m4,-0.00018372512229859137
F12treat_m3,-0.0002616480005942836
F12treat_m2,-0.00017413228105687465
F12treat_m1,-0.0005339765230467189
F12treat_p0,0.0007827807748299923
F12treat_p1,-0.00010541241904861017
F12treat_p2,0.0001956737542330769
F12treat_p3,0.00014609372691223887
F12treat_p4,-0.00028219197811699484
F8treat_m4,-8.89700906274344e-05
F8treat_m3,-0.0002359671089646101
F8treat_m2,6.2154541625213e-05
F8treat_m1,-0.00010485901457697496
F8treat_p0,0.0002909054534498826
F8treat_p1,-2.750170230045383e-05
F8treat_p2,3.399131267296505e-05
F8treat_p3,0.00041864618646768255
F8treat_p4,-0.0003334463619216908
window_m4,0.00020190444635399227
window_m3,0.00026372412514735023
window_m2,-0.00017567258461787346
window_m1,0.002401881363030439
window_p0,-0.0005939593273518115
window_p1,1.0363016087814195e-05
window_p2,-0.0001982943963545645
window_p3,-0.00043740219609238705
window_p4,1.5897958503148637e-05
