,coef
treat_m4,-0.00020649987542101006
treat_m3,-0.0004302672694984872
treat_m2,-0.0030717194730355735
treat_m1,-0.009083486976176575
treat_p0,0.010305862857545235
treat_p1,0.0011707822506143428
treat_p2,-0.00013632130424395502
treat_p3,0.0006751974753327582
treat_p4,0.00031767963456403486
L4treat_m4,-0.0003471848113241741
L4treat_m3,-0.00047615427178022924
L4treat_m2,-0.0017171053054511065
L4treat_m1,-0.00810650950828424
L4treat_p0,0.008216299375871674
L4treat_p1,0.0011218048951028578
L4treat_p2,0.00039574121463227367
L4treat_p3,0.0003611573495685615
L4treat_p4,0.000597937998616032
L8treat_m4,-0.0004830258955495092
L8treat_m3,-0.0010073038943187846
L8treat_m2,-0.0016286590754959118
L8treat_m1,-0.008116606372899658
L8treat_p0,0.008859760356459058
L8treat_p1,0.0009030206663655718
L8treat_p2,0.00022491165652628516
L8treat_p3,0.0005809519511386732
L8treat_p4,0.00044659430625359255
L12treat_m4,-0.0008003257654715191
L12treat_m3,-0.0007748076615106517
L12treat_m2,-0.0008183399306014021
L12treat_m1,-0.00787128034846457
L12treat_p0,0.008769885511237367
L12treat_p1,0.0008704760359478316
L12treat_p2,0.0006425574974242503
L12treat_p3,0.001205393570747156
L12treat_p4,0.0005894213251525374
L16treat_m4,-0.0007310832376285526
L16treat_m3,-0.0012803534963851235
L16treat_m2,-0.001216777282132544
L16treat_m1,-0.004226767184442546
L16treat_p0,0.00747569512114534
L16treat_p1,-0.00019558421647300549
L16treat_p2,0.0006388995375016736
L16treat_p3,0.0009988513164471593
L16treat_p4,0.00033125471010969496
treat_p5,0.0003208361595226804
treat_p6,0.00012744158066208165
treat_p7,0.00037191533041322614
treat_p8,3.546312785781818e-05
treat_p9,7.9874276380269e-06
treat_p10,0.0001157346890596321
treat_p11,4.6459518433137825e-06
treat_p12,-0.00014194728778405422
treat_p13,3.611164428416113e-05
treat_p14,2.968190224617288e-05
treat_p15,-5.056891224633825e-05
treat_p16,-3.537618381179959e-05
treat_p17,-2.015603535402963e-05
L4treat_p5,7.221298938619917e-05
L4treat_p6,7.986421683937176e-05
L4treat_p7,-6.90090841117382e-05
L4treat_p8,-0.00029367217320205863
L4treat_p9,0.00011709456939094336
L4treat_p10,6.81466919515231e-05
L4treat_p11,7.2888393303383e-05
L4treat_p12,6.58522674549513e-05
L4treat_p13,0.00012991249337225767
L4treat_p14,8.306089566889683e-05
L4treat_p15,-1.370650181329188e-05
L4treat_p16,6.223637045248056e-05
L4treat_p17,3.772026589577654e-05
L8treat_p5,4.918162992104026e-05
L8treat_p6,0.00015857202985841126
L8treat_p7,6.474680963024911e-05
L8treat_p8,-2.2931763392343162e-05
L8treat_p9,5.50624950180812e-05
