,coef
treat_m4,2.2019860510098043e-05
treat_m3,-7.441595123125296e-05
treat_m2,-0.0005722840548337617
treat_m1,-0.0021915649852428387
treat_p0,0.002496995260371851
treat_p1,0.0003819645787769796
treat_p2,0.00036432890630238424
treat_p3,0.00037448581758339734
treat_p4,-0.0001353334890522149
L4treat_m4,-5.1952317154985366e-05
L4treat_m3,-4.1795519775971106e-05
L4treat_m2,-0.000231134404108914
L4treat_m1,-0.0020912017085243945
L4treat_p0,0.0017928053089237346
L4treat_p1,0.0002522181446530704
L4treat_p2,9.654625149009842e-05
L4treat_p3,0.0003180517943248846
L4treat_p4,2.0332373326073178e-05
L8treat_m4,-4.776441766294242e-05
L8treat_m3,-7.746385931278007e-05
L8treat_m2,-0.0002573607663654588
L8treat_m1,-0.001637763557219949
L8treat_p0,0.001877956523605629
L8treat_p1,0.0002174766523907978
L8treat_p2,0.0002901651395885831
L8treat_p3,0.00016617445419361008
L8treat_p4,-0.00026214973532121417
L12treat_m4,-0.00010393748271867584
L12treat_m3,-0.00014851400933960137
L12treat_m2,-0.0001732892290892818
L12treat_m1,-0.0019955710205427904
L12treat_p0,0.001740929214485452
L12treat_p1,-0.00022578793095196352
L12treat_p2,0.00013422151812633636
L12treat_p3,0.00047223679068725337
L12treat_p4,0.0002481257388065825
L16treat_m4,-0.00018165898324812825
L16treat_m3,-0.0001619591023355226
L16treat_m2,-0.00011035550774345893
L16treat_m1,-0.0012278949283473727
L16treat_p0,0.0017838982442279234
L16treat_p1,-0.00011725315645275835
L16treat_p2,-4.5293439318554024e-05
L16treat_p3,0.0003854978621099111
L16treat_p4,-0.000348169647395031
treat_p5,-0.0002830387174866797
treat_p6,0.00010383326030323146
treat_p7,0.00010003102142962579
treat_p8,-4.292299400400478e-05
treat_p9,0.00019775040276983664
treat_p10,-0.00013152146981386853
treat_p11,0.0001909848674338288
treat_p12,1.4620510660402735e-05
treat_p13,9.587154993752221e-05
treat_p14,7.317948581021536e-05
treat_p15,-8.507869444894891e-05
treat_p16,7.74811533894507e-06
treat_p17,7.2598112799869334e-06
L4treat_p5,-1.8633158610073242e-05
L4treat_p6,0.00015371942827461848
L4treat_p7,-0.00011023477693636481
L4treat_p8,-0.00022942195888471758
L4treat_p9,3.74122273748532e-05
L4treat_p10,1.118998265754054e-05
L4treat_p11,0.0001224150929209052
L4treat_p12,-0.000127334468159028
L4treat_p13,7.357589244003714e-05
L4treat_p14,9.168500286683067e-05
L4treat_p15,1.7898086173633042e-05
L4treat_p16,-3.679099156371027e-05
L4treat_p17,5.8089665399200677e-05
L8treat_p5,-8.973720998364414e-06
L8treat_p6,-7.52580537699104e-05
L8treat_p7,5.156876564210874e-05
L8treat_p8,9.57848411156532e-06
L8treat_p9,0.0001448133909709995
L8treat_p10,-0.00022501229384477048
L8treat_p11,0.00022756056306417663
L8treat_p12,4.624990803210116e-05
L8treat_p13,0.00016471292518640925
L8treat_p14,6.458667072533853e-06
L8treat_p15,-9.110924726921385e-06
L8treat_p16,-2.099232056301527e-05
L8treat_p17,-2.1963303712512726e-05
L12treat_p5,-0.0001557326795607539
L12treat_p6,8.187004678875686e-05
L12treat_p7,0.00016319195476250688
L12treat_p8,-0.0002436332194987525
L12treat_p9,1.685797988982731e-05
L12treat_p10,-5.284075378957928e-05
L12treat_p11,0.00014259629515642706
L12treat_p12,5.257015213419857e-06
L12treat_p13,0.00022726017472016313
L12treat_p14,-6.123283729118696e-05
L12treat_p15,0.00010108692005431817
L12treat_p16,1.0315758807821883e-05
L12treat_p17,1.3327505324578976e-05
L16treat_p5,-7.343660644338458e-05
L16treat_p6,0.00036179696300637706
L16treat_p7,-0.000100769065422936
L16treat_p8,-0.0001173911985515261
L16treat_p9,0.0002192403553525354
L16treat_p10,3.485540717165183e-05
L16treat_p11,6.199657769157647e-05
L16treat_p12,0.00015137633896835785
L16treat_p13,5.1814900511972815e-06
L16treat_p14,5.629138081201501e-05
L16treat_p15,1.4088350263113796e-07
L16treat_p16,6.074417320232512e-05
L16treat_p17,1.0539435881862005e-05
F12treat_m4,-9.208487279225189e-05
F12treat_m3,-0.00014587240187099383
F12treat_m2,-0.00019158782229122552
F12treat_m1,-0.0003183646926397906
F12treat_p0,0.0003612873840399208
F12treat_p1,0.00010879516724655965
F12treat_p2,1.9687173514030106e-05
F12treat_p3,9.841401246506039e-06
F12treat_p4,-0.0003541423753563517
F8treat_m4,4.59490315311134e-06
F8treat_m3,-0.00013615366471590956
F8treat_m2,3.413531050042975e-05
F8treat_m1,-9.4149239983221e-05
F8treat_p0,-5.0661949690590506e-05
F8treat_p1,-0.00012852831850088697
F8treat_p2,-2.2360010144501348e-05
F8treat_p3,0.00022256314996428934
F8treat_p4,-0.00048638797590085125
window_m4,0.00016643153684916146
window_m3,0.00023367221901898755
window_m2,1.6778376523903633e-05
window_m1,0.0017233003590247718
window_p0,-0.00012476867000657844
window_p1,0.0001298269937744798
window_p2,1.0332064064120215e-05
window_p3,-0.00013338407287446006
window_p4,0.00014306821838444968
F12treat_p5,-0.00022765397776649635
F12treat_p6,9.07029115731351e-05
F12treat_p7,-0.0001261895449571131
F12treat_p8,-0.00017219540945191865
F12treat_p9,2.5087863025507502e-05
F12treat_p10,-3.106765345591478e-05
F12treat_p11,-2.98566280898837e-05
F12treat_p12,0.00010832275386352579
F12treat_p13,9.476747939746656e-05
F12treat_p14,8.530905886738786e-05
F12treat_p15,5.688818906232254e-05
F12treat_p16,-0.0001280977733789896
F12treat_p17,-2.7849472883332234e-05
F8treat_p5,-0.00012080106756465042
F8treat_p6,-1.2644028326847073e-05
F8treat_p7,-0.00010962579981722026
F8treat_p8,-5.176218625407083e-05
F8treat_p9,0.00013876805295427106
F8treat_p10,-2.742501154844216e-05
F8treat_p11,0.00013944927536314013
F8treat_p12,0.00012697174374087916
F8treat_p13,5.9665040422601144e-05
F8treat_p14,0.0001294038053069555
F8treat_p15,-1.8480862046553836e-05
F8treat_p16,1.8910157634565283e-05
F8treat_p17,4.0550658935363194e-06
window_p5,1.4709492177983921e-05
window_p6,-0.0002635440881853449
window_p7,-0.0001587273999689295
window_p8,-5.0779990168581726e-05
window_p9,-0.00023296462261663102
window_p10,-4.411804612508801e-05
window_p11,-0.00020238780260500508
window_p12,-0.0001445745988778447
window_p13,-0.00014264531175440156
window_p14,-0.00011385423896935281
window_p15,-0.00010406209009112711
window_p16,-7.562739891130965e-05
window_p17,-3.875608146343224e-05
