,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,3.701817264749732e-09,2.894236943255449e-10,-1.8979772506642455e-09,9.430012427700094e-10,3.165657357132837e-09,3.4512227064268476e-09,1.576476024260528e-09,-1.4703124148611035e-09,-2.484099367151579e-10,3.596240113671798e-09,-2.1528778929865704e-09,-1.6262390562851444e-09,2.9640793281304586e-09,1.7332874979232052e-09,3.1924368707844337e-09,3.2429144904864683e-10,-1.8735575123710485e-09,-9.795577094590946e-10,4.86439560405888e-09,-1.1842185422601703e-09,-1.1340715507980023e-09,-3.0446943321139244e-09,3.528747623086565e-09,1.2548663300093536e-09,-1.9299927915789514e-09,2.998196563252592e-09,-2.272202921395552e-10,3.5297408237328243e-09,7.184085183878566e-10,2.04331281867713e-09,-5.193235573372993e-10,1.2833731269572506e-09,4.437542182813456e-09,1.9804740953533885e-09,-8.354201065694244e-10,-2.1610877331940637e-09,2.3792886031053708e-09,1.2580755870033871e-09,9.085204846881454e-10,-4.0453769604056155e-09,1.132082878520458e-09,6.028940425109371e-09,-3.701454398453705e-10,-7.73285201554072e-10,-1.2231473831427867e-09,8.299194376332854e-10,-3.477535390526214e-10,-5.5102951125924806e-11,-1.2637563811947462e-09,-2.196988376997786e-09,-1.2010604906057308e-09,-8.141538938764228e-10,1.3412830387573839e-09,1.3148309130326956e-09,1.1764826842351412e-09,-1.5393850240548106e-09,-3.7291083284963014e-09,1.9442643110231625e-09,-3.774438119817064e-10,-1.3452423466001263e-10,2.0517941300146225e-09,1.276758063554297e-09,4.6457033231373305e-10,-1.4820866163965258e-09,4.0219351705828306e-10,7.078248727656947e-10,5.641074301340062e-10,-1.4287476592009718e-09,-4.402126917714938e-09,-1.2529498976661377e-09,-4.3138720101078626e-10,-4.573709104233995e-10
treat_m3,2.8942369432557244e-10,2.3541132697875074e-09,3.9526887713246905e-09,1.1636870509632954e-08,-1.0363673517654591e-08,-5.65679439644061e-09,9.332225656593522e-10,-3.4554739673235336e-11,9.94669685400747e-10,1.2858818488709742e-10,1.5396319820693717e-10,-1.999477347985997e-09,1.1625706237590222e-08,-6.184944517455886e-09,-3.4773367736542583e-09,1.1480135702115397e-09,2.979510389781194e-09,1.3818715357742853e-09,-3.5412744399321665e-11,1.7896043083037717e-09,1.9642212627892145e-09,1.4825993488476768e-08,-5.345603931689635e-09,1.4224796808745911e-09,-7.265593562243638e-10,3.2686776064536164e-09,1.2427053319700076e-09,2.150960631226427e-09,3.8968193588925105e-09,-1.6191314165801079e-09,1.437322487540119e-08,-6.3139610690025e-09,5.044915040529757e-10,2.5967694185793316e-09,1.5891201691925376e-09,-4.0191236740236874e-09,3.9252824097711734e-10,2.155985604020716e-09,-3.5711888664748756e-10,1.0697759099129222e-08,-5.772045798437753e-09,-5.3626689352802e-11,3.0048558755772176e-09,8.601682661877707e-10,-3.786756652637189e-09,4.07922611687644e-10,2.5470104167122074e-09,2.5845802084755017e-09,2.363430832676175e-09,1.6074020276450038e-09,-2.7827985360878593e-09,-1.3421729719506008e-09,-1.084003637420214e-09,-2.3089472034471407e-09,5.715722336600142e-10,7.677771195861611e-10,8.074478988216384e-10,6.144732300691819e-09,-2.714513234314005e-10,-3.678805359732061e-09,2.3714198204076086e-10,-3.7367167877659667e-10,1.446245441856202e-09,-6.305893416216836e-10,-1.0751685438182827e-09,-1.9108443121319215e-09,-1.663466629768378e-08,6.7451145697222385e-09,5.242779013465674e-09,2.918558596850331e-09,2.4726105432856893e-09,3.229558110162276e-09
treat_m2,-1.8979772506642683e-09,3.952688771324791e-09,5.49122679499172e-08,7.726462309205801e-08,-1.2411304649835832e-07,-5.5136234445648234e-08,3.422596104783399e-09,7.047361784333961e-09,1.125236539634219e-08,4.28626218711771e-10,-5.928018697268079e-09,2.1311204108187075e-08,8.333645697557725e-08,-7.336999571453102e-08,-4.238051437505415e-08,-2.029144727449524e-08,2.1357532727981674e-08,2.481364199604811e-08,2.1918903430102916e-09,1.46023300732987e-09,3.9052164862909095e-08,9.752054147699553e-08,-8.885751280852141e-08,-8.016861630249775e-09,-1.3300681231683159e-08,2.7341704226179862e-08,9.12981060464876e-09,9.871266165617968e-09,1.8765127356314783e-08,2.0131846865437205e-08,1.0924631869032285e-07,-5.6336854175879784e-08,-8.721627167711894e-09,6.590138462165215e-09,4.237943502330428e-09,-2.8494649318601928e-09,-4.110767115559393e-09,1.9005196593300082e-08,2.2993388693750908e-08,7.544169814301503e-08,-5.788705261978343e-08,-1.2937368373411644e-08,1.10256989294853e-08,1.2955129398639606e-08,-1.5002174645653782e-08,2.291294991946966e-09,1.7768773403360116e-08,2.679644443817402e-08,3.6054418027086215e-08,9.261619293122797e-09,-1.0504781294223515e-08,-7.97302666469566e-09,7.722353925071341e-09,-1.0467133990204327e-09,3.6931142462250368e-09,3.949615941661648e-09,2.6935568669412698e-08,4.672198838919784e-08,2.9438824364806944e-09,-2.508773673668671e-08,4.387891587499089e-09,4.608808512271624e-09,3.0438997712476988e-09,1.8296204445349828e-09,-1.7512946168200058e-09,-1.8177522014281305e-08,-1.301252371018958e-07,4.600119502508187e-08,3.5757311914245505e-08,2.4751709998240298e-08,1.6371177780840666e-08,1.878795518093041e-08
treat_m1,9.430012427701978e-10,1.1636870509633316e-08,7.726462309205792e-08,1.9783621456711138e-07,-2.262872703620043e-07,-1.0865804287662767e-07,1.7225368230805637e-08,1.0611119849813144e-08,1.7557187767509196e-08,4.394141830816294e-09,-3.995835454338302e-09,6.004666332568968e-09,2.0002876335125512e-07,-1.2720470652110515e-07,-9.943733468386653e-08,-2.3348436683526645e-08,3.90114925293024e-08,3.1196927426770613e-08,1.0401280267448348e-08,8.217867344098777e-09,5.995143607084376e-08,2.3740034315452895e-07,-1.4524177353737795e-07,-3.610538672102861e-08,-3.1324397365666036e-08,4.464589428827342e-08,1.3230987183294572e-08,2.9611542442343733e-08,4.520853060301895e-08,1.2168243849973521e-08,2.456185690799336e-07,-1.065122307111547e-07,-3.66758507940769e-08,1.8127861728930995e-08,7.678439651843135e-09,-3.159496884928561e-08,1.8982032947881105e-09,4.296550397027593e-08,2.2879484891038573e-08,1.935763766519773e-07,-1.1554263749426328e-07,-2.6926845754227912e-08,2.363785470714323e-08,1.625452429154682e-08,-4.3691840403578735e-08,1.586775283001785e-08,4.074584942290335e-08,3.6868130345866076e-08,9.686378618573208e-08,1.0186137282164325e-08,-2.6538577576812e-08,-5.202190328914715e-09,8.454942612090775e-09,-1.9883248346806466e-08,1.7278587404868533e-08,7.921794929321583e-09,2.8302819592437932e-08,1.1236703959192197e-07,-1.6576127609012996e-09,-4.045305526640091e-08,6.576735375252754e-09,-1.2756222588696438e-08,3.0784665453783895e-09,-4.775179818020634e-09,-6.960250028372108e-09,-1.5792205143908574e-08,-2.81221758131035e-07,9.151387528519213e-08,8.167144924674353e-08,4.707208079491825e-08,3.097413944146908e-08,5.3756183048273616e-08
treat_p0,3.1656573571328123e-09,-1.0363673517654735e-08,-1.2411304649835838e-07,-2.2628727036200223e-07,3.515742756915499e-07,1.4202958989763853e-07,-1.3186784083699862e-08,-1.6870620797914242e-08,-3.1572889081446984e-08,-2.1986725037494077e-09,1.2775026091940182e-08,-3.2356320206409844e-08,-2.4327351197989294e-07,2.055480489167708e-07,1.2582375102340953e-07,4.0537290249303794e-08,-5.1145703784688525e-08,-7.005881355779068e-08,-8.552837420210039e-09,-4.588358636575194e-09,-9.526561098079667e-08,-2.9546560220022797e-07,2.5586452173037613e-07,3.573749769124179e-08,2.8887540274995724e-08,-6.866298930335684e-08,-2.811759982754689e-08,-2.8250892544690656e-08,-5.373960392806139e-08,-4.350090134670098e-08,-3.1638059194709534e-07,1.7420886109582102e-07,2.981904832537518e-08,-2.605849951276044e-08,-6.9107465564308264e-09,8.492316080853114e-09,1.0827883586923964e-08,-5.632593224269224e-08,-4.6946190018760407e-08,-2.2274401187811714e-07,1.7757787500131788e-07,3.264229756495575e-08,-3.992480017321163e-08,-3.3553184752498983e-08,3.660780608818394e-08,-8.172587891284002e-09,-4.738153874090723e-08,-6.127232823712302e-08,-1.1348579582994079e-07,8.348588833080905e-09,2.7594573449896547e-08,1.3000182488789452e-08,-1.3625829838892568e-08,4.804930595811579e-09,-1.4683571023599266e-08,-1.1791767878308857e-08,-5.525011175356971e-08,-1.3587012241335581e-07,1.3730371140020496e-08,6.160000857498224e-08,-2.067296657876908e-08,7.59883659696407e-10,-4.300667553267629e-09,-5.974943778393674e-09,7.402171735944707e-09,3.023151891117755e-08,3.6300426055214965e-07,-1.3882581231821443e-07,-9.880631625859626e-08,-5.9106126905833075e-08,-4.512572059502181e-08,-5.261318129649601e-08
treat_p1,3.451222706426856e-09,-5.6567943964406414e-09,-5.513623444564824e-08,-1.0865804287662594e-07,1.4202958989763888e-07,8.455360065123355e-08,-7.052511846550725e-09,-1.1218601769386679e-08,-1.0340937183062567e-08,2.67138740831274e-09,7.131297150293064e-10,-1.6283248970255946e-08,-1.1052785869023244e-07,8.130257721422191e-08,6.54593905540985e-08,1.5803862922351044e-08,-2.921918155353022e-08,-2.064859325751115e-08,-2.3692559682122242e-09,-6.235296097654607e-09,-4.520752183905266e-08,-1.3731753985777434e-07,9.52274176117445e-08,2.939242240957747e-08,1.8899609003594826e-08,-2.3934312056511254e-08,-2.455064707722411e-09,-1.4779246455671292e-08,-2.5869686032674467e-08,-1.2985204521003597e-08,-1.3896400865418406e-07,5.876883957532172e-08,3.580753746048834e-08,-6.5417128115944535e-09,-8.798378483046436e-09,1.3363343296539601e-08,1.3072463934943406e-09,-2.5344817851677706e-08,-2.2346774038315736e-08,-1.219409368139928e-07,6.9460607400174e-08,3.6876366369091566e-08,-1.111103360559866e-08,-7.1051768797140646e-09,2.4812947569584233e-08,-1.0525114476599598e-08,-2.5874926181605496e-08,-2.461162255353726e-08,-5.39565678232397e-08,-1.5815597979142586e-08,1.542167667138262e-08,-1.5279487111044819e-09,-7.358665832556406e-09,1.0654354441049162e-08,-9.420822869132363e-09,-7.364412285789231e-09,-2.5963101007741317e-08,-5.978413288057555e-08,3.760415325413066e-09,2.845242232002679e-08,-4.924335373311597e-09,2.7755720414641744e-09,-6.917912195738952e-10,2.1749194255044276e-09,5.644699890126303e-09,1.629714196451305e-08,1.6417762293080388e-07,-5.764319409822369e-08,-6.074427862799055e-08,-2.9103535623376304e-08,-1.8910345970588607e-08,-3.2625761425129877e-08
treat_p2,1.5764760242605761e-09,9.332225656595423e-10,3.4225961047843586e-09,1.7225368230806177e-08,-1.3186784083699451e-08,-7.0525118465514644e-09,1.2634306311559076e-08,2.2446947316329913e-10,7.304372348171421e-10,1.9451456662515343e-09,-1.853583236994836e-09,-3.5287740973242383e-09,2.015028370498458e-08,-4.125464975275627e-09,-6.454151687345789e-09,8.426948275705932e-09,1.9094836096975564e-09,-6.179926716894689e-10,4.026911714102681e-09,-3.437572372070441e-10,2.3279036883388264e-09,2.0624798531955524e-08,-7.407959302587016e-09,3.756163342970751e-09,3.802975366311953e-09,4.2725537681589095e-09,1.386630698717502e-10,5.170136565961105e-09,4.172045542440441e-09,-2.4338871556268234e-09,1.6928151258499563e-08,-1.7581132186616072e-09,2.9692353220491487e-09,7.430802560929404e-09,6.52632872412338e-10,-7.542668395258323e-09,3.2983162291816448e-09,1.358324272350855e-09,-2.8658365016686076e-09,1.927583240834352e-08,-1.1836123204930232e-08,4.644221236210057e-09,1.3580146022568104e-08,1.43559732209411e-09,-1.846058957227789e-09,2.8365891238963456e-09,1.934676498484682e-09,4.168491697939203e-09,9.157863808453956e-09,3.878219136321013e-09,-1.5799058409963215e-09,2.8733680414109637e-09,-2.9835075359466896e-09,-1.3031564114263836e-09,3.13457423483614e-09,-5.524025806087813e-10,1.1245202221971889e-09,1.0767719207629594e-08,2.363207793343206e-09,-1.092256435320945e-09,4.437854899930216e-09,-3.4229723814331616e-09,3.233674896700446e-10,-2.8279552146586227e-09,2.2520687779991655e-09,-1.702957786538908e-09,-2.4607423625082898e-08,5.868579783562117e-09,5.532048311282375e-09,-1.314534282348814e-09,4.720168665332959e-09,5.996634366676262e-09
treat_p3,-1.4703124148610994e-09,-3.4554739673152075e-11,7.047361784334398e-09,1.0611119849811306e-08,-1.6870620797914305e-08,-1.1218601769387106e-08,2.2446947316334056e-10,8.461690165865913e-09,1.8185333541234854e-09,-3.5137146863920557e-10,7.291885948692835e-10,4.013139182657266e-09,1.1199623590372261e-08,-1.012761733680073e-08,-1.0028676854160191e-08,-2.4293130423471672e-09,6.710345830013532e-09,2.0842899592459623e-09,3.896277194598088e-10,4.6256383873205185e-10,7.600160108544349e-09,1.5826263991413164e-08,-1.4054168205790748e-08,-8.802782048999194e-09,-3.0548937142060006e-09,5.012893204295291e-09,-5.502410880667522e-10,1.9495279263826896e-09,2.1957482648048884e-09,2.9571220082597417e-09,1.5179857216468066e-08,-7.533927844755765e-09,-8.755496513150467e-09,-3.5825550138005777e-10,4.9300618552693316e-09,-9.850515455169587e-10,6.2680292300836e-10,2.8023255785655546e-09,4.254370712598697e-09,1.638406527508358e-08,-1.0156073839646282e-08,-1.0222099049762124e-08,-1.1707763002590521e-09,3.3258464243902287e-09,-3.0185776037686504e-09,1.4892449879451454e-09,3.2657256732195726e-09,1.7893443357225502e-09,8.786666605223976e-09,4.9937305936072846e-11,-2.2742846929162564e-09,2.259288526034278e-09,3.259328382552212e-09,-1.980500022043098e-09,1.091493865900944e-09,7.805415315897136e-10,3.031992199210556e-09,5.444611662876777e-09,-5.132479956161597e-09,-3.910631462727519e-09,-3.847280970672106e-11,2.0601172835710773e-09,2.2311050279116102e-10,-1.368396570215813e-11,-3.966269484052203e-12,-1.2962478886190144e-09,-1.7061719437797307e-08,9.532061026955788e-09,1.1162842605489991e-08,4.384858861441219e-09,-6.91059735994616e-10,4.802930637568273e-09
treat_p4,-2.484099367151152e-10,9.946696854008898e-10,1.1252365396342359e-08,1.7557187767510185e-08,-3.1572889081447335e-08,-1.0340937183062418e-08,7.304372348170241e-10,1.8185333541239325e-09,1.661081083791278e-08,7.23309641200958e-10,-5.6120582606998e-10,4.774007666933952e-09,1.3544367265015564e-08,-2.194098596759037e-08,-7.92577985413421e-09,-1.5062150735258155e-09,2.681763557971916e-09,1.3595329960058977e-08,3.10737131672081e-09,1.3777891147560257e-09,8.327921761838684e-09,2.0629165946587322e-08,-2.3356045718613444e-08,-2.319488359707938e-09,1.1491011082313366e-09,8.87645524850119e-09,7.130028944690979e-09,2.9056309563792863e-09,5.18898301460503e-09,4.540390192153544e-09,2.3732881015272338e-08,-1.7194929013193488e-08,-4.4330349087782585e-09,7.896296322446188e-09,-7.857106862856252e-10,5.581855999907415e-09,1.108944979215863e-10,8.670784038848045e-09,4.3819912906718814e-09,1.60841802387276e-08,-1.2944335211270697e-08,-1.986227617449145e-09,3.6018760157690233e-09,2.800601735176694e-09,2.956539908551216e-09,-1.9589762588804868e-10,3.969632128548117e-09,2.897429239949758e-09,9.487313840537395e-09,-1.7884820172991826e-09,-6.639174794843197e-09,-4.0770915257820613e-10,2.2506587344793105e-09,7.575524938895733e-09,1.4262125264903687e-09,6.660310465309559e-10,3.074494887404177e-09,6.496796800162344e-09,-4.963981487905692e-10,-5.133486038050123e-09,3.4612298505243953e-09,3.6691869248912295e-09,7.035981727266847e-09,-8.653103631329746e-11,-2.663058517237226e-09,-2.2474802593268263e-10,-2.9471180119446628e-08,9.231717116528065e-09,9.701332737815968e-09,4.286029138829336e-09,6.112812507059376e-09,3.5397332573995307e-10
L4treat_m4,3.5962401136718298e-09,1.2858818488707286e-10,4.286262187117758e-10,4.394141830816181e-09,-2.198672503749326e-09,2.6713874083127605e-09,1.9451456662515157e-09,-3.513714686391804e-10,7.233096412009379e-10,5.551019640223915e-09,-3.1856021726428443e-09,-6.664777114615167e-10,7.34950642761534e-09,-1.5596750575731096e-09,3.273610758622715e-09,-1.8184888206367387e-09,1.846591331691876e-10,1.0966109212388067e-10,6.586907082752874e-09,-1.9890785642011293e-09,9.361854681936408e-10,9.625481016117796e-10,-7.877733516008082e-10,3.7177588591473564e-09,-1.903867470885725e-09,7.92876832849934e-09,8.685384958720025e-10,5.140032974740864e-09,1.739664330882618e-09,4.462425719688339e-09,5.2581017104637065e-09,-2.179023643848741e-09,8.470926260227756e-09,4.2391095579148365e-09,8.494008743576507e-10,-2.2411812159378653e-09,3.4869027152665257e-09,2.2455669800488615e-09,2.359230334234285e-09,-3.318657574581454e-09,-1.3214154199586129e-09,9.265942929619232e-09,2.8481834998145588e-09,1.1109892578951822e-09,-1.7869600601773703e-09,5.289912524734873e-10,-3.4586150069895303e-10,1.446010479685508e-09,-2.0868881210563796e-10,-3.2409567293692525e-09,-1.3948761945705309e-09,-6.198119467933885e-11,3.5461563416180355e-09,1.8975643092288114e-09,8.317891844817043e-10,-2.0760860888883695e-09,-3.1145736535923948e-09,4.761844303980012e-09,-1.6726850025816485e-09,-1.992176354569957e-09,3.791724063262485e-09,3.416854258803537e-09,1.5463246704759513e-09,-1.7989490665697425e-09,9.469774892982842e-10,3.170685879130476e-10,-4.895153752458156e-09,7.320379102346556e-10,-4.303624427645037e-09,-2.33827773425514e-10,-6.759339392922802e-10,-6.394367560151023e-11
