,coef
treat_m4,-6.441035009091532e-06
treat_m3,-0.00012854647572115528
treat_m2,-0.0009122577072277079
treat_m1,-0.0028696107494998917
treat_p0,0.0029938651343881747
treat_p1,0.0005366315477626544
treat_p2,0.00012092331438629909
treat_p3,0.00026217444433487776
treat_p4,2.4844360818122682e-05
L4treat_m4,-0.00010290171010086123
L4treat_m3,-0.00013623361614420297
L4treat_m2,-0.0004903184170296749
L4treat_m1,-0.0024451126270635887
L4treat_p0,0.0023803439828546033
L4treat_p1,0.0005169186024735074
L4treat_p2,9.56364263254979e-05
L4treat_p3,0.00027518981326241294
L4treat_p4,0.00020098747738421708
L8treat_m4,-4.051667349158572e-05
L8treat_m3,-0.00020332186763731596
L8treat_m2,-0.0004966237986399332
L8treat_m1,-0.0023767326097466233
L8treat_p0,0.0024529819206971118
L8treat_p1,0.00044727953734132484
L8treat_p2,0.00024158263920283403
L8treat_p3,0.0002680623302152232
L8treat_p4,-3.271050708612183e-05
L12treat_m4,-0.00020590050872083815
L12treat_m3,-0.00016739305832398583
L12treat_m2,-0.000384520603381979
L12treat_m1,-0.0023010645938686845
L12treat_p0,0.0023546854777652783
L12treat_p1,0.0002423618395393669
L12treat_p2,0.0002860765394803511
L12treat_p3,0.0002776601754839429
L12treat_p4,0.00039302454347402426
L16treat_m4,-0.00016282615324565169
L16treat_m3,-0.00026917526569593153
L16treat_m2,-0.0004485174419301042
L16treat_m1,-0.001356415782756453
L16treat_p0,0.0023585378832781958
L16treat_p1,0.0001655244308236942
L16treat_p2,2.3116254271576905e-05
L16treat_p3,0.0002590607023458105
L16treat_p4,4.39142462908807e-05
F12treat_m4,-0.00014281444755259986
F12treat_m3,-0.0002660610780326434
F12treat_m2,-0.00024435125614339384
F12treat_m1,-0.0006441024249222545
F12treat_p0,0.0008281338599733868
F12treat_p1,8.389131788009303e-05
F12treat_p2,-0.0001403396589301576
F12treat_p3,5.9097406122587464e-05
F12treat_p4,-2.156840516271e-05
F8treat_m4,-8.550495451850106e-05
F8treat_m3,-0.0002237934262144141
F8treat_m2,-4.498008950571228e-05
F8treat_m1,-0.00015680895811891508
F8treat_p0,0.0002959720919657303
F8treat_p1,0.00027191903133032464
F8treat_p2,-0.00010051135236367924
F8treat_p3,7.489150651235806e-05
F8treat_p4,-0.00026751004276384584
window_m4,0.00021418568615321705
window_m3,0.0003091595958435012
window_m2,8.659837266894365e-05
window_m1,0.0019324923193914242
window_p0,-0.0006408192030764327
window_p1,-0.00017513398716506397
window_p2,-0.00012096083294895708
window_p3,-0.00022870508717457585
window_p4,-0.00013567542176584505
