,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,1.5821908948775793e-08,3.991112767073701e-09,-2.4619009898755594e-09,2.9203072813604888e-08,-1.3218254870836192e-08,-2.1915966301259015e-08,3.0087297535683316e-09,-7.226230230659593e-09,-2.1262958988166367e-10,1.4376250634127485e-08,-8.295949744429231e-09,2.5361814786142895e-09,1.851900864098817e-08,-1.3981788417496525e-08,-2.317896815393747e-08,5.241050393962783e-10,-1.0580994831480195e-08,-6.106649855713179e-09,1.042004347988087e-08,-2.210386289996285e-09,1.1022190469253558e-08,2.8656081853572424e-09,-4.965219311489351e-10,4.772433109783029e-09,-1.7333706161272824e-08,-6.7326067956254266e-09,2.1433126204819556e-10,1.7849076204825687e-08,2.0426643417483723e-09,3.3806694757521143e-09,1.2348732871753689e-08,9.592603191863242e-09,-1.5505261362306746e-09,-8.057538825712731e-09,-1.1249686193252978e-08,-1.2794147219302256e-08,1.4401081125773764e-08,-3.2999124895877755e-09,2.2042925348824513e-08,-3.1770153604088656e-08,-4.125083357985563e-09,1.7582995183580038e-09,-8.193028302454293e-09,-1.6533235985365837e-08,-3.9001652637392805e-09,8.001676779955201e-09,3.6078357941930764e-09,3.5342157241994805e-08,-1.2302536943357687e-08,6.713861101565535e-09,-8.398246699749562e-09,2.8869600053448574e-09,-8.879472843937187e-09,2.4622398542166445e-09,1.1219494375158327e-08,-1.8541148992856785e-09,7.133958120452204e-09,2.5233564599282947e-08,-1.2895732929413888e-08,-7.1658562588878985e-09,3.1595430512695115e-09,-1.4039383642316653e-08,1.501139369534549e-09,-1.081884868629388e-08,7.508183368877135e-09,-1.720464751372491e-08,4.427534717630433e-10,2.529546988071825e-08,1.0762895946807368e-08,7.858085431399208e-09,1.1562439688134616e-08,2.3968231840700497e-09
treat_m3,3.9911127670736e-09,2.2091737515014583e-08,2.0155901581585795e-08,1.6712216009506245e-08,-8.002117533858046e-08,-5.6266844096142945e-08,1.3272296777916635e-09,-7.961063533540278e-09,2.318340367150588e-09,3.98121321909373e-09,-1.0348177940430475e-09,-5.782012126911544e-09,-5.72948414838952e-08,-9.982950103043998e-09,-3.238437211874727e-08,2.570674174723203e-09,-6.904318622626305e-09,-9.733559697729264e-10,1.2704400140240735e-08,2.5984036804257576e-08,1.2150325116737868e-08,-8.599779303615937e-09,-3.277880438467966e-08,-8.297076558830285e-10,-3.421809313974841e-08,-1.3103344185552376e-08,-1.0852180465213638e-09,1.6954477785366362e-08,2.2529271124271466e-08,-2.7635993147309615e-08,1.2092104447296108e-08,-3.789026251526269e-08,-1.9926869157557404e-08,-2.21599007778538e-09,-8.895034768463282e-09,-1.1984380414786105e-08,2.475450174987388e-08,2.2431769004949215e-08,2.25548923988877e-09,3.794086659243214e-11,-1.3501818236795673e-08,-4.333451745959352e-09,-9.081590796130054e-09,-2.3855913352721742e-08,-7.836927496752103e-09,9.39152085869025e-09,1.3247354885549855e-08,-3.562231232649205e-09,-4.320940887888366e-08,-9.80991308065839e-09,-1.6556232163217473e-08,-1.004410624733141e-08,-1.6448834960631752e-08,-3.677841642853196e-11,3.398201611871494e-09,9.762945646725254e-09,-1.0845752001720454e-09,3.43323182530299e-08,-5.220757884880664e-08,-3.837487989367737e-08,-3.1689379858319324e-09,-8.588622948216959e-09,4.950046677117978e-09,-1.3508097902943705e-08,-8.94972615960528e-09,-1.717147836161915e-09,6.417068371936132e-09,7.158921410689166e-08,2.2005516925753056e-08,2.074532990929344e-08,1.68510473092924e-08,6.985583729744456e-09
treat_m2,-2.4619009898754423e-09,2.01559015815825e-08,3.9693766007015046e-07,-1.8957025698230604e-07,-6.348913995579253e-07,-1.415068640273748e-07,-7.684474973141415e-08,9.760591655984004e-08,8.529735286344627e-08,4.45759803291455e-08,-3.7695299642735536e-08,2.968927441253284e-07,-6.521505412502517e-07,1.2346456955868983e-08,-1.4743665626649808e-07,-1.2543672692571193e-07,-2.1455855561796793e-08,-6.91785184825159e-09,1.1262473727562475e-07,8.90258458409685e-08,3.478792627153638e-07,-4.277628094722601e-07,-1.435472792957367e-07,1.5432107311093164e-07,-1.7460121738826654e-07,-2.844429812311497e-09,2.6491793206384723e-08,8.082055342151651e-08,1.1412223889942855e-07,1.377710088848773e-07,-3.4355189700696523e-07,-3.5003432802777405e-07,-5.91300106991442e-08,-1.0278536161938862e-07,-3.335734337098044e-08,-1.4593487837698723e-07,1.4955747797222487e-07,1.8147306895612977e-07,3.022014653134708e-07,-1.238723038323888e-07,-3.330003181634614e-07,6.997864305705218e-09,-2.0075686453231387e-07,-1.3449580107534846e-07,-1.3031600408303802e-08,5.7952638230309866e-08,8.55504202086802e-08,2.8350448646694675e-07,-4.5970265989862957e-07,-1.0474986730301421e-07,-6.257066711596174e-08,-2.365203530474448e-08,-1.126781815317683e-07,-2.3332641036815496e-08,6.215516193944663e-08,9.111954706232768e-08,3.62761534480795e-07,-1.927066061798399e-07,-1.8201810603319305e-07,-1.4978672691539552e-07,-1.0315314014969448e-07,-6.57930432152568e-08,-9.05896061970451e-09,-6.183503575143544e-08,-1.2283507611512312e-08,-5.9464388312967206e-08,1.9258811195503408e-07,5.036503957712422e-07,1.3526855240513798e-07,1.981650732969184e-07,1.0447897773904673e-07,3.89837104158368e-08
treat_m1,2.9203072813604726e-08,1.6712216009504643e-08,-1.8957025698230525e-07,9.185195755931407e-07,-2.0535974837685517e-07,-2.767286563809498e-07,-5.9177822884837224e-08,-9.002521396470657e-08,6.123672736150356e-08,1.1009502745470039e-07,-2.9038925337161225e-08,-2.9256034793044495e-07,7.291560348455854e-07,-3.2609082699397634e-07,-2.936004347950844e-07,-1.5154523022208713e-07,-1.1686709358324969e-07,-5.4471345829960276e-08,7.699898627839959e-08,-7.783223931026932e-09,-7.124959730565147e-08,7.446279728594979e-07,-8.372921877057544e-08,-2.884286384186231e-07,-2.059495177511904e-07,-1.3205540617680766e-07,-4.146099552345642e-08,1.1779436569594105e-07,1.5091483225035377e-09,-1.7702626570856733e-07,7.489820579641754e-07,-3.445140097658801e-07,-1.852041154646316e-07,-2.520837152879685e-07,-1.7667220114054942e-07,-4.848337629532607e-08,1.1032037373988478e-07,2.483822564292696e-08,-2.114254413886591e-08,6.709731443226083e-07,-2.1965442434021427e-07,-1.6290414345072135e-07,-2.1024494972686522e-07,-1.664585411671629e-07,-9.109003680372275e-08,1.1184431418663026e-08,7.129035986553948e-08,-9.595559838022331e-08,4.170504233439215e-07,-1.1602286740037584e-07,-1.305697257936928e-07,-2.733222843152064e-08,-8.378188143804924e-08,7.567827991909157e-08,-3.381274843884177e-09,-6.1501751711749e-08,-4.110295114325722e-07,6.317977450933075e-07,-6.281672000390962e-08,-1.6392379888533248e-07,1.6820261863708948e-09,-1.3154415013976776e-07,6.52487300576369e-08,-3.3814164317683684e-08,8.791558928659821e-08,2.0657198048702122e-07,-6.698771207741317e-07,1.592944123198685e-07,1.8495049800017632e-07,1.3599169867992307e-07,1.345507826483237e-07,-1.8966294914672653e-09
treat_p0,-1.3218254870836603e-08,-8.002117533858084e-08,-6.348913995579267e-07,-2.0535974837685673e-07,1.975969966625919e-06,7.521398347936468e-07,1.8471583593260359e-07,-1.304118420270303e-07,-2.482770238146691e-07,-1.9346099000053856e-07,8.446635110890632e-08,-2.878777142784299e-07,9.782200778628698e-07,2.5136443211699466e-07,7.148735868100421e-07,3.510196217261324e-07,1.7057032550029468e-07,4.816159388632185e-08,-2.844074941130269e-07,-2.3249376399914665e-07,-7.011251434716133e-07,2.7232778825078165e-07,8.633632453761775e-07,8.753747780087581e-08,4.849788705268795e-07,1.24879344278769e-07,-4.537966751098448e-08,-2.3710448327242118e-07,-2.465065727970337e-07,-4.16554746193785e-09,1.2976615803812568e-07,1.3528404460180627e-06,3.330829945140567e-07,3.936070303169218e-07,2.1044238113262308e-07,3.556432076842481e-07,-3.831607023727856e-07,-4.3222362305199517e-07,-5.020692533174293e-07,-3.567772386101611e-07,1.0970077177713808e-06,1.424691765548573e-07,5.36572428695448e-07,4.360679359913979e-07,7.20331511483887e-08,-1.197458168558874e-07,-2.4104045889683167e-07,-4.35793569194948e-07,6.64736459629383e-07,6.629433362958643e-07,3.923401115874005e-07,3.809805600469195e-08,3.319818659765548e-07,-7.746998345874103e-09,-1.3086628675604438e-07,-1.998145998159519e-07,-5.034300908924271e-07,-6.012667233221999e-08,7.670306525052942e-07,5.385527307357892e-07,1.6600300919795648e-07,2.5516000054114115e-07,-4.761337928998875e-08,1.552816828829134e-07,-2.4740873546045096e-08,-1.1200643115490992e-07,2.408211806557231e-07,-1.6029856519851036e-06,-6.080390805510673e-07,-5.711128589475584e-07,-3.9446453113917934e-07,-1.0320891859783832e-07
treat_p1,-2.191596630125911e-08,-5.6266844096143176e-08,-1.4150686402737328e-07,-2.7672865638094974e-07,7.521398347936445e-07,4.6282879875549045e-07,6.775126712524601e-08,-1.4928067709571299e-09,-1.1060181617346877e-07,-1.1032058066486313e-07,5.220920774516364e-08,4.645173853376999e-08,1.8713662594389064e-07,1.6364428418256107e-07,3.9061288318238907e-07,1.0265425731654933e-07,8.79557200132488e-08,1.3289220540652186e-08,-1.2689640196512374e-07,-1.0116170108191824e-07,-2.1504091606879267e-07,-1.3195143355559059e-07,3.98767069825205e-07,1.5940577372575187e-07,2.504341594881338e-07,1.0944178116859379e-07,-2.599121203065067e-08,-1.421824690081181e-07,-1.0103910088506849e-07,1.32523684388472e-07,-1.922864452206541e-07,5.206629923782699e-07,2.0607207482122562e-07,1.7703639717193785e-07,1.269226544632151e-07,1.2528332095102347e-07,-1.8307632590721051e-07,-1.550126135783528e-07,-1.0908995157751126e-07,-2.8056083956489103e-07,4.3247857217873817e-07,1.0271882667306744e-07,2.383404571471315e-07,2.3621583669099613e-07,4.671002826411405e-08,-5.28141994934328e-08,-8.666063804281431e-08,-1.117947667128571e-07,1.6016786188604457e-07,3.287814653061647e-07,2.3084255685045846e-07,-3.6112955280445945e-09,1.6351216680379137e-07,-4.4228893917355364e-08,-5.341492816592737e-08,-5.517456894035895e-08,-6.797647213954527e-08,-2.1761467461712726e-07,3.969927288681872e-07,2.5821796197714717e-07,3.241591692757563e-08,1.2432091308336487e-07,-4.998103887361673e-08,8.485122154096285e-08,-2.528993067111015e-08,-7.662848171429279e-08,2.435832754125738e-07,-7.057713697242477e-07,-3.0854287785679785e-07,-2.3685026993510752e-07,-1.9698253225422885e-07,-3.363087986264851e-08
treat_p2,3.0087297535678837e-09,1.3272296777922328e-09,-7.68447497314149e-08,-5.917782288483702e-08,1.847158359326038e-07,6.775126712524647e-08,1.5231247484082353e-07,-2.7035179970260756e-09,-3.6221030443357645e-08,-1.1832267614988647e-08,5.896165679548548e-11,-8.114827434898682e-08,2.2048028955927587e-09,6.893548958464078e-08,9.494091855689993e-08,1.4296294841406346e-07,2.5761267934205052e-08,-2.4930524249897084e-09,-3.949260521828035e-08,-3.019369239670748e-08,-1.1980288461587332e-07,1.8758569628659245e-08,6.068829002234967e-08,2.9582026599594134e-08,1.518656088918392e-07,1.0315243112421205e-08,-1.3926829580869453e-08,-2.6796951013099668e-08,-3.633548030091475e-08,-1.0228015628607365e-07,-2.7208009215759896e-08,2.1541207951469215e-07,1.3145547606198798e-07,1.2750091869493486e-07,5.010886473264293e-08,3.3203267322708534e-08,-4.5507090555812175e-08,-9.127724873592e-08,-1.0710574873621422e-07,-1.051548444757822e-07,8.752555007656216e-08,1.223090420029821e-07,2.215667586660329e-07,5.856090294663962e-08,1.0964684799687038e-08,3.898315407740868e-09,-6.602321783127414e-08,-4.646841297680503e-08,3.3984270642370837e-08,1.0255005390419136e-07,4.5621051099048104e-08,3.404639224529451e-08,2.6291318771064164e-09,1.210318603163566e-09,-6.7913121676771405e-09,1.0411962348393989e-08,1.105998848334478e-08,1.6897673601478346e-08,4.1376711058953445e-08,9.011102428210251e-08,1.1070261395469283e-07,3.019729397327147e-08,-1.4561330328198604e-08,5.6891256701196464e-09,7.098599342052075e-09,-4.911064470860134e-08,1.0875971471168253e-07,-9.717493742110205e-08,-1.0126894119387324e-07,-1.427324910315672e-07,-4.869816000150518e-08,-2.9471508932757255e-09
treat_p3,-7.226230230660128e-09,-7.961063533539872e-09,9.76059165598423e-08,-9.002521396470376e-08,-1.3041184202702803e-07,-1.4928067709568751e-09,-2.703517997025608e-09,7.237712036786911e-08,2.356635232687452e-08,7.205409356109734e-09,3.3155665068341055e-09,9.222746336517968e-08,-1.8409331159844905e-07,-4.690069959692256e-09,-2.2015126767342287e-08,-4.166723836984684e-08,1.5941791478878879e-09,-6.685803224079219e-09,1.81920687147178e-08,1.0945135305534995e-08,9.962968714257468e-08,-1.2392521368498975e-07,-4.091540780529262e-08,-1.21251390071477e-08,-1.237976130055607e-08,2.198572135041944e-08,5.753285760915061e-09,7.400191740036483e-09,1.6300339505659283e-08,5.614648363821585e-08,-1.59052744686242e-07,-9.796931052598459e-08,-1.46318093983303e-08,-4.376189286689579e-08,1.4376696704896164e-08,-2.833489371968467e-08,1.9220011523278247e-08,3.809748895507931e-08,8.077614974613197e-08,-1.8238065813540257e-08,-1.1013382042921537e-07,-8.703275910134574e-09,-2.349272538372793e-08,-2.3004910812143272e-10,-1.5329198422170953e-09,1.3674801744445517e-08,1.9611198410950746e-08,7.213692522929898e-08,-9.115587440612796e-08,-8.174173622934706e-08,4.14611292779056e-09,1.3329303869943407e-08,-4.493926749131889e-09,-2.941440836443691e-09,2.0199522125388764e-08,3.928161063635776e-08,1.2217870814051067e-07,-1.2274013690955408e-07,-4.589558066662513e-08,9.155104093605689e-09,-1.0121664280688997e-08,2.4737280749775574e-08,-2.0720915687273597e-08,-8.065483083737833e-09,-5.508229066949906e-09,-1.8438387686240998e-08,5.716290961214235e-08,1.1193487495228622e-07,1.7448962908174344e-08,2.3006144347236753e-08,-5.5287240517445446e-09,4.0724483595577666e-09
treat_p4,-2.12629589881611e-10,2.318340367150681e-09,8.529735286344678e-08,6.123672736150504e-08,-2.4827702381466893e-07,-1.1060181617346825e-07,-3.6221030443357195e-08,2.356635232687531e-08,9.02502471069993e-08,4.6406189464672054e-08,-3.5617338031033265e-08,-5.257386752990125e-09,-1.1700633893611946e-07,-2.6054133107552127e-08,-9.387296409029759e-08,-5.63072020076014e-08,-3.116527665249543e-08,1.6250207176417157e-08,6.148053436347504e-08,2.38507663450753e-08,8.636452865472706e-08,1.9501137518165862e-08,-9.588165474163778e-08,3.295400658648395e-08,-9.94291077242625e-08,-2.872267428912505e-08,3.164369932412808e-08,5.520683445923499e-08,4.5582251629486386e-08,-6.879546707887538e-08,7.144395721438897e-08,-1.9699833000401928e-07,-1.506625551389671e-08,-7.519206612132498e-08,-5.3331953543201355e-08,-4.352268340558753e-08,6.628280936320968e-08,6.378288455632453e-08,3.513007945513872e-08,1.044983405825403e-07,-1.825394487723935e-07,-2.5674072843401052e-09,-1.283628856181878e-07,-1.0661114154427731e-07,-3.1489598546120127e-09,8.947692493819273e-09,1.4727102021489935e-08,7.467262945225129e-08,-8.218414751446871e-08,-1.2496244163681323e-07,-1.0111057647435277e-07,-2.160057426962396e-09,-8.330220748923806e-08,2.5742790590707635e-08,2.6422859386714685e-08,1.3630157112832416e-08,6.877016120215932e-08,4.979775088623178e-08,-1.3371122679570926e-07,-1.010714989038374e-07,-4.0719168164826526e-08,-6.097841353306668e-08,3.610037417932534e-08,-1.76207832723649e-08,2.6225190428507515e-08,6.986981426802578e-08,-9.422413005242919e-08,2.801905537716939e-07,9.899915317266163e-08,1.10984545552192e-07,7.97827120221288e-08,-3.5195624729891853e-09
L4treat_m4,1.4376250634127038e-08,3.9812132190937145e-09,4.4575980329145266e-08,1.1009502745470048e-07,-1.9346099000053848e-07,-1.1032058066486328e-07,-1.1832267614988383e-08,7.205409356109948e-09,4.640618946467209e-08,6.698361772286582e-08,-2.5101208412588668e-08,-1.2303385596436675e-08,-2.2231155768067797e-08,-6.934886898024921e-08,-1.3155630344172162e-07,-4.3996365130801686e-08,-4.608951956940408e-08,-1.609859406266121e-08,5.9099310139123426e-08,9.043144723425002e-09,6.331639427052681e-08,7.341470129782552e-08,-1.0627669988953338e-07,-2.59836003883956e-08,-8.078983054377517e-08,-4.963440929285066e-08,4.087929775872287e-09,6.94014996424824e-08,2.8475143071480867e-08,-5.037462212470664e-08,8.765124687118619e-08,-1.587219276401828e-07,-4.366404696927511e-08,-7.349961653122856e-08,-6.20364021804449e-08,-5.026926635797606e-08,7.013382473326158e-08,3.399789763755213e-08,3.490786964919566e-08,9.742763563448359e-08,-1.9268966804065173e-07,-6.095371835930033e-09,-9.04952706564619e-08,-1.0275819651474225e-07,-2.07005339208773e-08,2.323908624395267e-08,1.450457904734957e-08,8.284284698910774e-08,-2.2511812914796823e-08,-8.86232809255743e-08,-7.971258332452698e-08,-3.377969206377963e-09,-8.213926827512501e-08,2.930074016119129e-08,2.7649722033313227e-08,1.1764679584143967e-08,3.905627607364394e-08,4.7029982662448115e-08,-6.665848874700595e-08,-8.433191222083766e-08,-7.69420058177879e-09,-6.788581466168738e-08,1.800490569909663e-08,-3.373935024325521e-08,3.1938496672115254e-08,2.9630453008713584e-08,-8.251795215886735e-08,2.1968077438757294e-07,9.688731728096882e-08,7.769698560426103e-08,7.963043779227564e-08,5.239550324076241e-09
