,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,3.236262560434025e-09,1.3542141518271668e-09,1.6421742546309877e-09,1.3782621000930466e-08,-1.0976352804798715e-08,-6.886139066457418e-10,2.7021471035680896e-09,-1.433513245415025e-09,9.027765813992502e-10,3.225617886412076e-09,-1.982048758176555e-09,-5.530652200207261e-09,2.3306654433797095e-08,-9.576193464942623e-09,-7.787959684771111e-10,-3.089747622574509e-09,1.8109800741019992e-09,1.2090215420833893e-09,3.8783264552329115e-09,-1.6073510570752837e-09,-4.484733376490117e-10,1.9100131566414258e-08,-9.317604831497735e-09,3.3338839863149106e-09,-5.494619896621426e-09,3.170343631182588e-09,1.6122618206643528e-09,3.783389147031058e-09,9.731416521941484e-10,1.6877795658301983e-09,1.9119162895428167e-08,-8.572506831664585e-09,6.2920004420382596e-09,1.1031873623531882e-09,-2.0443800809756007e-09,-2.962432938738206e-09,2.474745158344863e-09,1.2671647904700123e-09,2.4238311926029925e-10,1.0489993770259546e-08,-5.811371437939401e-09,8.311748981123123e-09,1.5254795618423894e-09,-1.8616439364761175e-10,-2.144081485895436e-09,2.882913068911218e-10,5.956502251144413e-10,3.035153477800976e-09,3.103692846049185e-09,1.962954451353259e-09,-1.0790981220634995e-09,-6.165912932645748e-10,2.8997774459972984e-09,1.1446396542409994e-09,6.24684400083855e-10,-1.849313082981711e-09,3.653509815079469e-10,8.096213550193581e-09,3.4581108343923213e-10,-1.1093409607447683e-11,7.206593767141103e-10,-1.4170297786720906e-10,1.6709324474368858e-09,-7.094115887431368e-10,2.6887959518454027e-09,3.044050586400093e-10,-2.1312461639476057e-08,2.7546406424555037e-09,-9.025526713924902e-10,9.358999611791165e-10,4.947853276354756e-10,5.415240787884103e-10
treat_m3,1.3542141518271532e-09,1.5916071429055725e-09,1.0481622962329783e-09,7.893195383361139e-09,-4.4636841260259605e-09,-7.936254603426415e-10,1.1717243525791048e-09,-7.784204854403159e-10,-3.14200913453911e-10,1.080389320438942e-09,1.3584092150944635e-10,-3.006555713325316e-09,1.1241588506504522e-08,-3.217678051643634e-09,-1.7032403990854438e-09,-9.819906625759077e-10,1.5727601780045668e-10,6.741966401954143e-11,1.2760943905621468e-09,6.000929125450358e-10,-3.342653878820732e-10,1.0234124740908392e-08,-1.5877545988893012e-09,7.711732114092738e-10,-2.40462475968583e-09,1.2982308443090229e-09,2.146330632605006e-10,1.7272728114205674e-09,1.3902693060326063e-09,-1.149243696175282e-10,9.131704706822631e-09,-2.214573997605604e-09,1.5533563304543179e-09,7.566928833600094e-10,-1.5775527555261937e-09,-2.450197312066063e-09,1.34332083347826e-09,1.0115977684439805e-09,-2.4807546182400343e-10,5.9015149421245786e-09,-6.65315495707818e-10,3.718546671426257e-09,2.9911358313805166e-10,-6.00535736177487e-10,-1.4178302417725607e-09,3.373432414204969e-10,1.0740102887681061e-09,1.6744774666765288e-09,1.5339506212429982e-09,2.9320524900268025e-09,-2.0731105188832283e-09,-1.4972785049702315e-09,5.37979930779299e-10,7.943464404888265e-10,4.923391077672793e-10,-5.451250410045199e-10,1.2619512143997438e-10,3.2655379324701523e-09,1.1702222871211337e-09,-3.36789603538389e-10,-4.955169412523161e-11,-9.596618045233163e-10,1.298941753573201e-09,-6.443115994003533e-10,1.0098277198469755e-09,-5.3140149152198647e-11,-1.139080769082254e-08,6.36462704996455e-10,1.0779111133304639e-09,8.487949147895376e-10,7.80730115825202e-10,8.315846781170845e-10
treat_m2,1.6421742546309957e-09,1.048162296233128e-09,1.5188581027891342e-08,2.1179546439165622e-08,-2.7162564648342926e-08,-8.551489633817654e-09,3.582591708669962e-09,2.178611424964605e-09,1.3882053692441616e-09,1.1809046992606827e-09,-4.104242894601272e-10,5.137449076106942e-09,3.237739033258307e-08,-1.7690055708972856e-08,-4.892973535099672e-09,-5.959964650471691e-09,2.624392263916663e-09,1.5282018629600666e-09,1.9040516167535846e-09,-2.4617450874887772e-09,9.266993829228658e-09,2.768512489826807e-08,-2.1046073544531884e-08,-1.2805247715745598e-09,-1.1704993233516702e-08,2.0588155566367918e-09,-1.881338877216894e-10,1.9558577876686305e-09,-8.56632035326684e-11,1.0966670937279686e-08,2.6868535476874587e-08,-1.4729203101245182e-08,5.32871850437865e-09,-1.65773239626172e-09,7.979742246543014e-10,-1.5831409310781908e-09,1.081324782603064e-09,2.4975311812241755e-10,8.177499394216985e-09,2.256929324648246e-08,-9.677760695133912e-09,2.931730334096506e-09,-8.212958592698204e-10,-2.957676066270864e-09,-4.391564580220947e-09,-1.8972117364548688e-11,3.1468167497943057e-09,7.959769778539806e-09,9.87708060278351e-10,7.28613468513902e-09,1.118791075266764e-09,-9.077179834326547e-10,4.3332223295141545e-09,4.725168541206766e-09,-6.617305207273708e-10,-1.2330351564824788e-09,7.269058350519852e-09,3.0592990491919224e-09,2.52583162807855e-09,2.781564853250179e-09,-3.0112483685103055e-09,2.7492805932387407e-09,2.161322830524434e-09,1.5429258435335384e-09,5.397879645157892e-09,-2.6464569163299087e-09,-3.709447838689763e-08,5.479200980976399e-09,4.046984718940403e-09,4.6406281735158355e-09,4.22984435292735e-10,1.989149054834282e-09
treat_m1,1.378262100093053e-08,7.893195383361177e-09,2.117954643916535e-08,1.6391511121917271e-07,-1.2346922175525906e-07,-3.429764912311905e-08,1.792705866039769e-08,-3.702820173129034e-09,-4.046658539351807e-09,1.5978925040718488e-08,-7.132468849683601e-09,-5.154740469100129e-08,2.4620323747541467e-07,-8.744596238687411e-08,-4.7783249558549747e-08,-2.545052711995152e-08,1.82574484206746e-08,9.843545460600695e-10,1.6452576142770493e-08,-1.0987453277473278e-08,1.8798549039641508e-09,2.415200897565734e-07,-1.0284148688395905e-07,4.95439598352673e-09,-3.566927238240876e-08,2.5154425575583575e-08,6.853572876337446e-11,2.1993236220593445e-08,4.20974092076139e-09,5.499537577378461e-09,2.253357472886981e-07,-1.0838232652988086e-07,2.5410862946782526e-08,7.641163295932797e-09,-7.486157901873509e-09,-3.359085946513781e-08,1.550711588258505e-08,1.3042434613689518e-09,-3.848520356148123e-09,1.579434203980002e-07,-7.557522256341581e-08,4.13381105890065e-08,2.9348392818537298e-08,-3.6547191659936096e-09,-3.1639829461879866e-08,4.014405811083252e-10,7.99603124474772e-09,4.185799286207128e-08,5.378683745186859e-08,2.5948451848280815e-08,-6.539763163504218e-09,-8.301766426704307e-09,1.2897505451484377e-08,1.2756044625609271e-08,6.622421603270771e-10,-1.0697985362676874e-08,2.7885407870545707e-08,6.950147735112686e-08,2.201161261042135e-09,3.625124382655615e-09,3.045919662444962e-10,-7.2286647202131215e-09,1.2042483839595506e-08,-2.855717163938437e-09,3.117460174834855e-08,-2.2357577138228058e-09,-2.60906895186823e-07,4.992027279038965e-08,3.3368874512931275e-08,2.28473453495067e-08,1.4664825333145388e-08,2.454567122397e-08
treat_p0,-1.0976352804798847e-08,-4.463684126025764e-09,-2.7162564648343178e-08,-1.234692217552563e-07,1.4759420045895104e-07,3.5955728254643244e-08,-1.4854801289138706e-08,-3.423713936600694e-09,-6.602743329745534e-09,-1.0973684146162258e-08,1.0045541144299733e-08,3.3160540718630204e-08,-2.0458618343210312e-07,1.0605734008416531e-07,4.0565912307380785e-08,2.6133223200723067e-08,-1.5405460197633604e-08,-1.2984763511257725e-08,-1.5769536655202298e-08,1.4494225348958668e-08,-1.2113625412596516e-08,-2.026130511252698e-07,1.3074025201894586e-07,-2.4337007898255844e-09,4.238410412909327e-08,-1.7097539657369387e-08,-3.121198186187944e-09,-1.581570015114177e-08,-3.4839476302221577e-09,-2.453364097319268e-08,-1.9164223922939278e-07,1.2066814353825563e-07,-2.0705503520362274e-08,-4.513694873248606e-09,6.5995228321154705e-09,1.553971721731378e-08,-9.355337312520734e-09,-6.223464250523682e-09,-5.907339827508192e-09,-1.3250232369961622e-07,8.385497422521561e-08,-3.416007668135779e-08,-2.3027756998604918e-08,8.661654774443781e-09,1.9149151773913404e-08,2.708597717900183e-09,-9.003533358663314e-09,-4.082729573885195e-08,-3.4811404980395045e-08,-5.1114608210913254e-09,6.446579320190709e-09,3.5382359784002483e-09,-1.6923527283345466e-08,-1.7164624210458697e-08,3.021536889164602e-09,9.378599620844049e-09,-2.4930670541640612e-08,-4.541957731058735e-08,8.594265241923314e-09,-2.5772179859119864e-09,3.873351047490281e-09,-4.339644795108897e-09,-9.672075494679741e-09,-5.27426143971282e-09,-2.6022338340509483e-08,1.3289621244201315e-09,2.2564252007781492e-07,-4.9673935811945886e-08,-2.3516064934731616e-08,-1.9020432715060062e-08,-1.0751086760748114e-08,-1.3860705221401463e-08
treat_p1,-6.886139066457441e-10,-7.936254603428212e-10,-8.55148963381758e-09,-3.429764912311856e-08,3.595572825464297e-08,2.6161460602215044e-08,-2.9015287903609256e-09,-5.460077043295377e-09,4.359753860329336e-09,1.1327833883475478e-09,-1.2678652929857355e-09,4.367081173232809e-09,-4.332704669069459e-08,2.2074170401431166e-08,2.6000895725002008e-08,3.372449824477551e-09,-9.863615912106451e-10,4.0269307486910195e-09,-1.2451358528851526e-09,9.93327457238418e-10,-8.18143163724e-09,-5.217395153475411e-08,2.625325066995839e-08,2.2428220750182685e-08,1.215602492173028e-08,-1.1548840341543926e-09,1.0109569137117674e-08,-3.6377512842262073e-09,-5.793384318118954e-10,-2.970799197479234e-09,-4.586774791334113e-08,2.5028670440488002e-08,1.630381759715715e-08,8.246822397354116e-10,2.2874566530029945e-10,9.058574816318459e-09,-3.214548529173882e-09,-1.3589694788750514e-09,-3.360267807825974e-09,-5.081088827310082e-08,1.782052762617352e-08,1.5806508329028012e-08,-2.0382308011027676e-09,7.27203476366632e-09,1.3874742603878343e-08,-3.0165041632314013e-09,-5.6347211382455345e-09,-9.292431083773037e-09,-1.2774495435786048e-08,-2.9472555447323698e-09,7.59001131967911e-09,-1.609303266102896e-09,1.9651626564089105e-10,-1.108646496620942e-09,-1.7994999427478175e-09,-7.088723036732302e-10,-9.164242326071914e-09,-2.5905739903167856e-09,5.166645130929073e-09,1.9412631135128826e-09,1.7957826800834531e-09,4.373690421821217e-09,3.0816997608743423e-09,1.0134198190217252e-09,-4.85443167550477e-09,1.564278260893735e-09,5.8780212023900116e-08,-1.8362864275344477e-08,-2.5367196379145875e-08,-9.248932226734382e-09,-6.085859027665214e-09,-1.2969260974534402e-08
treat_p2,2.702147103568073e-09,1.1717243525789077e-09,3.5825917086699644e-09,1.7927058660397838e-08,-1.4854801289139235e-08,-2.9015287903609417e-09,9.716772698897432e-09,-1.9826016004669425e-09,-1.7552285816727642e-09,2.0947644680858873e-09,-2.830322647224672e-09,-6.0218343229782695e-09,2.9419184011086483e-08,-8.370069127709318e-09,-4.4120525286766895e-09,5.842024280782984e-09,6.808309162471978e-10,-3.8226349975840465e-10,3.5849660248806174e-09,-1.799522757739163e-09,3.3951362017289677e-10,2.0640607851183445e-08,-8.964306966026935e-09,4.24843873462348e-09,2.3906381795432765e-09,-3.668765308700756e-10,-5.961648771396276e-10,2.7022571829426404e-09,-1.4275500613847833e-11,1.1743909783623043e-09,1.7625497541101617e-08,-5.889307650920345e-09,6.640956027397231e-09,6.219961808237709e-09,-2.5653278434255056e-09,-3.3029087056427996e-09,2.8806675667015067e-09,2.089614162021565e-10,-1.3205518995686604e-11,1.4848172434130751e-08,-1.0816238954208404e-08,1.3837653470953273e-08,9.023736662444527e-09,-1.6135070157592637e-09,-2.088497026692562e-09,1.3145400120771545e-09,3.6895444709738593e-10,3.966134812951766e-09,6.8596978441024425e-09,6.178452724702288e-09,1.0777849158730776e-09,1.2510178087440045e-09,-1.1052595036337279e-10,1.0874332527700075e-09,2.413081010020214e-11,-1.9829883778779085e-09,2.714500278151831e-09,9.846098929814077e-09,-2.904709097460709e-10,1.4778646027243914e-09,4.6120174123868774e-09,-2.4468276218519594e-09,6.054267820936634e-10,-1.0179737668367263e-09,5.0209667433031094e-09,-6.995835254924836e-10,-2.9195466871402797e-08,4.66927301441743e-09,-1.432430796861873e-09,-3.890697247286015e-09,1.4941806430662705e-09,2.270276434043212e-09
treat_p3,-1.4335132454149967e-09,-7.78420485440361e-10,2.178611424964641e-09,-3.70282017312942e-09,-3.4237139366007713e-09,-5.460077043295301e-09,-1.9826016004669024e-09,1.164491232845971e-08,-7.654137951405489e-10,-1.527917809147295e-09,8.835899798545229e-10,4.955851347330486e-09,-8.619700762848974e-09,-1.7859191728722358e-09,-4.252424630462931e-09,-2.4782180688931935e-10,3.1217535524107085e-09,-2.8561810677959623e-09,-1.1950396315814674e-09,-2.899226254522877e-10,5.966026923095683e-09,-3.4753373491860354e-09,-5.212936655871929e-09,-1.059607711504176e-08,-2.07764283112575e-09,5.840018395547067e-09,-3.833430236468022e-09,-8.392851134688888e-10,-4.362070703738837e-10,4.452518612301932e-09,-2.6599513767577784e-09,-3.6143395887741326e-09,-8.319596257600515e-09,-7.764620486814935e-10,5.5556227969663324e-09,8.536569388574503e-10,-1.0880767208420325e-09,1.2192438476943782e-09,3.4937048516161347e-09,3.3979867987298335e-09,-4.752146350631694e-10,-1.0779072119622736e-08,-4.210165495472364e-09,1.409254754427811e-09,-3.160921071443047e-09,2.2016972913218824e-10,1.6963849565092017e-09,-1.429396767388743e-09,8.061950551281821e-10,-6.413462070603194e-09,-2.054475694307245e-09,2.2749806304372452e-09,4.324594321350782e-09,-1.2972339792882012e-09,-5.160095000742679e-10,8.515587675529467e-10,-9.239262718851627e-10,-4.0925120693045035e-09,-6.061060425407521e-09,-2.278845035681509e-09,-1.475944589518088e-09,5.769613786790114e-09,-3.058469652169324e-09,1.5044866624089326e-09,-2.0335791985594696e-09,-2.2834172882830325e-10,3.2196943435743558e-09,4.42362923605393e-09,5.778837185727613e-09,1.38539092956753e-09,-4.311391765206811e-09,3.0830178805074906e-09
treat_p4,9.027765813992515e-10,-3.1420091345390933e-10,1.3882053692441852e-09,-4.046658539351708e-09,-6.602743329745415e-09,4.359753860329305e-09,-1.755228581672747e-09,-7.654137951405446e-10,1.075854320666894e-08,1.4917610680729796e-09,-2.4502716168900485e-09,2.4751418320526254e-09,-4.26083013463217e-09,-9.163677131950099e-09,1.0098962585232897e-08,-5.311366181975597e-09,2.030443974290089e-09,6.82683632214187e-09,2.1863243171672445e-09,-1.1920019798158503e-09,1.4397243912374099e-09,-4.689704933175757e-09,-5.901118695369781e-09,7.603616178764126e-09,-3.188921900323001e-09,2.2494918732350592e-09,5.13307832628641e-09,1.7456973289596784e-10,9.991958593674146e-10,4.48338092150137e-09,-2.1218533966850877e-09,-8.676360736874387e-09,7.420965252694067e-09,-7.349836497504596e-10,-1.6800534657047404e-10,5.541978314219241e-09,8.422059197928334e-11,1.2890788555065828e-09,1.783928061401843e-09,-7.679198607066674e-09,-4.380486329686867e-09,9.3269872915026e-09,-1.810730462552655e-09,9.86594112905228e-10,6.14850857068105e-09,-1.5232828250531352e-09,-6.547439699755998e-10,-1.6994029719061434e-11,-4.907058972278397e-09,-2.91790670815046e-09,9.651526588638968e-10,-4.1537654597440416e-10,5.569485050047557e-09,4.046435131509022e-09,-2.0026695129873973e-09,-7.41992965544716e-10,5.213465035522688e-11,-3.2737029540957328e-09,2.8584700572897204e-10,-9.120716070794635e-10,-2.2995491557841404e-09,5.759548724701152e-09,2.0048711201272733e-09,1.1535633348974569e-09,-5.893593294597806e-10,1.4758867462715415e-09,4.021090657760339e-09,-1.7837064238502855e-09,-8.494766603832785e-09,1.1631407617774762e-09,-2.600585516453607e-09,-6.460903454533997e-09
L4treat_m4,3.2256178864120666e-09,1.0803893204388676e-09,1.180904699260697e-09,1.5978925040718955e-08,-1.0973684146162167e-08,1.132783388347491e-09,2.094764468085853e-09,-1.5279178091472936e-09,1.491761068073027e-09,4.4314732191514385e-09,-2.4318308833137815e-09,-7.349133726092369e-09,2.8581011592317408e-08,-1.0962840439610474e-08,3.7689477932536175e-10,-4.388210368642405e-09,3.8282337379238625e-09,1.3370273802546922e-09,4.28980418479154e-09,-2.2080367978913483e-09,-1.730081062912411e-09,2.371028802948381e-08,-1.1455222112565635e-08,6.997638308813949e-09,-5.151215548668269e-09,5.398166677104423e-09,2.842042668876541e-09,4.452351998193447e-09,7.320195148810138e-10,1.140973839403884e-09,2.2917725458144463e-08,-1.0353087589465021e-08,1.021332605059372e-08,9.490620482442488e-10,-1.1579466865150534e-09,-3.5434005446054595e-09,2.80195119943778e-09,7.643912379424375e-10,-9.228291331734851e-10,1.0606452272808682e-08,-7.305512916621379e-09,1.1248573017705581e-08,3.1000756585501542e-09,1.249116187042424e-09,-1.3266055849863372e-09,-3.9643366130660593e-10,-4.704973115926847e-10,4.069431297395158e-09,4.60884783424035e-09,1.7558423768987078e-09,5.958365841668263e-10,-1.1600866117559808e-09,3.883756456452471e-09,1.9757836451862856e-09,1.2055594006805993e-10,-2.425734659266335e-09,1.2989494141343006e-09,1.0536797940144335e-08,4.31927942604764e-10,9.700375136170534e-11,9.867017553675546e-10,1.0158793174558159e-09,2.6214362167359665e-09,-6.643273829946699e-10,3.6885156799553076e-09,4.454036938268084e-10,-2.4614925378204544e-08,3.3418302509079315e-09,-2.1563572235113927e-09,1.2026183915449682e-09,1.632889067764585e-10,1.6233711947006957e-11
