,coef
treat_m4,-3.41916778320339e-05
treat_m3,-0.00010689433011326003
treat_m2,-0.0006146237436965774
treat_m1,-0.0024711258519615883
treat_p0,0.00259014828474749
treat_p1,0.000362788461443285
treat_p2,0.00010030462611856098
treat_p3,0.0004270481533209799
treat_p4,5.401828105505249e-05
L4treat_m4,-7.694833934537034e-05
L4treat_m3,-0.00011077087388683728
L4treat_m2,-0.00020856395124897584
L4treat_m1,-0.002474427907898267
L4treat_p0,0.0021154119604201013
L4treat_p1,0.00023931667281270908
L4treat_p2,2.730807573420345e-05
L4treat_p3,0.00027153777951607183
L4treat_p4,9.531157376050744e-05
L8treat_m4,-0.00010320818661880662
L8treat_m3,-9.468288379672218e-05
L8treat_m2,-0.00022813935611554429
L8treat_m1,-0.002345050774312158
L8treat_p0,0.0023846458262251637
L8treat_p1,0.00019832490475425269
L8treat_p2,0.0001327627789815557
L8treat_p3,0.00023491142138452311
L8treat_p4,-6.77341213969174e-05
L12treat_m4,-0.00014568576745608073
L12treat_m3,-4.444954604623042e-05
L12treat_m2,-0.0003089425608821678
L12treat_m1,-0.002336389592430432
L12treat_p0,0.0022262932855640393
L12treat_p1,-9.468432388445123e-05
L12treat_p2,0.00014350096729292042
L12treat_p3,0.00042620748866678787
L12treat_p4,0.00020511983689302195
L16treat_m4,-0.00015028492686630017
L16treat_m3,-0.00012058079599128433
L16treat_m2,-0.00028466852908482475
L16treat_m1,-0.0014079894030607002
L16treat_p0,0.0019049348582623113
L16treat_p1,-0.00011846348806293544
L16treat_p2,-7.734108877037446e-07
L16treat_p3,0.00043921962028012655
L16treat_p4,-0.00012826849081749836
F12treat_m4,-9.22270290626925e-05
F12treat_m3,-0.0001427007206946254
F12treat_m2,-0.00019394525179813573
F12treat_m1,-0.0002984986108519128
F12treat_p0,0.0005559680582750554
F12treat_p1,1.9056137584509186e-06
F12treat_p2,-2.9749155753710255e-05
F12treat_p3,0.00019495938684379287
F12treat_p4,-0.0002039282457588043
F8treat_m4,-3.0263741831742527e-05
F8treat_m3,-0.00011881489488043201
F8treat_m2,5.806397855374557e-05
F8treat_m1,-9.947702773745624e-05
F8treat_p0,0.00010308608348752269
F8treat_p1,-6.529127888443603e-05
F8treat_p2,-4.359828934733751e-05
F8treat_p3,0.00030913542171300527
F8treat_p4,-0.00033228290275540373
window_m4,0.00013204415988580525
window_m3,3.106452412694686e-05
window_m2,-3.9743572667416894e-05
window_m1,0.0018882899992635977
window_p0,-0.0006814473407647246
window_p1,-7.515080186529805e-05
window_p2,-5.728968533813382e-05
window_p3,-0.0002903372947627958
window_p4,7.418134668095414e-05
