,coef
treat_m4,-9.762709095712097e-07
treat_m3,-3.864387047685563e-07
treat_m2,-9.21370298621118e-06
treat_m1,-1.4209389191021093e-05
treat_p0,1.5264951864858925e-05
treat_p1,-1.2630913862972997e-07
treat_p2,-5.503897178062197e-07
treat_p3,5.003492428546031e-06
treat_p4,-4.586535454149636e-06
L4treat_m4,-1.2859826849349615e-06
L4treat_m3,-1.8914818376935805e-06
L4treat_m2,-8.43695911277534e-06
L4treat_m1,-1.9959381405783976e-05
L4treat_p0,1.8000380336370614e-05
L4treat_p1,-1.481858378254139e-06
L4treat_p2,2.6417362209661018e-06
L4treat_p3,9.473594609241756e-06
L4treat_p4,-6.577387873800713e-06
L8treat_m4,-1.33535170195133e-06
L8treat_m3,-1.0067183597740704e-06
L8treat_m2,-8.901860217018214e-06
L8treat_m1,-1.4261398890465842e-05
L8treat_p0,1.6476621175665826e-05
L8treat_p1,8.964218840109482e-06
L8treat_p2,8.890910893359404e-06
L8treat_p3,5.613198948690525e-06
L8treat_p4,-1.5107291721670683e-06
L12treat_m4,-1.9833231517779095e-06
L12treat_m3,-2.286219101822998e-06
L12treat_m2,-9.909911814042447e-06
L12treat_m1,-2.2362459160990774e-05
L12treat_p0,1.724139367822488e-05
L12treat_p1,-3.663677889816303e-06
L12treat_p2,6.2470825066115685e-06
L12treat_p3,4.509719056573521e-06
L12treat_p4,-1.1824673651995025e-06
L16treat_m4,-1.0229430589696495e-06
L16treat_m3,-1.4316473310432752e-06
L16treat_m2,-8.590484065303675e-06
L16treat_m1,-1.973400625630879e-05
L16treat_p0,6.590858137794745e-06
L16treat_p1,-5.2774379028626185e-06
L16treat_p2,-1.326989990902444e-07
L16treat_p3,7.88548899830621e-06
L16treat_p4,-4.171316332145969e-06
F12treat_m4,-1.8962191225887137e-07
F12treat_m3,-1.8123513818886027e-06
F12treat_m2,-8.582641198093744e-06
F12treat_m1,-2.7994891270586376e-06
F12treat_p0,6.109516381974175e-06
F12treat_p1,-6.304168437894031e-06
F12treat_p2,8.735282253522134e-07
F12treat_p3,9.507056692023102e-07
F12treat_p4,-3.075850641414414e-06
F8treat_m4,-4.706828072721649e-07
F8treat_m3,1.0895684380527e-06
F8treat_m2,-3.3549066807108266e-06
F8treat_m1,4.056745699010743e-07
F8treat_p0,2.032488869429332e-06
F8treat_p1,-4.056882918620583e-06
F8treat_p2,4.850677997123939e-07
F8treat_p3,-2.6928086101254036e-06
F8treat_p4,-6.061279843135883e-06
window_m4,1.5434773661346546e-07
window_m3,6.312436300212758e-07
window_m2,7.457158531197872e-06
window_m1,2.6116654634350927e-05
window_p0,9.91854534137957e-06
window_p1,1.7684381100027602e-05
window_p2,1.4482845365511201e-05
window_p3,1.0135941104191532e-05
window_p4,1.4609846138266661e-05
