,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,3.245219356264803e-13,-1.338428248219973e-13,2.349916261130947e-13,1.2418850354289397e-12,-8.562700679390566e-13,5.539692241122232e-13,1.1032906072492372e-13,-1.361916290241131e-12,-4.184605855679482e-13,1.8425456325804018e-13,-9.196769113082203e-14,1.7655001368116812e-13,3.9485759474035917e-13,-4.753843058077474e-13,1.2952236566381298e-13,4.3197368662067943e-13,-1.395933237204469e-12,-8.432431348760402e-13,3.251835193461475e-13,-1.680184260419937e-13,2.4303473577742897e-13,1.0143226383362454e-12,-3.396663414423336e-13,1.1968582745607337e-13,-1.355291067269419e-13,-7.970740592059242e-13,-1.2457393326104584e-12,1.9911345255785894e-13,-1.847994460046405e-14,-3.5845692051151684e-14,4.771780251876775e-13,-5.448166508718028e-13,4.656380354393423e-13,-4.2949492213408016e-14,-1.8296262549411585e-12,-1.2488954713719407e-12,2.3395662750858915e-13,-9.971857727534152e-14,-3.6750014584975525e-13,7.336724253001552e-13,-5.955470894329115e-13,8.641905904032619e-13,-2.1957986956851083e-13,-1.8904359013487736e-12,-7.410681951057404e-13,3.620913670693624e-14,-2.090425486539188e-13,3.175678768629954e-13,4.675214629426514e-13,1.0588277254869279e-13,1.385638517694521e-12,7.25613853884321e-13,3.7122749769453287e-13,2.787816368260454e-13,2.4786349185383916e-13,-2.073473680778682e-15,2.365278815340755e-13,3.0876699356568007e-13,1.257280003552042e-14,5.861814986135956e-13,2.2759688733570163e-13,4.174273767811379e-13,-3.313389939523114e-13,-2.012919740585991e-13,1.813668196146477e-13,6.087315549129985e-14,-7.755258833060726e-13,4.645638348215084e-13,-5.808270919865977e-13,5.174746107985871e-13,1.149140546684105e-12,1.1218183581015216e-12
treat_m3,-1.3384282482199658e-13,7.435739148029637e-13,-5.690374580956096e-14,-2.1991962791681474e-12,1.3949770058763321e-12,-1.0776809971479199e-13,-1.9437376487692625e-12,8.380374286901012e-13,9.370467430486915e-13,8.993911240218412e-14,2.2217836683714926e-13,-3.3357540297021053e-14,-1.8074115513495837e-12,1.2108166854517863e-12,-9.423699999152802e-15,-1.6183771944413994e-12,2.181757690823775e-12,5.54712566359256e-13,-1.85865379881161e-13,5.407910534213277e-13,-1.335528712723569e-13,-2.2935889079410424e-12,1.1149034143434986e-12,4.429531826758214e-13,-1.1375209050410518e-12,1.351205037499571e-12,1.5021252759298032e-12,-1.429846722424697e-13,2.6434462546242583e-13,-9.281656222946015e-14,-1.7985204195263073e-12,7.933649349560157e-13,-7.310980993409284e-15,-2.2698667686840286e-12,2.0016961938559577e-12,7.389605962525508e-13,-2.0210134362047907e-13,4.915951754594967e-13,6.606233295784184e-13,-1.8592085395067176e-12,-3.9302813144652206e-13,-1.9355909459210557e-12,-2.483374021792148e-12,3.0801004954204273e-12,1.270529153863837e-12,3.59927375826777e-13,6.650424350330153e-13,-4.650417545345477e-13,-2.439384167807802e-13,1.9657015657278661e-13,-7.843342285958698e-13,-2.761648512522339e-12,-1.5999792482685236e-12,1.6852124984141986e-13,-4.9417514331104945e-14,3.156711383930848e-13,-5.891265857954232e-13,-1.3179097035149792e-12,-1.153936437630258e-12,-3.643894322216972e-13,-2.0253669929731287e-12,-1.0572530336010073e-12,2.4991030915525553e-13,5.915315102445303e-14,-6.317178152729944e-13,-1.174384813098474e-13,2.0392924475382573e-12,-1.6599908095038904e-13,6.238645214045747e-13,9.406351033381246e-13,-1.1395162631082884e-12,-1.5441342741971593e-12
treat_m2,2.349916261130953e-13,-5.690374580955866e-14,9.477667418500944e-13,9.993653711393291e-14,-8.947299323624926e-13,8.079644846125338e-13,4.414592577483557e-14,-1.6344500793193235e-12,-6.364091712427734e-13,3.5979688161528037e-13,8.769832952811857e-14,1.0462871807848922e-12,-3.2993798911662783e-13,-1.1258860881707986e-13,1.9442653598227022e-12,8.054532049021244e-13,-2.9963577178177562e-12,-2.6435869078014238e-12,2.202274439995576e-13,2.056011367995453e-14,8.281999031186261e-13,-9.084285672233968e-13,1.3113010784090038e-14,7.704222873612071e-13,5.665165372361758e-13,-5.523333408777962e-13,-1.133631976747848e-12,3.6954248263228295e-14,-1.5378331193881376e-13,1.7553505207530202e-13,-1.0230204070865446e-12,-7.813934765400755e-13,1.550867883152934e-12,-6.688367360781849e-13,-1.9825346727247362e-12,-6.229960859922039e-13,1.6892531729771004e-13,-7.690292781464125e-14,6.539751248348082e-13,-3.9511334961372466e-13,-7.837619671664876e-13,3.6597972394558864e-13,-2.822604093212939e-13,-4.978688260280723e-13,-5.095663087279486e-13,4.179324577017855e-14,-1.0457469441028753e-13,1.5468276484818896e-14,-2.585628737299671e-13,-6.214615623802692e-13,2.328699744032047e-12,-7.746948969981196e-13,-8.57086689890934e-13,4.164437707721077e-13,3.342576111366587e-13,7.457160782877104e-14,4.2240874160296083e-13,3.679336846629861e-14,-5.804145825213784e-13,1.9139730835907633e-12,7.507997064066705e-13,-2.2180286429508675e-13,-9.10277220992167e-13,-1.271695251688192e-13,1.5811045352485196e-13,-3.3875360877986214e-13,7.061592695157319e-13,1.335910948066201e-12,-8.134582492187192e-13,8.142154840227176e-13,1.5244849550282557e-12,1.6015118999747577e-12
treat_m1,1.2418850354289385e-12,-2.1991962791681543e-12,9.993653711394543e-14,1.9280537706150667e-11,-3.973764979826664e-12,4.099930809963508e-12,1.4034843931707505e-11,-7.767542728750576e-12,-6.303546001525539e-12,-9.566280130504278e-14,-9.119945529329181e-13,-1.938602230752126e-12,1.3430126514793504e-11,-3.848873516164239e-12,-3.686877217624757e-12,1.1213773318211567e-11,-8.503658867544394e-12,-2.3521401368533267e-12,1.1555947121246367e-12,-2.676425728481783e-12,3.0455824623878895e-15,1.9041550824669566e-11,-4.7071402753476584e-12,2.522347928750848e-12,8.885265825602245e-12,-7.2640635766800685e-12,-6.820558983219509e-12,6.073600962533926e-13,-5.646361405457626e-13,-8.948478874436802e-13,1.358873747642706e-11,-4.245422187184485e-12,7.454008127123124e-13,1.4829779000618085e-11,-1.1352850562785573e-11,-8.248039465770253e-12,1.7326810958702197e-12,-1.7928586261525464e-12,-5.404202537531241e-12,1.2764117934394077e-11,-3.581621889872102e-13,1.2312537762657079e-11,1.4028841026766058e-11,-1.8572772316192404e-11,-6.969642410702041e-12,-2.1534846878162525e-12,-2.9529155064392514e-12,3.4682610948186956e-12,2.839629506932214e-12,1.8094359086678093e-13,7.924423467952884e-12,1.4034349334446847e-11,4.952131151240787e-12,-2.0583196984779355e-12,-2.411493056832643e-13,7.177722554568748e-13,3.775522334129949e-12,8.980018589515271e-12,1.0175944311853738e-11,2.892420622044773e-12,1.3662284136536264e-11,3.0756099137898815e-12,-4.796982927619674e-12,-6.320281763185715e-13,2.612869254628579e-12,1.1868185331009537e-12,-1.640622095432363e-11,-7.991281240422435e-13,-4.22890075289252e-12,-6.6306565060112935e-12,8.137138382002023e-12,1.0104372128847969e-11
treat_p0,-8.562700679390551e-13,1.3949770058763416e-12,-8.947299323624766e-13,-3.973764979826664e-12,9.458427790322657e-12,1.7669657407555346e-12,-1.4806885341485764e-12,4.768067508540414e-12,1.955624652527271e-12,-1.547525258179662e-13,5.966593734781411e-13,-7.207761993121163e-13,-2.038242293327975e-12,4.6447106228659676e-12,-5.841192952567413e-13,-2.6637051018824524e-12,7.860341304717328e-12,2.040844981838785e-12,-1.0572153129134172e-12,1.306080009752093e-12,-1.4627782713511809e-12,-4.228343992935066e-12,5.0504368940969256e-12,2.2325899320687978e-12,-1.2173122521565312e-12,1.9148193043147305e-12,4.0122261401588505e-12,-7.643238659204714e-13,5.543440761307627e-13,-6.418878114165068e-13,-2.8387152822845503e-12,3.5949715929456685e-12,1.4988472714926628e-12,-9.49799801412052e-13,6.825200336023065e-12,2.906417570096055e-12,-7.61504312551426e-13,1.0046864186415375e-12,5.011835951603282e-13,-3.8649229758417316e-12,2.536247192133678e-12,-7.07101172446727e-13,-3.3821728177525156e-12,5.840666734496109e-12,3.1050411802514992e-12,4.566472563091385e-13,1.2593158483509055e-12,-1.95408784991838e-12,-1.2429068732107359e-12,2.704136891661111e-12,-3.3184695913843487e-12,-4.4880378611402135e-12,-2.741499649452586e-12,2.212753950288736e-12,-7.435917382505365e-13,6.618816566546738e-13,-1.7713765767217277e-12,-2.3091855922924527e-12,1.4576137665378376e-12,1.1599967913980877e-12,-1.966070740184289e-12,-2.738104718624968e-12,1.7378795159079682e-12,5.889769666770143e-13,-1.1413069080393895e-12,4.948214899033463e-13,3.4724420044422435e-12,-3.995823589943512e-12,4.885113473329782e-13,-1.397100471182385e-12,-4.203312530021976e-12,-5.023848120617334e-12
treat_p1,5.539692241122224e-13,-1.0776809971479229e-13,8.079644846125439e-13,4.09993080996351e-12,1.7669657407554905e-12,9.454428868750596e-12,3.746962728196728e-12,-5.4015807491008e-12,-3.82812944087529e-12,6.957138086713096e-13,1.8177681641586304e-13,6.228093773829528e-13,6.662649604609036e-13,1.0533853667407997e-12,4.8336117762225425e-12,1.8922712254684276e-12,-3.064855151703686e-12,-6.277339447670659e-12,5.570117617988701e-13,1.631637753893041e-13,3.577239064978e-14,1.4042546088062795e-12,1.1628344397218782e-12,5.750540753045418e-12,2.2796990269416832e-12,-2.1127551538389808e-12,-1.709288218606696e-12,-1.5324508823579222e-13,-2.9638827655109216e-13,-9.99316172142682e-13,-4.8041470304479026e-14,-2.4768521775144937e-12,6.431609474541695e-12,4.711875530725092e-13,-3.522926001639747e-12,-2.007224409966601e-12,6.544705779031403e-13,-1.640864000003374e-13,-9.430617236626957e-13,1.0969149876191777e-12,-2.121806230148836e-12,8.706633105096365e-12,9.186469594484744e-13,-1.9439582016798648e-12,-8.634144834988737e-13,7.63822273887404e-14,-1.4567137566504497e-13,-3.3199423503137277e-13,-6.478528817150757e-13,1.8189125242650296e-12,8.50403976303158e-12,5.029096730658577e-13,-1.9572356926093317e-12,1.1186822936051452e-12,1.9502318309365195e-13,8.180735597188297e-13,-3.398881593312215e-13,1.8418072108463983e-12,2.465377572626376e-12,8.224424683034324e-12,1.556835422115052e-12,-3.4347933658418367e-13,-3.14984837841644e-12,-2.35369614715317e-13,4.953464394978983e-13,8.616187064864184e-13,-1.6587589047682003e-12,1.134638481792995e-12,-5.86831362419251e-12,4.5198123820470675e-13,3.872576235961945e-12,4.776015173544717e-12
treat_p2,1.1032906072492114e-13,-1.943737648769273e-12,4.4145925774829955e-14,1.4034843931707494e-11,-1.4806885341485646e-12,3.746962728196708e-12,1.9526407123828013e-11,-2.5193054704079116e-12,-4.815847170587035e-12,-3.985170589758406e-13,-3.512504006663073e-13,-1.538808174197652e-12,1.1422187199408999e-11,-1.1559691497619064e-12,-2.4932391512748036e-12,1.1884860737792738e-11,-2.522078119206357e-12,-2.234056446572863e-12,-9.215988331209874e-14,-1.9713261561642223e-12,-3.6202757735637386e-13,1.4302026414062206e-11,-4.5017581323519224e-12,3.0274387538188784e-12,1.3756510532076065e-11,-1.9063960058844867e-12,-3.744103920603709e-12,2.972074857555521e-14,-5.234695680235286e-13,-1.6180647746426367e-14,1.0768692433406516e-11,-1.6034806458093268e-12,7.061390002534371e-13,1.833690269695538e-11,-5.009192213794368e-12,-5.36516410053614e-12,1.0861129147087398e-12,-1.663204372888192e-12,-3.95666948193766e-12,9.45523867625472e-12,7.901318626525308e-13,1.1433108957021307e-11,1.7422874240245598e-11,-1.024324689464306e-11,-4.040987855474799e-12,-2.3722819703152355e-12,-2.1149964012747064e-12,1.0181759652020314e-12,-4.3922786139823755e-13,4.077697836763611e-13,6.165956700487566e-12,1.3699345417979853e-11,3.3004137247266873e-12,-1.6016555524415348e-12,-9.36802084861575e-13,9.324653534067602e-13,2.948863431630301e-12,7.010155705360902e-12,9.92791391747513e-12,3.709243784177564e-12,1.6962388151527127e-11,1.2154862387364021e-12,-4.820212263656827e-12,2.4310954346732995e-14,2.056664769633013e-12,8.328191332864343e-13,-1.261979611262916e-11,-1.7327733158835877e-12,-3.4582725686296537e-12,-1.1324417116982073e-11,4.4781164838700325e-12,7.75983084694857e-12
treat_p3,-1.3619162902411324e-12,8.380374286900972e-13,-1.6344500793193318e-12,-7.767542728750586e-12,4.768067508540445e-12,-5.401580749100815e-12,-2.5193054704078724e-12,1.8354713184174862e-11,6.807865717270043e-12,-1.3051068018993515e-12,5.000609692526595e-13,-2.595877097658257e-12,-1.7746874921837745e-12,3.647186090657985e-12,-2.682016605695014e-12,-4.317735345399441e-12,1.8007825095648758e-11,9.503895622580106e-12,-1.3032664365613184e-12,2.9962087855967305e-13,-2.0432086800044376e-12,-3.4809026209610965e-12,2.5998913390055706e-12,-3.444343159646488e-12,-2.647276334993992e-12,9.967625831172805e-12,6.754097644418547e-12,-2.921152341969774e-13,-1.2607067652424787e-13,6.428797389824024e-13,-1.6102573310640214e-12,5.176011069157207e-12,-4.8240517572634e-12,-8.873300849719493e-13,1.424749946251549e-11,5.000400225821887e-12,-1.3305726913647183e-12,4.3365712815419866e-13,4.244174880685133e-13,-3.967627644303344e-12,6.4035570679747625e-12,-7.946788884659209e-12,5.543306560417747e-13,9.97360109408819e-12,1.825758087559739e-12,2.944832818804068e-13,1.046142013188747e-12,-2.053219441702996e-12,-1.3210472040143026e-12,1.7869453914042316e-12,-1.0417615438533775e-11,3.7260343842508707e-13,6.5916158198447105e-12,1.389746352743065e-12,-1.1111109428011162e-12,-9.010235809355159e-13,-2.013697289512743e-12,-2.4936387459036965e-12,1.3025287551456596e-12,-5.76566125377755e-12,1.5845359172394881e-12,5.898461188304605e-12,6.502178335673148e-12,9.691976528297738e-13,-9.309762648220822e-13,4.3369914638786577e-13,3.7015710771666515e-12,-6.25068628448002e-12,4.650293928677076e-12,-4.795684909998856e-12,-1.3643895648790828e-11,-9.797092989548628e-12
treat_p4,-4.184605855679499e-13,9.370467430486753e-13,-6.364091712427708e-13,-6.303546001525511e-12,1.955624652527276e-12,-3.828129440875312e-12,-4.815847170587004e-12,6.807865717270021e-12,9.328289882445285e-12,-3.000792120505725e-13,3.583975255663987e-13,-2.246524646570989e-13,-4.284224640361391e-12,1.602388382374905e-12,-2.6599817762411812e-12,-2.9368542448958856e-12,7.894146409790126e-12,9.426696993837376e-12,-2.671645857213786e-13,1.015782295294631e-12,-5.326269450911046e-13,-4.370900470214525e-12,5.3203483719912986e-14,-3.223599629635938e-12,-3.1232384329768583e-12,3.837909203329415e-12,6.1064528165044275e-12,6.318490546198005e-13,5.978128223919793e-13,1.1644903855994138e-12,-2.8162641461158906e-12,3.3797152750995135e-12,-3.6989835391049785e-12,-2.467495247601674e-12,6.00555355309955e-12,4.055805253349255e-12,-5.742753794183375e-13,8.488643593682521e-13,7.368114563268052e-13,-3.2518457469908487e-12,6.071849598365069e-13,-6.505239106797201e-12,-3.841773530747663e-12,6.231362232619563e-12,5.254423285724294e-12,1.0227391858250442e-12,1.1740308490396545e-12,-1.1147475505957194e-12,-5.887905661194089e-13,1.3607184100191706e-12,-6.303476663599209e-12,8.146334423364954e-13,2.051882921936641e-12,2.804729285491698e-12,1.0670608489495055e-13,-2.960982037585425e-13,-1.3295884277462791e-12,-4.3404973700145065e-12,-3.7901809913567576e-12,-5.503078180571957e-12,-3.2911947071816933e-12,2.274940763198753e-12,6.984668476071719e-12,-1.9492493453761486e-14,-1.3285907442106262e-12,-4.1772697873589954e-13,4.264845566572797e-12,-1.982711758559041e-12,3.3522313947578408e-12,-1.10146241935124e-12,-5.631543084507365e-12,-8.551690734324424e-12
L4treat_m4,1.8425456325804086e-13,8.993911240218362e-14,3.597968816152792e-13,-9.566280130504177e-14,-1.547525258179649e-13,6.957138086713094e-13,-3.9851705897584064e-13,-1.3051068018993521e-12,-3.0007921205057225e-13,3.1677545900254476e-13,3.4010271370263036e-14,5.364228778307105e-13,-5.775035904593521e-13,9.55824426040198e-14,9.646798028606088e-13,-1.1896612149788158e-13,-1.363561780554038e-12,-1.5785876875868805e-12,1.603440662931126e-13,7.686706028843295e-14,2.9430960060298004e-13,-7.4029873129432e-13,3.7807413466063584e-13,4.2923544243469987e-13,-1.631344500598261e-13,-3.0638211466109797e-13,-9.010418669569822e-13,1.4661514787325822e-14,5.6489190344236383e-14,-1.0706563249930995e-13,-9.15193716535681e-13,-2.566304240103666e-13,1.11763624679242e-12,-1.051035296322332e-12,-1.303598348322152e-12,-8.785859794196534e-13,1.1587752073330457e-13,4.059846824499979e-14,1.0176093573508003e-13,-4.686155906694979e-13,-7.250346409412052e-13,3.362155701493203e-13,-1.4699007195758611e-12,-4.566682433030553e-13,-1.8370717327115346e-13,1.4794890218328038e-13,5.5217508956322883e-14,-1.3959938703620955e-13,-8.700271596719595e-15,-7.448583043302567e-14,1.2748301381784783e-12,-1.1008470746132602e-12,-9.647156144085206e-13,6.45984791280806e-13,2.3131289337650595e-13,9.300654963894407e-14,-1.1425511322536241e-15,-3.944600341223511e-13,-4.347792122166456e-13,1.1087216038782469e-12,-4.51127619927336e-13,-5.128182161562796e-13,-4.98800860963654e-13,-1.168297580002704e-13,-2.1096076775350743e-14,-2.983033863122251e-14,6.116871924116624e-13,6.039328641891737e-13,-5.782493778668482e-13,1.050897004555951e-12,1.0585631395846453e-12,7.925198011557913e-13
