,coef
treat_m4,-4.2240661717408353e-07
treat_m3,-1.772269037433078e-08
treat_m2,-1.2131146421505788e-06
treat_m1,-5.740663906182325e-06
treat_p0,6.154717654756363e-06
treat_p1,7.921936591031311e-08
treat_p2,-2.746689493713674e-07
treat_p3,7.5881592977020705e-06
treat_p4,1.34744351884519e-06
L4treat_m4,7.675364082205271e-07
L4treat_m3,1.2070955324491764e-06
L4treat_m2,-2.2355840511453562e-07
L4treat_m1,-4.240947811414213e-06
L4treat_p0,-1.6241956938932267e-06
L4treat_p1,-1.4701363650772076e-07
L4treat_p2,-8.046146607862586e-06
L4treat_p3,1.086539378632352e-05
L4treat_p4,4.575351811511655e-06
L8treat_m4,4.3969579164210814e-08
L8treat_m3,4.003822015966898e-07
L8treat_m2,-1.035715998651196e-06
L8treat_m1,-3.0996282940903126e-06
L8treat_p0,3.0198120630304213e-06
L8treat_p1,-4.961757298776215e-06
L8treat_p2,-3.016618283518265e-06
L8treat_p3,2.6816530940529726e-06
L8treat_p4,4.446665164500005e-07
L12treat_m4,-5.561964642031476e-07
L12treat_m3,5.97854611278733e-07
L12treat_m2,-3.14992520050305e-07
L12treat_m1,-4.530340073054529e-06
L12treat_p0,2.7199132676314596e-06
L12treat_p1,-3.1097713977216836e-07
L12treat_p2,-5.041861724462828e-06
L12treat_p3,8.853276047775853e-06
L12treat_p4,6.31860552825591e-06
L16treat_m4,-4.734354903797144e-07
L16treat_m3,3.311807828197399e-07
L16treat_m2,-1.543686240913074e-07
L16treat_m1,-3.4582544870208677e-06
L16treat_p0,1.0991106537845918e-06
L16treat_p1,-3.5832179036141456e-06
L16treat_p2,-3.6051492688455727e-06
L16treat_p3,6.071882921428716e-06
L16treat_p4,3.1972979940980906e-06
F12treat_m4,3.5068153303990453e-07
F12treat_m3,-2.610153040458548e-07
F12treat_m2,-1.8249583862795216e-06
F12treat_m1,2.9896514984582334e-06
F12treat_p0,5.784214572810839e-07
F12treat_p1,1.3091650985150772e-07
F12treat_p2,-1.3222508985962161e-06
F12treat_p3,9.887269659140124e-06
F12treat_p4,4.289312112238437e-06
F8treat_m4,1.8602913532314092e-07
F8treat_m3,-3.945239958041676e-07
F8treat_m2,-2.7041732271374785e-07
F8treat_m1,-8.918376669966136e-08
F8treat_p0,-3.170134055966853e-06
F8treat_p1,-3.6942950614485104e-06
F8treat_p2,-3.5885704488078367e-06
F8treat_p3,1.0821982536232208e-05
F8treat_p4,7.455441742424922e-07
window_m4,2.9401794801897375e-07
window_m3,2.035166870205084e-08
window_m2,8.384280275406445e-07
window_m1,5.789388255095071e-06
window_p0,2.326043502275849e-06
window_p1,3.2441596176673266e-06
window_p2,4.174137783453403e-06
window_p3,-8.021709073657188e-06
window_p4,-2.030012090420144e-06
