,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,5.746615006230622e-11,1.0445826496624458e-11,-2.4349112676569987e-11,3.1139756061852614e-11,-8.93033079671648e-12,1.9051754774567372e-11,2.4976001697716244e-11,-1.606895762448875e-12,1.567192531927552e-11,6.450275479291083e-11,-3.827391412392384e-11,-9.072582462113123e-11,1.170910598693866e-10,-2.0580096503063333e-12,2.8306930500337534e-11,-2.3260824576638717e-11,3.3298384890493293e-12,6.795525627353049e-12,8.507935967114083e-11,-2.8512085849082787e-11,-4.83977369435743e-11,9.140606226439564e-11,4.2973359812287815e-11,6.655713191684422e-11,3.2154827935040524e-12,-3.3066429476868292e-12,4.216768541477267e-11,5.89053133114607e-11,1.0888640355465712e-11,-1.972388006555599e-12,6.31578732069631e-11,3.79581897779775e-11,1.0311232227726345e-10,-1.0712803932102955e-11,-1.3424449120722702e-11,8.617342769874934e-12,3.570006358319905e-11,2.249327033195851e-11,-3.0079301996866865e-11,-6.027928710375953e-12,1.2523817092745457e-11,7.685920125606647e-11,-6.702702980409032e-11,1.7446242797432064e-11,-2.7985498235443507e-12,9.245721968603275e-12,1.0700175749937492e-12,-1.2276209418434942e-11,-1.3753347349929338e-12,2.393626724659251e-11,-1.048826847994108e-11,-4.080811667199487e-12,1.773531713300857e-11,3.1413526223517853e-12,2.0033034235122478e-11,-1.8457703445341555e-11,-3.235018123552711e-11,6.215384237178742e-11,3.4855321253913154e-11,-6.861763250267066e-12,8.880221256574906e-12,6.3136746095857675e-12,2.106958612190028e-12,-1.1719061366968413e-11,1.977777885827199e-11,1.9602392672650104e-11,-1.1158990026692634e-10,-2.764938471429075e-11,-2.135488550934657e-11,-1.1856320396092666e-12,-1.906604312041822e-12,-1.3457609545260356e-11
treat_m3,1.0445826496624455e-11,3.1845076501615e-11,-4.863157116334872e-12,7.802279374621732e-11,-4.245013170057183e-12,-1.5514865480009687e-12,-7.510074679338104e-12,7.23719767243156e-12,-9.326707538305835e-12,1.1057974363141532e-11,2.8056935253373143e-12,-6.269434958572795e-11,8.634135852342857e-11,-1.887311495678648e-11,-3.0867266459712764e-11,-1.522883708946652e-11,2.030454318804808e-11,-1.8853714570261125e-11,1.0640356695446454e-11,1.164811971233958e-11,-2.5109238233973808e-11,9.644198881495496e-11,-1.1225227977397187e-11,4.461797112642677e-12,-1.873748121251362e-11,7.374089122293469e-12,-1.4838510833907497e-11,2.758904603874041e-11,1.4327874191501044e-11,-2.804242146272448e-11,7.827947834414987e-11,-1.3551633558348652e-11,-1.497646383810568e-11,-5.388293358568935e-11,-1.0931124733996796e-11,-4.2983176670225173e-11,2.54220106194107e-11,3.4596408414854544e-12,-1.7088695007419098e-11,4.81405544197247e-11,-2.2322564689044284e-11,-1.6802221779512845e-11,-4.346676148739522e-11,-5.117181911601923e-13,-2.1085500236624386e-11,8.448466146131847e-12,2.5600980494536328e-11,1.9425740838249537e-11,6.3411150704424504e-12,4.858453069156075e-11,-2.151742935978184e-11,-2.0872600200942598e-11,-5.102239779243552e-12,-9.357741180803549e-12,1.529376632848567e-11,1.1078301372319351e-11,2.20132855052008e-12,3.7827824747625655e-11,1.9527673105069622e-11,-2.963689818208064e-12,-5.535686301937158e-12,9.866598812798008e-12,-6.6493495611612985e-12,-1.7064968979203933e-11,9.079418337591476e-12,4.931208248011736e-13,-1.0745979370223888e-10,3.4613236723873255e-11,3.429803941376178e-11,2.1941571553284758e-11,-5.851671513740352e-13,2.2503092647336808e-11
treat_m2,-2.4349112676569537e-11,-4.86315711633483e-12,8.576398522256255e-11,-2.298662153283639e-11,-6.8009377484381e-11,-5.475120345577156e-11,-1.240779702027901e-11,2.3939358089956226e-11,-7.662706114276023e-12,-3.1371001612411115e-11,9.893330897724809e-12,1.1339278599324601e-10,-6.823597793729231e-11,9.113475241849606e-12,-2.8275922900063544e-11,8.83461808687688e-12,1.9461268199438663e-12,-1.3901677488407171e-11,-2.5365497265266076e-11,1.4739637641122302e-12,8.621317460273765e-11,-7.622796777541246e-11,-8.111692287591397e-11,-6.41623099536174e-11,-1.2187293829028713e-11,1.4002787893032899e-11,-1.978557776516075e-11,-3.402918425825989e-11,-1.1066570343289497e-11,7.033635213551713e-11,-5.420808586086809e-11,-2.6239662537869476e-11,-6.777298237107225e-11,-1.7669238936996496e-12,1.7928376031641852e-11,-1.342104461415125e-11,-1.6907668157806074e-11,-1.3600098544538008e-12,7.186243465057999e-11,3.7617643500261014e-12,-2.0799900696723023e-11,-6.719514231433449e-11,-1.8319582736667743e-11,-1.9748685398944597e-12,-1.001714978852299e-11,-1.2981805974432839e-12,1.1669733260514763e-11,1.0775345344125564e-11,-4.782124365253527e-11,-4.092462124686137e-12,-1.3412687647322574e-12,-1.77685300075425e-11,-7.615338418388209e-13,-8.1727076714305e-12,-1.610343142303107e-11,8.497522716680654e-12,4.20598925430762e-11,-5.471321249688094e-11,-1.125075106585816e-11,-1.0806604508633947e-11,-2.0282377792746886e-12,2.113041752646108e-11,-2.486960159404228e-11,1.878282046239226e-11,-3.1880133656738453e-12,-2.969476912490598e-11,2.682710885359338e-11,3.176198818504401e-11,3.4797309913905656e-11,2.135246115559096e-11,-1.8162473781383588e-11,1.4096149239426498e-11
treat_m1,3.113975606185139e-11,7.802279374621585e-11,-2.298662153283698e-11,4.867096622718148e-10,-1.4377871606237702e-10,-4.242155406025149e-11,-2.241366597477097e-11,5.734344809482467e-11,-7.860100599579768e-11,6.057643438784606e-11,-4.2349643275485655e-11,-3.185860706883243e-10,5.775607743653088e-10,-4.743231364488833e-11,-1.2245028201681355e-10,-8.656714693628531e-11,6.829935795010462e-11,-1.1991044577227926e-10,4.3159125620328644e-11,-5.221611459085211e-11,-1.2866970767342182e-10,6.884722352250426e-10,-2.2376574768258905e-10,-1.754722799864366e-11,-5.895858322237774e-11,3.8924202871323625e-11,-9.067326644552114e-11,8.773580114875931e-11,-2.7194741163512274e-11,-1.334183958092661e-10,6.339808636007537e-10,-2.5380145177370735e-10,-4.7520226069849925e-11,-1.8281613145902668e-10,-4.8962043637577285e-11,-2.172838151616255e-10,9.828965742742854e-11,-4.3505839491216395e-11,-9.617201904538708e-11,4.5692770486592096e-10,-2.7502727397322344e-10,-6.41866553852894e-11,-1.6804175369319647e-10,4.400616495459283e-11,-1.3449218417510146e-10,3.610955755185766e-11,7.817006928416034e-11,4.548558757798775e-12,1.3242595092518048e-10,1.7045634279020266e-10,-7.756653069500662e-11,-9.167407213309745e-11,-2.6314433483385028e-11,-6.148385693217517e-11,5.762464692534702e-11,1.656924266044005e-11,7.097934251776016e-11,2.46612474507504e-10,1.0718575746003522e-10,-3.3615638679293432e-12,-6.887453837717121e-11,4.055157106058848e-11,-9.08419656497176e-11,-5.755551307712797e-11,1.1878082862180169e-10,3.680815229827327e-11,-7.661347243992247e-10,2.5590768340281745e-10,2.0222446118261101e-10,1.3853731300241117e-10,1.1597331280773802e-11,1.4771539554697976e-10
treat_p0,-8.93033079671487e-12,-4.245013170056428e-12,-6.800937748438086e-11,-1.437787160623727e-10,4.2133996565046636e-10,3.0466148535045124e-11,-2.9021464912288136e-11,-1.2820941741187818e-10,1.1366349338991946e-11,-2.6222128362172024e-11,7.031142037685405e-11,1.41339980205327e-10,-2.9264416788134767e-10,1.273831816726787e-10,4.955894531347546e-11,2.9422807340849774e-11,-2.942448389288158e-11,5.210842980486314e-11,-6.325411763571164e-11,7.95771489298294e-11,7.713807720292035e-12,-4.5970687075281084e-10,5.205765668686298e-10,5.707635955752686e-11,-1.2882531806070723e-11,-3.1612611035293796e-11,1.6659599872048846e-11,3.031606347993042e-12,5.2555128311712664e-11,-6.537996881395882e-11,-3.7374438093637054e-10,4.0073154199518937e-10,-6.183722448942216e-11,3.610823224382446e-11,6.2089350348339395e-12,1.0494325105203917e-10,-8.015762942723027e-12,-3.2179976328867506e-11,6.738809476693438e-12,-2.778844840384905e-10,3.8318545530676806e-10,2.19791525975249e-11,1.8419505734173745e-10,-3.385427822877801e-11,9.780273267761788e-11,3.8354114395474176e-12,-3.7963172559732357e-11,3.418769068378035e-11,-1.6884680055045413e-12,1.5635809428500393e-10,4.352853462950433e-11,6.60643651526211e-11,-5.2188742812368946e-12,1.6758825509961633e-12,-3.5676247787878745e-12,1.501286495191512e-11,-4.9431532530883195e-11,6.3616333676140435e-12,-1.1892886301850436e-11,5.547380781586738e-12,-6.84236398737207e-12,-7.065630820734986e-11,8.628892173678352e-11,-5.994657146447227e-11,-9.500580845352086e-11,-4.2704182257024076e-11,5.638166675321585e-10,-2.99977576799282e-10,-1.4485571190165563e-10,-1.3129119325040701e-10,-4.688066092627252e-13,-8.346653260326317e-11
treat_p1,1.9051754774567944e-11,-1.55148654800137e-12,-5.475120345577177e-11,-4.2421554060253406e-11,3.046614853504106e-11,1.2866119850456552e-10,2.2013406267683587e-11,-2.1344821184517378e-12,3.490396558527049e-11,3.481045633442161e-11,-1.6425876973888926e-11,-1.0058733200313442e-10,8.30742074716156e-11,-2.4619648724490497e-11,9.496020787863678e-11,-9.393438030832172e-12,-7.649216130054776e-12,3.852673457002517e-11,3.463860009880337e-11,-1.0162034227680123e-11,-7.155514138777171e-11,1.1129783629841903e-10,1.9505593934221355e-11,1.7434155060053519e-10,2.8347068452538624e-11,1.1796313762396597e-12,6.704466671095512e-11,1.0858745812144952e-11,6.490346051128751e-12,-1.1440927570991765e-11,7.644419363382084e-11,2.190370706862543e-11,1.9267665570457323e-10,1.4462976737946895e-11,-2.922572307312729e-12,3.409374775444337e-11,-4.838525089877052e-12,1.1777273400766208e-11,-6.003130125339256e-11,-6.245349030813733e-11,1.7165948679864777e-11,1.586699145683052e-10,3.413970281720134e-12,2.816993896016243e-11,2.6258281263520813e-11,-3.575477062557147e-11,-2.1383991012250727e-11,-3.8506241776119793e-13,3.818153537634551e-11,-1.1810421530511804e-11,3.0123829410172986e-11,-3.427424331525387e-12,1.5216982544313742e-11,3.5857888028133054e-11,-1.193651408478753e-11,-1.9207283510510073e-11,-2.9709799036657853e-11,5.2844412325668105e-11,4.6311150573743353e-11,4.691260688511226e-11,5.731223439826093e-12,1.1458547708256843e-11,5.0727096140045135e-11,2.1338435674759798e-11,1.0892963962025586e-11,1.772767757483562e-11,-8.053708018902294e-11,-6.17266825666906e-11,-9.735588670823584e-11,-1.1826215574196609e-11,1.004261770365046e-11,-3.815784277049741e-11
treat_p2,2.497600169771651e-11,-7.510074679339141e-12,-1.2407797020279511e-11,-2.24136659747741e-11,-2.90214649122888e-11,2.201340626768369e-11,4.855285242374681e-11,2.0738211038393e-11,2.822045533428154e-11,3.905742372884395e-11,-2.8548167202385966e-11,-4.548878905755541e-11,3.058815608271993e-11,9.565932257461235e-12,2.7315439056762397e-11,6.90121974031925e-13,3.9133164741286405e-12,1.8137378625364146e-11,5.808830206040543e-11,-2.032403413917988e-11,-2.529519263367478e-11,3.688023592055724e-11,1.232988624590812e-11,3.402122264278213e-11,4.4881024949576506e-11,1.4782686543121012e-11,3.4350045310488114e-11,3.615618218379306e-11,6.4286586512782794e-12,4.104637538594751e-13,1.6224499925665753e-11,7.046495923665368e-12,8.973787849929176e-11,3.199814639146729e-11,4.811299571915792e-12,2.130778234812239e-11,2.8039473643965684e-11,2.6786332454677363e-11,-2.3595417389665405e-11,-1.915212814191636e-12,5.50730484514095e-13,6.197844762660969e-11,-1.1715714727248303e-11,2.174762886180153e-11,1.6420235183872842e-12,6.527826519875189e-12,-6.032646719417331e-12,-2.296911021905712e-11,1.2796470320056695e-11,-2.2622634166624394e-11,-4.769338012471808e-12,1.202875930712375e-11,2.084481487384999e-11,8.147070741235659e-12,1.3282274398449862e-12,-1.6985144505571426e-11,-9.766783725552912e-12,1.7825703926213114e-11,8.252119567615299e-12,-2.0364377306445416e-12,1.8132289676163834e-11,1.0917354025712884e-11,1.0079148161940079e-11,-2.3960796033154193e-12,1.0455494707171626e-11,2.128130417750918e-11,-5.107252561348831e-11,-2.0365185312767564e-11,-3.13724728424356e-11,-1.7947359845497736e-11,-1.2652209767872191e-11,-1.994051115326113e-11
treat_p3,-1.6068957624486176e-12,7.237197672431353e-12,2.3939358089956345e-11,5.734344809482167e-11,-1.2820941741187844e-10,-2.13448211845239e-12,2.0738211038392618e-11,7.306225018700495e-11,1.1713465460947187e-11,1.7833718779770218e-11,-2.3474818496085597e-11,-6.07130874341328e-11,1.1420312364463673e-10,-5.56633565089919e-11,-6.404877206556675e-12,-1.4820845412154583e-11,3.7315362126970426e-11,-1.6784778324105964e-11,3.161797348057031e-11,-2.3723620013063575e-11,-5.032602200458462e-12,1.7255142444327635e-10,-1.6595391570240197e-10,1.8194919779782246e-11,4.237632637860321e-12,4.064275655422579e-11,-6.054492117526129e-12,1.8721553679690247e-11,-1.0914693363559404e-11,1.763943521946358e-11,1.3867248120326209e-10,-1.1759927185954205e-10,3.567593616525724e-11,-2.820390342089847e-11,1.81649272472278e-11,-4.2895763009106585e-11,2.0866165957315466e-11,1.7926175131858976e-11,-5.988255154755166e-12,1.1220337976024323e-10,-1.0405317894651896e-10,4.292337070384132e-12,-6.89738582096461e-11,3.5669367140784545e-11,-2.8095368851589986e-11,4.4299968852594463e-13,2.3882958525314458e-11,4.382626070621635e-12,-2.8098228371866216e-12,-3.0819122299709243e-11,-2.86361984798665e-11,-3.079837767070224e-11,6.331088465466311e-12,-2.507144042963881e-12,-1.6200763124520096e-12,-2.6095254648587874e-12,3.177381853062086e-11,-6.091794376412413e-12,3.3668163016055865e-12,1.1093199250802269e-11,-1.9948122842228588e-13,4.5712842251201177e-11,-2.3603654544235597e-11,1.4938971061528178e-11,3.254170602019133e-11,1.5832498356923274e-11,-2.1993137229426333e-10,8.97630667507408e-11,4.2924798838684e-11,3.9941174526750416e-11,-2.1405525706055362e-11,2.4560160919945153e-11
treat_p4,1.5671925319275385e-11,-9.326707538305924e-12,-7.662706114275771e-12,-7.860100599579663e-11,1.1366349338991715e-11,3.490396558527103e-11,2.8220455334281555e-11,1.1713465460947144e-11,5.2278076764455494e-11,2.7311695981346632e-11,-1.4789980189221003e-11,7.676864421816765e-12,-4.7993962159028484e-11,4.28804925875212e-12,5.5320780020510176e-11,8.393622534720902e-12,1.6780499787445035e-12,4.122261776683374e-11,4.877983161736025e-11,-2.2077644766800943e-12,-5.784800437081578e-12,-8.121184556268395e-11,6.691371986535942e-11,6.2452568013732e-11,3.282215845900465e-11,1.3854511049601632e-11,5.597233718234718e-11,1.983333005461193e-11,1.8423336739060567e-11,2.2148981991554915e-11,-9.952470287160445e-11,7.970284817453265e-11,9.686495791923188e-11,4.035013580311021e-11,1.714548794010476e-11,6.060522033561352e-11,1.4158586760976857e-11,3.007800880981262e-11,-7.760483657228073e-12,-9.917260732678569e-11,7.570379670476036e-11,7.926879869430854e-11,-1.0522844929371074e-12,1.2257015779106e-11,3.673919019396171e-11,-3.242509778771721e-12,-8.720861075588389e-12,-5.171884464163508e-12,-2.6723977542268953e-11,-2.997502392428004e-11,9.198664480161636e-12,1.3424078952568161e-11,2.4449024099961677e-11,2.6532576587906302e-11,-1.2062537036879221e-11,-8.471011001018748e-12,-2.6211808341481185e-11,-1.4092321464329961e-11,4.062435908526493e-12,1.3953037981237515e-11,2.5598169587231786e-11,1.0511639893635995e-11,4.062757284350009e-11,7.306342044173933e-12,-1.5341693380733148e-11,1.1746425468740159e-11,7.416714626475792e-11,-7.257190106100185e-11,-7.401650736887613e-11,-3.362593690262003e-11,-2.1126382919308798e-11,-5.1145358169390235e-11
L4treat_m4,6.450275479291193e-11,1.1057974363141711e-11,-3.137100161241121e-11,6.057643438784591e-11,-2.6222128362173184e-11,3.4810456334421624e-11,3.9057423728844086e-11,1.783371877977059e-11,2.7311695981346916e-11,9.493878829672669e-11,-5.2228659071433675e-11,-1.3867931823887664e-10,1.9894330961490038e-10,-2.1908425167147195e-11,3.729413623060783e-11,-4.0794084897155854e-11,1.1307187320487035e-11,5.173053776607774e-12,1.1086570865033731e-10,-4.646481968448047e-11,-7.165551862796432e-11,1.868469385110075e-10,2.4700046594736098e-11,1.0628055138365899e-10,8.113531074984815e-12,1.67347235392824e-11,5.3235427551822855e-11,7.91417116516917e-11,1.0750799422598939e-11,-3.720342162864143e-12,1.3566149088603978e-10,1.9452428545775126e-11,1.6157112656999326e-10,-1.9756996577879555e-11,-8.51954186803549e-12,-1.1225129675452687e-12,5.3188367061039486e-11,2.9905974413481596e-11,-5.025650218081666e-11,2.3768617035444695e-11,-7.268132062649178e-13,1.0589970144413212e-10,-8.950293854000894e-11,4.027207197422004e-11,-7.277566571875475e-12,5.286520486179046e-12,6.297165872571774e-13,-1.933146004643596e-11,2.5726974916458196e-11,3.2699968363125945e-11,-1.5761929019399273e-11,-9.76485258695767e-12,2.5236294658072973e-11,4.87865770512612e-12,1.6664311670439403e-11,-2.7580217803424204e-11,-2.2142789514201698e-11,9.396888870963056e-11,5.093214830004634e-11,-4.800823148505453e-14,5.6737525679443655e-12,2.1795997462343354e-11,4.888866991201046e-12,-1.0031594878956436e-11,3.846366722565621e-11,3.129469827113419e-11,-2.1290043019184465e-10,-2.3455847361879856e-11,-2.695786349163043e-11,1.049956817852114e-12,-1.0991116233379002e-11,-1.5059604893174376e-11
