,coef
treat_m4,-1.5822535336688708e-06
treat_m3,-1.1038763069696436e-05
treat_m2,-5.482703000969042e-05
treat_m1,-0.0002176561080081786
treat_p0,0.0002355557049491756
treat_p1,3.690857655483609e-05
treat_p2,6.318831096325517e-06
treat_p3,2.0563865644222813e-05
treat_p4,1.032325746871214e-06
L4treat_m4,-3.986448220558439e-06
L4treat_m3,-9.157618725594558e-06
L4treat_m2,-1.9933843667628072e-05
L4treat_m1,-0.00022409276603248526
L4treat_p0,0.0002098377629009973
L4treat_p1,2.8337910486952237e-05
L4treat_p2,4.636576176618172e-06
L4treat_p3,8.445791362546991e-06
L4treat_p4,-1.4039606110791855e-06
L8treat_m4,-6.482553235142657e-06
L8treat_m3,-6.472337770904718e-06
L8treat_m2,-1.8216027374258235e-05
L8treat_m1,-0.00021497723907481353
L8treat_p0,0.00023477732799226007
L8treat_p1,2.1923360809661446e-06
L8treat_p2,2.331825940845597e-06
L8treat_p3,4.758646921035975e-06
L8treat_p4,-5.72589788032348e-06
L12treat_m4,-9.81866259147765e-06
L12treat_m3,8.140651882066862e-07
L12treat_m2,-2.3009167044747717e-05
L12treat_m1,-0.00020293171638668638
L12treat_p0,0.0002283649124799892
L12treat_p1,1.4674768351004636e-05
L12treat_p2,1.5709365491920693e-05
L12treat_p3,1.923764508760597e-05
L12treat_p4,2.1437717632534326e-06
L16treat_m4,-1.5802863042512065e-05
L16treat_m3,-5.351182442608455e-06
L16treat_m2,-2.14226080211397e-05
L16treat_m1,-0.00011390515359477451
L16treat_p0,0.0001919982022004475
L16treat_p1,6.457894615837978e-06
L16treat_p2,3.970962182070552e-06
L16treat_p3,2.212991147773178e-05
L16treat_p4,-8.103750746994084e-06
F12treat_m4,-7.695692323392134e-06
F12treat_m3,-1.4385082015695268e-05
F12treat_m2,-5.118786550880325e-06
F12treat_m1,-3.877683474878905e-05
F12treat_p0,7.16781954236015e-05
F12treat_p1,1.5271547640084532e-06
F12treat_p2,8.852656697077367e-07
F12treat_p3,5.70251102897409e-06
F12treat_p4,-1.08750869929232e-05
F8treat_m4,-1.0642474727917026e-06
F8treat_m3,-1.694908014416966e-05
F8treat_m2,1.638929788189349e-05
F8treat_m1,-1.4960028431023385e-05
F8treat_p0,1.5084695986337576e-05
F8treat_p1,6.584538608698171e-06
F8treat_p2,-2.547556857798714e-06
F8treat_p3,1.3648704169229568e-05
F8treat_p4,-9.887605871785017e-06
window_m4,1.5914482318984303e-05
window_m3,-3.775056786034542e-07
window_m2,-1.1975863496999648e-05
window_m1,0.00016434602628057646
window_p0,-9.400852769353275e-05
window_p1,-2.8122680715481042e-05
window_p2,-1.2630714575761744e-05
window_p3,-1.8493612972987107e-05
window_p4,3.6310164199325346e-06
