,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,6.631756638040137e-11,7.870682546040282e-11,1.1053429098965149e-10,4.556944161294783e-10,-5.464740640311745e-10,-2.4941787261452847e-10,3.046078580750069e-11,3.2482801659486677e-11,1.215384816612428e-10,1.9956831262712302e-11,-1.4480422012823977e-12,-1.1636846957681936e-10,6.723662511687554e-10,-3.610134795849378e-10,-1.1847468549120796e-10,-7.830211294843558e-11,1.941232446534523e-10,2.02808819728155e-10,4.987980105664144e-11,2.6822128145480896e-11,7.403015040821717e-11,5.700653626037722e-10,-3.4260919647002273e-10,2.365982700998867e-11,-2.503203327885329e-10,2.6553190898171527e-10,5.977059516263348e-11,7.586550326663279e-11,7.571178374955416e-11,2.725288628260629e-11,5.644474849228899e-10,-4.0241475735479853e-10,-1.6845535201773288e-11,1.3260694639026782e-10,-5.766320394106811e-12,-3.9110353577380376e-11,4.7842169949076447e-11,5.917062611778208e-11,9.015594181290815e-11,4.020145512223835e-10,-1.9359739954465755e-10,1.5471059709417573e-10,1.506557442807469e-10,8.322436163210731e-11,-1.8700271566563194e-11,1.2755037546173829e-11,7.53249799406903e-11,1.527886819699743e-10,6.901886411067162e-11,-2.6745845773043936e-11,-1.9826203367702652e-10,-1.5899168487706242e-10,1.254950151798286e-10,4.801090031919098e-11,-2.667093337304106e-11,1.0653652883464279e-11,1.3776579633141747e-11,1.1020250067685673e-10,-2.0658177061025648e-10,-1.3038209782231065e-10,-1.117221740341229e-10,-1.8597891107870135e-11,1.1198277609412702e-10,-1.6148292486975318e-11,2.6474909705254724e-11,-4.818202940912533e-11,-5.948298338697063e-10,2.033350185652787e-10,1.2358833050718483e-10,8.764180932199601e-11,-2.5082310395074997e-11,-3.689444353466561e-11
treat_m3,7.87068254604024e-11,2.3141900756776485e-10,1.0369879560952463e-10,5.616053940853466e-10,-9.229731711625383e-10,-7.059969994905786e-11,4.959475082616547e-11,-2.1852845503797557e-10,3.9724186816091545e-11,6.125094915286295e-11,-1.077822952370828e-12,-2.2716228307805077e-10,9.41755934395306e-10,-4.730588302727609e-10,4.0499456323239984e-11,-1.8472666292589952e-10,1.0827517024935708e-10,2.2390775501903605e-10,6.667933261802925e-11,1.013210836284679e-10,-6.802307059240635e-11,6.092979557659462e-10,-8.003877701646308e-10,1.7479664807892594e-10,-4.548874597936676e-10,3.1700400830182893e-10,7.077389043117287e-11,1.2332867648033043e-10,2.018027840788257e-10,-3.6130429757070766e-11,7.510353220298657e-10,-6.867371565464899e-10,7.841052186394795e-11,2.0212273284029796e-10,-3.31983960097316e-10,-2.597060371662165e-10,7.950289571569726e-11,1.4623852572576103e-10,2.570160424011371e-11,2.271349920197936e-10,-4.770430479051631e-10,6.352641240942825e-10,3.828376858112877e-10,1.5445674596442118e-10,7.247685214626532e-11,-1.7022754602056235e-11,1.0858040530388223e-10,1.335930324860391e-10,-1.0807973663829096e-11,2.6895713944982918e-11,-1.4441062280846131e-10,-5.341699426545245e-10,1.3423931387046178e-10,8.729027327032192e-12,-4.990322171946553e-11,3.2231350208239655e-11,-1.4944379222606368e-11,2.7788426054345857e-10,-1.5150823879562854e-10,-1.6223098517584183e-10,-2.550653440255915e-10,1.8423766260514287e-11,-1.2481970706335672e-11,-1.1504250481683606e-11,1.473124971983951e-11,-2.3915521432178728e-11,-7.285649081477743e-10,2.5577605362150436e-10,-1.2620093795649208e-10,1.243781809685642e-10,4.5087954800824025e-11,-1.7216778564513203e-11
treat_m2,1.1053429098965005e-10,1.0369879560952593e-10,1.0196588076193043e-09,1.305831442108442e-09,-2.4314374279299834e-09,-6.232536738991249e-10,1.5237272754872537e-10,1.0709435391872675e-10,5.089077257374671e-10,-4.6440433791901626e-11,-2.699013186011831e-11,2.922987178338922e-10,1.8100295195752888e-09,-1.4589939986870367e-09,1.7895336481011413e-10,-3.35907122951775e-10,7.297738655762613e-10,1.0022664295365542e-09,1.1880498564055982e-10,-4.576743344585985e-12,7.037831879592062e-10,1.448516417860093e-09,-1.3972462051384244e-09,3.5325412530743343e-10,-1.2443484987501382e-09,5.488393473973863e-10,3.5305973979191377e-10,2.6207660449165503e-10,4.8110909556469695e-11,5.750111534486022e-10,1.4570402486953427e-09,-1.1731082395558548e-09,7.822110272483434e-10,4.0810286270343597e-10,2.2396161384871723e-10,5.864827090468387e-10,1.3307637765566158e-10,2.8185474291444516e-11,7.875135092070667e-10,1.1612522376552746e-09,-6.38457601581685e-10,6.562710032285135e-10,3.1822337072384526e-10,6.18896297550273e-11,1.4659395746517524e-10,1.0590953155978745e-11,2.7335306550591907e-10,9.213862052225702e-10,-3.2799187642767114e-10,-1.292025350979001e-10,-1.5350154675837786e-10,-4.5567766602976315e-10,7.579283290236093e-10,6.080039144476494e-10,-6.542183919497787e-11,1.6084199535397438e-11,2.7946000892989095e-10,1.822793298145111e-11,-4.514704043625323e-10,-3.230858480114825e-11,-7.744911863322612e-10,3.1025736492498963e-10,6.170770992525432e-10,-6.7692234097400336e-12,2.0499278988169182e-10,-4.054096286156419e-10,-1.715058191251248e-09,5.378010557911993e-10,-1.1533064381547799e-11,3.5384796261683993e-10,-7.70653117475601e-11,-4.5332712667160245e-10
treat_m1,4.5569441612947297e-10,5.616053940853279e-10,1.305831442108463e-09,6.6237667497137355e-09,-7.80948424753274e-09,-4.2608176381538115e-09,7.129400820138774e-10,2.9405117390902577e-12,4.693669199230802e-10,7.08469836026861e-11,-1.2496519711288902e-11,-1.8393950740152586e-09,9.770191300638326e-09,-4.160267551467233e-09,-2.533247480386232e-09,-4.2235587928635166e-10,2.7148478011412943e-09,2.5878662887815016e-09,6.102014883406766e-10,1.131832449488711e-11,6.972813752773064e-10,8.6691491220032e-09,-4.636941366082811e-09,5.203437603828805e-10,-2.8380943337631065e-09,2.4314332025514017e-09,1.9050436819673175e-10,1.0924035186946952e-09,8.348053803369173e-10,1.4099195480119166e-10,8.230568354565618e-09,-4.951746205160805e-09,-1.3362227206060713e-10,2.1876440122187416e-09,8.493904720145326e-10,-4.708484581858161e-10,5.491803512820796e-10,3.1251061990109775e-10,9.45002352588444e-10,6.218850094952207e-09,-3.265993694907252e-09,1.680953021391764e-09,3.3905456060266683e-09,7.630393979631629e-10,-4.95636019108814e-10,2.1784697882347123e-10,9.390537181810594e-10,2.973065763660973e-09,1.1096386564321243e-09,2.770845024088556e-10,-2.1930634591449165e-09,-1.6667193260010306e-09,4.6114573428021e-10,7.33770832408184e-10,-5.04676450630211e-10,-8.843163144144829e-11,7.040247822117015e-10,1.989099782078249e-09,-2.776920480846737e-09,-1.867762370701394e-09,-1.50906214155427e-09,-1.2399644934689993e-09,1.5454562147806722e-09,-2.262547389079773e-10,6.57543342776079e-10,-1.0260749227307742e-09,-9.32188240924275e-09,2.793836330696056e-09,2.4517095215646526e-09,1.0179207712084146e-09,4.168933961124983e-10,-2.405388928141339e-10
treat_p0,-5.464740640311695e-10,-9.229731711625273e-10,-2.4314374279299875e-09,-7.809484247532719e-09,1.4490191311300542e-08,5.103090029170875e-09,-7.036672565532337e-10,8.02386038429619e-11,-2.057856225997605e-09,-6.4233933640645435e-12,1.9113216662066808e-10,1.7617543810366202e-09,-1.1575551476251658e-08,8.59465633067416e-09,2.511708834870296e-09,1.4599527324848122e-09,-3.503482942723371e-09,-4.426847414261052e-09,-5.522719792778585e-10,-1.8094660814009124e-10,-1.4663604400837334e-09,-1.058204834482925e-08,9.666152183891257e-09,-3.057016421433544e-10,5.238200954172363e-09,-2.405742476591278e-09,-3.3883702476206183e-10,-1.34006922147445e-09,-1.4592854786294874e-09,-9.703442457666088e-10,-1.0243850371892859e-08,1.0435914291766357e-08,-4.989316596001546e-10,-2.5515474620278298e-09,-2.5599755400272315e-10,-1.2158215532050682e-09,-7.487829960957969e-10,-9.065088269338401e-10,-1.918994310925765e-09,-6.957510305277375e-09,6.318227206362836e-09,-3.4625001022791337e-09,-4.525389341457126e-09,-4.391597570310056e-10,-4.0006803050659307e-10,-1.1797257102070178e-11,-1.566702839530297e-09,-4.14895236725046e-09,4.625357674264288e-10,7.570560901017783e-10,2.184800895636129e-09,2.726915970969867e-09,-2.108705241790313e-09,-1.760896009369167e-09,8.318415013801958e-10,-1.2290291486649033e-10,-8.794220942704669e-10,-1.668938793766044e-09,4.124468980289676e-09,2.5428720946137255e-09,3.1148425273149906e-09,-3.244661932470259e-10,-1.625564547767265e-09,-6.118848826061129e-12,-7.513243610583292e-10,1.1580857015866792e-09,1.1347652393709929e-08,-4.7955890211836845e-09,-1.733012870287008e-09,-1.5288993949995902e-09,-5.281359851548172e-10,1.1910033438426025e-09
treat_p1,-2.4941787261452547e-10,-7.059969994905342e-11,-6.232536738991211e-10,-4.2608176381537924e-09,5.103090029170866e-09,6.284123142830192e-09,-1.2380787898305867e-09,-9.517846743546002e-10,-4.782170633445927e-10,3.3261041286371217e-10,-5.339012328660931e-10,1.3050959503634929e-09,-6.776370740609561e-09,2.8734572530350817e-09,4.673106859852689e-09,-2.682938970730509e-10,-1.7186022273676423e-09,-2.9182502820910476e-09,-3.0441842382725474e-10,1.521007404533584e-10,-8.339282793445646e-10,-6.863885440507869e-09,1.2289030935642068e-09,1.7710783320475912e-09,1.963680288463744e-09,-6.387912628709781e-10,-5.141843332267882e-10,-7.060535370436038e-10,-5.669565835101729e-10,-2.7150415175126494e-10,-6.091104252973266e-09,2.556949805875667e-09,2.9155360576284805e-09,-1.5516098986441918e-09,-1.405266676025775e-09,-1.2308593647825599e-09,-1.1983032435768796e-10,-3.1238550474871264e-10,-6.459497136753695e-10,-6.435191247926618e-09,9.970209500197206e-10,2.3568977298354155e-09,-2.69299509829065e-09,4.319441952524951e-10,-1.0045524525011669e-10,-3.4879495607053864e-10,-1.0446626541617066e-09,-2.3652680355849537e-09,-1.686490721402979e-09,-9.887149043127854e-10,3.158069400006418e-09,1.0637894278444077e-10,5.04322355052133e-10,-6.081781482570736e-10,3.1028441364309097e-10,-1.4750279750906418e-10,-4.310667461807846e-10,-6.46803584581875e-10,1.7404075346583457e-09,1.325340365007714e-09,8.608472158856471e-10,2.5494333704417482e-09,-2.0122560432565062e-09,1.1574278960619512e-10,-2.778246583293452e-10,7.025023554061176e-10,7.881010206546332e-09,-1.327152326535332e-09,-4.679921030425183e-09,2.8608855303945468e-11,-8.878078805386746e-10,5.00993622404425e-10
treat_p2,3.0460785807500265e-11,4.9594750826166847e-11,1.52372727548729e-10,7.12940082013871e-10,-7.036672565532136e-10,-1.2380787898305919e-09,1.4304865865363423e-09,-8.93929203225375e-12,-5.941920893100867e-13,-1.3826703994419051e-10,1.5665293971689817e-10,9.285723282595731e-12,1.587966609206486e-09,-2.89157629024826e-10,-1.0029618055033922e-09,1.1208791507088726e-09,-2.547355587742772e-10,9.749131438588871e-10,8.778968597916978e-11,-1.929236452964779e-10,2.6121318865948373e-10,8.438608109652481e-10,1.645904275120276e-10,-1.6780537008713708e-10,1.937181583819311e-10,-3.280507366929324e-10,5.065320335501867e-10,9.21307928193517e-11,3.762173663787407e-12,2.2052323475671488e-10,7.999189385567398e-10,-5.1034065231357724e-11,-6.907517709027905e-10,1.0175314621891438e-09,6.415520054914102e-11,3.9673845686867344e-10,-2.4753184698879518e-11,-9.373200071094724e-12,1.5353937755134746e-10,1.3980509286918037e-09,1.502528864192255e-11,-1.3232072470895716e-10,1.591946608398759e-09,-2.1053779400278355e-10,5.873543504108385e-10,1.0002409065397996e-10,1.9076345747814461e-10,4.298039860903728e-10,5.28313565779495e-10,7.766813809678373e-10,-4.4164658762396063e-10,4.165212617025566e-10,-7.355915158511372e-10,2.7405081362093473e-10,-6.258388551639944e-12,-4.200486787570676e-11,-9.749982591190165e-11,2.743558219270228e-10,6.620947293790673e-11,4.123346661838168e-10,4.4524673102477653e-10,-1.03547413173337e-09,6.497877898805883e-10,1.9297947192950047e-12,1.7204020820726538e-10,-9.132198683046214e-11,-1.7090088117492624e-09,-2.500516187284511e-10,6.731269560965108e-10,-9.99001102358295e-10,4.136482028691495e-10,-2.679922366844015e-10
treat_p3,3.248280165948821e-11,-2.1852845503797257e-10,1.0709435391873006e-10,2.940511739088154e-12,8.023860384296494e-11,-9.51784674354602e-10,-8.939292032257592e-12,1.7379829835657095e-09,2.0343547093950484e-10,-1.1856934293223108e-10,-1.294903499097395e-12,3.533457206013117e-10,6.8706378518437035e-12,-1.965970916542869e-10,-9.159101376109077e-10,1.4051947548084514e-10,7.078666593175816e-10,4.5005658051571974e-11,-1.0085504300069075e-10,-2.1060344927558083e-10,5.967645013647189e-10,3.4524922290436204e-10,-1.5380999885464505e-10,-8.95448310433507e-10,-6.313294803481055e-11,4.857903084619857e-10,-8.055202355847266e-11,-9.367616695233494e-11,-2.4486317640813665e-10,3.9743072866179846e-10,1.468712176012426e-10,-3.1224320481492415e-11,-9.291756636589789e-10,-4.976161847217664e-11,1.0763984528400705e-09,9.557763613243899e-10,-1.4751155483734785e-10,-1.2565780477859808e-10,2.803320258423192e-10,8.963376769945223e-10,2.049471260086225e-10,-1.5810141015743282e-09,-6.14906432976919e-10,1.1496661097980802e-10,-4.1666861307618344e-11,2.4669819517284672e-11,4.417597991130868e-11,1.4467695847203377e-10,3.2929421695687965e-10,-4.605335011841248e-10,-3.365434660340737e-10,7.119126024576575e-10,7.124376090979092e-10,2.7513621332085806e-11,-1.9190697314210384e-11,8.265444345065766e-11,-3.130698100987207e-11,-2.4884513712780494e-10,-7.201848083801322e-10,-1.8092259322855186e-10,-8.385683892496809e-11,3.8752661286541945e-10,2.0587862223269796e-10,9.61191638822724e-11,-3.2165567677178585e-11,-7.86906528281788e-11,-3.792140907283923e-10,3.1726883085139e-10,9.306457542089518e-10,-1.7743643440983602e-10,-6.764443762684669e-10,-2.7144616801201724e-11
treat_p4,1.2153848166124298e-10,3.972418681609074e-11,5.089077257374706e-10,4.693669199230732e-10,-2.057856225997612e-09,-4.782170633445924e-10,-5.941920893106841e-13,2.0343547093950694e-10,2.0521301862393373e-09,-4.0860760491560856e-11,-2.6271694129868725e-11,2.0726131670379724e-10,9.697838205564357e-11,-1.8870314045005564e-09,7.308314986342841e-11,-5.441711111830762e-10,1.2611812227569776e-10,1.4008282374169815e-09,-5.5375308633252955e-12,1.7636790982840001e-10,6.606405928574172e-10,1.0176447496581609e-09,-6.151843788878035e-10,-3.123358204753967e-10,-5.111516994386802e-10,3.357901806239757e-10,9.407377642555907e-10,-6.278999543003373e-12,1.7001204951867027e-10,3.1832940710482054e-10,7.657990538586893e-10,-2.3758735670235593e-09,3.030363721923162e-10,1.582694401094666e-10,6.588172050416804e-11,1.2782859407213137e-09,-1.6943870084541577e-11,2.7089873165125433e-10,5.297217549287911e-10,1.021942876897069e-09,-5.912402414125718e-10,2.0359689627672838e-10,-3.700756674412684e-11,-1.345883809592202e-10,9.255341151184959e-10,-5.867749169954262e-11,2.5026061295363103e-10,3.2244278948094416e-10,-4.486714574073188e-10,-5.714896973899099e-10,-5.118997435606206e-10,-1.7187640150902696e-10,7.868017601949023e-10,6.879128025463917e-10,-9.676690458202935e-11,1.3000811850696027e-10,2.6149348928048302e-11,-8.130545841317062e-10,-2.917833223528537e-10,-4.4808305845899504e-10,-5.616720962941622e-10,5.422011928009044e-10,6.271478810912109e-10,7.66178379629287e-11,-3.680112204932346e-11,9.52452417427786e-11,-6.638112211674948e-10,6.235213487529957e-10,7.028320554423239e-11,3.2788939262993045e-10,-1.2275729640083424e-10,-8.872462349434612e-10
L4treat_m4,1.995683126271186e-11,6.125094915286124e-11,-4.644043379190143e-11,7.08469836026872e-11,-6.423393364067567e-12,3.326104128637111e-10,-1.3826703994418994e-10,-1.1856934293223152e-10,-4.086076049156063e-11,8.685281229415954e-11,-3.9704482869877076e-11,-1.1295426683378242e-10,1.5908470741780248e-10,4.13041141186993e-11,2.1937124211970032e-10,-1.3231484588166584e-10,5.489082273373006e-11,-1.765427271505503e-10,3.548345084579188e-11,3.2659269492110896e-11,-1.1259169678415341e-10,6.42305838270232e-11,-3.364847118331163e-10,1.6896850512426708e-10,4.393032901902934e-11,2.3647774099474596e-10,-3.2599486701355736e-11,3.001142944870845e-11,4.244191271510478e-11,-7.578770297141844e-11,1.3502103992685585e-10,-1.772536417839048e-10,2.2796502867084584e-10,-2.0639830015696862e-11,-1.2202640102793722e-10,-2.9548958195830685e-10,3.663697881883453e-11,-4.826105135112534e-13,-7.462005961734649e-11,-2.3948499475481907e-10,-1.7184167404093977e-10,3.3992982714410993e-10,6.899377298433607e-11,2.154056014256459e-10,-8.633669914008663e-11,-3.419403117078154e-11,-6.640487638414253e-11,-8.048328873003096e-11,-1.74691685024104e-11,-8.335464744571644e-11,1.4741298545978883e-10,-1.5642742724259482e-10,5.509616358298534e-11,-6.845687910410156e-11,-1.2223489770801987e-11,-2.5338956894445387e-11,-4.721788068938012e-12,1.9569109990711146e-10,-2.039242121136089e-11,-8.775001424249997e-11,-4.1779355265788585e-12,1.0886773093347508e-10,-1.2015094479462816e-10,-1.1475805343791252e-11,1.1585849799257949e-11,2.2440888233190084e-11,5.903068487795708e-11,9.932349722833859e-11,-2.3657226183587436e-10,1.13853462212143e-10,-4.195255346368842e-11,1.0113261952708533e-10
