,coef
treat_m4,-1.4977743575147272e-06
treat_m3,-2.867556810252223e-05
treat_m2,-0.00012768389625786284
treat_m1,-0.0004895407200591406
treat_p0,0.0005228483043139822
treat_p1,5.13857348690201e-05
treat_p2,6.735121244849311e-05
treat_p3,9.991401700595348e-05
treat_p4,2.7445654626358955e-05
L4treat_m4,-2.6644645500396503e-05
L4treat_m3,-2.3663318085109356e-05
L4treat_m2,-1.535936048893884e-05
L4treat_m1,-0.0004118571248889372
L4treat_p0,0.00036891590536216267
L4treat_p1,2.167353049301942e-05
L4treat_p2,3.0800803859688514e-05
L4treat_p3,1.4343209712316441e-05
L4treat_p4,3.980703340100362e-05
L8treat_m4,-2.7681002742631844e-05
L8treat_m3,-3.782011027081577e-05
L8treat_m2,-2.7008769363735446e-05
L8treat_m1,-0.0004259051814398756
L8treat_p0,0.0004513720343785434
L8treat_p1,5.187418196408506e-05
L8treat_p2,4.521786547401523e-05
L8treat_p3,6.335961104798173e-05
L8treat_p4,-1.0555378535541328e-05
L12treat_m4,-2.75345474472154e-05
L12treat_m3,-1.611079447620021e-05
L12treat_m2,-4.905468323167734e-05
L12treat_m1,-0.00041166269727928507
L12treat_p0,0.00035563485261280644
L12treat_p1,-7.768600809393279e-05
L12treat_p2,3.097844840252116e-05
L12treat_p3,8.166317698464978e-05
L12treat_p4,6.329481931263798e-05
L16treat_m4,-1.8640772050566115e-05
L16treat_m3,-4.768771617315452e-05
L16treat_m2,-7.464221352047666e-05
L16treat_m1,-0.00025891448777318963
L16treat_p0,0.0003794228844078763
L16treat_p1,-6.591334595327066e-05
L16treat_p2,2.6499283663887574e-05
L16treat_p3,9.448983368643798e-05
L16treat_p4,-6.406615015043742e-05
F12treat_m4,-2.3526513508133925e-05
F12treat_m3,-3.71334751566283e-05
F12treat_m2,-3.781354984198878e-05
F12treat_m1,1.3145075415858993e-05
F12treat_p0,6.73659715142232e-05
F12treat_p1,-5.037629455847574e-06
F12treat_p2,3.145726390346327e-05
F12treat_p3,3.536123712694635e-05
F12treat_p4,-6.857164032786233e-05
F8treat_m4,-8.023941311800738e-06
F8treat_m3,-2.1926263935321908e-05
F8treat_m2,-1.4232942014623982e-05
F8treat_m1,1.300424308184641e-05
F8treat_p0,1.1480553187827882e-05
F8treat_p1,-2.7186828240710208e-05
F8treat_p2,1.005495007877003e-05
F8treat_p3,7.43660057012756e-05
F8treat_p4,-9.730069605014544e-05
window_m4,1.9597115595753078e-05
window_m3,1.7697974587238447e-05
window_m2,-4.832218867456763e-06
window_m1,0.00028115439043640915
window_p0,-0.00012021144507937404
window_p1,1.2838006297256023e-05
window_p2,-5.477504568394539e-05
window_p3,-6.418390065033092e-05
window_p4,9.09569598884198e-07
