,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,5.743052820368152e-13,-4.673824237375752e-14,2.5223729735803165e-12,4.508785765533413e-12,-1.8083782039306167e-12,-3.2855695878736555e-13,5.667570531350983e-15,-2.183412282557147e-12,5.953622549632933e-13,2.040764270929672e-13,-9.701408422756029e-14,2.1637815617916906e-12,7.663595494188756e-12,-3.3147407394443386e-12,-1.1718847778381035e-12,-5.715813784267578e-13,-3.184664850112699e-12,-2.1442261768264494e-12,1.213001655040914e-13,-3.2292321252297535e-13,3.074252622451332e-12,5.753193135131047e-12,-2.972268996367536e-12,-1.9568612839088747e-12,-1.7803911205860581e-12,-1.848335782828844e-12,4.4961771749106014e-13,-8.17017165473872e-14,-5.671084483421575e-13,2.551096317257613e-12,7.147186981839703e-12,-3.424146443573145e-12,4.858481580604981e-13,3.3819157452588335e-14,-4.992150429490675e-13,-1.1648643882913435e-12,6.165364586354591e-15,-2.1031098989409026e-13,2.2888177165578716e-12,6.4344380504891564e-12,-8.235604074719671e-13,1.2532706855305712e-12,2.132526608282724e-12,-1.8426965080335234e-12,-2.4538649033978593e-13,-2.7693346590727104e-13,-1.864912487792279e-13,2.4147204157160337e-12,2.6525244105262047e-12,2.3381771363768693e-12,2.412518220089519e-12,1.99991135046183e-12,5.845905241430124e-13,2.423231187159242e-12,2.6282400318917755e-14,-1.0661136873036336e-12,2.1702463569995812e-12,1.7751365011022784e-12,9.239197512141612e-13,2.157219010323217e-12,2.615793864895509e-12,1.6515473304652976e-15,1.8982464362740693e-12,3.77812234533025e-13,1.0989481557621674e-12,-1.0627108318242303e-12,-7.1067071606685725e-12,-1.3562177980630172e-12,-1.249786513780992e-12,-2.0384674108559922e-13,1.4031532563302093e-12,1.1171020926226063e-12
treat_m3,-4.673824237372317e-14,5.969978584645675e-13,-9.782722587285654e-13,-2.4855832692246325e-12,1.673754987913716e-12,-2.533134317034311e-13,-8.698929941783495e-13,1.073298535960507e-12,3.571491360356413e-13,1.207508622502892e-14,3.5323471086519e-13,-8.665811025056182e-13,-4.055610290980837e-12,2.1023407391162008e-12,-6.462447030589374e-13,-7.732025752267455e-13,4.934413958698775e-13,1.2892381597795635e-12,1.9135939370958249e-13,6.878552042613384e-13,-1.2634603504472567e-12,-2.7186111081537258e-12,2.8006858006192035e-12,-1.4422053988539158e-13,1.6534722429162798e-13,5.376156983994698e-13,-6.280363828583017e-13,3.4850136155768635e-13,7.276306462743116e-13,-1.2921445490986472e-12,-3.577444776381091e-12,2.99216421195072e-12,-6.647378881661413e-13,-6.059843710986878e-13,-6.378122647843308e-13,1.2759964851513527e-12,1.3408941786255963e-13,5.283034290869774e-13,-1.0459967640281567e-12,-3.2233772491306905e-12,2.6514508778553383e-12,-1.0375580120360307e-14,-1.2718068962895538e-12,1.3368429932614653e-12,8.190464977107844e-13,2.2131534068958738e-13,1.1420259395007612e-13,-1.2639281224747927e-12,-1.5212798330405395e-12,-1.6834457230990162e-13,-1.0983028482344202e-12,-1.9238484179884585e-12,-6.099076599955556e-13,-1.1228473393218006e-12,1.118731644631219e-13,8.0649510648217e-13,-1.1281868780877108e-12,-1.143399057601521e-12,8.027989424351161e-13,-1.896083703259354e-12,-2.781060033119937e-12,2.593214688049823e-13,-2.805557235816653e-13,-3.487800647425189e-13,-1.1034211535804456e-12,1.376929726658353e-13,3.5921515930544293e-12,-1.0087014905719446e-12,1.9089603095003803e-13,3.1289613330849853e-13,-1.1180972884140565e-12,-1.1987361985398154e-12
treat_m2,2.522372973580279e-12,-9.782722587284768e-13,1.4003659906632957e-11,2.566786030999523e-11,-1.1799707538821948e-11,-6.938269637473928e-13,2.5314754808558978e-12,-1.1595692013210314e-11,1.4240131632122178e-12,8.651172258569601e-13,-7.242996445107033e-13,1.2552241600737334e-11,4.202646717878589e-11,-1.9651739096339645e-11,-4.955692166979661e-12,-1.8605263655038744e-12,-1.651033166445131e-11,-1.3569240544159435e-11,3.1500852211377443e-13,-2.192166183734806e-12,1.7005711835213248e-11,3.083096774594638e-11,-1.8177766153605903e-11,-1.0238509280506648e-11,-9.22140953450953e-12,-1.1432435182336023e-11,3.1046503265650597e-13,-8.497963362473085e-13,-3.224870396542442e-12,1.4827267881605476e-11,3.945185393269553e-11,-1.965820154507062e-11,2.3055870033653685e-12,4.091530503068089e-13,-3.342128234981756e-12,-8.805716695662713e-12,-1.8214055292141445e-13,-1.4709017223201377e-12,1.3442489307927407e-11,3.7116224496948814e-11,-6.1467933655982925e-12,6.309953068366394e-12,1.1485485388379417e-11,-1.1275908735756017e-11,-3.119103315128935e-12,-1.5088381653446933e-12,-8.388308689981538e-13,1.3447703507795318e-11,1.5491305583215805e-11,1.302606300229747e-11,1.3730973528786396e-11,1.267208894626431e-11,3.0786410563152466e-12,1.3575368184948279e-11,-2.4591737717443243e-13,-5.986246156165683e-12,1.2232256456278821e-11,9.574882881493996e-12,3.3877115485544736e-12,1.3525207370334877e-11,1.5642808914665595e-11,4.591211198793899e-13,8.64420239827252e-12,2.1520024830012344e-12,6.555752401846389e-12,-6.0069247223571215e-12,-3.990133557745413e-11,-6.3576216603126585e-12,-7.409686334227178e-12,-2.098513375717255e-12,7.834918237193877e-12,6.886188822407205e-12
treat_m1,4.508785765533495e-12,-2.4855832692245966e-12,2.566786030999548e-11,5.317719604007689e-11,-2.4853897566898382e-11,-1.6718409014569758e-12,4.761527762818252e-12,-2.2033103221741856e-11,1.6421655696167794e-12,1.902310728878217e-12,-1.244429061050996e-12,2.3595427152096166e-11,8.614743939469469e-11,-3.964034231771377e-11,-7.787580239592748e-12,-4.207614845088985e-12,-3.1548255994833454e-11,-2.534677396254976e-11,4.936762598402985e-13,-4.703978848582239e-12,3.3316808653385326e-11,6.405399362587721e-11,-3.688991833556006e-11,-1.7934992450813927e-11,-1.716993050005328e-11,-1.99093760769446e-11,3.6641541467907787e-13,-1.7730516216842057e-12,-6.6767527479154986e-12,2.907505982049238e-11,7.904763036213576e-11,-3.940957188477704e-11,6.478237543001504e-12,2.739764866451771e-12,-7.353105787458737e-12,-1.8167386890143805e-11,3.342934989651259e-14,-2.988673657576274e-12,2.5743598198512754e-11,7.535416200571996e-11,-1.2412001475847817e-11,1.4365469103663222e-11,2.5228389521447456e-11,-2.0663249329791958e-11,-5.6838457672980165e-12,-3.3684197599508525e-12,-1.4142738464181928e-12,2.5783255002717636e-11,3.0601951697365916e-11,2.3155618480061524e-11,2.9760244914636675e-11,2.5680404132727045e-11,8.829179559892141e-12,2.779972313856975e-11,-5.851048182636578e-13,-1.231084596766043e-11,2.3505724947047838e-11,2.0933908155795697e-11,5.1286926901682645e-12,2.893804524725782e-11,3.2387889919533105e-11,2.2859957424885765e-12,1.6467310895057713e-11,4.253150678503346e-12,1.3380898220036106e-11,-1.0890744502249333e-11,-8.079760445790781e-11,-1.124510941303947e-11,-1.4813763777842768e-11,-4.078060891124692e-12,1.7326296823708183e-11,1.658458438561017e-11
treat_p0,-1.8083782039304715e-12,1.6737549879140001e-12,-1.1799707538821953e-11,-2.4853897566897432e-11,2.3917381888638594e-11,8.800318219694693e-12,9.607616645086599e-13,1.3707307864115167e-11,2.617625214329006e-12,-1.2620266641256697e-12,9.137122747625574e-13,-1.2063786982758629e-11,-4.0381521987759304e-11,2.6906746821034524e-11,8.138599550556697e-12,6.042326767793018e-12,2.1268212016586558e-11,1.1635417597934326e-11,5.1497044542298583e-14,2.7476227355571146e-12,-1.673933300650999e-11,-3.0459773747008467e-11,2.5121332104075286e-11,1.6813957824501266e-11,1.2688462238988141e-11,1.3825605539483548e-11,2.221210772946079e-12,1.0073049342257067e-12,3.2282438609766615e-12,-1.3949369109679194e-11,-4.032111684051559e-11,2.194385950815246e-11,7.506934499605344e-13,1.8338931012049656e-12,6.985781872507924e-12,1.356365942566022e-11,3.9622884332585027e-13,2.024326198362865e-12,-1.2442001698434659e-11,-4.069735243408478e-11,1.3107213462722811e-11,-1.654940959366164e-12,-6.935005264504331e-12,1.3540907950701845e-11,8.472757596384342e-12,1.4400937312466387e-12,4.377033945058462e-13,-1.3588055961843592e-11,-1.6487144702307578e-11,-6.0402094444890964e-12,-1.2893496149324365e-11,-1.2849442209010264e-11,-3.996184984766084e-12,-1.523184202303261e-11,1.2266674925099693e-13,5.7232711760397915e-12,-1.1220054981017008e-11,-8.34661114255205e-12,4.983950509511869e-12,-1.1288254005960343e-11,-1.2399995617769737e-11,-1.5846131038056569e-15,-6.204361966236444e-12,-2.013701208988652e-12,-6.316488681863231e-12,6.2642381498837845e-12,4.2136065751271016e-11,1.4725109150955937e-12,5.713588897832983e-12,1.1679602667851219e-12,-8.37197545456886e-12,-1.0061168725801597e-11
treat_p1,-3.2855695878735964e-13,-2.533134317034044e-13,-6.938269637472229e-13,-1.671840901456979e-12,8.800318219694783e-12,1.0655327259837136e-11,5.958733307621687e-12,4.080245961392926e-12,1.6475424441868811e-13,-3.983365252053532e-13,-1.893566757329438e-13,-9.523925436510602e-13,-2.1111525741341784e-12,5.944768441420467e-12,6.637099248743466e-12,5.000172029133806e-12,8.411952376869915e-12,-3.135950736938709e-13,-1.463025376503732e-13,2.1579380154698398e-13,-1.9279422659274916e-12,-3.988461519169469e-12,3.7012480690119344e-12,1.2126053672644991e-11,5.603617245477807e-12,3.2364148006405818e-12,8.657897579062842e-13,2.672027348958154e-14,-1.105232734298237e-13,-1.1263047780489326e-13,-5.8677257272237e-12,1.958903724478505e-12,5.923318039555224e-12,2.2577662607738435e-12,3.21173101624449e-12,2.897965555814647e-12,6.769798978325536e-13,1.2712250507206573e-13,-2.023466115146908e-13,-6.350935469019995e-12,3.498736042118337e-12,5.1830630906502015e-12,3.639254617134942e-12,4.372980425980703e-12,5.20036672567352e-12,-4.65936212166846e-14,-3.6203927352823226e-13,-2.7754413024824297e-12,-2.8001801249970846e-12,1.3949368015611064e-12,6.768619355893361e-13,-5.916889177485974e-13,-1.6850686580872148e-12,-3.8236038633082696e-12,-5.247923960672399e-13,6.679251402214772e-14,-6.55596333733984e-13,-3.743121782087986e-13,2.63734579265829e-12,3.406693853903165e-12,1.876380254075225e-12,1.0743882595266212e-12,-5.562162254965197e-14,-2.1068266898622423e-13,6.115401752165691e-13,1.6266525354796972e-12,5.394478873139558e-12,-1.6389944425772156e-12,-3.981825557746367e-12,-4.232893137840024e-12,-3.6449979796412276e-12,-3.608133171830209e-12
treat_p2,5.667570531331949e-15,-8.698929941783862e-13,2.5314754808558663e-12,4.761527762818259e-12,9.607616645087673e-13,5.9587333076217265e-12,1.3277987455290652e-11,2.811767224754446e-12,-3.0066106785575655e-12,-1.9622216223860334e-13,-1.3185818226936224e-13,2.61689289954852e-12,4.1506615319021e-12,1.6587050059073261e-12,3.429239779451006e-12,7.94390239338587e-12,1.8648458272926515e-12,-6.638372574806295e-12,-1.6335334840316834e-13,-3.7301634220738103e-13,1.6073918583254e-12,8.715146000162052e-13,-8.547537791020589e-13,3.3249341361010046e-12,4.810365461725241e-12,-1.7129316277226165e-12,-2.5989456051405905e-12,-5.706399141278486e-13,-1.1073421873033423e-12,2.1223890122313683e-12,2.503092093359678e-12,-3.6039562159727592e-12,5.436160895344866e-13,6.155772887901361e-12,3.3050452144795086e-12,-2.3023241236174477e-13,-3.1458991612000997e-13,-1.2011253841182864e-12,2.0489942244286114e-12,3.177104703006123e-12,-3.035460565384542e-12,2.9352950506966672e-12,5.712301607192821e-12,2.4535077801941187e-12,-2.4942776959853678e-12,-3.338647292325671e-13,-3.6263068836291607e-13,1.1133170892786937e-13,2.7948641509737225e-12,2.3026271510112043e-12,1.6177193104448782e-12,5.421097803986145e-12,-5.04847085788609e-13,1.2550218992767686e-14,-8.060185820088834e-13,-3.6309789542017816e-13,2.5549431983261898e-12,-3.7903745758239623e-13,-2.338975893787114e-12,6.242057257341236e-12,7.477827001247906e-12,8.405287712381659e-13,-2.749890359952985e-12,4.772016841239823e-13,2.173326607784077e-12,2.2048985047555072e-13,-3.4545163821024947e-12,1.7045715869488206e-12,-1.880602230932922e-12,-5.1492419117259636e-12,-3.580335939340337e-13,2.1463708542026e-12
treat_p3,-2.1834122825571164e-12,1.0732985359605323e-12,-1.15956920132103e-11,-2.203310322174174e-11,1.370730786411544e-11,4.080245961392618e-12,2.8117672247543333e-12,1.7404536519910332e-11,5.202614885868076e-14,-5.939393904254982e-13,1.249637117154469e-12,-9.840241181437652e-12,-3.974584683842063e-11,2.2264475220679704e-11,7.505644681268412e-12,3.7439149097347045e-12,2.067701445419975e-11,1.213155307794151e-11,-7.526716098911563e-14,2.308599395231982e-12,-1.5214758240870075e-11,-2.960607305989124e-11,1.9901043724499502e-11,1.2211993002957797e-11,1.2360882902469e-11,1.4256828677821702e-11,-1.8803183606572353e-13,1.103788773023007e-12,3.364184164962044e-12,-1.2193026163537842e-11,-3.800880314021551e-11,1.9178061536602465e-11,-5.992773283858424e-13,3.4456307221612265e-12,6.69125557863326e-12,1.0484261012880691e-11,2.6601908392877114e-13,1.6009753662512843e-12,-1.1284859116702714e-11,-3.5095703183712486e-11,7.065115285442477e-12,-2.877008130171754e-12,-9.209564630641998e-12,1.6368834388724048e-11,4.328378014110784e-12,1.897078207068608e-12,6.220572460411881e-13,-1.3269872163778385e-11,-1.3244504509536037e-11,-8.53055797738335e-12,-1.1445034802745462e-11,-1.0460824919208208e-11,7.646396132534502e-14,-1.129094431464336e-11,2.272026910131649e-13,5.448959719739018e-12,-1.0894122448065485e-11,-9.685425707609346e-12,-2.553642834404319e-12,-9.070630747667604e-12,-1.3861324195456526e-11,1.7059493634078657e-12,-7.975188595114974e-12,-2.2414046053377334e-12,-5.703472596012996e-12,6.025810834914022e-12,3.8864220879845685e-11,6.271836721031378e-12,6.3668924919876434e-12,2.2965985382772037e-12,-8.998969956514968e-12,-6.16158051941427e-12
treat_p4,5.953622549633448e-13,3.571491360356181e-13,1.424013163212219e-12,1.6421655696167693e-12,2.6176252143291497e-12,1.647542444185195e-13,-3.0066106785574395e-12,5.202614885861603e-14,8.295954944705003e-12,5.776308494517995e-13,3.08716443321391e-13,1.0178205323606635e-12,3.5546102858388243e-12,-1.0480079413285286e-12,-2.4509701512507703e-12,-4.111461183616022e-12,4.0786199697247643e-13,4.684026349433159e-12,4.216638761912324e-13,7.148385049020434e-13,2.2238810654490833e-12,1.9844368172143e-12,-4.5006244973016984e-14,1.1218871851113736e-12,-8.534205655105698e-13,1.4542021135898278e-12,5.905470222636923e-12,6.74052911466475e-13,5.143993218181239e-13,1.9184906395701812e-12,2.1570437067337898e-12,-1.3047469322148338e-12,1.1257047960889312e-13,-2.4164597527782144e-12,-4.4637736885838687e-13,2.4936936888061373e-12,6.225463952917433e-13,7.958630137254979e-13,1.668206506396139e-12,1.2514251682936165e-12,2.709121514161777e-14,2.672270609540208e-13,-1.638731521663963e-12,1.0736972078380455e-13,2.410409102133541e-12,1.0818841589537151e-13,-3.8280811522331464e-13,1.2525988302981093e-12,2.041065355921056e-12,4.800025873995648e-12,2.3334840359147215e-12,-1.3142428627710706e-12,1.9881794093523938e-12,2.9188401338504377e-12,1.9388493415245666e-13,-9.327207294979583e-13,1.8394581803474626e-12,1.0630317533666279e-12,5.246726926209339e-12,-6.381735543836949e-13,4.901044065508392e-13,2.552500388180758e-12,4.033542335414335e-12,2.2932537675393213e-13,5.808302654157357e-13,-2.56855221685255e-13,-2.1016954311278756e-12,-1.5454909480144176e-12,1.7270171497460846e-12,5.166516199982459e-12,1.8045370187028764e-12,-1.3108202176577453e-12
L4treat_m4,2.0407642709297317e-13,1.2075086225018183e-14,8.651172258570016e-13,1.9023107288782438e-12,-1.262026664125845e-12,-3.983365252053826e-13,-1.9622216223861333e-13,-5.939393904255449e-13,5.776308494517684e-13,2.998318786602694e-13,6.517114016847662e-14,9.869429035242497e-13,3.2491114267710334e-12,-1.8708681619440735e-12,-7.731015439626612e-13,-1.2517055234655894e-12,-1.176690441641537e-12,1.7926840879059957e-13,1.4581084293688887e-13,-2.8048229526255842e-14,1.362294151005447e-12,2.373616886536443e-12,-1.4667099472378312e-12,-6.366195423178861e-13,-4.721487363438682e-13,-8.200736299470164e-13,5.284312836026937e-13,1.846392602447236e-13,-8.805231450793879e-14,1.1276842560703733e-12,2.679737335530466e-12,-1.345293427320573e-12,3.9056234995649845e-13,7.72334060982044e-14,-4.017399252340394e-13,9.750042061878186e-14,2.5261323187709557e-13,3.028626108923867e-14,9.192108467718099e-13,2.7204646803797163e-12,-4.3957606071062596e-13,7.453084987939488e-13,7.655935251846084e-13,-2.0142365139543802e-13,3.5452085755643603e-13,-7.715213773773122e-14,-1.4597324172290668e-13,8.565156818507942e-13,1.3489170961217686e-12,5.58509166682978e-13,1.3905911918388969e-12,4.128187038821681e-13,5.330822773325327e-13,1.303524961600433e-12,3.8845612485047726e-14,-3.9963184915600193e-13,9.062629399656143e-13,7.518348832691749e-13,1.3828737501851268e-14,9.386368064550815e-13,3.6900961859270077e-13,5.471455538035592e-13,8.07873064589286e-13,9.839235675046709e-14,4.969771375400939e-13,-3.8203136069976975e-13,-3.068576915866691e-12,-5.380493552306186e-13,-6.603638637440115e-13,1.1242740971344831e-14,3.1297803787082236e-13,1.9058751385347446e-13
