,coef
treat_m4,-7.84301813416362e-07
treat_m3,-1.9736574300040657e-07
treat_m2,-7.84253394981697e-06
treat_m1,-1.4322007872478297e-05
treat_p0,1.4798771094727722e-05
treat_p1,1.326176044848317e-06
treat_p2,-3.835180306747437e-07
treat_p3,3.024623746029375e-06
treat_p4,-5.119580486629909e-06
L4treat_m4,-1.234768719892194e-06
L4treat_m3,-1.5849783810039888e-06
L4treat_m2,-6.914471416071729e-06
L4treat_m1,-1.899083942230222e-05
L4treat_p0,1.719459171314799e-05
L4treat_p1,-2.2722510870734877e-06
L4treat_p2,2.2086513079321396e-06
L4treat_p3,6.444161881750719e-06
L4treat_p4,-5.841396995175723e-06
L8treat_m4,-1.1627183928219999e-06
L8treat_m3,-6.944862969601911e-07
L8treat_m2,-7.68852485314547e-06
L8treat_m1,-1.3536334855929239e-05
L8treat_p0,1.461137491030819e-05
L8treat_p1,8.931987080355669e-06
L8treat_p2,6.769816419771623e-06
L8treat_p3,3.706374944212296e-06
L8treat_p4,-2.253415266551616e-06
L12treat_m4,-1.6206282104504877e-06
L12treat_m3,-1.9531930109043983e-06
L12treat_m2,-8.137563842810424e-06
L12treat_m1,-2.1278993882136417e-05
L12treat_p0,1.5637916811013795e-05
L12treat_p1,-3.7454662443228724e-06
L12treat_p2,5.720338931004755e-06
L12treat_p3,3.06777237987309e-06
L12treat_p4,-1.6952197978925627e-06
L16treat_m4,-7.809579928194948e-07
L16treat_m3,-1.2502448121891237e-06
L16treat_m2,-7.069883875468173e-06
L16treat_m1,-1.7734899835667787e-05
L16treat_p0,5.779863862865502e-06
L16treat_p1,-3.443526234193215e-06
L16treat_p2,-1.5038564774923846e-07
L16treat_p3,6.638071206309473e-06
L16treat_p4,-2.6476870085470143e-06
F12treat_m4,-3.495368218169031e-08
F12treat_m3,-1.4808040863685827e-06
F12treat_m2,-6.628802965567727e-06
F12treat_m1,-4.49202651956079e-06
F12treat_p0,6.288883198043542e-06
F12treat_p1,-3.7118068984810952e-06
F12treat_p2,1.3645193133578853e-06
F12treat_p3,6.536765231462705e-08
F12treat_p4,-3.0879421232622373e-06
F8treat_m4,-3.341478351000521e-07
F8treat_m3,1.249034365820505e-06
F8treat_m2,-2.0745107362526807e-06
F8treat_m1,-7.431470024034293e-07
F8treat_p0,3.842524040733445e-06
F8treat_p1,-2.1871794729297674e-06
F8treat_p2,4.985940468774689e-07
F8treat_p3,-3.497272948526514e-06
F8treat_p4,-6.438682706888873e-06
window_m4,-5.4833927409911165e-08
window_m3,1.0448621505680444e-07
window_m2,5.398566772255567e-06
window_m1,2.4210105985354184e-05
window_p0,7.3197354773665715e-06
window_p1,1.3666017649696438e-05
window_p2,1.2324456843436666e-05
window_p3,9.29112414259581e-06
window_p4,1.2339476422142636e-05
