,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,8.147606057835754e-12,6.655011937118894e-13,-2.4802502579657907e-12,-3.2004332088272657e-12,-4.9545924859166955e-12,1.4656614706886006e-12,2.2909117956593635e-12,-4.524479552673556e-13,-1.0807124911690123e-12,8.38541507275003e-12,-5.592068607696224e-12,-7.539903929493542e-12,7.1495880432928615e-12,-1.9625691495632e-12,1.1673855723755989e-12,-3.341544844026353e-13,6.036311413292093e-14,4.3826168561735854e-13,1.1903762938873855e-11,-3.569585736575237e-12,-3.2072269825480907e-12,4.164064299150583e-12,6.774417705086022e-13,7.940662905700082e-12,1.7756047634515341e-12,-2.2991273153481923e-12,4.081749310268632e-13,7.759083309831854e-12,8.2912144481726e-13,2.0152039300748306e-12,-3.433630128050123e-13,3.1296334501490325e-12,6.124127171938772e-12,-3.815062390780243e-12,-4.036081687508908e-12,-9.117833674647832e-13,3.734271369466904e-12,4.077382758095669e-12,-2.358891913349028e-12,-5.287701943667212e-12,-2.5045405122304795e-13,6.272104086601161e-12,-3.875112554658011e-12,5.104547446444962e-13,-1.6532728829938051e-12,1.9626363181609834e-13,6.568373018387694e-13,-1.7025817465524023e-12,-2.2669734509261046e-12,6.000664044566639e-13,3.028838174763477e-13,8.386957563552779e-13,6.404580112788382e-13,-6.360631832853927e-13,2.519241500427267e-12,-1.866668036247325e-12,-5.1930940224470205e-12,2.5761369701366565e-12,2.3119565650163527e-12,-1.2256276690076006e-13,-7.68989766385781e-13,5.423722029851424e-13,-4.2926789858293207e-13,-7.452368297414766e-13,1.6892541551797392e-12,2.1339632071959363e-12,-5.27069726410589e-12,-8.049356400292315e-13,-4.2600748968905174e-13,5.509569565217361e-13,7.436024155338939e-13,-3.5811503688112936e-13
treat_m3,6.65501193711866e-13,4.299497488096425e-12,6.527270408318248e-13,7.717203022907746e-12,3.2813401080981387e-13,-1.3381960745326258e-12,-1.5375587407039021e-13,-4.5164508099608336e-13,-8.268021826079046e-13,-3.8882622694774855e-14,1.266466446005852e-12,-3.321592931512827e-12,7.774196144555374e-12,-2.0629011122740055e-12,-3.5557748461534093e-12,-2.961635818327139e-13,6.792168247493669e-13,-2.3036467337536016e-12,-4.748367907245454e-13,1.8173745299185564e-12,-9.175775568170406e-13,7.429248904309465e-12,1.1744041775489704e-13,5.238746968813827e-14,-2.014873221036074e-12,-4.168429082578509e-14,-2.673413851619072e-12,2.3962366697961874e-12,1.117711709331749e-12,-2.5517441930562156e-12,6.734441458121537e-12,-1.4399151110427456e-12,-3.997445089066347e-12,-3.5704326070288e-12,-1.1897261313541412e-12,-3.9224903015476605e-12,2.1928411754282817e-12,-7.814800128182406e-14,-1.028875058950924e-12,3.286631652960687e-12,-1.5549023134934303e-12,-2.6692950142842442e-12,-1.4733012189274243e-12,-1.4001090379962884e-12,-3.372632432559174e-12,1.302362504734692e-12,3.537736458193057e-12,1.5883781583314016e-12,-1.1881726786829798e-12,6.4129417980249154e-12,-2.061182389646935e-12,-1.2495232022922527e-12,-5.914424006902425e-13,-3.6306871773738513e-13,1.960017083356044e-12,1.4734751125869617e-12,-2.0613905746698365e-12,2.0808334552837718e-12,2.974755591984968e-12,-1.0269374554723472e-12,-1.6853297761403577e-12,-4.589829437133824e-13,-1.3785716685752652e-12,-1.7379956946333112e-12,3.709167604305728e-13,3.295395683761556e-13,-6.824654351410479e-12,1.0715714161687632e-12,3.0372473844537437e-12,1.228524583826465e-12,6.201562000445175e-13,2.0428696557305994e-12
treat_m2,-2.4802502579657548e-12,6.527270408318226e-13,7.387796363468385e-12,5.774488389572907e-12,-9.57676990157659e-12,-2.5519187764156223e-12,1.1650570530208715e-12,1.1432465232841976e-12,-7.120549047656555e-13,-3.4487494952939812e-12,5.764779866426577e-13,6.301116734238533e-12,5.969659858671396e-12,-3.1221767935289258e-12,-7.112957996218966e-13,9.238649690661523e-13,1.9024440711991605e-12,-1.1361672093547966e-12,-2.1264555112840445e-12,-6.862371116030167e-13,5.7067575562163015e-12,7.5768182779904e-12,-1.354861061919031e-11,-2.6086357437102896e-13,3.6974732039207926e-13,9.880303571730691e-13,-1.742957556296727e-12,-3.4660027781196906e-12,-2.6527020526648918e-12,3.9574116888868135e-12,1.141516528686688e-11,-9.382926524905659e-12,-2.6882046829058672e-12,5.211894653841838e-13,-3.1385323079511283e-13,-1.7641222182778738e-12,-1.4685542745150111e-12,-1.1745030762909475e-12,4.198622347906069e-12,1.0317139697410674e-11,-6.419610244576116e-12,-2.9020236754336893e-12,-3.679220041096515e-13,8.236226113939528e-13,-2.4432908185553335e-12,-2.421043640316293e-13,1.3921692146289408e-12,-6.567409051796403e-13,5.304399919157314e-13,-1.209355267807432e-12,-7.637093730026082e-14,-1.2766973960360616e-12,-1.7115005299216015e-13,-1.7403796200253803e-12,-1.110437651059539e-12,1.8048020506957764e-13,3.4170955175926258e-12,-1.7356260439918357e-12,9.448298877472513e-13,1.5093414076283857e-12,-8.747760885280428e-13,1.2847558159832742e-12,-2.3222882719579577e-12,2.1326013908706354e-12,1.6390675620765807e-12,-1.7093824178619508e-12,-1.2233368202267107e-11,7.1487910284630426e-12,3.118532978726894e-12,1.7858373109310442e-12,8.83917614712363e-14,2.3286271405213845e-12
treat_m1,-3.2004332088272464e-12,7.717203022907733e-12,5.774488389573022e-12,5.228725573614405e-11,-1.7636382271413584e-11,-9.585882958578126e-12,3.7729489530218966e-12,2.925590715362631e-12,-5.8395377139633846e-12,-2.4077821283252795e-12,-3.6382348292671333e-13,-1.374090702322551e-11,6.326376795415906e-11,-2.1081438969765137e-11,-1.561286640245351e-11,-1.2701616899986096e-12,4.048659073081693e-12,-1.2062137225730338e-11,-7.020497377306725e-12,-3.367572654322659e-12,-3.892074885794328e-12,7.494538285133494e-11,-2.94303801747039e-11,3.756345168648884e-12,-5.221155730486479e-12,2.095170625154515e-12,-1.4379161297755412e-11,1.0884128243615335e-12,-5.597157090423722e-12,-9.004640068040183e-12,7.686619034686701e-11,-3.701406068948766e-11,-1.5381798149444275e-11,-1.1252345985918643e-11,-3.482564167257535e-12,-1.7296237878210777e-11,4.209389960656395e-12,-7.0259018991655065e-12,-5.8930373703949375e-12,5.222582344986339e-11,-2.706187554050889e-11,-6.4998242877725376e-12,-1.98539072139145e-12,2.0394547401629937e-12,-1.6256042934892983e-11,2.791945438855551e-12,7.838255633025583e-12,-7.810706818997095e-12,2.1460816201888123e-11,1.3328747243519374e-11,-1.0043680912103128e-11,-5.6407145631794145e-12,-2.1377572049995652e-12,-3.848232900597856e-12,3.3402100508651534e-12,-8.938562035093136e-13,4.0593936658793085e-13,1.556662223752635e-11,7.446959648006828e-12,-4.95956162203217e-12,-8.396076933600765e-12,8.474113481887826e-13,-7.714588498260463e-12,-1.5269773100755297e-12,1.1521764759568184e-11,4.798495245118196e-12,-7.555918868608122e-11,2.4079117619873564e-11,1.8886341955103968e-11,8.955898288439939e-12,2.75435379919916e-12,1.1686339100375872e-11
treat_p0,-4.95459248591674e-12,3.281340108099036e-13,-9.576769901576646e-12,-1.76363822714136e-11,5.330192451697355e-11,2.8249070399704107e-13,-1.0946262184349635e-11,-5.893068477822827e-12,3.6044225139328254e-12,-6.759115466423485e-12,1.2668014788021458e-11,9.489361113353555e-12,-5.102072074283573e-11,3.0291807496020905e-11,-9.091987751928654e-13,-8.540828280665658e-13,-7.981800834978118e-12,1.385132136836257e-12,-1.503027932357603e-11,1.1516649990019443e-11,-9.860242064666257e-13,-5.7363457090769186e-11,5.958883575307884e-11,-2.181261342890573e-11,-7.807587755955508e-12,2.509562022759179e-12,4.767973958059854e-12,-1.397671988286806e-12,7.340546949049018e-12,-1.0942363297344554e-11,-5.5371220822028245e-11,4.338392818662153e-11,-1.2875471042224276e-11,7.972479441883344e-12,9.282506579858611e-12,6.644118624449019e-12,-1.360108503346721e-12,-6.346414671371673e-12,2.1854999876883548e-12,-3.131410761245988e-11,3.5319039964037834e-11,-1.4239418509952478e-11,5.76711465104457e-12,-6.46445651015339e-12,1.0381189127223787e-11,2.8214574020835186e-12,-3.0737910960289686e-12,1.2318459809026166e-11,-8.860520089932468e-12,1.9360462657568643e-11,-5.217938344599004e-14,3.619413222119554e-12,-1.9013793149987496e-12,5.793302608446767e-12,1.8783977771080654e-12,7.193973659957489e-12,2.5848570072840473e-12,-5.318798661050128e-12,-1.1793523065594905e-12,-6.0598760764026875e-12,2.6519290337839604e-12,-7.441243223849453e-12,4.906763725042732e-12,-9.432813184961547e-12,-1.275423813870283e-11,-6.951933020191112e-12,7.071132910855605e-11,-3.4084710429606563e-11,-6.812276954344764e-12,-7.228885427382202e-12,-1.3599734409951952e-12,-5.856545325515041e-12
treat_p1,1.4656614706886267e-12,-1.3381960745323021e-12,-2.55191877641565e-12,-9.58588295857771e-12,2.824907039968687e-13,8.6822424480318e-12,1.587236441274433e-12,3.541309283793625e-13,1.0573587374313211e-12,2.3910069399807556e-12,-8.569534100346134e-13,-2.6905133974517247e-12,-2.2371231878364625e-12,-2.0875994389567335e-12,4.638982582537582e-12,5.501688106049066e-13,-1.810424299124044e-14,1.2952429436182773e-12,3.540512563945301e-12,-2.5780349776006086e-13,-1.9957198811693996e-12,-1.0061423978648756e-12,-4.740683855245881e-12,9.02384663634643e-12,1.3402398555383588e-12,-1.3280965957447968e-12,2.0478892581890703e-12,8.261893800565131e-13,9.082277128200014e-13,1.880587939738545e-12,-3.545993817117013e-12,2.3083609515833657e-12,9.80433218035796e-12,7.689221053944302e-13,-2.32704578161753e-13,4.068941672127073e-13,-2.114870428009887e-13,2.811178412156906e-12,-2.6448419785575582e-12,-9.686747780966901e-12,2.7327278595776713e-12,8.414046015542468e-12,-2.887405724183238e-13,1.5809256782363895e-13,1.6209151527495275e-12,-3.1584620180926604e-12,-6.417457975921321e-13,3.9528504351498245e-13,-3.3470314386524724e-12,-4.621554720353243e-12,2.326059772299852e-12,7.394325652098e-13,1.1180583758073814e-12,-8.002516794135819e-14,-9.056653487016935e-13,-1.5423307923225415e-12,-1.9447247332575164e-12,-1.9915255572075284e-12,2.2457063369833203e-12,4.550729250243517e-12,7.422407973518975e-13,8.421054533458606e-14,2.0938629421851023e-12,2.7648231876745312e-12,2.2323579819748703e-13,1.7778946353444631e-12,1.6202253058919501e-12,-2.8428755343507275e-12,-5.149170859512809e-12,-4.466115514496021e-13,6.104536361883403e-14,-1.2824393340304838e-12
treat_p2,2.290911795659425e-12,-1.537558740703558e-13,1.1650570530208458e-12,3.772948953022504e-12,-1.0946262184349639e-11,1.587236441274509e-12,4.827536833809027e-12,2.1135938606640915e-12,-8.39075888577523e-13,3.5950409234841828e-12,-3.900046117858116e-12,-4.714621304564223e-12,1.3893217242729549e-11,-6.7068250880714994e-12,7.101216464296112e-13,4.633434537314527e-13,1.687612506707669e-12,-8.903767239635978e-13,5.655668726499248e-12,-3.731448380764586e-12,-2.348822374127448e-12,1.5323814259427566e-11,-1.1982425240846185e-11,7.75727010931972e-12,2.3573822259800683e-12,-6.707837935298764e-13,-6.501731827723081e-13,2.0072096314150256e-12,-1.7247875453327707e-12,7.315749563781835e-13,1.4534592359220348e-11,-7.77066353731681e-12,4.160819371059198e-12,-2.0900721531461894e-12,-2.8469928115641746e-12,-2.670959359294841e-12,1.934021102400795e-12,2.6293027653685865e-12,-2.913280146118e-12,6.6435904401374785e-12,-5.593424434752994e-12,5.156654713273482e-12,-1.4357730600108213e-12,1.7397526151071738e-12,-2.364370671580254e-12,-4.589272856421641e-13,9.060795123806464e-13,-4.065444447969514e-12,3.71299099569777e-12,-2.7500550353535342e-12,-4.149559742827516e-13,-5.639772802630853e-13,6.269697130712489e-13,-1.689194346343414e-12,6.559773097774549e-14,-2.669160228606888e-12,-1.2832347609246506e-12,1.5821765422040762e-12,3.024935657397913e-12,8.79950388534417e-13,-8.401530230493929e-13,1.475533481068714e-12,-4.2206642755876407e-13,2.1915169396211995e-12,4.409442130861787e-12,3.9978592233717685e-12,-1.8699809962113678e-11,5.228844324237668e-12,1.449334943634142e-12,1.5300723408034438e-12,5.436388930174176e-13,1.2279414967742327e-12
treat_p3,-4.5244795526732093e-13,-4.516450809960878e-13,1.1432465232842376e-12,2.925590715362462e-12,-5.8930684778228225e-12,3.541309283794071e-13,2.113593860664109e-12,4.527967631685413e-12,1.0077209184065589e-12,2.3299054723356423e-12,-1.7816840632924851e-12,-1.0500365136880047e-12,1.0015980927964894e-11,-4.967437849961905e-12,4.692543425377351e-13,-4.679695898891178e-13,3.0562747800112037e-12,-5.288500964990864e-13,2.7058287706951886e-12,-2.171550795965885e-12,2.267005016511511e-13,8.890241795006424e-12,-6.499275087311631e-12,4.44686342062523e-12,5.830558033477551e-13,1.9998101106053333e-12,-7.277017522357471e-13,1.7737287478163937e-12,-5.432226518132795e-13,1.7008475106193822e-12,9.798733850086093e-12,-3.5041905356062384e-12,2.5207877611662687e-12,-2.431430605619571e-12,-5.958189916063176e-13,-7.517257611479683e-13,1.7429877351822374e-12,8.55877539094039e-13,-4.4036273908907774e-13,5.673369971062848e-12,-1.87466350110688e-12,2.6781273461070672e-12,-3.327024237028564e-13,3.8496813549689226e-12,-5.025346719353798e-13,-5.66291061364775e-13,9.311717181496227e-13,-1.8770670946223306e-12,3.025816594491377e-12,-1.1255073609690713e-12,-1.3186567917535426e-12,1.2577510838016602e-13,1.3013394629430656e-12,-8.827773526953585e-13,-1.506532443616806e-12,-1.4595296252245088e-12,2.5228625046155966e-12,-3.234087694942829e-13,1.7730794357351934e-12,4.1289282682558406e-13,-1.290154489159637e-12,2.822829904636801e-12,-2.211875095896075e-13,1.2466013474532768e-12,2.304428631939857e-12,1.6324046325545285e-12,-1.2316243371005646e-11,2.248691673310247e-12,1.2488778832231814e-12,5.553353784959502e-13,-1.885859423111112e-12,1.4946185907739452e-14
treat_p4,-1.0807124911689874e-12,-8.268021826078943e-13,-7.120549047656534e-13,-5.839537713963331e-12,3.604422513932844e-12,1.0573587374313569e-12,-8.390758885775351e-13,1.007720918406557e-12,2.240983022141911e-12,-1.1495630879955001e-13,1.4663585435059516e-12,3.8132334906878825e-12,-1.1231610053444896e-11,2.9259640673915924e-12,2.3814200681249495e-12,3.542857024314423e-13,2.4768455098280574e-13,1.925132598111501e-12,1.6439622907134077e-13,1.5668171238454927e-12,1.682550418101944e-12,-1.327297076558173e-11,5.8613581376271e-12,-3.5570199151435376e-12,1.3044228046440738e-13,8.608081590060938e-13,2.1775424719239373e-12,4.066548095458628e-13,1.7748012809048573e-12,8.441160108959797e-13,-1.2106631958860154e-11,4.868785718329791e-12,-1.4385102385283e-13,1.7689717215914537e-12,1.1369470119721313e-12,2.930521101095613e-12,4.5320983644526445e-13,1.2457345257663531e-12,1.5691833055203454e-12,-5.742523990104587e-12,3.991647259516339e-12,-1.0918006734750025e-12,9.822528429108984e-13,-2.1692761567203063e-13,3.126966880565937e-12,4.0300238822303185e-13,-4.452036145663101e-13,1.9589822806575954e-12,-2.5631303796765395e-12,-1.8956038682894807e-12,1.0118952098291639e-12,9.946981497613462e-13,5.809004439000024e-13,1.1367017853615023e-12,-9.72145103454519e-13,9.056790067792674e-13,1.0022355620794274e-12,-2.6300449727470557e-12,-1.3126284585352471e-12,4.772733603387267e-13,1.273481256788856e-12,1.78798892392319e-13,1.592991128112554e-12,-6.19542516834398e-13,-2.739014063529271e-12,-7.371605411240811e-13,1.2368851288044306e-11,-3.680796993700293e-12,-2.5179687436757277e-12,-1.90480996284168e-12,-1.4113690291769861e-12,-2.346170813177956e-12
L4treat_m4,8.385415072750164e-12,-3.888262269471688e-14,-3.4487494952940277e-12,-2.4077821283254705e-12,-6.7591154664234394e-12,2.3910069399806187e-12,3.5950409234841585e-12,2.3299054723356205e-12,-1.1495630879956362e-13,1.169465462366659e-11,-7.313753775967255e-12,-9.986701640361956e-12,1.2674453737328703e-11,-4.652656516354244e-12,1.8079941295766e-12,-9.976441134064808e-13,1.5312629841728522e-12,3.095741866636652e-13,1.4736327818439755e-11,-5.165130108967838e-12,-4.359240404698435e-12,9.124719694421058e-12,2.0238713805804204e-13,1.0586062235380554e-11,2.4242360034388203e-12,-1.0707343144665762e-12,8.063557777238175e-13,9.993112968101712e-12,1.350316335998414e-12,2.6904421989522647e-12,3.883676648994203e-12,2.329135635341953e-12,9.18472056988682e-12,-5.658240701370097e-12,-4.30393909834337e-12,-7.147772605815919e-13,5.579195866161306e-12,5.417695937732736e-12,-3.880377399773411e-12,-4.25583256243743e-12,-5.178359602907828e-13,9.363055588565036e-12,-3.786028743713008e-12,3.0404780986717035e-12,-1.1429606099830877e-12,-6.813939551880752e-13,4.706739935919149e-13,-3.3581899708722038e-12,2.079001625123291e-12,-9.815790271425829e-14,-2.346933349111081e-13,1.30524391564375e-12,1.6757788373055914e-12,-8.367996503776179e-13,1.1963228822765489e-12,-3.0267695861898087e-12,-4.0741992846010516e-12,4.703441182814711e-12,3.6091211987214972e-12,-1.7549818366129648e-13,-1.3255718066271332e-12,1.9912104162107704e-12,6.364743060203545e-14,-2.3084427462901065e-13,2.9659417273350266e-12,3.4913069442929932e-12,-1.1909609307212485e-11,-1.1950071358445302e-12,-4.2797843341651276e-13,2.997983171914567e-13,-6.630605581972228e-13,-1.1190043021438456e-12
