,coef
treat_m4,2.1638668343538976e-07
treat_m3,-5.522545460210846e-06
treat_m2,-1.7852821530306193e-05
treat_m1,-5.280291826703514e-05
treat_p0,5.857794159171997e-05
treat_p1,6.216306052902455e-06
treat_p2,1.133321100804939e-06
treat_p3,1.0285926838740624e-06
treat_p4,1.1600463180204766e-06
L4treat_m4,3.232952366786687e-07
L4treat_m3,-3.8221857598072005e-06
L4treat_m2,-8.339773402238165e-06
L4treat_m1,-5.9757621032120387e-05
L4treat_p0,5.9553618587326846e-05
L4treat_p1,6.120885306927601e-06
L4treat_p2,2.4715461905636297e-06
L4treat_p3,-1.1605633871569093e-06
L4treat_p4,9.124326608816104e-07
L8treat_m4,-1.17929489142643e-06
L8treat_m3,-3.848523381293206e-06
L8treat_m2,-6.6116676713408205e-06
L8treat_m1,-5.422371255311398e-05
L8treat_p0,6.835118952199186e-05
L8treat_p1,-2.033492631258406e-06
L8treat_p2,1.2743321006437264e-06
L8treat_p3,-1.0510101270698141e-06
L8treat_p4,3.073761878334816e-07
L12treat_m4,-2.610209803146613e-06
L12treat_m3,-5.437563859239021e-07
L12treat_m2,-8.328167278410249e-06
L12treat_m1,-5.2006296993649254e-05
L12treat_p0,6.511670119354702e-05
L12treat_p1,-8.970466769088765e-07
L12treat_p2,-8.136739155097993e-07
L12treat_p3,1.80975183670074e-06
L12treat_p4,1.523543771834122e-06
L16treat_m4,-5.182944861242944e-06
L16treat_m3,-1.333625202752198e-06
L16treat_m2,-6.783460742049074e-06
L16treat_m1,-2.6867331027974104e-05
L16treat_p0,4.587057477095008e-05
L16treat_p1,-1.4845564843087963e-06
L16treat_p2,-2.047765206672269e-06
L16treat_p3,5.0739829348710906e-06
L16treat_p4,-6.897025583924507e-07
F12treat_m4,-2.5308800528114278e-06
F12treat_m3,-5.52456762068424e-06
F12treat_m2,7.075563295540379e-07
F12treat_m1,-1.2954605510214775e-05
F12treat_p0,2.051196065728012e-05
F12treat_p1,-2.2706772943288793e-06
F12treat_p2,6.001613557884945e-07
F12treat_p3,-5.466635974252397e-07
F12treat_p4,-9.340054324892292e-07
F8treat_m4,-7.628015642139565e-08
F8treat_m3,-5.729332704122542e-06
F8treat_m2,4.987740027652986e-06
F8treat_m1,-3.1916607491260327e-06
F8treat_p0,5.2826036868029534e-06
F8treat_p1,2.8863280586447195e-07
F8treat_p2,2.660604909531952e-07
F8treat_p3,4.022905206742829e-06
F8treat_p4,-4.1499229830595985e-07
window_m4,5.547031117335555e-06
window_m3,-4.318976587949949e-07
window_m2,-3.783204817581563e-06
window_m1,4.8145634305590576e-05
window_p0,-2.8106425031084328e-05
window_p1,-7.835621720048076e-06
window_p2,-4.013167221804904e-06
window_p3,-4.001281597573406e-06
window_p4,-6.337461336509819e-07
