,treat_m4,treat_m3,treat_m2,treat_m1,treat_p0,treat_p1,treat_p2,treat_p3,treat_p4,L4treat_m4,L4treat_m3,L4treat_m2,L4treat_m1,L4treat_p0,L4treat_p1,L4treat_p2,L4treat_p3,L4treat_p4,L8treat_m4,L8treat_m3,L8treat_m2,L8treat_m1,L8treat_p0,L8treat_p1,L8treat_p2,L8treat_p3,L8treat_p4,L12treat_m4,L12treat_m3,L12treat_m2,L12treat_m1,L12treat_p0,L12treat_p1,L12treat_p2,L12treat_p3,L12treat_p4,L16treat_m4,L16treat_m3,L16treat_m2,L16treat_m1,L16treat_p0,L16treat_p1,L16treat_p2,L16treat_p3,L16treat_p4,F12treat_m4,F12treat_m3,F12treat_m2,F12treat_m1,F12treat_p0,F12treat_p1,F12treat_p2,F12treat_p3,F12treat_p4,F8treat_m4,F8treat_m3,F8treat_m2,F8treat_m1,F8treat_p0,F8treat_p1,F8treat_p2,F8treat_p3,F8treat_p4,window_m4,window_m3,window_m2,window_m1,window_p0,window_p1,window_p2,window_p3,window_p4
treat_m4,6.958114227927246e-13,6.605159025031318e-13,-1.2077278708292279e-12,1.5729052740897208e-12,8.144961868541897e-13,2.452893652241839e-13,-7.752614534007777e-13,4.529207730091915e-14,-4.2365489070963103e-13,9.6224062251998e-13,5.091137417961042e-14,-3.872429377475099e-12,6.275208347365001e-13,4.605380500076182e-12,-9.381867700965166e-13,-1.7293492058507955e-12,1.5954018669602406e-12,-2.7898991904343294e-13,1.412382287448746e-12,1.6362427945457175e-13,-1.9729913942623312e-12,2.7823022785581207e-12,1.210582964877946e-12,-6.6196588106737e-13,2.987019132193265e-13,6.774227819287064e-13,-1.5285933160352443e-13,1.51765699447649e-12,8.43035700685111e-13,-1.3298378956086107e-12,1.724828847664444e-12,-1.6178333383133135e-13,4.829246847415145e-13,-4.587740841659377e-13,-6.895593770254415e-13,-8.265480960417072e-13,1.35788529247789e-12,1.243480080518684e-13,-4.747957589245055e-13,2.0368117238808726e-12,-4.2468228553922427e-13,-1.8734220156548197e-13,-1.6376714294908712e-12,-2.712460928256786e-13,-1.471855956657621e-12,8.024744891015228e-13,4.363462560698137e-13,1.0175025844840926e-12,-1.1191125250314291e-13,1.3175703962923613e-12,-1.0740636007640094e-12,-8.552449439105467e-14,6.182754974001116e-13,-1.3649101850764394e-12,8.241188260173753e-13,8.108130853175502e-13,1.097340723978234e-12,2.17018508492758e-12,5.13788541862635e-13,-7.24939465714048e-13,-2.33847647748086e-13,-1.0267758950732639e-12,-2.235743707514784e-12,-1.289699304247671e-12,-1.6542181600141684e-13,-7.302117353404911e-13,-3.5034528645326966e-12,7.997245213263114e-13,1.582328258634482e-12,1.3244893707557682e-12,9.726772478895436e-14,1.4568941185501771e-12
treat_m3,6.605159025031318e-13,2.1575101377464197e-12,-2.328872037628912e-13,3.7477841017153435e-12,9.523149810781856e-13,-1.0745906549344128e-13,-1.7764511463507025e-12,8.319719800026814e-13,1.808163814476532e-12,1.1123556389865714e-12,7.264258947774524e-13,-5.857421244732372e-12,3.06832870566001e-12,6.2084313225220734e-12,-1.470785107617129e-12,-1.8045375614817505e-12,1.7089200379714659e-12,7.153766768282033e-13,1.9238222116097806e-12,1.1289837730184604e-12,-3.123843613250354e-12,5.9772813795229825e-12,1.908394471467693e-12,6.504891016980636e-13,5.16168679361417e-13,1.5496541461512907e-12,2.0419815516248847e-12,2.067060202785123e-12,2.108613688000599e-12,-2.1443660776360387e-12,2.9322378952495838e-12,2.7034896305687156e-12,4.807621690359935e-12,-7.713271657453925e-13,-2.3377116022027457e-13,-7.132271232065901e-13,1.824816994066132e-12,4.4661884963930337e-13,-6.178019051893356e-13,1.5038433013926206e-12,6.825856077495003e-13,7.55985976612566e-13,-4.881767545880998e-12,-1.1770661449683381e-13,-2.52226527458079e-12,9.470036722307572e-13,8.043854133458931e-13,2.293747475404886e-12,1.3083954697939441e-12,4.41083366676322e-12,-4.130307583661939e-12,-8.634712009535233e-13,2.4207924222301417e-12,9.638084470680075e-13,1.0228671010078576e-12,1.821129970515443e-12,1.3662461820162297e-12,3.0375321349877878e-12,1.2929854655093452e-12,-4.298968221097851e-12,1.4024158691552856e-12,-8.43517596288438e-13,-9.965919636604575e-13,-1.5251132321160355e-12,-4.605516678376406e-13,-1.0400005411824541e-12,-7.138358643013511e-12,-1.5835654855049984e-12,1.661878421120315e-12,2.3219398942831295e-12,6.020637648604511e-16,5.641476422306973e-13
treat_m2,-1.2077278708292408e-12,-2.328872037628353e-13,1.6165049189007783e-11,-8.669045495280206e-13,-2.33946874371747e-12,-1.3797764423291279e-11,-3.1804189063294197e-12,3.6751697201184524e-12,1.1701408978117252e-12,-2.7568143943150514e-12,5.905796615355417e-13,2.1355687850385183e-11,-9.313514405342515e-12,-1.3699522950411197e-11,-6.776112586413072e-12,3.831973288607777e-12,-6.124601898482724e-12,-1.9924620293063036e-12,-4.443376166953253e-12,1.6925224785935098e-12,1.4465541694930478e-11,-1.401791134647019e-11,-2.0096000737575164e-12,-5.720787044617177e-12,-5.100079484277975e-12,1.5617786490374954e-12,-4.821760077768094e-12,-3.86568925972907e-12,1.0981448703407384e-12,1.1975647420815531e-11,-1.610936174347895e-11,4.6205755352666026e-12,-4.320934048675188e-12,-1.7380291517507935e-12,8.443025667001436e-12,-7.496968289091083e-14,-2.380695104619617e-12,2.728057991029879e-12,1.042061836990468e-11,-1.1602093697084108e-11,3.0037104485590883e-12,-4.388618284128525e-12,-5.712771136961892e-12,6.140676584727665e-13,9.296672472416843e-13,-9.265356626498571e-13,1.492275001452494e-12,-2.9036051023227102e-12,-6.928382239561975e-12,7.524244097759598e-12,-4.7757723957436696e-12,-6.372130322118804e-12,3.145697661310305e-12,3.954053313485595e-12,-8.997524896579703e-13,2.471258946095531e-13,1.250745563293847e-13,-9.607101489606474e-12,-6.487617133793988e-12,-3.827082072009368e-12,-4.361936797251946e-13,2.4242752326309256e-12,4.595245926883737e-12,3.246780007886056e-12,-1.2713715116004883e-12,-2.513253383110845e-12,1.4589935973314782e-11,-5.8908865905814976e-12,-1.7445953434638426e-12,7.937885186878913e-13,-5.900648765928129e-12,-3.4887193593075535e-12
treat_m1,1.5729052740897763e-12,3.747784101715457e-12,-8.669045495282931e-13,5.249728894447651e-11,-4.100629166974116e-14,2.2295050421307075e-12,-1.2252669363430312e-11,6.723125365109468e-12,7.564122242132956e-12,6.833333930215694e-12,1.7384089333704111e-12,-2.7907215939654178e-11,3.937996052753303e-11,3.528186769343289e-11,-5.9540387433559016e-12,-4.468070805232894e-12,4.382707321945343e-12,-1.2595188915125532e-12,7.209207303514391e-12,5.293543987543199e-13,-1.3440587921078332e-11,4.240990967211723e-11,1.1024104202035112e-11,-5.4435281793528406e-12,-7.656033067776638e-12,9.119135663897964e-12,1.819227563827359e-11,1.1134521988918328e-11,7.945895939478633e-12,-4.9952275708037856e-12,3.588955962973099e-11,1.6245558958207944e-11,2.874143146796416e-11,-6.071389551034187e-12,-9.850292877559183e-12,-7.923055246929129e-12,9.894914200153648e-12,-2.054859233306516e-12,4.704576893764679e-12,2.53644672620556e-11,9.883048571860794e-13,3.447216634302157e-12,-3.025353494807591e-11,-6.5425915825814455e-12,-1.0858408388028351e-11,6.201020751995416e-12,5.350279599721902e-12,2.370288318031202e-11,1.2759754540755509e-11,2.709798592404283e-11,-1.1622389212327782e-11,-1.333834133634294e-11,3.304259280965121e-12,-3.6981448165191145e-12,6.350694430576407e-12,7.971599664913582e-12,1.7285630982748926e-11,3.4755495662467726e-11,2.456764432640257e-11,-1.88966437188054e-11,8.7305177010313e-13,2.7553769867783847e-13,1.1703012399010305e-12,-8.599591302869436e-12,1.1694767192786045e-12,-1.2405451596487924e-11,-5.6556878934573546e-11,-5.390945954567458e-12,9.062023762195171e-12,1.6711863771530033e-11,2.6263345368560625e-12,5.455813632673056e-12
treat_p0,8.144961868542003e-13,9.52314981078196e-13,-2.3394687437173254e-12,-4.1006291670075384e-14,4.3853096073148033e-11,1.5418031806610774e-11,1.7871774603979e-11,-1.4204892744630876e-11,8.086878469779077e-12,-8.859841042953437e-13,5.006812422934254e-13,5.264918273024817e-12,8.63941526728928e-12,1.8264725878328483e-11,2.6087979110525066e-11,-8.287205171476876e-12,9.921362821099165e-12,1.1677791945490352e-11,1.8669386878990857e-12,1.0625760973909553e-12,-3.1493440904583815e-12,-1.5855272432446516e-12,5.1260297937367296e-11,5.0305391669066894e-11,1.0821112296491788e-11,3.4371114036455753e-12,1.1738439125241862e-11,-1.4156994512799588e-12,1.561400539786011e-12,-6.8629173612847324e-12,7.554919996531762e-12,3.009584398135793e-11,2.963797655619193e-11,6.118099561101563e-12,1.1742978794917353e-11,1.4465674441437453e-11,2.878126962460972e-13,2.1873549999537337e-13,-1.1907584750911113e-11,-1.192016399167629e-11,4.5178212422180294e-11,3.850602242175524e-11,1.4007617259385466e-11,9.472217502532004e-12,9.053459579397796e-12,7.680209942207393e-13,-8.54426530945875e-12,-9.52902353675994e-12,2.726544312270722e-12,3.043608281811646e-11,5.674646228095001e-13,7.362633367616452e-13,1.5809862863402967e-11,-2.0324683171463114e-12,-1.4184249990728729e-12,-8.973078597301326e-12,-1.4883560752474188e-11,7.292782272474586e-12,5.60036016953433e-13,1.2067553706261953e-11,6.077557382927218e-12,4.791466306426981e-12,1.892802597971194e-12,2.849363406487983e-13,3.780284368833385e-13,4.990632180740997e-12,-1.940929623869385e-12,-3.3457366660147726e-11,-3.579285926325919e-11,-2.1774585199264746e-11,-1.2083408409332838e-11,-1.4631006192655274e-11
treat_p1,2.4528936522419524e-13,-1.0745906549344686e-13,-1.3797764423291411e-11,2.2295050421304486e-12,1.5418031806610997e-11,3.75749769477945e-11,1.0946347330995934e-11,-6.377209939404708e-12,6.453080143630074e-12,2.732649046685343e-12,9.611556560249102e-13,-1.3799167881274587e-11,2.5477423865962156e-11,1.7019230260872584e-11,3.5534311990003574e-11,-1.0417761114105825e-11,8.626128867527141e-12,9.810724285527605e-12,3.538697290723155e-12,-3.5748949142496037e-12,-1.4733319014752873e-11,2.1850429648169283e-11,1.5730014801783313e-11,4.926443387427e-11,6.161022731038559e-12,1.678989107590893e-12,1.6854674393522503e-11,1.1197626378007411e-12,-3.176031421447115e-12,-9.894574569558379e-12,2.781116148716789e-11,1.161004989371654e-11,3.464500351291707e-11,8.280774681420828e-12,-5.620259942879017e-12,1.2365851054240783e-11,2.759267319432675e-14,-5.65933399407326e-12,-1.4879463929968067e-11,5.02408268309476e-12,1.3389615377409884e-11,3.5139690730364405e-11,9.80152544876228e-12,1.3544698833151999e-11,7.478839097162677e-12,5.124296192333161e-13,-6.1323761635210426e-12,6.11748536885017e-13,8.351682175645265e-12,8.584651676673461e-12,1.3350157914591051e-11,3.0051886317624007e-12,3.554742816027202e-12,3.070517261123516e-12,-9.795728695599175e-13,-5.892868011757457e-12,-7.921145116117896e-12,1.6343857498394435e-11,1.648349970558136e-11,9.170977212059826e-12,2.220454855221779e-12,6.195761724624458e-12,2.8331449074824894e-12,-9.217462314178339e-13,3.681621013924693e-12,4.5711535342248955e-12,-1.967886162931573e-11,-1.5066846287665963e-11,-2.925333863058423e-11,-9.669123281616129e-12,-1.6872280692550014e-12,-1.0992280252868388e-11
treat_p2,-7.75261453400767e-13,-1.7764511463506916e-12,-3.1804189063294092e-12,-1.2252669363430424e-11,1.7871774603978983e-11,1.0946347330995785e-11,2.2057282088438187e-11,-6.163608791571126e-12,4.01198260765821e-12,-2.542465014651598e-12,-6.930370592403247e-13,9.87499931099821e-12,1.3129124627103748e-12,-5.550712842460807e-12,1.9969521143275073e-11,3.8406051526523136e-12,2.5770855604454657e-12,5.5059223236619745e-12,-1.487022213788755e-12,-1.136568668955327e-12,1.7763820439594788e-12,-9.906942024366912e-12,1.9254086075430104e-11,3.406797285035745e-11,1.1961234810841916e-11,2.901138149185191e-12,7.000158279471285e-12,-3.824784110600056e-12,-3.5685561389127583e-12,-3.956336980164046e-13,-1.5002083230896415e-13,1.4454578364965504e-11,1.5361119501000283e-11,1.1437727036468897e-11,6.688410601019439e-12,6.505023124396143e-12,-3.17314825975498e-12,-1.038612841753852e-12,-7.055930069512772e-12,-1.1782372902771902e-11,2.2410858354976247e-11,2.5740832862889158e-11,2.2264920611692353e-11,5.709734090471784e-12,8.261805318876527e-12,-2.306662814061622e-12,-7.189339161355384e-12,-8.557499167715123e-12,-1.9849332615565908e-12,6.231365591126282e-12,6.098984135543417e-12,4.274844956901359e-12,2.9867810063119116e-12,7.255776378193007e-13,-3.39717324958212e-12,-8.101510599918367e-12,-1.2123710912292625e-11,-7.75316634152889e-12,-4.268354157525721e-12,1.3461970870584052e-11,5.774118505474443e-12,4.553896088314359e-12,1.940122986651952e-12,3.2399542427652196e-12,1.3969547943125022e-12,5.323815894443334e-12,1.2725682835665997e-11,-1.661835487867692e-11,-2.3679416955171637e-11,-2.0545206629062188e-11,-5.6338501197869046e-12,-1.0204509017293456e-11
treat_p3,4.5292077300903325e-14,8.319719800026656e-13,3.675169720118553e-12,6.7231253651093756e-12,-1.4204892744630763e-11,-6.377209939404732e-12,-6.163608791571101e-12,2.0913446321178452e-11,6.581506236982123e-13,1.7987706836393362e-12,3.317495052520663e-13,-1.1386637949114361e-11,-2.471680300565987e-12,3.2869076302086274e-13,-3.736949679475209e-12,1.0732383512300093e-12,5.124284608980859e-12,-3.4997970317701736e-12,2.943435404299689e-12,-1.2003066402566382e-12,-2.3262913820117774e-13,9.740939017917284e-12,-1.32334794866572e-11,-1.3589869301558897e-11,-4.340593617770901e-12,1.4095612029639896e-11,6.652666776618121e-13,4.0822140311211e-12,2.2954095860709118e-12,4.891102742306e-12,1.780477633863989e-12,-1.1303309961428132e-12,-7.872733429132966e-12,-2.6840124187495867e-13,3.134872567425032e-12,-8.56215863855748e-12,3.768669852193385e-12,1.3720722380661657e-13,4.49318300964261e-12,5.220902672456597e-12,-1.3771872252881294e-11,-1.631584009044955e-11,-1.7604127081427017e-11,1.9647586010989875e-16,-4.40200562069226e-12,2.0647092066090155e-12,5.231305273590383e-12,1.2783937542998978e-11,-8.597413645130279e-12,1.8669036968023057e-12,-6.509110219752488e-12,-6.507668701343363e-12,3.229141142877029e-12,1.4671691958006848e-12,1.7498000748994633e-12,5.880040917327959e-12,9.422695057278388e-12,2.497727387484323e-12,3.8723626635181074e-13,-1.0534293729448337e-11,7.7101012685258e-12,9.140610799315352e-12,-4.064010093504326e-12,-2.2886159270447724e-12,-9.274109062251745e-14,-5.803354352383879e-12,-1.5861093622173315e-11,8.045029054044245e-12,1.686805093533526e-11,1.236278619604121e-11,-4.144513278427549e-12,5.594221564778997e-12
treat_p4,-4.2365489070962765e-13,1.8081638144765346e-12,1.1701408978116036e-12,7.5641222421331e-12,8.086878469779159e-12,6.453080143630268e-12,4.011982607658323e-12,6.58150623698125e-13,1.71565051495505e-11,-3.851209045746661e-14,7.988401311116547e-13,-3.0326614201865865e-12,1.403956656823751e-11,9.281082504275319e-12,7.494319678243488e-12,-4.489467079488695e-12,2.7043676977564636e-12,9.744388945177176e-12,1.4118354543642996e-12,-1.4150507394889238e-12,-5.469678827809805e-12,1.3787141855261232e-11,1.3097816649307335e-11,1.3834135607367396e-11,5.482996633126472e-13,4.773469830477099e-12,1.612334259347081e-11,1.3097442605754485e-12,2.2614702351753193e-12,-1.97972231131616e-12,1.1287570525386455e-11,1.926823270832359e-11,2.900421069220828e-11,1.2741291343859399e-11,8.15917765317889e-12,9.924744738341077e-12,1.693973974227723e-12,-2.9792384568617496e-13,-5.985238545278848e-12,-6.824642677938263e-12,1.3114409724849186e-11,1.4371137362184626e-11,-1.0187721973554336e-11,7.764993351828586e-12,2.0898184394269927e-12,1.609401908257676e-12,-2.606826014371319e-12,-2.1040753269527046e-12,2.1674098545133182e-12,1.1896114621071979e-11,-1.0361269819242247e-11,-3.076551721466217e-12,1.0767415411963233e-11,1.1389802799621975e-11,1.2454839979615455e-13,-3.316356801968023e-12,-6.8217970220977695e-12,3.6150775713167883e-12,6.017148531408836e-12,-9.156739303886223e-12,1.846673913424305e-12,1.9234187159929482e-12,3.2404174253694914e-12,2.5437363796835287e-14,6.40468715636432e-13,2.8804278747505724e-12,-1.1614739709831525e-11,-2.2623676128924966e-11,-1.3886734601890163e-11,-3.615095783655906e-12,-4.963393084319543e-12,-1.1194943222783098e-11
L4treat_m4,9.622406225199775e-13,1.1123556389865654e-12,-2.7568143943150396e-12,6.833333930215617e-12,-8.859841042953458e-13,2.7326490466853e-12,-2.542465014651593e-12,1.7987706836393534e-12,-3.851209045747356e-14,2.752952866232833e-12,4.170965442330115e-13,-1.097281953401741e-11,6.363531476287234e-12,9.66394348486312e-12,-2.50067970746306e-14,-3.678374395408577e-12,2.5692560356213755e-12,-9.620736269956488e-13,3.1982972052064632e-12,-5.367530095373683e-13,-5.762071382512097e-12,1.00523042940001e-11,-1.3817183801572548e-12,-4.862805902719757e-13,-1.9139972276132467e-12,2.6973623587284093e-12,2.566152384456789e-12,3.813725916393407e-12,1.3446130539167206e-12,-2.166207111993399e-12,7.997470541392168e-12,-1.5540697118364542e-13,5.0382256070658e-12,-6.70691146515615e-13,-3.881963152181366e-12,-3.6165779026869576e-12,2.9655686000762047e-12,-7.301079849213325e-13,-4.009233005488368e-13,6.622874600993753e-12,-3.3900085714652654e-12,-1.049959935172206e-12,-6.974442629802144e-12,-1.6517653539973011e-12,-3.750595359110731e-12,1.8729905451922667e-12,1.1868202460687403e-12,6.2953352974596975e-12,-5.024583834214099e-13,3.4304855437985237e-12,-1.4059032469558658e-12,-1.4764063280499741e-12,2.5947706110920825e-14,-1.490105753363981e-12,1.7544972562191383e-12,1.896873809891565e-12,4.419631885298819e-12,7.021421872887948e-12,4.2362866926677685e-12,-3.25734631002525e-12,4.60592363521196e-13,-8.737407309068309e-13,-3.732307987564213e-12,-2.8461478071230226e-12,5.811722246738129e-13,-2.4164608514837783e-12,-1.2708096376160453e-11,2.192649179398302e-12,3.7703652547687595e-12,4.402805622372203e-12,1.691040146767525e-12,3.2945443295195233e-12
