,coef
treat_m4,-8.820578317615901e-07
treat_m3,1.303797204884122e-06
treat_m2,-8.163247356213404e-06
treat_m1,-7.054802440753672e-05
treat_p0,7.141588807379822e-05
treat_p1,1.5170259118812006e-05
treat_p2,1.168101214034079e-06
treat_p3,1.948524777581858e-05
treat_p4,9.827374040476709e-07
L4treat_m4,-2.379236746049641e-06
L4treat_m3,1.4372280692288713e-08
L4treat_m2,2.208379912802373e-06
L4treat_m1,-6.044358294171856e-05
L4treat_p0,4.518007698045936e-05
L4treat_p1,9.346217294656147e-06
L4treat_p2,-5.408346896290749e-06
L4treat_p3,1.2358185947223167e-05
L4treat_p4,-2.577835888307612e-06
L8treat_m4,-1.6213646082029476e-06
L8treat_m3,1.3959613412224856e-06
L8treat_m2,-5.395419139862192e-07
L8treat_m1,-6.305836053831084e-05
L8treat_p0,5.283165787380081e-05
L8treat_p1,2.3747963672783636e-06
L8treat_p2,-4.537855357064425e-06
L8treat_p3,7.990141958218797e-06
L8treat_p4,-2.9831574135739754e-06
L12treat_m4,-9.163026959235568e-07
L12treat_m3,1.8491191345496094e-06
L12treat_m2,-8.017800514807481e-07
L12treat_m1,-5.879773620788733e-05
L12treat_p0,5.190635772232161e-05
L12treat_p1,1.1088086858587854e-05
L12treat_p2,8.273371364544132e-06
L12treat_p3,1.2433807004051423e-05
L12treat_p4,2.4577769389657975e-06
L16treat_m4,-1.2580313541450162e-06
L16treat_m3,-7.565275827504635e-07
L16treat_m2,-4.386646014240337e-06
L16treat_m1,-3.290624237372473e-05
L16treat_p0,6.0271578715148475e-05
L16treat_p1,3.6778119455252445e-06
L16treat_p2,1.5269469038541372e-06
L16treat_p3,1.0459549022477266e-05
L16treat_p4,-7.121483261484543e-06
F12treat_m4,-1.646723595173571e-06
F12treat_m3,-1.2047624049227686e-06
F12treat_m2,-5.230343083052078e-06
F12treat_m1,-4.692726815693663e-06
F12treat_p0,1.2800502420780131e-05
F12treat_p1,2.0291375880056613e-06
F12treat_p2,-6.521385133751039e-06
F12treat_p3,3.0410466433001424e-06
F12treat_p4,-4.445163619264324e-06
F8treat_m4,-6.882288970862517e-07
F8treat_m3,-2.87805259734838e-06
F8treat_m2,3.184503826626869e-06
F8treat_m1,-3.5821787250574165e-06
F8treat_p0,-3.5333051475028473e-06
F8treat_p1,2.8741109791465556e-06
F8treat_p2,-4.873816370854382e-06
F8treat_p3,5.328013202254182e-06
F8treat_p4,-5.354950412375699e-06
window_m4,2.2548609966905967e-06
window_m3,1.2367746174387735e-06
window_m2,-1.0734958206158997e-06
window_m1,3.5537058589769553e-05
window_p0,-1.836583663724294e-05
window_p1,-7.395223100051895e-06
window_p2,-1.479540756978135e-06
window_p3,-1.0912267983857019e-05
window_p4,1.9321693549917743e-06
