tau,side,est,se,lo,hi
-3,excess,0.004081891492451242,0.0018870392944157002,0.00038329447539646976,0.007780488509506014
-2,excess,5.784761790382113e-05,0.0012189309940393459,-0.0023312571304132967,0.002446952366220939
-1,excess,0.0,0.0,0.0,0.0
0,excess,0.02455995440298501,0.00397003104829956,0.01677869354831787,0.03234121525765215
1,excess,0.01982623522442063,0.0031627714819320463,0.013627203119833817,0.02602526732900744
2,excess,0.020675510018235525,0.0030833071220084953,0.014632228059098876,0.026718791977372175
3,excess,0.021885776221042225,0.0025349031017928517,0.016917366141528237,0.026854186300556214
4,excess,0.016627008075254322,0.0023274999501237616,0.012065108173011749,0.021188907977496896
-3,missing,-0.006468823535004465,0.0024184972812615188,-0.011209078206277041,-0.0017285688637318879
-2,missing,-0.002290395664637555,0.001794587522615605,-0.00580778720896414,0.0012269958796890306
-1,missing,0.0,0.0,0.0,0.0
0,missing,-0.022601299126049783,0.003775359048453599,-0.03000100286101884,-0.015201595391080729
1,missing,-0.019279850449446967,0.0033460527572893527,-0.0258381138537341,-0.012721587045159835
2,missing,-0.018054453386757208,0.004111700359554979,-0.026113386091484968,-0.00999552068202945
3,missing,-0.018758318053734065,0.0048164142746013865,-0.02819849003195278,-0.009318146075515349
4,missing,-0.012820314442770124,0.0033138838429702592,-0.01931552677499183,-0.006325102110548416
